Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_doordash_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_doordash_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_apple_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_apple_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_samsara_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_samsara_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_yelp_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_yelp_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_match_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_match_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_i2c_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_i2c_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_adobe_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_adobe_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_amazon_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_amazon_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_rowan_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_rowan_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_google_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o_google_ux_Score
0,0.59243476,0.7962174,0.5210606,0.7605303,0.50768155,0.7538408,0.52862173,0.76431084,0.61103845,0.8055192,0.7219956,0.8609978,0.6975604,0.8487802,0.6087779,0.80438894,0.6891575,0.84457874,0.7321315,0.86606574
1,0.03244057,0.5162203,-0.0034433305,0.49827832,-0.0028400812,0.49857995,0.0567849,0.52839243,-0.011382462,0.49430877,0.037443753,0.5187219,0.029056974,0.5145285,0.04209923,0.5210496,0.08158469,0.54079235,0.039818097,0.519909
2,0.48054585,0.74027294,0.5358942,0.7679471,0.47470975,0.7373549,0.50057596,0.750288,0.53493774,0.76746887,0.5868946,0.79344726,0.6212717,0.81063586,0.5854114,0.7927057,0.6905133,0.8452567,0.65411794,0.827059
3,0.03824458,0.5191223,0.021506658,0.51075333,0.012804509,0.50640225,0.03318786,0.51659393,0.0050602145,0.5025301,0.07081937,0.5354097,0.060440507,0.53022027,0.06001558,0.5300078,0.08661623,0.54330814,0.081116766,0.5405584
4,0.18606733,0.5930337,0.16560894,0.58280444,0.14875153,0.57437575,0.21066046,0.6053302,0.094997704,0.5474988,0.13305418,0.56652707,0.13671574,0.5683579,0.14913236,0.5745662,0.20333743,0.6016687,0.14489658,0.5724483
5,0.057845052,0.5289225,0.033335783,0.5166679,0.01436857,0.50718427,0.0847207,0.54236037,-0.0021495963,0.4989252,0.04893735,0.52446866,0.03153652,0.5157683,0.06462622,0.5323131,0.088331595,0.5441658,0.055393636,0.52769685
6,0.14061847,0.5703092,0.14042544,0.5702127,0.10267178,0.5513359,0.1818513,0.59092563,0.11221654,0.5561083,0.14660765,0.5733038,0.15239409,0.576197,0.1720908,0.5860454,0.19648194,0.598241,0.16029915,0.5801496
7,0.5618534,0.7809267,0.60119766,0.80059886,0.5195918,0.7597959,0.5554247,0.77771235,0.60598177,0.8029909,0.6652829,0.8326415,0.679194,0.839597,0.6879069,0.8439535,0.7325934,0.8662967,0.72892857,0.8644643
8,0.074000955,0.5370005,0.04780186,0.5239009,0.01608222,0.5080411,0.115894236,0.5579471,0.034989223,0.5174946,0.08760184,0.54380095,0.06858953,0.5342948,0.080125585,0.5400628,0.10503252,0.5525163,0.088907704,0.54445386
9,0.6690137,0.83450687,0.64659464,0.8232973,0.6019347,0.80096734,0.57821393,0.78910697,0.68214834,0.84107417,0.8022425,0.90112126,0.6672159,0.8336079,0.71509504,0.8575475,0.73156494,0.8657825,0.76357555,0.8817878
10,0.028849453,0.51442474,-0.016485263,0.49175736,0.002002615,0.5010013,0.03240775,0.5162039,-0.030384898,0.48480755,0.03911443,0.51955724,0.02431676,0.5121584,0.03556883,0.5177844,0.053571098,0.52678555,0.03948091,0.51974046
11,0.11282632,0.5564132,0.073522046,0.53676105,0.05420509,0.52710253,0.15401593,0.57700795,0.0646132,0.5323066,0.14234865,0.5711743,0.11579399,0.557897,0.12276019,0.5613801,0.16267936,0.58133966,0.12694262,0.5634713
12,0.102170646,0.55108535,0.09763301,0.5488165,0.078393064,0.53919655,0.13831961,0.5691598,0.0456866,0.5228433,0.08756461,0.5437823,0.06017877,0.5300894,0.1204029,0.56020147,0.12740743,0.5637037,0.10259655,0.55129826
13,0.17786893,0.5889345,0.13797042,0.5689852,0.14171998,0.57085997,0.19970733,0.59985363,0.14865229,0.57432616,0.16268021,0.5813401,0.16276658,0.5813833,0.15377092,0.57688546,0.17165217,0.5858261,0.17784792,0.58892393
14,0.067884475,0.5339422,0.026233198,0.5131166,0.021715663,0.5108578,0.07016214,0.5350811,-0.007201987,0.49639902,0.060149852,0.53007495,0.029241256,0.5146206,0.058938444,0.52946925,0.093402825,0.54670143,0.06295139,0.5314757
15,0.06661683,0.5333084,0.020818777,0.5104094,0.009063171,0.50453156,0.09908225,0.5495411,-0.01952893,0.49023554,0.037543893,0.51877195,0.015044917,0.50752246,0.051289923,0.52564496,0.08516157,0.5425808,0.04463067,0.5223153
16,0.09782463,0.5489123,0.077416755,0.5387084,0.041201107,0.52060056,0.097187474,0.54859376,0.071310066,0.535655,0.13071656,0.5653583,0.12860924,0.5643046,0.111426935,0.5557135,0.17517364,0.5875868,0.14658694,0.57329345
17,0.25376514,0.62688255,0.24953066,0.62476534,0.16945294,0.58472645,0.3088229,0.65441144,0.2179113,0.6089556,0.25758687,0.6287934,0.28538418,0.6426921,0.29186237,0.6459312,0.3246556,0.66232777,0.29256094,0.64628047
18,0.5075417,0.7537708,0.5554725,0.77773625,0.48493242,0.7424662,0.5777862,0.7888931,0.5264182,0.7632091,0.50060195,0.750301,0.555595,0.77779746,0.5963508,0.7981754,0.60486484,0.8024324,0.5716746,0.7858373
19,0.020235388,0.5101177,0.038074467,0.51903725,0.004950678,0.5024753,0.05017393,0.52508694,0.0021028966,0.5010514,0.042170983,0.5210855,0.058793586,0.5293968,0.03428129,0.5171406,0.10174596,0.550873,0.0855017,0.54275084
20,0.5665065,0.78325325,0.60613436,0.8030672,0.5086484,0.7543242,0.60761964,0.8038098,0.585886,0.792943,0.636721,0.8183605,0.6702043,0.83510214,0.6907767,0.84538835,0.7222055,0.86110276,0.70419335,0.8520967
