Unnamed: 0,Modifiedgpt4o-onmini_doordash_pm_Raw_Score,Modifiedgpt4o-onmini_doordash_pm_Score,Modifiedgpt4o-onmini_apple_pm_Raw_Score,Modifiedgpt4o-onmini_apple_pm_Score,Modifiedgpt4o-onmini_samsara_pm_Raw_Score,Modifiedgpt4o-onmini_samsara_pm_Score,Modifiedgpt4o-onmini_yelp_pm_Raw_Score,Modifiedgpt4o-onmini_yelp_pm_Score,Modifiedgpt4o-onmini_match_pm_Raw_Score,Modifiedgpt4o-onmini_match_pm_Score,Modifiedgpt4o-onmini_i2c_ux_Raw_Score,Modifiedgpt4o-onmini_i2c_ux_Score,Modifiedgpt4o-onmini_adobe_ux_Raw_Score,Modifiedgpt4o-onmini_adobe_ux_Score,Modifiedgpt4o-onmini_amazon_ux_Raw_Score,Modifiedgpt4o-onmini_amazon_ux_Score,Modifiedgpt4o-onmini_rowan_ux_Raw_Score,Modifiedgpt4o-onmini_rowan_ux_Score,Modifiedgpt4o-onmini_google_ux_Raw_Score,Modifiedgpt4o-onmini_google_ux_Score
1747,0.6848023,0.84240115,0.6357858,0.8178929,0.60832906,0.8041645,0.6462989,0.82314944,0.65524834,0.8276242,0.66046053,0.83023024,0.6494356,0.82471776,0.6762622,0.83813107,0.70608747,0.85304374,0.67573863,0.8378693
1784,0.6798897,0.83994484,0.66591865,0.8329593,0.5988213,0.79941064,0.5769503,0.78847516,0.69637096,0.8481855,0.7225865,0.86129326,0.74307036,0.8715352,0.7224455,0.86122274,0.74170804,0.870854,0.72991097,0.8649555
2476,0.719586,0.859793,0.70682096,0.8534105,0.68006784,0.8400339,0.6277085,0.8138542,0.69199467,0.84599733,0.677238,0.838619,0.66523075,0.8326154,0.70326453,0.85163224,0.64898884,0.8244944,0.6954859,0.8477429
2515,0.76367307,0.88183653,0.7407149,0.87035745,0.7061932,0.8530966,0.6566388,0.82831943,0.71098936,0.8554947,0.6701647,0.83508235,0.6454469,0.82272345,0.7095481,0.85477406,0.6935679,0.84678394,0.6985339,0.84926695
2517,0.7792735,0.88963675,0.7083597,0.85417986,0.74167514,0.87083757,0.6293675,0.81468374,0.6963697,0.8481848,0.69802594,0.849013,0.61663437,0.8083172,0.71219087,0.85609543,0.6526176,0.8263088,0.69572234,0.8478612
2529,0.69790864,0.8489543,0.667157,0.83357847,0.6102741,0.80513704,0.60656464,0.8032823,0.6714798,0.8357399,0.6226553,0.81132764,0.6538093,0.82690465,0.6491213,0.82456064,0.60205483,0.8010274,0.6434739,0.82173693
2538,0.7549117,0.87745583,0.6871468,0.8435734,0.67519104,0.8375955,0.6311744,0.81558716,0.6823996,0.84119976,0.67918116,0.83959055,0.6031707,0.8015853,0.68848395,0.844242,0.6347986,0.81739926,0.6340564,0.81702816
2551,0.7280401,0.86402005,0.7169662,0.8584831,0.6860593,0.8430296,0.6107569,0.80537844,0.6550963,0.82754815,0.64862454,0.82431227,0.6087973,0.80439866,0.66329074,0.83164537,0.6514846,0.8257423,0.63189536,0.81594765
2553,0.7523844,0.8761922,0.71287036,0.8564352,0.6822685,0.84113425,0.6510493,0.8255247,0.6700494,0.8350247,0.6667437,0.8333719,0.6572927,0.82864636,0.68509805,0.842549,0.68013287,0.84006643,0.68966365,0.8448318
2554,0.6798305,0.8399153,0.689506,0.844753,0.62862885,0.8143144,0.6368302,0.8184151,0.66394544,0.8319727,0.7109639,0.855482,0.68032444,0.8401622,0.71209097,0.8560455,0.727156,0.86357796,0.7554875,0.8777437
2555,0.6869914,0.8434957,0.6893352,0.8446676,0.6280978,0.8140489,0.6293711,0.8146856,0.62746644,0.8137332,0.60634804,0.803174,0.5954741,0.79773706,0.6466192,0.8233096,0.63965946,0.8198297,0.60373557,0.8018678
2556,0.66936505,0.8346825,0.72625864,0.8631293,0.6739608,0.8369804,0.64889175,0.82444584,0.635748,0.817874,0.6362194,0.8181097,0.5780298,0.78901494,0.72106445,0.8605322,0.6789173,0.83945864,0.6378571,0.81892854
2577,0.76773953,0.88386977,0.758515,0.8792575,0.6920897,0.84604484,0.6622797,0.83113986,0.69230676,0.8461534,0.68412733,0.84206367,0.67139053,0.83569527,0.6994469,0.84972346,0.6733674,0.8366837,0.70290995,0.851455
2582,0.6376047,0.81880236,0.6406357,0.82031786,0.60673547,0.80336773,0.60396385,0.8019819,0.60594964,0.8029748,0.6173192,0.8086596,0.6265387,0.8132694,0.62389874,0.8119494,0.63418615,0.8170931,0.65869975,0.8293499
2583,0.67256045,0.8362802,0.7235138,0.8617569,0.683732,0.841866,0.64074326,0.8203716,0.64049387,0.82024693,0.6042057,0.80210286,0.6177288,0.8088644,0.65933824,0.8296691,0.6399989,0.81999946,0.62216645,0.8110832
