Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_doordash_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_doordash_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_apple_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_apple_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_samsara_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_samsara_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_yelp_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_yelp_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_match_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_match_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_i2c_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_i2c_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_adobe_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_adobe_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_amazon_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_amazon_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_rowan_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_rowan_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_google_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o_google_ux_Score
0,0.2750517,0.63752586,0.27262688,0.63631344,0.19633996,0.59817,0.32337368,0.66168684,0.2599072,0.6299536,0.34754583,0.67377293,0.3458947,0.67294735,0.30715817,0.6535791,0.42479146,0.7123957,0.3544612,0.6772306
1,0.010049354,0.5050247,-0.039787013,0.4801065,-0.029094344,0.48545283,0.03833513,0.51916754,-0.049363803,0.4753181,0.02242252,0.5112113,-0.016115898,0.49194205,0.0020862913,0.50104314,0.04322183,0.5216109,0.009508435,0.50475425
2,0.0859119,0.54295594,0.051778052,0.52588904,0.029128792,0.5145644,0.12790166,0.56395084,0.013235721,0.50661784,0.077549666,0.53877485,0.050226517,0.5251133,0.093212076,0.54660606,0.1288386,0.56441927,0.07939478,0.5396974
3,0.03194872,0.51597434,0.014661571,0.5073308,-0.0027963733,0.49860182,0.03509159,0.5175458,-0.0007568428,0.49962157,0.058552343,0.5292762,0.058864575,0.5294323,0.048065107,0.52403253,0.07504456,0.53752226,0.075550474,0.5377752
4,0.18717772,0.5935888,0.15788764,0.57894385,0.13942951,0.5697148,0.20270973,0.60135484,0.10512574,0.5525629,0.15413013,0.57706505,0.15014032,0.57507014,0.16564853,0.5828243,0.21226308,0.60613155,0.16233331,0.5811666
5,0.032911763,0.5164559,0.022877105,0.51143855,-0.009072897,0.49546355,0.057233043,0.52861655,-0.015654933,0.49217254,0.035549797,0.5177749,0.0196055,0.50980276,0.04363001,0.521815,0.08002271,0.54001135,0.048462264,0.52423114
6,0.11555937,0.55777967,0.108196974,0.5540985,0.071198456,0.53559923,0.16437656,0.58218825,0.07406042,0.5370302,0.12019412,0.56009704,0.13536753,0.56768376,0.14622343,0.5731117,0.18632942,0.5931647,0.13337046,0.5666852
7,0.12273848,0.56136924,0.1397709,0.56988543,0.059952084,0.52997607,0.16702837,0.5835142,0.10050147,0.5502507,0.11191396,0.55595696,0.13407996,0.56703997,0.13513269,0.56756634,0.16377506,0.58188754,0.14019951,0.5700998
8,0.085276365,0.5426382,0.065944366,0.53297216,0.022795975,0.51139796,0.118201554,0.55910075,0.043644246,0.5218221,0.09835829,0.54917914,0.07765627,0.53882813,0.08949013,0.5447451,0.11719927,0.55859965,0.10448619,0.5522431
9,0.18318194,0.591591,0.15379487,0.57689744,0.15190598,0.575953,0.22743618,0.6137181,0.109873615,0.5549368,0.18220356,0.59110177,0.12521945,0.56260973,0.17686717,0.58843356,0.20463882,0.6023194,0.1544886,0.5772443
10,0.054391544,0.52719575,0.00072460156,0.5003623,0.008745467,0.5043727,0.058398314,0.5291992,-0.027126022,0.486437,0.05900194,0.52950096,0.0072738994,0.50363696,0.047596943,0.52379847,0.0707429,0.5353714,0.04712262,0.5235613
11,0.025852788,0.5129264,0.0027823187,0.5013912,-0.01083531,0.49458236,0.09414955,0.5470748,-0.023907011,0.4880465,0.03410538,0.5170527,0.023894724,0.51194733,0.052904285,0.5264521,0.07288719,0.5364436,0.037052564,0.51852626
12,0.09803598,0.54901797,0.09637837,0.54818916,0.08622532,0.54311264,0.16454077,0.5822704,0.03444402,0.517222,0.06997091,0.5349855,0.046419345,0.5232097,0.115441605,0.5577208,0.11462799,0.557314,0.08887071,0.5444354
13,0.29168195,0.645841,0.2773573,0.63867867,0.24312437,0.6215622,0.30103916,0.6505196,0.2401604,0.62008023,0.28661385,0.6433069,0.29384446,0.64692223,0.2904902,0.6452451,0.3263872,0.6631936,0.30679667,0.65339833
14,0.07053773,0.53526884,0.02545105,0.51272553,0.02560668,0.5128033,0.062579274,0.53128964,-0.0011412133,0.4994294,0.07007357,0.5350368,0.03889349,0.51944673,0.0657092,0.5328546,0.090878054,0.545439,0.070565306,0.5352827
15,0.13206933,0.5660347,0.1540503,0.5770252,0.07598499,0.5379925,0.18445982,0.5922299,0.09327368,0.5466368,0.12753229,0.5637661,0.14360106,0.57180053,0.14202625,0.5710131,0.17743069,0.5887153,0.14557779,0.5727889
16,0.10250851,0.5512543,0.079809934,0.53990495,0.034357786,0.5171789,0.118692204,0.5593461,0.062123314,0.53106165,0.12403398,0.56201696,0.12027779,0.5601389,0.10895805,0.554479,0.1594606,0.5797303,0.13831738,0.5691587
17,0.270879,0.6354395,0.2956498,0.6478249,0.21470883,0.6073544,0.30934116,0.6546706,0.2432837,0.6216419,0.23343466,0.61671734,0.2923014,0.6461507,0.2866286,0.6433143,0.32780838,0.6639042,0.29989427,0.64994717
18,0.26045525,0.6302276,0.25430974,0.6271549,0.18948317,0.5947416,0.27691913,0.63845956,0.26744154,0.63372076,0.31216332,0.6560817,0.33013082,0.6650654,0.31693423,0.6584671,0.3392486,0.6696243,0.34830615,0.6741531
19,0.093759075,0.54687953,0.115410715,0.55770534,0.048916027,0.524458,0.14613578,0.5730679,0.06891827,0.5344591,0.125992,0.56299603,0.11207486,0.5560374,0.11171022,0.5558551,0.18763253,0.5938163,0.15895632,0.57947814
20,0.28050908,0.64025456,0.3033294,0.65166473,0.23501258,0.61750627,0.35369748,0.67684877,0.27142364,0.6357118,0.36039674,0.6801984,0.3589496,0.67947483,0.35694432,0.67847216,0.4363346,0.7181673,0.39808947,0.6990447
21,0.07062848,0.53531426,0.061874047,0.530937,0.048753586,0.5243768,0.12082657,0.5604133,0.019554455,0.50977725,0.06786806,0.53393406,0.07405121,0.53702563,0.08271931,0.54135966,0.14123344,0.5706167,0.083100006,0.54155
22,0.24954084,0.6247704,0.25587142,0.6279357,0.17571005,0.58785504,0.28240237,0.6412012,0.2465148,0.6232574,0.37970623,0.68985313,0.36610842,0.6830542,0.3306721,0.665336,0.37319607,0.68659806,0.3557309,0.67786545
23,0.14721163,0.57360584,0.1555265,0.57776326,0.10241738,0.5512087,0.21724644,0.6086232,0.12359986,0.56179994,0.18398088,0.5919905,0.19189638,0.5959482,0.21429016,0.6071451,0.24984273,0.6249214,0.21528143,0.60764074
24,0.1143356,0.55716777,0.0969699,0.5484849,0.067098856,0.5335494,0.15295616,0.57647806,0.06086167,0.53043085,0.09615974,0.54807985,0.13328566,0.5666428,0.11064169,0.55532086,0.17513394,0.587567,0.1288947,0.56444734
25,0.28882605,0.644413,0.2946977,0.6473489,0.20871937,0.6043597,0.2911073,0.64555365,0.2419473,0.62097365,0.31212416,0.65606207,0.30888626,0.65444314,0.31610775,0.6580539,0.3456449,0.6728225,0.33753145,0.6687657
26,0.13973401,0.569867,0.119819134,0.5599096,0.077191494,0.53859574,0.18550304,0.5927515,0.090804145,0.54540205,0.19322236,0.5966112,0.18152976,0.5907649,0.18052177,0.59026086,0.21547565,0.60773784,0.2155399,0.60776997
27,0.29160577,0.64580286,0.30703646,0.6535182,0.26401788,0.6320089,0.3020404,0.65102017,0.27901304,0.6395065,0.40992612,0.7049631,0.3938193,0.69690967,0.36818144,0.68409073,0.4523462,0.7261731,0.4410403,0.72052014
28,0.030158654,0.5150793,0.03334648,0.51667327,-0.0051170327,0.49744147,0.08576839,0.5428842,-0.025466984,0.4872665,0.025071627,0.5125358,0.028569408,0.51428473,0.03805359,0.5190268,0.09989035,0.5499452,0.041222204,0.5206111
29,0.013473582,0.5067368,-0.011358809,0.4943206,-0.053043693,0.47347814,0.011662551,0.5058313,-0.037958164,0.48102093,0.018689595,0.5093448,0.014824428,0.5074122,0.014545096,0.50727254,0.062813975,0.531407,0.013015174,0.5065076
30,0.042756394,0.5213782,0.034004353,0.51700217,0.023632541,0.51181626,0.09617072,0.54808533,0.0057548955,0.5028775,0.07093489,0.53546745,0.05331065,0.5266553,0.08480269,0.5424013,0.12726672,0.5636334,0.07427874,0.53713936
