,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Score
6018,0.6875076,0.8437538,0.67567086,0.83783543,0.6192257,0.8096129,0.6472852,0.8236426,0.71281564,0.8564078,0.77734035,0.8886702,0.7311677,0.86558384,0.7934972,0.8967486,0.7571745,0.87858725,0.7845012,0.8922506
6021,0.6751163,0.83755815,0.5986012,0.7993006,0.58900154,0.79450077,0.6037071,0.80185354,0.6058458,0.8029229,0.708933,0.8544665,0.61740243,0.8087012,0.666776,0.833388,0.6879854,0.8439927,0.69182336,0.8459117
6026,0.64817953,0.82408977,0.65055,0.825275,0.55381703,0.7769085,0.6068891,0.80344456,0.69538367,0.84769183,0.76154697,0.8807735,0.7404574,0.8702287,0.7563235,0.8781618,0.70898145,0.85449076,0.7654973,0.88274866
9479,0.6604922,0.8302461,0.62379503,0.8118975,0.54203117,0.7710156,0.58688605,0.793443,0.6674965,0.8337482,0.75724685,0.8786234,0.718136,0.85906804,0.74191654,0.87095827,0.7300794,0.8650397,0.77738094,0.8886905
16980,0.7074797,0.85373986,0.7502848,0.8751424,0.6701802,0.8350901,0.71586025,0.8579301,0.7234502,0.8617251,0.7084397,0.85421985,0.7278852,0.8639426,0.7512598,0.8756299,0.76837933,0.88418967,0.7413691,0.87068456
17014,0.4737668,0.7368834,0.6017631,0.80088156,0.5012045,0.75060225,0.52968657,0.7648433,0.551036,0.775518,0.45490566,0.7274528,0.5416098,0.7708049,0.5573329,0.77866644,0.63137984,0.8156899,0.5954133,0.79770666
18230,0.71141076,0.8557054,0.6957774,0.8478887,0.59044623,0.7952231,0.63345957,0.8167298,0.7229887,0.86149436,0.78970057,0.89485025,0.75320303,0.8766015,0.7844529,0.89222646,0.7335012,0.8667506,0.7869102,0.8934551
18348,0.65366447,0.82683223,0.680588,0.840294,0.5849089,0.7924545,0.61559564,0.8077978,0.69012886,0.8450644,0.7876607,0.89383036,0.7418256,0.8709128,0.79246366,0.89623183,0.79383385,0.8969169,0.8271751,0.91358757
26715,0.7033752,0.8516876,0.68696094,0.84348047,0.5918095,0.79590476,0.6415374,0.8207687,0.73795974,0.8689799,0.7419038,0.8709519,0.74229205,0.871146,0.7555312,0.8777656,0.7513167,0.8756584,0.7559018,0.8779509
26747,0.7879472,0.8939736,0.7213936,0.8606968,0.6746745,0.83733726,0.6709702,0.8354851,0.786209,0.8931045,0.85391474,0.92695737,0.7660081,0.88300407,0.835991,0.9179955,0.76757705,0.8837885,0.84210145,0.9210507
29788,0.5446081,0.77230406,0.5615058,0.7807529,0.47208774,0.7360439,0.5183754,0.7591877,0.5857199,0.7928599,0.64050436,0.8202522,0.65733707,0.82866853,0.62286687,0.81143343,0.6508784,0.8254392,0.67961717,0.8398086
29835,0.6528264,0.8264132,0.65294254,0.82647127,0.53551364,0.7677568,0.575888,0.78794396,0.6635248,0.83176243,0.7739481,0.88697404,0.7568858,0.8784429,0.7523277,0.87616384,0.75752395,0.878762,0.7917261,0.89586306
30606,0.68223774,0.8411189,0.58006847,0.79003423,0.5588918,0.7794459,0.58200943,0.7910047,0.6552564,0.8276282,0.8069623,0.9034811,0.66182214,0.83091104,0.7337387,0.86686933,0.7164494,0.8582247,0.75611806,0.878059
