index,CV DoorDash Score
1,79.952
2,84.974
3,78.897
4,80.338
5,82.277
6,81.84
7,81.998
8,81.376
9,81.792
10,80.283
11,84.477
12,81.139
13,81.264
14,84.188
15,81.123
16,82.742
17,81.297
18,80.565
19,81.222
20,80.607
21,78.518
22,80.961
23,81.101
24,81.87
25,79.725
26,83.663
27,79.466
28,82.807
29,77.45
30,81.631
31,83.868
32,81.385
33,82.728
34,80.249
35,82.634
36,81.63
37,80.996
38,79.95
39,82.649
40,78.466
41,79.906
42,78.848
43,82.068
44,82.104
45,81.655
46,82.649
47,80.468
48,81.925
49,83.869
50,80.87
51,79.249
52,82.747
53,79.909
54,81.386
55,81.395
56,81.192
57,81.868
58,80.454
59,84.326
60,80.377
61,81.691
62,81.744
63,81.256
64,82.106
65,82.198
66,81.185
67,84.199
68,83.246
69,82.764
70,80.964
71,81.157
72,80.569
73,79.648
74,81.349
75,80.605
76,83.188
77,79.225
78,79.802
79,82.204
80,81.458
81,82.09
82,83.663
83,83.411
84,85.123
85,80.871
86,80.25
87,80.416
88,82.465
89,82.786
90,79.553
91,81.584
92,81.093
93,82.106
94,79.476
95,82.326
96,83.568
97,79.559
98,80.587
99,80.488
100,83.117
101,83.865
102,80.395
103,82.778
104,83.072
105,80.184
106,80.966
107,84.034
108,83.817
109,83.206
110,83.286
111,82.0
112,80.782
113,81.228
114,81.319
115,84.652
116,82.452
117,80.006
118,82.72
119,81.867
120,82.569
121,82.335
122,81.03
123,80.357
124,82.646
125,83.884
126,81.79
127,79.733
128,81.791
129,82.071
130,81.465
131,78.924
132,81.485
133,82.364
134,82.218
135,81.841
136,79.504
137,84.673
138,83.696
139,84.104
140,81.975
141,80.005
142,83.199
143,83.643
144,82.481
145,80.157
146,83.096
147,79.146
148,84.025
149,79.069
150,82.737
151,80.573
152,82.76
153,82.256
154,86.182
155,82.858
156,82.296
157,81.746
158,82.916
159,84.256
160,83.029
161,81.555
162,83.281
163,81.133
164,81.189
165,79.75
166,81.353
167,79.882
168,81.918
169,80.595
170,80.154
171,81.985
172,80.972
173,79.699
174,80.966
175,80.857
176,80.844
177,82.501
178,80.938
179,80.67
180,81.013
181,81.797
182,81.672
183,81.878
184,81.54
185,82.28
186,83.528
187,81.414
188,84.247
189,82.51
190,80.59
191,83.393
192,82.987
193,83.22
194,83.091
195,83.95
196,81.955
197,81.792
198,83.166
199,83.953
200,79.294
201,81.657
202,82.831
203,80.644
204,80.623
205,81.497
206,84.38
207,85.186
208,82.639
209,80.588
210,82.429
211,82.606
212,83.357
213,83.24
214,83.873
215,82.867
216,81.447
217,82.285
218,83.004
219,83.022
220,82.58
221,81.423
222,81.285
223,81.675
224,82.292
225,80.963
226,79.789
227,82.329
228,81.789
229,83.174
230,83.861
231,81.519
232,83.057
233,79.999
234,82.228
235,79.608
236,79.287
237,79.764
238,82.276
239,82.586
240,76.171
241,80.608
242,80.536
243,80.836
244,81.783
245,79.756
246,80.56
247,79.978
248,79.878
249,79.187
250,82.265
251,84.151
252,82.052
253,82.626
254,80.318
255,79.609
256,80.449
257,81.223
258,81.453
259,83.655
260,78.761
261,84.697
262,84.263
263,84.452
264,81.291
265,85.392
266,84.744
267,82.381
268,79.646
269,83.931
270,81.915
271,83.65
272,81.912
273,84.526
274,82.595
275,81.641
276,81.772
277,83.156
278,82.108
279,82.958
280,82.428
281,83.442
282,83.853
283,84.727
284,84.16
285,82.019
286,82.735
287,84.774
288,79.866
289,82.392
290,83.079
291,82.439
292,82.683
293,81.618
294,84.304
295,84.006
296,83.638
297,83.066
298,84.024
299,83.645
300,84.2
301,83.173
302,81.402
303,84.164
304,84.62
305,84.791
306,84.281
307,85.279
308,84.178
309,83.708
310,85.171
311,81.908
312,82.91
313,82.64
314,83.091
315,83.047
316,80.426
317,83.296
318,82.109
319,84.156
320,81.783
321,84.039
322,80.459
323,82.832
324,82.926
325,82.046
326,83.08
327,82.845
328,82.783
329,82.186
330,83.686
331,83.79
332,81.899
333,82.549
334,82.655
335,83.767
336,83.262
337,79.035
338,82.056
339,84.962
340,81.819
341,81.342
342,83.542
343,80.576
344,74.067
345,80.633
346,80.807
347,83.504
348,82.6
349,85.521
350,83.411
351,79.978
352,82.565
353,83.678
354,82.194
355,82.168
356,80.542
357,83.423
358,81.598
359,83.772
360,85.245
361,80.821
362,84.64
363,79.753
364,83.013
365,83.131
366,80.957
367,82.128
368,82.516
369,80.789
370,80.127
371,84.731
372,84.019
373,82.022
374,82.173
375,82.05
376,81.72
377,82.326
378,83.755
379,83.915
380,80.272
381,82.864
382,82.231
383,82.642
384,84.077
385,85.678
386,83.393
387,80.751
388,77.766
389,80.911
390,80.998
391,82.716
392,80.54
393,83.61
394,82.738
395,83.189
396,84.005
397,84.417
398,83.144
399,84.785
400,82.704
401,81.666
