Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o Google Score
0,84.726
1,89.504
2,85.848
3,84.822
4,81.353
5,85.813
6,86.386
7,89.099
8,86.824
9,82.296
10,88.723
11,81.895
12,86.045
13,87.163
14,84.453
15,89.352
16,87.053
17,84.433
18,86.661
19,84.869
20,83.914
21,82.928
22,88.339
23,87.704
24,83.199
25,90.288
26,82.194
27,88.525
28,84.885
29,84.822
30,88.273
31,86.4
32,88.595
33,86.118
34,88.704
35,86.939
36,86.204
37,87.358
38,87.461
39,84.8
40,87.658
41,84.106
42,84.973
43,87.513
44,85.927
45,88.408
46,88.901
47,89.256
48,87.188
49,85.443
50,86.656
51,87.719
52,86.45
53,89.032
54,85.201
55,88.61
56,86.746
57,86.386
58,88.344
59,86.058
60,88.308
61,87.382
62,86.193
63,88.01
64,87.702
65,86.432
66,87.388
67,84.927
68,89.966
69,87.111
70,82.69
71,85.836
72,85.026
73,85.945
74,88.604
75,87.054
76,87.336
77,85.893
78,88.848
79,86.92
80,86.256
81,86.807
82,86.684
83,90.793
84,84.757
85,85.332
86,83.6
87,86.939
88,88.052
89,84.876
90,84.766
91,88.609
92,86.644
93,83.241
94,87.977
95,87.459
96,86.178
97,87.208
98,85.91
99,87.481
100,89.112
101,83.398
102,88.386
103,87.679
104,89.127
105,85.87
106,87.563
107,83.732
108,89.367
109,88.464
110,88.435
111,82.863
112,84.187
113,84.965
114,87.825
115,87.594
116,88.81
117,87.337
118,88.08
119,88.519
120,89.399
121,85.888
122,83.915
123,88.197
124,87.379
125,89.206
126,89.096
127,86.662
128,83.255
129,85.024
130,88.104
131,88.585
132,88.447
133,85.427
134,85.042
135,86.544
136,87.304
137,87.718
138,87.783
139,86.847
140,86.254
141,87.746
142,87.4
143,86.866
144,84.16
145,86.567
146,83.68
147,86.195
148,88.142
149,84.678
150,88.085
151,87.104
152,85.682
153,87.295
154,86.309
155,86.266
156,86.522
157,86.972
158,86.033
159,86.548
160,87.516
161,86.326
162,87.992
163,85.852
164,89.155
165,89.038
166,87.369
167,86.27
168,84.791
169,81.762
170,83.824
171,83.511
172,83.819
173,87.063
174,86.653
175,87.286
176,87.606
177,83.227
178,85.166
179,86.313
180,85.605
181,83.554
182,81.732
183,84.862
184,87.487
185,88.094
186,86.281
187,87.843
188,83.961
189,84.728
190,84.001
191,84.992
192,85.57
193,87.546
194,86.952
195,87.435
196,87.152
197,87.898
198,88.043
199,83.593
200,83.498
201,87.548
202,87.158
203,87.192
204,87.836
205,88.388
206,87.831
207,88.606
208,85.659
209,86.427
210,86.971
211,86.587
212,88.509
213,88.793
214,86.56
215,85.893
216,88.21
217,87.058
218,88.569
219,88.071
220,82.924
221,86.588
222,84.258
223,85.007
224,85.107
225,87.068
226,85.335
227,86.242
228,84.255
229,89.544
230,86.918
231,85.555
232,86.779
233,85.996
234,85.366
235,83.62
236,84.789
237,87.661
238,85.585
239,82.156
240,87.004
241,87.507
242,88.688
243,86.179
244,87.031
245,86.709
246,87.596
247,87.269
248,85.62
249,86.396
250,88.125
251,87.068
252,86.751
253,85.256
254,85.889
255,86.216
256,87.398
257,87.252
258,87.564
259,86.769
0,87.704
1,85.397
2,85.131
3,83.916
4,87.407
5,85.072
6,83.317
7,82.689
8,84.373
9,84.55
10,86.145
11,82.371
12,86.339
13,82.658
14,84.217
15,83.296
16,86.835
17,85.477
18,83.575
19,85.87
20,84.134
21,87.64
22,87.283
23,86.193
24,84.135
25,84.807
26,88.822
27,80.823
28,86.831
29,83.789
30,85.72
31,83.012
32,87.293
33,85.63
34,84.652
35,82.927
36,85.136
37,86.047
38,86.651
39,86.411
40,85.892
41,82.254
42,86.047
43,86.458
44,87.322
45,85.345
46,86.466
47,86.673
48,84.931
49,85.579
50,82.75
51,85.867
52,83.489
53,79.935
54,85.575
55,83.376
56,84.614
57,84.277
58,84.765
59,82.554
60,83.322
61,83.056
62,84.568
63,85.521
64,82.261
65,84.788
66,87.122
67,83.818
68,84.572
69,84.262
70,85.89
71,83.268
72,84.431
73,83.313
74,84.427
75,84.164
76,80.674
77,79.091
78,85.3
79,84.538
80,82.863
81,85.689
82,83.952
83,80.044
84,82.406
85,84.306
86,85.069
87,83.963
88,81.74
89,86.24
90,76.69
91,83.943
92,80.166
93,83.752
94,83.004
95,82.419
96,84.794
97,85.247
98,83.844
99,84.611
100,79.21
101,86.963
102,81.83
103,82.897
104,84.848
105,83.194
106,83.2
107,85.339
108,82.994
109,83.473
110,85.039
111,85.315
112,83.391
113,83.842
114,84.795
115,80.552
116,83.13
117,82.679
118,84.676
119,85.457
120,82.135
121,82.996
122,82.278
123,84.775
124,88.379
125,84.25
126,83.43
127,82.292
128,85.51
129,83.486
130,84.875
131,81.155
132,83.92
133,81.926
134,82.821
135,85.431
136,85.947
137,84.147
138,85.067
139,86.687
140,84.703
141,80.268
142,84.621
143,86.631
144,84.876
145,83.298
146,84.531
147,84.337
148,83.48
149,79.766
150,83.766
151,85.279
152,85.631
153,86.167
154,85.146
155,85.131
156,83.766
157,85.336
158,85.182
159,85.702
160,83.565
161,84.625
162,83.419
163,85.873
164,84.067
165,83.229
166,86.355
167,84.848
168,86.855
169,84.771
170,85.136
171,85.879
172,80.25
173,84.75
174,84.034
175,82.848
176,85.478
177,83.026
178,85.234
179,84.233
180,85.113
181,85.453
182,86.041
183,85.241
184,82.721
185,80.664
186,85.573
187,86.271
188,82.824
189,85.186
190,84.518
191,86.009
192,84.514
193,86.132
194,82.777
195,85.736
196,85.358
197,83.593
198,82.618
199,86.03
200,84.416
201,85.727
202,83.593
203,83.833
204,82.265
205,84.409
206,87.69
207,85.166
208,84.032
209,84.622
210,84.12
211,83.242
212,82.792
213,85.761
214,84.765
215,85.25
216,84.037
217,85.277
218,84.664
219,81.552
220,83.496
221,85.475
222,83.793
223,84.51
224,85.837
225,83.088
226,86.096
227,82.304
228,84.281
229,81.631
230,84.968
231,83.395
232,85.235
233,85.952
234,81.656
235,79.325
236,84.183
237,85.861
238,82.579
239,82.221
240,84.579
241,84.753
242,84.51
243,78.072
244,81.17
245,82.373
246,82.733
247,82.395
248,81.219
249,84.736
250,85.623
251,85.521
252,86.411
253,81.578
254,84.794
255,84.078
256,85.048
257,85.544
258,84.287
259,85.691
