index,CV Google Score
1,84.851
2,89.225
3,84.039
4,84.505
5,87.694
6,85.216
7,86.946
8,86.944
9,86.937
10,84.018
11,87.47
12,82.824
13,85.654
14,87.033
15,85.885
16,88.959
17,87.104
18,83.973
19,85.603
20,85.506
21,85.283
22,85.524
23,86.928
24,87.299
25,83.16
26,89.303
27,83.146
28,88.021
29,81.372
30,84.338
31,88.182
32,85.934
33,87.212
34,83.633
35,88.398
36,86.736
37,84.893
38,86.939
39,88.326
40,84.841
41,86.432
42,84.081
43,85.021
44,86.533
45,86.081
46,88.626
47,85.798
48,88.454
49,87.995
50,85.991
51,85.161
52,87.169
53,83.995
54,86.955
55,85.567
56,86.531
57,87.098
58,85.371
59,87.082
60,85.863
61,88.373
62,86.127
63,85.573
64,87.246
65,88.471
66,85.717
67,87.068
68,84.588
69,88.038
70,86.703
71,82.536
72,84.219
73,85.377
74,86.096
75,87.251
76,87.638
77,85.872
78,85.594
79,85.506
80,86.742
81,86.406
82,86.153
83,87.305
84,90.309
85,84.848
86,85.125
87,85.5
88,87.097
89,88.122
90,83.153
91,84.626
92,86.532
93,86.913
94,84.608
95,87.936
96,86.226
97,86.159
98,86.654
99,85.986
100,88.319
101,89.484
102,82.904
103,87.58
104,87.732
105,85.32
106,86.021
107,88.534
108,84.992
109,88.559
110,88.725
111,87.936
112,82.341
113,84.205
114,84.625
115,88.505
116,87.645
117,84.573
118,87.134
119,87.905
120,88.756
121,89.243
122,85.547
123,83.946
124,86.663
125,87.794
126,86.992
127,84.806
128,86.157
129,83.654
130,84.698
131,84.727
132,87.341
133,87.372
134,86.596
135,85.442
136,84.665
137,87.356
138,87.222
139,88.184
140,86.468
141,84.668
142,86.672
143,86.908
144,87.678
145,84.376
146,86.166
147,82.657
148,86.923
149,82.77
150,85.727
151,85.212
152,85.836
153,85.667
154,88.245
155,87.021
156,86.083
157,86.789
158,87.43
159,87.528
160,85.108
161,87.019
162,86.489
163,86.752
164,85.032
165,86.886
166,87.404
167,85.646
168,85.936
169,83.233
170,84.313
171,87.203
172,84.924
173,84.097
174,86.13
175,86.252
176,87.031
177,87.606
178,86.42
179,86.534
180,85.345
181,84.973
182,84.016
183,86.599
184,87.587
185,87.273
186,86.482
187,85.655
188,87.205
189,83.718
190,85.761
191,87.081
192,87.049
193,85.947
194,87.271
195,86.952
196,87.259
197,86.274
198,86.849
199,88.391
200,82.913
201,86.826
202,85.517
203,85.278
204,87.0
205,87.105
206,88.136
207,88.12
208,88.451
209,85.726
210,86.419
211,84.618
212,85.735
213,88.853
214,88.939
215,86.075
216,85.515
217,87.241
218,87.076
219,88.695
220,87.478
221,85.195
222,85.919
223,82.349
224,84.816
225,84.963
226,84.493
227,86.3
228,86.848
229,84.23
230,89.288
231,87.269
232,87.483
233,85.261
234,85.879
235,82.896
236,84.163
237,84.261
238,87.386
239,86.278
240,81.542
241,86.616
242,86.51
243,86.356
244,85.96
245,86.54
246,86.275
247,85.633
248,86.104
249,84.071
250,86.748
251,89.314
252,86.725
253,85.891
254,85.313
255,85.772
256,85.533
257,87.0
258,84.65
259,88.16
260,82.615
261,87.532
262,85.399
263,84.991
264,81.9
265,88.353
266,85.843
267,83.659
268,81.54
269,85.031
270,83.575
271,86.609
272,83.089
273,86.055
274,83.3
275,83.078
276,83.22
277,85.354
278,84.329
279,84.028
280,84.415
281,84.23
282,86.752
283,86.728
284,86.202
285,83.858
286,85.068
287,88.705
288,83.726
289,86.303
290,84.029
291,85.887
292,83.042
293,83.585
294,85.73
295,85.416
296,82.666
297,83.402
298,85.924
299,86.016
300,85.483
301,85.582
302,83.506
303,85.923
304,86.366
305,87.515
306,84.988
307,86.647
308,85.901
309,84.981
310,84.605
311,82.694
312,85.894
313,82.231
314,84.079
315,85.566
316,81.985
317,84.915
318,82.445
319,84.023
320,82.528
321,83.813
322,82.713
323,84.096
324,83.844
325,80.364
326,85.546
327,86.122
328,83.034
329,84.2
330,84.636
331,85.342
332,83.007
333,84.39
334,83.063
335,84.868
336,83.824
