Unnamed: 0,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini
0,"2D artist, Sketcher at Templatemonster.com  
2005 — December 2011  
Розробка іконок до сайтів. Скетчі для 3D моделей.  

2D-artist, Арт-лідер at Slotopaint.com, Миколаїв  
December 2017 — 2022  
Cтворення символів, інтерфейсів, попапів та інших елементів для casual games, slots, UI\UX games, різновидних стратегій, puzzles, карточних ігор, рулеток. Арт-лідер відділу художників.  

Відданий своїй справі ілюстратор. Працьовитий, прискіпливий та відповідальний. Працюю на графічному планшеті. Добре розумію, що таке композиція, перспектива, об'єм та ізометрія. Маю художню освіту. Здатний ефективно співпрацювати в команді.  
Графічний дизайн."
1,"Привіт! Я одержима якісним дизайном людина і ось кілька важливих тез про мене:

- Успішна співпраця з великими брендами, а саме: розробка та запуск рекламних кампаній для них, створення кей-віжуалів, повний супровід запуску продуктів та присвячених цьому івентів. Проведено 3 таких масштабних івенти (на 500+ учасників).
- Створення власної дизайн+маркетинг агенції (три роки активної роботи, зараз її діяльність на паузі).
- Аутсорс-траблшутінг дизайну в компаніях: вирішення наявних проблем з продуктом за рахунок точкових змін в дизайні та дизайн-процесах.
- Вирощено кілька дизайн-команд та навчено до рівня middle близько 6 починаючих дизайнерів.
- 4 роки на посаді арт-директора, 12 років в дизайні та IT вцілому.
- Управляю дизайн-командами, тісно співпрацюю з розробниками, клієнтами та власниками продукту. Навчаю дизайнерів-початківців, ділюся своїм досвідом та допомагаю їм рости.
- Повний цикл дизайну продукту: від ідеї до втілення. Дослідження, прототипування, перевірка гіпотез, контроль якості.
- Люблю і вмію робити дизайн зрозумілим, ефективним та problem-solving.
- Кілька успішних проєктів в фінтех та крипто, є досвід проектування складних платформ.
- Також багатий досвід роботи зі стартапами (переважно B2B, B2C), усі вони вдало зарелізилися та мали високі показники залучення.
- Розумію принципи роботи HTML, CSS і JavaScript.
- Працюю з різноманітними дизайн-задачами: брендинг та упаковка, створення маркетингових та рекламних матеріалів, landing pages, інтерфейс-кіти тощо.
- UX-writing, типографіка та робота з поліграфією - мої guilty pleasures.
- Орієнтуюсь у першу чергу на дизайн-мислення та вдалі стилістичні рішення. Добре розуміюся на художніх підходах, розумію тренди, часом задаю свої.

Плюсом буде, якщо ви продуктова компанія з соціально-відповідальним підходом до бізнесу."
2,"Понад два роки працювала в Africa studio на позиції ретушера. Вирішила змінити напрямок і пройти курс з UI/UX дизайну для ігрових інтерфейсів, оскільки прагну розвиватися та покращувати свої навички."
3,"Робота в проекті ""Бізнес Інженерія""  
Навчання у школах по дизайну, розробка лого та створення гарних робіт.  
Робота з людьми. Подобається, коли вони у захваті від моєї роботи.  
Працювала над проектом ""Бізнес Інженерія"".  
Розробка лого, банеру, інфографіки.  

Для клієнтів виконувала дизайн візиток, логотипів, сертифікатів.  

Малюю як на папері, так і в діджитал.  
Використовую Adobe Illustrator.  
Професійно фотографую.  
Розвиваюсь в різних напрямках. Готова ризикувати та братися за різні проекти."
4,"2014-2016 фріланс  
2016 - по теперішній час дизайнер в Stan Agency  

Мій досвід роботи в дизайні 8 років. Працюю в програмах Adobe Photoshop, Adobe Illustrator, Figma на високому рівні. Маю досвід в розробці логотипів, брендінгу та упаковки продуктів. Також розробляю веб-кейси для сайту, рекламні банери тощо. Маю бажання попрацювати в сфері UI/UX Design.  

Навички:  
- Створення та розробка логотипів та брендингу.  
- Дослідження та аналіз ринку.  
- Розробка упаковки різної складності.  
- Дизайн, додрукарська підготовка та верстка друкованої продукції.  
- Впевнене володіння пакетом Adobe Photoshop, Adobe Illustrator, Figma.  
- Глибоке знання пакетів Microsoft: Word, Excel, Power Point.  
- Базові навички векторної ілюстрації, авторської типографіки.  
- Високо мотивована самостійна особистість.  "
5,"Я відкрив з нуля відділ дизайну в компанії.

Всім привіт!  
Мене звати Олександр, я з міста Івано-Франківськ.  
Маю вищу освіту графічного дизайнера, працював у рекламній компанії більше трьох років, відкрив у середині компанії відділ графічного дизайну.  
Маю великий досвід довготривалих проектів, комунікабельний, вмію працювати з командою, до роботи ставлюсь відповідально, оскільки це моє обличчя. Стараюсь ніколи не стояти на місці і завжди розвиватись у сфері дизайну!  
Дякую!  
Гарного дня!  
Мені найголовніше це довготривалий розвиток у вибраній професії, також я не відмовляюсь від одиничних замовлень, оскільки вони підвищують скіли дизайнера, і в свою чергу, я пропоную якісно виконану роботу!"
6,"Маю досвід в поліграфії, вільно володію графічними програмами Adobe, маю навички верстки і дизайну макетів для друку, додрукарської підготовки. В 2019 році закінчила курси веб-дизайну (UX/UI). Бажано віддалена робота. Хотіла б потрапити до досвідченої команди, яка допоможе розвиватись у цій сфері."
7,"Привіт. Шукаю роботу пов'язану з UI/UX дизайном та анімацією. Декілька років працював у сфері графічного дизайну (в тому числі за кордоном). Виконував проекти починаючи з візитівок, каталогів, брендбуків та закінчуючи створенням сайтів і деяких додатків (Photoshop, Illustrator, InDesign тощо). З часом прийшов до висновку, що UI/UX дизайн - це моя улюблена, найкрутіша і найперспективніша галузь у дизайні. Хочу розвиватись і вчитись виключно у цьому напрямку. На даний момент удосконалюю свої навички у Figma, вчу англійську мову, роблю прототипи і потроху вивчаю анімацію. Дякую за увагу."
8,"Вища художня освіта (НАОМА, графічний дизайн). Маю досвід роботи ілюстратором, графічним дизайнером та веб-дизайнером в рекламному агентстві. Займаюсь розробкою сайтів, мобільних додатків, інфографікою, брендингом. Хочу розвиватись у сфері UI/UX дизайну та розробці мобільних додатків. Цікавить професійне зростання та вивчення нових технологій. Хочу працювати в команді, не готова бути єдиним дизайнером на проекті. Шукаю компанію з налагодженими процесами."
9,"10-11.2021 - E-Commerce:  
Розробка дизайну та функціональності десктопної версії та адаптивної мобільної версії. Клікальний прототип. Створення дизайн-системи в Figma.

11.2021-01.2022 - Розробка медичної мобільної програми:  
Дослідження та порівняння конкурентів клієнта.  
Розробка персонажів користувачів та User Flow.  
Low Fidelity / High Fidelity Wireframes.  
Клікальний прототип.

01.2022-03.2022 - Мобільний додаток інтернет-магазину:  
Створення персонажів та User Flow.  
Low Fidelity / High Fidelity Wireframes.  
Клікальний прототип. Анімація за допомогою Jitter.

05.2022-06.2022 - Дашборд для приватної клініки:  
Створення таблиць та діаграм для статистики та даних приватної клініки.  
Розробка персонажа, Low Fidelity Wireframes та клікального прототипу.

06.2022 - 02.2023 - Веб-дизайнер. Фріланс:  
Створення дизайнів та редизайн лендінгів, підготовка графічних матеріалів для вебсайтів (обробка фото).  
Розробка концепцій та пошук рекомендацій для клієнта.  
Дизайн Saas додатків та дашбордів.

02.2023 - тепер - Продуктовий дизайнер. Reshape:  
Створення інтерфейсу (віджети, іконки, дерево перегляду, дизайн-система).  
Розробка мобільних додатків, інтернет-магазинів, лендінгів, saas."
