,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o
0,"2D Artist, Sketcher at Templatemonster.com  
2005 — December 2011  
Розробка іконок для сайтів. Скетчі для 3D моделей.

2D Artist, Арт-лідер at Slotopaint.com, Миколаїв  
December 2017 — 2022  
Створення символів, інтерфейсів, попапів та інших елементів для casual games, slots, UI/UX games, різновидних стратегій, puzzles, карточних ігор, рулеток. Арт-лідер відділу художників.

Відданий ілюстратор з художньою освітою. Працьовитий, прискіпливий та відповідальний. Працюю на графічному планшеті. Добре розумію композицію, перспективу, об'єм та ізометрію (особливо люблю ізометричні об'єкти). Здатний ефективно співпрацювати в команді."
1,"Успішна співпраця з великими брендами, включаючи розробку та запуск рекламних кампаній, створення кей-віжуалів, повний супровід запуску продуктів та івентів. Проведено три масштабні івенти (на 500+ учасників).

Засновник дизайн+маркетинг агенції з трирічним досвідом активної роботи (діяльність наразі на паузі).

Аутсорс-траблшутінг дизайну: вирішення проблем з продуктом через точкові зміни в дизайні та процесах.

Вирощено кілька дизайн-команд, навчено до рівня middle близько шести починаючих дизайнерів.

4 роки на посаді арт-директора, 12 років в дизайні та IT загалом.

Управління дизайн-командами, співпраця з розробниками, клієнтами та власниками продукту. Навчання дизайнерів-початківців, обмін досвідом та підтримка їхнього розвитку.

Повний цикл дизайну продукту: від ідеї до втілення, включаючи дослідження, прототипування, перевірку гіпотез, контроль якості.

Створення зрозумілого, ефективного та problem-solving дизайну.

Успішні проєкти в фінтех та крипто, досвід проектування складних платформ.

Досвід роботи зі стартапами (B2B, B2C), всі вдало зарелізилися з високими показниками залучення.

Розуміння принципів роботи HTML, CSS і JavaScript.

Робота з різноманітними дизайн-задачами: брендинг, упаковка, маркетингові та рекламні матеріали, landing pages, інтерфейс-кіти.

UX-writing, типографіка та робота з поліграфією.

Орієнтація на дизайн-мислення та вдалі стилістичні рішення, розуміння художніх підходів, трендів, іноді задавання власних.

Перевага для продуктових компаній з соціально-відповідальним підходом до бізнесу."
2,"Професійний досвід

Ретушер, Africa Studio
- Працювала понад два роки, виконуючи ретушування зображень та забезпечуючи високу якість кінцевого продукту.

Освіта та розвиток

Курс з UI/UX дизайну для ігрових інтерфейсів
- Вирішила змінити напрямок кар'єри, щоб розвивати та покращувати свої навички у сфері дизайну."
3,"Робота в проекті ""Бізнес Інженерія"". 

Навчання у школах по дизайну, розробка логотипів та створення якісних робіт. 

Розробка логотипів, банерів, інфографіки. 

Дизайн візитівок, логотипів, сертифікатів для клієнтів. 

Малювання на папері та в цифровому форматі. Використання Adobe Illustrator. 

Професійна фотографія. 

Розвиток у різних напрямках, готовність ризикувати та братися за різні проекти."
4,"2014-2016 Freelance Designer  
2016 - Present Designer at Stan Agency  

With 8 years of experience in design, I am proficient in Adobe Photoshop, Adobe Illustrator, and Figma. I specialize in logo creation, branding, and product packaging. Additionally, I develop web cases for websites and advertising banners. I am eager to expand my expertise in UI/UX Design.

Skills:
- Logo and branding creation and development
- Market research and analysis
- Packaging design of varying complexity
- Design, pre-press preparation, and layout of printed materials
- Proficient in Adobe Photoshop, Adobe Illustrator, Figma
- Strong knowledge of Microsoft Word, Excel, PowerPoint
- Basic skills in vector illustration and custom typography
- Highly motivated and independent professional."
5,"Олександр

Місто: Івано-Франківськ

Освіта:
- Вища освіта графічного дизайнера

Досвід роботи:
- Понад три роки роботи в рекламній компанії
- Заснував відділ графічного дизайну в компанії

Навички:
- Великий досвід у довготривалих проектах
- Комунікабельність
- Вміння працювати в команді
- Відповідальність у роботі
- Постійний розвиток у сфері дизайну

Професійні цінності:
- Орієнтація на довготривалий розвиток у професії
- Відкритість до одиночних замовлень для підвищення навичок
- Якісне виконання роботи

Контактна інформація:
[Ваші контактні дані]."
6,"Досвідчена в поліграфії, вільно володію графічними програмами Adobe, маю навички верстки та дизайну макетів для друку, додрукарської підготовки. Закінчила курси веб-дизайну (UX/UI) у 2019 році. Шукаю віддалену роботу, прагну приєднатися до досвідченої команди для розвитку в сфері веб-дизайну."
7,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваше місто, країна]

Мета:
Шукаю роботу в сфері UI/UX дизайну та анімації, щоб розвиватися і навчатися в цьому напрямку.

Досвід роботи:
- Кілька років досвіду у сфері графічного дизайну, включаючи міжнародний досвід.
- Виконання проектів: візитівки, каталоги, брендбуки, створення сайтів і додатків.
- Працював з програмами: Photoshop, Illustrator, InDesign.

Навички:
- UI/UX дизайн
- Графічний дизайн
- Прототипування у Figma
- Основи анімації

Освіта:
- [Ваша освіта, якщо є]

Додаткові відомості:
- Вивчаю англійську мову
- Мотивований розвиватися в UI/UX дизайні

Дякую за увагу."
8,"Освіта: Вища художня (НАОМА, спеціальність: графічний дизайн).

Досвід роботи:
- Ілюстратор, графічний дизайнер, веб-дизайнер в рекламному агентстві.
- Розробка сайтів, мобільних додатків, інфографіки, брендингу.

Професійні інтереси:
- Розвиток у сфері UI/UX дизайну.
- Розробка мобільних додатків.
- Професійне зростання та вивчення нових технологій.

Побажання до роботи:
- Бажання працювати в команді.
- Перевага компаніям з налагодженими процесами.
- Не готова бути єдиним дизайнером на проєкті."
9,"E-Commerce (10-11.2021):  
Developed the design and functionality of the desktop and adaptive mobile versions. Created a clickable prototype and a design system in Figma.

Development of a Medical Mobile Application (11.2021-01.2022):  
Conducted research and competitive analysis. Developed user personas and User Flow. Created Low Fidelity and High Fidelity Wireframes and a clickable prototype.

Mobile Application of the Online Store (01.2022-03.2022):  
Created personas and User Flow. Developed Low Fidelity and High Fidelity Wireframes, a clickable prototype, and animations using Jitter.

Dashboard for a Private Clinic (05.2022-06.2022):  
Created tables and diagrams for clinic statistics and data. Developed personas, Low Fidelity Wireframes, and a clickable prototype.

Web Designer, Freelance (06.2022-02.2023):  
Designed and redesigned landings, prepared graphic materials for websites, and processed photos. Developed concepts and provided client recommendations. Designed SaaS apps and Dashboards.

Product Designer, Reshape (02.2023-present):  
Created interfaces including widgets, icons, treeview, and a design system. Developed mobile applications, online stores, landing pages, and SaaS solutions."
