,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
0,"2D Artist, Sketcher at Templatemonster.com  
2005 — December 2011  
Розробка іконок для сайтів. Скетчі для 3D моделей.

2D Artist, Арт-лідер at Slotopaint.com, Миколаїв  
December 2017 — 2022  
Створення символів, інтерфейсів, попапів та інших елементів для casual games, slots, UI/UX games, різновидних стратегій, puzzles, карточних ігор, рулеток. Арт-лідер відділу художників.

Відданий ілюстратор з художньою освітою. Працьовитий, прискіпливий та відповідальний. Працюю на графічному планшеті. Добре розумію композицію, перспективу, об'єм та ізометрію (особливо люблю ізометричні об'єкти). Здатний ефективно співпрацювати в команді. Графічний дизайн."
1,"Успішна співпраця з великими брендами, включаючи розробку та запуск рекламних кампаній, створення кей-віжуалів, повний супровід запуску продуктів та івентів. Проведено три масштабні івенти (на 500+ учасників).

Засновник дизайн+маркетинг агенції з трирічним досвідом активної роботи (діяльність наразі на паузі).

Аутсорс-траблшутінг дизайну: вирішення проблем з продуктом через точкові зміни в дизайні та процесах.

Вирощено кілька дизайн-команд, навчено до рівня middle близько шести починаючих дизайнерів.

4 роки на посаді арт-директора, 12 років в дизайні та IT загалом.

Управління дизайн-командами, співпраця з розробниками, клієнтами та власниками продукту. Навчання дизайнерів-початківців, обмін досвідом та підтримка їхнього розвитку.

Повний цикл дизайну продукту: від ідеї до втілення, включаючи дослідження, прототипування, перевірку гіпотез, контроль якості.

Створення зрозумілого, ефективного та problem-solving дизайну.

Успішні проєкти в фінтех та крипто, досвід проектування складних платформ.

Досвід роботи зі стартапами (B2B, B2C), всі вдало зарелізилися з високими показниками залучення.

Розуміння принципів роботи HTML, CSS і JavaScript.

Робота з різноманітними дизайн-задачами: брендинг, упаковка, маркетингові та рекламні матеріали, landing pages, інтерфейс-кіти.

UX-writing, типографіка та робота з поліграфією.

Орієнтація на дизайн-мислення та вдалі стилістичні рішення, розуміння художніх підходів, трендів, іноді задавання власних.

Перевага для продуктових компаній з соціально-відповідальним підходом до бізнесу."
2,"For over two years, worked at Africa Studio as a retoucher. Decided to shift direction and enrolled in a UI/UX design course for game interfaces to further develop and enhance skills.

Понад два роки працювала в Africa Studio на позиції ретушера. Вирішила змінити напрямок і пішла на курс з UI/UX дизайну для ігрових інтерфейсів, щоб розвиватися та покращувати свої навички."
3,"Робота в проекті ""Бізнес Інженерія"". 

Навчання у школах по дизайну, розробка лого та створення гарних робіт. 

Розробка лого, банеру, інфографіки. 

Дизайн візитівок, логотипів, сертифікатів для клієнтів. 

Малюю на папері та в діджитал. Використовую Adobe Illustrator. 

Професійно фотографую. 

Розвиваюсь в різних напрямках, готова ризикувати та братися за різні проекти."
4,"2014-2016 Freelance Designer  
2016 - Present Designer at Stan Agency  

With 8 years of experience in design, I am proficient in Adobe Photoshop, Adobe Illustrator, and Figma. I specialize in logo creation, branding, and product packaging. Additionally, I develop web cases for websites and advertising banners. I am eager to expand my expertise in UI/UX Design.

Skills:
- Logo and branding creation and development
- Market research and analysis
- Packaging design of varying complexity
- Design, pre-press preparation, and layout of printed materials
- Proficient in Adobe Photoshop, Adobe Illustrator, Figma
- Strong knowledge of Microsoft Word, Excel, PowerPoint
- Basic skills in vector illustration and custom typography
- Highly motivated and independent professional"
5,"Олександр

Місто: Івано-Франківськ

Освіта:
- Вища освіта графічного дизайнера

Досвід роботи:
- Понад три роки роботи в рекламній компанії
- Заснував відділ графічного дизайну в компанії

Навички:
- Великий досвід у довготривалих проектах
- Комунікабельність
- Вміння працювати в команді
- Відповідальність у роботі
- Постійний розвиток у сфері дизайну

Професійні цінності:
- Орієнтація на довготривалий розвиток у професії
- Відкритість до одиночних замовлень для підвищення навичок
- Якісне виконання роботи

Контактна інформація:
[Ваші контактні дані]"
6,"Досвідчена в поліграфії, вільно володію графічними програмами Adobe, маю навички верстки та дизайну макетів для друку, додрукарської підготовки. У 2019 році закінчила курси веб-дизайну (UX/UI). Шукаю віддалену роботу. Бажаю приєднатися до досвідченої команди для розвитку в сфері веб-дизайну."
7,"Привіт. Я шукаю роботу, пов'язану з UI/UX дизайном та анімацією. Маю кілька років досвіду у сфері графічного дизайну, включаючи роботу за кордоном. Виконував проекти від візитівок, каталогів, брендбуків до створення сайтів і деяких додатків (Photoshop, Illustrator, InDesign тощо). З часом зрозумів, що UI/UX дизайн є моєю улюбленою, найцікавішою та найперспективнішою галуззю в дизайні. Хочу розвиватися і навчатися виключно в цьому напрямку. Наразі вдосконалюю свої навички у Figma, вивчаю англійську мову, створюю прототипи та поступово опановую анімацію. Дякую за увагу."
8,"Освіта: Вища художня (НАОМА, спеціальність: графічний дизайн).

Досвід роботи:
- Ілюстратор, графічний дизайнер, веб-дизайнер в рекламному агентстві.
- Розробка сайтів, мобільних додатків, інфографіки, брендингу.

Професійні інтереси:
- Розвиток у сфері UI/UX дизайну.
- Розробка мобільних додатків.
- Професійне зростання та вивчення нових технологій.

Побажання до роботи:
- Бажання працювати в команді.
- Перевага компаніям з налагодженими процесами.
- Не готова бути єдиним дизайнером на проєкті."
9,"E-Commerce (10-11.2021): 
Developed the design and functionality of the desktop version and the adaptive mobile version. Created a clickable prototype and a design system in Figma.

Development of a Medical Mobile Application (11.2021-01.2022): 
Conducted research and competitive analysis. Developed user personas and User Flow. Created Low Fidelity and High Fidelity Wireframes and a clickable prototype.

Mobile Application of the Online Store (01.2022-03.2022): 
Created personas and User Flow. Developed Low Fidelity and High Fidelity Wireframes, a clickable prototype, and animations using Jitter.

Dashboard for a Private Clinic (05.2022-06.2022): 
Created tables and diagrams for clinic statistics and data. Developed personas, Low Fidelity Wireframes, and a clickable prototype.

Web Designer, Freelance (06.2022-02.2023): 
Designed and redesigned landings, prepared graphic materials for websites, and processed photos. Developed concepts and provided client recommendations. Designed SaaS apps and Dashboards.

Product Designer, Reshape (02.2023-present): 
Created interfaces including widgets, icons, treeview, and a design system. Developed mobile applications, online stores, landing pages, and SaaS solutions."
10,"Навички та досвід:

- Розробка 3D продуктів без використання мокапів.
- Створення продуктів, що допомагають людям, вирішення проблем безпеки.
- Розробка помічників для адаптації до колонізації Марсу.
- Використання продуктових практик, створення додатків, веб-версій, дизайн-систем.
- Адаптація веб-дизайну під мобільні пристрої.
- Знання практик e-commerce сайтів, прототипування, використання варіативних компонентів, autolayouts.
- Вміння користуватися нейромережами для генерації графіки.

Проекти:

1. robotplus+:
   - Продукт для оренди або купівлі робота для задач на Марсі.
   - Мобільний додаток з продуктовою сторінкою у вебі.
   - Інструменти: Blender, AI, Figma, Photoshop.

2. beau.flo:
   - E-commerce сайт для продажу одягу онлайн.
   - Інтеграція айдентики бренду у візуальну концепцію.
   - Інструменти: AI, Figma, Photoshop, Illustrator.

3. velvet underground:
   - Редизайн сайту для сучасного вигляду.
   - Промоція фільму про вплив Velvet Underground на музичну культуру.
   - Інструменти: Figma, Photoshop, Midjourney.

Кар'єрна мета:

- Стати успішним UX/UI дизайнером, розумітися на UX-дослідженнях.
- Оволодіти бізнес-процесами, навчитися використовувати метрики.
- Інтерес до інноваційних інтерфейсів, 3D моделювання, no-code технологій.
- Використання дизайн-методологій для створення ефективних продуктів."
11,"1) Розробка дизайну банерів та головних екранів для різних тематик: книжковий магазин, магазин взуття, маркетингова конференція, продаж програм тренування.
2) Створення дизайну сайту Coinvest Website для інвестиційної компанії.
3) Реалізація дизайну сайту Art Hall Tattoo Studio для мережі тату салонів з адаптацією під різні пристрої.
4) Редизайн багатосторінкового сайту Specialized bikes для відомого бренду велосипедів з адаптацією під мобільні та планшетні версії.
5) Розробка послуг для онлайн казино, ставок та товарів 18+."
12,"Створення сайтів різної складності від лендінгу до e-commerce. Проходження всіх етапів, починаючи з брифу до передачі макета в розробку.

1. Досвід створення сайтів-візитівок, e-commerce, корпоративних сайтів, а також мобільних адаптацій до них.
2. Просунутий користувач Figma - від варфрейма до клікабельного прототипування.
3. Використання в роботі Adobe Photoshop, Adobe Illustrator, Adobe After Effects.
4. Базові знання HTML та CSS."
13,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Професійний досвід:

2023 - Графічний дизайнер - Motto
- Розробка банерів, листівок, рекламних пропозицій.
- Дизайн-концепція ""меню супутніх товарів"" для мережі АЗС.
- Робота в компанії з дотриманням корпоративної етики, комфортними умовами праці та системою заохочення співробітників.

2020 - 2023 - Data Quality Engineer - SQUAD
- Підтримка систем безпеки розумного дому.
- Робота з даними та машинним навчанням.

2018 - 2019 - Дизайнер інтер'єрів та менеджер з продажу - Tiger
- Проектування та дизайн інтер'єрів житлових та промислових приміщень.
- Консультування клієнтів та робота з документацією.

Освіта:

2023 - Курс Motion Design Basic - онлайн-школа SKVOT
- Базові навички роботи з Adobe After Effect & Cinema 4D.

Навички:
- Уважність до деталей, схильність до монотонної роботи.
- Високий рівень самоорганізації.
- Відкритість до конструктивної критики.
- Комунікабельність.

Цілі:
- Розвиток у напрямку Motion Design.
- Пошук компанії, яка цінує потенціал кожного співробітника, має систему заохочень та можливості для кар'єрного зростання."
14,"Графічний дизайнер з трирічним досвідом роботи на фрілансі. Спеціалізуюся на створенні зовнішньої та внутрішньої реклами, презентацій та відео для компанії «Житлобуд-1».

Маю досвід розробки сайтів на платформі Tilda, включаючи дизайн та розробку. Завершив 6 проектів, переважно у сфері ремонту та нерухомості, з інтеграцією аналітики (Google Analytics, Tag Manager, Search Console).

Володію базовими знаннями HTML (emmet), CSS (sass, less), працював з Wordpress, маю початкові навички JavaScript. Розумію принципи програмування, вивчав C++, C#, Java, Python. Не планую працювати з поліграфією."
15,"Розробник графічного дизайну

Досвід:
- Створення іконок для Google.
- 4 роки досвіду у веб-дизайні, розробці банерів, постерів та графічного дизайну.
- Виконання замовлень на фріланс біржах (Fiverr, Upwork) для компаній з ЄС, США та інших країн.
- Розробка візуально привабливих та функціональних веб-сайтів та інтерфейсів.
- Створення макетів, дизайну графіки та інших елементів для веб-сайтів.
- Оптимізація сайтів для SEO та підвищення їх конверсії.
- Взаємодія з клієнтами та командою розробників для досягнення найкращих результатів.

Навички:
- Вміння працювати з програмами Figma, Adobe Photoshop, Illustrator та іншими.
- Розуміння основ дизайну та веб-розробки.
- Досвід використання Webflow.
- Володіння англійською мовою на рівні В1.

Особисті якості:
- Креативність та інноваційність у роботі.
- Стресостійкість, готовність до викликів і складних задач.
- Організованість та відповідальність.
- Здатність працювати у команді та під час індивідуальної роботи.
- Вміння ефективно спілкуватись з клієнтами та колегами.
- Орієнтація на результат.
- Спокійний характер та енергійність в роботі."
16,"Освіта

- Коледж: 4 роки навчання за спеціальністю ""Художня фотографія""
- Університет: 2 роки навчання за спеціальністю ""Дизайн""
- Навички: малювання, ретуш, графічний малюнок, візуальна побудова сайтів

Досвід роботи

- Ретушер у компанії ""Про Пост""
  - Покращила знання програми Photoshop, досягнувши високого рівня володіння

- Фріланс
  - Створення логотипів, банерів, візитівок

Додаткова освіта

- Курс UI/UX дизайну від Beetroot академії
  - Освоїла принципи композиції, типографіки та поєднання кольорів
  - Навчилася створювати адаптивні веб-сайти для різних пристроїв
  - Опанувала роботу з Figma, пройшла основні етапи дизайнерського мислення
  - Маю портфоліо проектів для демонстрації майбутнім роботодавцям"
17,"Freelance

- Дизайн мобільних додатків
- Підтримка дизайн-системи
- Дизайн лендінгів
- Створення банерів

Мета: Прагну професійного зростання та використання всього спектру своїх знань і вмінь."
18,"## Резюме

### Освіта
- **GO IT**  
  Напрямок: UX/UI Design  
  Початок навчання: 21 травня 2023

### Досвід
- **Проект**: Створення landing page  
  - Робота над розробкою та дизайном landing page

### Мета
- Приєднатися до команди в гарній компанії, де зможу розвиватися як UX/UI Designer та здобувати безцінний досвід."
19,"[Name]

[Contact Information]

Summary:
Motivated and passionate web design enthusiast with a strong foundation in computer science and web design. Skilled in creating user-friendly interfaces and smooth animations. Eager to apply my skills in a modern company and contribute to innovative projects.

Education:
- Lviv Polytechnic, Bachelor's Degree in Computer Science
- Completed course: ""Basics of Web Design""

Skills:
- Proficient in Figma
- Quick learner with the ability to meet deadlines
- Strong interest in design and technology

Experience:
- Created a website for describing motorcycles with a user-friendly interface and smooth animation as part of the ""Basics of Web Design"" course

Portfolio:
- Available upon request on Behance

Objective:
To work in a dynamic company where I can utilize my design skills to create high-quality products and help bring modern ideas to life."
