,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
0,"Управління творчими командами є моєю спеціалізацією впродовж двох років. Я маю значний досвід роботи моушн-дизайнером у продуктовій компанії, де створював креативи, асети, анімовані елементи інтерфейсу та lottie анімації, що дозволяє мені глибоко розуміти внутрішні процеси.

На посаді РМ, окрім супроводження проєктів та спілкування з замовниками, завдяки моїй технічній підкованості та допитливості, я брав на себе додаткові зони відповідальності, які включали:
- системне адміністрування в рамках команди (база матеріалів, віддалений рендер, централізоване оновлення UI профільного ПЗ)
- розв'язання питань з ПЗ
- технічний супровід спеціалістів під час виконання задач
- поліпшення процесів (написання скриптів, автоматизація, впровадження нових інструментів, створення концепції онбордингу для нових спеціалістів)
- навчання команди
- підготовка документації та створення довідкової бази знань (50+ документів, 20+ відеоуроків)
- організація покупки профільного ПЗ (аналіз умов надання послуг, аналіз ринку, створення порівняльних таблиць для проведення тендеру)

Мої основні переваги:
- цілеспрямованість
- допитливість
- автономність
- комунікабельність
- викладацький хист

Я люблю розв'язувати проблеми самостійно, шукаючи інформацію та пробуючи різні методики. Завдяки цьому кожна задача, поставлена менеджерами або замовниками, була реалізована. Високі когнітивні здібності сприяли моєму кар'єрному росту.

Крім того, я люблю спілкуватися, особливо з однодумцями. Це переросло у великий викладацький досвід, здобутий на попередніх проєктах. Понад двадцять навчальних зустрічей, велика база знань для 3D департаменту, професійний ріст команди від новачків до профі та успішне закриття складних задач - це моя персональна гордість. Моє студентське минуле, зокрема магістратура з журналістики та перший педагогічний досвід, здобутий ще під час навчання, стали в пригоді."
1,"Я працював у великій і відомій системній компанії в галузях FinTech та IT. 

Досвід роботи:
- Business Development на позиції Account Manager
- Digital Marketing на позиції Affiliate Manager CPA

Навички:
- В2В та В2В2С переговори
- Співпраця з командами Digital Marketing, Dev, Frontend
- Управління проектами за методологіями Agile (Scrum та Kanban)
- Написання FRF та FAQ
- Інтеграція партнерів через API

Реалізовані проекти:
- Запуск проекту кредитування на партнерських офлайн точках
- Запуск сервісу онлайн-кредитування на терміналах
- Розробка та запуск сервісу «сайт-конструктор» для партнерів CPA
- Побудова звітності з ""0"" у двох системах

Технічні навички:
- Налаштування постбеків
- Підключення до трекінгових платформ
- Робота з сервісами відстеження фроду
- Побудова звітів

Додатковий досвід:
- Організація акцій та вручення нагород партнерам
- Організація участі у конференціях
- Створення промо та рекламних матеріалів
- Великий досвід у сфері фінансів
- Знання техніки та технологій

Ціль:
Продовжувати кар'єру в галузях fintech, IT, digital marketing, e-commerce. Прагну отримати керівну посаду, застосовуючи свій досвід та знання. Цікавить робота в Project Management/Customer Tech Support з акцентом на комунікацію з партнерами та внутрішніми командами. Хочу поглиблюватися в технічну та інтеграційну складову, створювати та будувати з ""0"". Не цікавлять прямі Sales."
2,"Account Lead в креативній агенції IAMIDEA

Клієнти в портфоліо: Eldorado, Intertop, Uklon, Ковальська, WOG, Megogo, Mechta.kz, IDS Group (Аляска, Моршинська, Боржомі), Planeta Kino, Hotline, KAN Development, Нова пошта, Орел і Решка

Обов'язки:
- Менеджмент і ведення проектів, рекламних кампаній та креативних проектів зі стратегічними клієнтами на повному обслуговуванні, а також тактичні рекламні кампанії.
- Побудова процесів всередині команди: підбір команди під проєкт, створення таймінгу, підготовка технічних завдань, налагодження роботи всередині команди та з підрядниками.
- Розподіл навантаження серед аккаунт менеджерів та креативних пар.
- Пріоритизація проектів, підготовка брифів та постановка завдань.
- Відстеження якості виконання задач та дотримання дедлайнів.
- Розвиток міцних відносин з клієнтами.
- Ведення документації.

Паралельно в роботі на повному супроводженні було від 5 до 12 клієнтів у пікові періоди.
Керувала та працювала з трьома креативними парами, відділом дизайнерів та відділом продакшну."
3,"Велика кількість успішно завершених проектів в сфері автоматизації бізнесів. Участь у багатьох проектах по автоматизації бізнесів на базі CRM/ERP на різноманітних позиціях (CTO, Developer, Project Manager) і у ролі підрядника з власною командою.

Досвід:
- Project management (12 років)
- Angular (2 роки)
- Creatio (3 роки)
- Terrasoft 3/x (JavaScript) (8 років)
- Java (2 роки)
- GCP, Firebase

Сфери інтересів:
- Startup or Product."
4,"Досвідчений професіонал з 8-річним досвідом роботи в дизайн-студії, маркетингу, рекламі та піарі на посадах art director, начальник відділу, project manager, lead designer. Успішно керував командами від 5 до 12 співробітників, як в офісі, так і віддалено. Має досвід створення дизайн-студії з нуля з організацією всіх процесів.

Професійні навички:
- Володіння програмами: Photoshop, Illustrator, Indesign, 3dmax.
- Управління проектами за допомогою: Slack, Monday, Trello."
5,"Work experience:

Brand Manager | 05.2022 - 02.2023 (8 months)  
Technoyizak (retail company), Kyiv  
- Led 360 marketing campaigns  
- Managed and controlled advertising agencies  
- Developed POSm materials  

Project Manager | 01.2021 - 02.2022 (1 year)  
ZDATNI media holding (The Village ua, Wonderzine ua), Kyiv  
- Managed commercial projects for brands  
- Planned and tracked projects  
- Led a team (Designer, Creator, Art Director, Redactor, Producer, Writer)  
- Supported clients from project conception to report preparation  
- Controlled project timelines and budgets  
- Involved in the sales process  

For The Village.ua:  
- Від Фріди до Отто Дікса. Ми оживили три відомі картини, щоб ви полюбили мистецтво  
- Trust your spirit. Це люди, які роблять добрі справи  
- Бакота, Тустань і Підгорецький замок. Що ховається за красивими фото нетипових туристичних локацій?  
- Креативний допінг. Ми спробували різні техніки придумування ідей (навіть басейн!). І ось що вийшло  

For Wonderzine.ua:  
- Під час місячних скасовую всі плани». Я живу з тяжкими менструальними кровотечами  
- Це ж неможливо! Як я завагітніла під час грудного вигодовування первістка  
- Ми експериментуємо в сексі – як нам підібрати контрацептив і почуватися вільними?  

Junior Brand Manager | 05.2017 - 06.2019 (2 years 1 month)  
Pernod Ricard (Ballantine's, Beefeater, Absolut, Monkey 47), Kyiv  
- Developed and implemented marketing communications initiatives (ATL, BTL, sales promotion, PR, SMM, brand education)  
- Contributed to the annual brand planning process  
- Developed and controlled sponsorship events  
- Collaborated with Trade Marketing on national promo and activities strategy, plans, and schedules  "
6,"Бізнес-аналітик/Керівник проєктів впровадження CRM

Досвід та досягнення:
- Успішна реалізація трьох проєктів впровадження CRM.
- Сертифікований офіційний партнер amoCRM.
- Освоєння основ роботи з запереченнями.
- Навички ведення переговорів і ділового спілкування.
- Збір та визначення основних вимог клієнта до системи.
- Освоєння функціоналу і основних можливостей CRM-систем.

Основні обов'язки:
- Первинний контакт з клієнтом.
- Визначення бізнес-проблем клієнта, виявлення і збір вимог.
- Формування та розвиток первинних рішень.
- Організація, підготовка та участь у проведенні презентацій продукту.
- Проведення переговорів з клієнтом щодо вартості, порядку оплати та умов надання послуг.
- Підготовка комерційної документації (комерційна пропозиція, рахунок, договір).
- Участь у розробці прототипу налаштувань.
- Налаштування і тестування CRM-системи.
- Консультаційна робота після завершення проєкту.

Професійні цілі:
- Розвиток та удосконалення як спеціаліста у сфері управління IT проєктами.
- Робота в злагодженій команді, орієнтованій на результат.
- Приносити реальну користь компанії та отримувати за це достойну заробітну плату."
7,"Підготовка планів дій Уряду, програм діяльності Уряду. На сьогодні є бажання змінити профіль і спеціалізацію, через що зацікавився програмуванням. Currently working as a state servant, preparing plans and reports of the Government. Personal traits: I am highly motivated, with well-developed communication skills and constant desire of self-improvement."
8,"Під моїм керівництвом створено новий підрозділ з контролю та автоматизації бізнес-процесів, який вважався одним з найкращих у банку за ефективністю організації процесів та комунікацією з внутрішніми і зовнішніми клієнтами.

Маю понад 15 років досвіду роботи в банку, протягом яких займалася аналізом бізнес-вимог користувачів програмного комплексу банку та їх впровадженням. Як бізнес-аналітик супроводжувала повний перехід банку при зміні програмного забезпечення. Фактично виконувала роль Product Owner основного програмного забезпечення банку.

Наразі супроводжую розробку мобільного застосунку банку в частині інтеграції з мастер-системою банку. Вважаю цікавим подальший розвиток у напрямку мобільних додатків у сфері фінансів, у ролі бізнес-аналітика чи продуктового менеджера.

Шукаю цікавий проект у сфері фінансів, де зможу розкрити свої сильні сторони: ефективну організацію бізнес-процесів, мінімізацію ризиків, автоматизацію та результативну комунікацію з учасниками проекту різного рівня. Цікавить перспектива розвитку і участі у впровадженні найновіших технологій. Бажано у великій команді з амбіційними проектами."
9,"Знання та навички:
- Глибокі знання 1С:Підприємство 7.7, 1С 8.3:УПП, УТП, Управление агрохолдингом, Бухгалтерия сельскохозяйственного предприятия для Украины, 1С:Підприємство 8, ITIL, 1С:Консолидация, 1С: Казначейство, 1С:MDM НСИ, 1C:Бухгалтерия для Украины, 1С:Управление элеватором для Украины, 1С: Зарплата и Управление персоналом для Украины, 1С:Документооборот.
- Володіння MS Office, M.E.Doc., Jira, BAS ERP.
- Знання бухгалтерського, податкового та управлінського обліку.

Досвід:
- Участь у проектній роботі та автоматизації обліку на базі 1С.
- Розробка вимог та написання технічних завдань для розробки/зміни функціоналу 1С.
- Участь у проектах з автоматизації обліку підприємств на базі 1С.
- Складання технічної документації, написання інструкцій та регламентів.
- Написання посадових інструкцій та регламентів.
- Консультації користувачів з методології відображення господарських операцій в 1С.
- Надання рекомендацій користувачам щодо виправлення помилок в 1С.
- Розробка інструкцій по роботі з функціоналом 1С.
- Тестування нових доопрацювань в програмі 1C.
- Ведення технічної документації по проектах 1С."
10,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]

Освіта:
- Вступила до декількох іноземних університетів, планую розпочати навчання у вересні або наступного року.

Досвід роботи:

Маркетинг:
- Розробка стратегій комунікації з клієнтами.
- Створення дистанційної системи управління для засновника проекту.
- Планування акцій та індивідуальних оферів.
- Ведення переговорів та обробка негативних відгуків.
- Структуризація співпраці між людьми з різними поглядами на проект.

Бізнес-аналітика:
- Працювала помічником-асистентом бізнес-аналітика протягом півроку.
- Проведення порівнювального аналізу конкурентів.
- Розробка статусної моделі замовлення для маркетплейсу.
- Створення схем у Miro та Idroo.

Додатковий досвід:
- Репетитор з математики, допомога студентам у підготовці до іспитів для вступу до університетів та шкіл України та Європи.

Навички:
- Комунікаційні навички
- Аналітичне мислення
- Вміння працювати в команді
- Навички ведення переговорів

[Дата]"
11,"Досвід роботи: 4 роки на посаді бізнес-аналітика (BA). Працював у компаніях: ПриватБанк, АЛЛО, ВАРУС, БАДМ.

ПриватБанк: Виконував обов'язки бізнес-аналітика з акцентом на банківську сферу та обслуговування клієнтів.

АЛЛО: Займався питаннями, пов'язаними з IT та маркетплейсом.

ВАРУС: Основна діяльність була зосереджена на логістиці та системі управління складом (WMS).

БАДМ: Працював над IT-проєктами та налаштуванням системи управління складом (WMS).

Навички: Вміння знаходити та отримувати необхідну інформацію для виконання робочих завдань."
