,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
0,"Управління творчими командами є моєю спеціалізацією протягом двох років. Маю досвід роботи моушн-дизайнером у продуктовій компанії, де створював креативи, асети, анімовані елементи інтерфейсу, lottie анімації.

На посаді РМ, окрім супроводження проєктів та спілкування з замовниками, брав на себе додаткові зони відповідальності, такі як системне адміністрування, розв'язання питань з ПЗ, технічний супровід спеціалістів, поліпшення процесів, навчання команди, підготовка документації та організація покупки профільного ПЗ.

Ключові переваги:
- цілеспрямованість
- допитливість
- автономність
- комунікабельність
- викладацький хист

Захоплююсь розв'язанням проблем самостійно, шукаючи інформацію та використовуючи різні методики. Маю значний викладацький досвід та успішно керував навчальними зустрічами для команди. Крім того, маю студентське минуле в журналістиці, що допомагає в роботі з командою."
1,"Я працював у великій і відомій системній компанії в галузях FinTech та IT. Маю досвід роботи у підрозділах:

- Business Development на позиції Account Manager
- Digital Marketing на позиції Affiliate Manager CPA

Маю значний досвід переговорів B2B та B2B2C. На попередньому місці роботи тісно співпрацював з командами Digital Marketing, Dev, Frontend та іншими підрозділами компанії. Виконував роль Project Manager у більшості своїх проектів. Ось деякі з реалізованих проектів:

- Запуск першого на ринку кредитування МФО проекту по кредитуванню на партнерських офлайн точках
- Повністю з нуля запустив та налагодив сервіс онлайн-кредитування на терміналах однієї з найбільших мереж України
- Запустив новий сервіс/продукт «сайт-конструктор» для партнерів CPA, починаючи з написання ТЗ (FRF) для девелоперів, побудови звітності і закінчуючи підключенням партнерів
- Побудова звітності з нуля у двох окремих системах

Працював за методологіями управління проектами Agile (Scrum та Kanban). Маю досвід написання FRF та FAQ. Реалізовував проекти з інтеграцією партнерів через API.

Виводив на ринок нові продукти для партнерів. Маю навички технічної інтеграції з партнерами:

- Налаштування постбеків
- Підключення до трекінгових платформ
- Робота з сервісами по відстеженню фроду
- Побудова звітів

Маю досвід організації акцій для партнерів з подальшим врученням нагород, а також організації участі у конференціях з встановленням стенду, промо матеріалів, бару тощо. Є досвід створення промо та рекламних матеріалів. Маю великий досвід роботи у сфері фінансів. Добре розбираюся в техніці та технологіях.

Моя ціль - продовжувати кар'єру в галузях fintech, IT, digital marketing, e-commerce. У перспективі хочу отримати керівну посаду та працювати на результат, застосовуючи весь свій досвід, потенціал та знання. Готовий спробувати себе в різних напрямах та видах діяльності, оскільки швидко навчаюсь та завжди прагну дізнаватись щось нове. Наразі мене цікавить робота, пов'язана з функціоналом Project Manager/Customer Tech Support, де потрібно комунікувати з партнерами та внутрішніми командами: розробників, дизайнерів тощо. Також хочу поглиблюватися у технічну/інтеграційну складову. Мені подобається створювати та будувати з нуля, від самого початку. Це завжди складно, але дуже драйвово. Не хочу займатися прямими продажами."
2,"Account Lead в креативній агенції IAMIDEA

Клієнти в портфоліо: Eldorado, Intertop, Uklon, Ковальська, WOG, Megogo, Mechta.kz, IDS Group (Аляска, Моршинська, Боржомі), Planeta Kino, Hotline, KAN Development, Нова пошта, Орел і Решка

Обов'язки:
- Управління проектами, рекламними кампаніями та креативними проектами зі стратегічними клієнтами на повному обслуговуванні, а також тактичними рекламними кампаніями.
- Організація процесів всередині команди: підбір команди під проєкт, створення таймінгу, підготовка технічних завдань, координація роботи команди та підрядників.
- Розподіл навантаження серед аккаунт менеджерів та креативних пар.
- Пріоритизація проектів, підготовка брифів та постановка завдань.
- Контроль якості виконання задач та дотримання дедлайнів.
- Розвиток міцних відносин з клієнтами.
- Ведення документації.

Паралельно в роботі на повному супроводженні було від 5 до 12 клієнтів у пікові періоди.
Керувала та працювала з трьома креативними парами, відділом дизайнерів та відділом продакшну."
3,"Участь у численних проектах з автоматизації бізнесів на базі CRM/ERP на різних позиціях, включаючи CTO, Developer, Project Manager, а також у ролі підрядника з власною командою. 12-річний досвід у проектному управлінні. Володію навичками роботи з Angular (2 роки), Creatio (3 роки), Terrasoft 3/x (JavaScript) (8 років), Java (2 роки). Знайомий з GCP та Firebase. Досвід роботи зі стартапами та продуктами."
4,"Досвід роботи: 8 років у дизайн-студії, маркетингу, рекламі та піарі на посадах art director, начальник відділу, project manager, lead designer. Керував командами від 5 до 12 співробітників, як в офісі, так і віддалено. Має досвід створення дизайн-студії з нуля з організацією всіх процесів.

Навички: Володіння програмами Photoshop, Illustrator, Indesign, 3dmax. Досвід використання інструментів для управління проектами: Slack, Monday, Trello."
5,"Brand Manager | 05.2022 - 02.2023 (8 months)  
Technoyizak (retail company), Kyiv  
- Led a successful 360 marketing campaign  
- Managed and supervised advertising agencies  
- Developed POSm materials  

Project Manager | 01.2021 - 02.2022 (1 year)  
ZDATNI media holding (The Village ua, Wonderzine ua), Kyiv  
- Managed commercial projects for various brands  
- Planned and tracked project progress  
- Led a team consisting of Designer, Creator, Art Director, Redactor, Producer, and Writer  
- Supported clients from project ideation to report preparation  
- Monitored project timelines and budgets  
- Involved in the sales process  

Junior Brand Manager | 05.2017 - 06.2019 (2 years 1 month)  
Pernod Ricard (Ballantine's, Beefeater, Absolut, Monkey 47), Kyiv  
- Developed and executed marketing communications initiatives (ATL, BTL, sales promotion, PR, SMM, brand education)  
- Contributed to annual brand planning  
- Managed sponsorship events  
- Collaborated with Trade Marketing on national promo and activities strategy  "
6,"Бізнес-аналітик/Керівник проєктів впровадження CRM

Діяльність охоплює наступні активності:
- Первинний контакт з клієнтом.
- Визначення бізнес-проблем клієнта, виявлення і збір вимог.
- Формування первинних рішень та їх розвиток.
- Організація, підготовка та участь в проведенні презентацій продукту.
- Проведення переговорів з клієнтом щодо вартості, порядку оплати та умов надання послуг.
- Підготовка комерційної документації (комерційна пропозиція, рахунок, договір).
- Участь в розробці прототипу налаштувань.
- Налаштування і тестування CRM-системи.
- Консультаційна робота після завершення проєкту.

Досягнення:
- Успішна реалізація трьох проєктів впровадження CRM.
- Сертифікація та статус офіційного партнера amoCRM.
- Освоєння основ роботи з запереченнями.
- Навички ведення переговорів і ділового спілкування.
- Збір та визначення основних вимог клієнта до системи.
- Освоєння функціоналу і основних можливостей CRM-систем.

Цілі:
- Розвиток та удосконалення як спеціаліста у сфері управління IT проєктами.
- Робота в злагодженій команді, орієнтованій на результат.
- Приносити реальну користь компанії та отримувати за це достойну заробітну плату."
7,"Currently working as a state servant, responsible for preparing plans and reports for the Government. Highly motivated professional with strong communication skills and a continuous drive for self-improvement. Actively seeking to transition into a career in programming."
8,"Під моїм керівництвом створено новий підрозділ з контролю та автоматизації бізнес-процесів, який вважався одним з найкращих у Банку за ефективністю організації процесів та комунікацією з клієнтами.

Маю понад 15 років досвіду роботи в банку, де займався аналізом бізнес-вимог користувачів програмного комплексу та їх впровадженням. Відповідав за повний перехід Банку при зміні програмного забезпечення та виконував роль Product Owner основного програмного забезпечення.

Наразі супроводжую розробку Мобільного застосунку Банку в частині інтеграції з Мастер системою. Планую розвиватися в напрямку Мобільних додатків у сфері фінансів як Бізнес-аналітик чи Продуктовий менеджер.

Шукаю цікавий проект у сфері фінансів, де зможу використати свої сильні сторони: ефективна організація бізнес-процесів, мінімізація ризиків, автоматизація та результативна комунікація з учасниками проекту. Маю бажання розвиватися і брати участь у запровадженні новітніх технологій у великій команді з амбіційними проектами."
9,"- Володіння програмами: 1С:Підприємство 7.7, 1С 8.3:УПП, УТП, Управление агрохолдингом, Бухгалтерия сельскохозяйственного предприятия для України, 1С:Підприємство 8, ITIL, 1С:Консолидация, 1С: Казначейство, 1С:MDM НСИ, 1С:Бухгалтерия для України, 1С:Управление элеватором для України, 1С: Зарплата и Управление персоналом для України, 1С:Документооборот, MS Office, M.E.Doc., Jira, BAS ERP.
- Досвід у проектній роботі та автоматизації обліку на базі 1С.
- Знання бухгалтерського, податкового та управлінського обліку.
- Досвід складання технічної документації, написання інструкцій та регламентів.
- Участь у розробці вимог та написанні технічних завдань для розробки/зміни функціоналу 1С.
- Написання посадових інструкцій та регламентів.
- Консультації користувачів з методології відображення господарських операцій в 1С.
- Надання рекомендацій користувачам щодо виправлення помилок в 1С.
- Розробка інструкцій по роботі з функціоналом 1С.
- Тестування нових доопрацювань в програмі 1С.
- Ведення технічної документації по проектах 1С."
10,"Досвідчений фахівець у сфері маркетингу з навичками розробки стратегій комунікації з клієнтами, створення дистанційних систем управління для засновників проектів, а також планування акцій та індивідуальних пропозицій. Володію досвідом ведення переговорів, вирішення конфліктних ситуацій та організації співпраці між людьми з різними поглядами на проект.

Працювала помічником-асистентом бізнес-аналітика, виконуючи порівняльний аналіз конкурентів, розробляючи статусну модель замовлення для маркетплейсу, а також створюючи схеми в Miro та Idroo.

Маю досвід роботи репетитором з математики, допомагаючи студентам успішно складати екзамени до університетів та шкіл України та Європи."
11,"Досвідчений бізнес-аналітик з 4-річним стажем роботи в компаніях ПриватБанк, АЛЛО, ВАРУС та БАДМ. У ПриватБанку спеціалізувався на загальній бізнес-аналітиці з акцентом на банківську сферу та обслуговування клієнтів. У компанії АЛЛО працював у галузі IT та маркетплейсу. У ВАРУСі здійснював аналіз у сфері логістики та систем управління складом (ВМС). У БАДМ відповідав за IT та налаштування ВМС системи. Швидко засвоюю нову інформацію для успішного виконання завдань."
