id,ScoresGoogle_Original_File_haiku_v1 resumes,ScoresGoogle_Original_File_sonnet_v1 resumes,ScoresGoogle_Original_File_gemini_flash_v1 resumes,ScoresGoogle_Original_File_opus_v1 resumes,ScoresGoogle_Original_google resumes,ScoresGoogle_Original_File_gemini_pro_v1 resumes,ScoresGoogle_Original_File_gemini_flash_lite_v1 resumes
1747,81.449,82.184,82.116,81.438,81.074,82.889,81.647
1784,80.777,80.705,81.888,81.751,81.528,80.546,81.685
2476,81.194,80.023,81.365,80.581,81.63,81.51,81.388
2515,80.544,80.029,78.592,79.434,77.629,79.821,80.688
2517,77.041,78.849,78.322,78.305,75.679,76.154,78.975
2529,79.557,78.538,77.917,78.718,79.02,78.832,79.867
2538,78.434,78.836,80.36,79.536,78.58,79.012,80.023
2551,82.14,82.198,81.179,81.481,81.233,83.259,82.955
2553,77.734,77.686,78.765,78.146,76.937,78.629,77.735
2554,85.249,84.772,83.947,84.402,85.506,84.715,84.51
2555,79.305,79.358,79.609,80.619,80.068,80.681,80.224
2556,79.96,80.175,81.306,80.637,76.015,80.643,80.822
2577,79.789,80.036,81.687,78.987,78.27,80.834,81.333
2582,79.459,78.936,80.895,80.85,79.983,80.274,81.936
2583,78.568,79.174,80.153,80.467,77.33,81.026,78.018
2584,79.736,80.333,79.902,78.988,79.056,80.498,80.23
2585,79.145,78.57,80.7,78.869,78.581,79.659,79.353
2586,80.05,79.667,79.672,79.428,78.483,79.136,80.28
2587,78.467,77.918,80.034,78.632,76.723,78.536,78.636
2588,77.987,77.777,76.331,77.232,80.498,77.533,77.004
2589,80.3,80.633,80.859,80.328,82.238,80.924,81.319
2590,79.318,80.646,79.829,79.682,78.624,80.141,77.8
2591,79.731,79.977,80.147,79.294,80.396,80.512,78.597
2592,80.717,82.017,81.277,80.934,80.348,80.484,81.157
2594,79.279,80.287,80.32,79.023,80.267,80.745,79.859
2595,79.54,79.306,80.036,79.776,79.809,79.723,80.436
2597,82.382,82.675,82.87,82.287,81.064,81.906,82.834
2645,80.099,80.181,80.711,80.36,80.975,80.024,80.297
2654,78.79,80.254,79.287,79.31,78.027,79.266,79.18
2655,79.415,80.218,81.159,79.982,82.107,80.182,81.679
2656,78.965,79.412,80.567,79.401,81.991,80.399,79.291
2657,80.302,81.551,83.034,82.296,82.343,83.695,82.566
2658,77.755,77.794,76.607,76.96,76.605,78.483,79.544
2659,79.022,78.584,78.751,77.147,80.147,81.495,80.984
2660,78.611,79.085,82.423,79.293,78.465,80.034,79.53
2741,77.874,77.72,77.178,77.741,76.12,78.232,77.975
2766,79.421,79.727,80.963,80.282,79.06,80.389,81.329
2793,79.875,80.668,82.29,81.202,81.938,80.685,81.655
2810,75.867,77.137,76.807,76.743,75.744,76.994,76.743
2824,79.782,80.539,80.169,79.329,79.724,81.116,80.229
3002,78.107,79.707,79.11,77.553,73.845,78.461,78.949
3021,79.216,78.846,80.406,78.969,78.372,79.833,79.608
3093,80.262,81.185,80.339,79.362,79.407,79.141,81.265
3105,77.439,79.768,78.811,76.089,77.727,79.449,79.506
3113,79.578,77.706,78.754,77.487,77.822,79.448,80.454
3118,82.608,81.813,83.083,81.918,82.142,83.056,84.622
3120,77.413,77.693,78.67,78.561,75.728,78.259,80.149
3122,79.319,80.437,80.522,79.645,78.794,83.214,80.144
3123,79.559,79.598,81.621,78.755,78.464,81.535,80.602
3133,80.91,79.566,78.82,79.46,80.491,80.778,79.966
3134,79.736,79.51,80.341,81.567,79.688,80.396,79.446
3135,80.364,79.728,81.203,82.329,80.379,80.556,79.736
3136,80.558,81.804,82.791,81.187,78.942,81.384,83.675
3137,79.2,80.137,80.615,79.073,80.629,81.112,80.805
3138,78.538,79.264,78.28,77.305,78.61,77.375,79.719
3139,79.503,78.309,78.782,78.08,78.194,79.599,80.983
3140,78.259,79.107,79.598,78.534,78.839,79.53,80.641
3141,79.789,77.534,81.671,80.526,79.575,82.294,82.247
3142,78.487,80.505,80.047,79.479,79.509,80.207,82.089
3143,79.035,79.282,78.703,78.928,79.781,78.837,79.56
3144,76.854,77.614,78.361,77.135,74.758,81.419,79.969
3145,75.798,78.432,78.763,76.188,78.151,77.933,76.159
3146,77.628,78.131,79.045,78.098,75.4,78.803,79.04
3147,80.32,79.289,80.583,79.642,79.055,79.994,80.145
3148,79.156,80.987,80.558,80.422,80.919,80.673,80.824
3149,79.71,79.981,80.605,79.285,79.202,80.31,80.296
3150,80.524,80.123,79.838,79.438,79.382,81.12,80.38
3153,80.139,80.258,79.25,78.443,77.496,79.659,79.701
3155,76.715,75.952,76.483,76.579,72.477,76.735,76.447
3156,80.228,79.168,79.489,79.441,77.704,81.037,80.162
3157,80.099,78.466,80.846,80.228,81.213,82.449,81.597
3158,79.078,81.072,79.511,78.314,80.855,80.116,79.738
3159,77.928,80.231,78.225,77.327,75.497,77.699,77.838
3160,81.767,82.327,80.876,81.152,81.575,80.475,80.804
3161,79.989,82.777,80.117,79.408,80.167,81.817,81.936
3162,78.283,80.487,80.548,78.119,78.688,79.728,80.622
3186,80.902,80.403,78.997,80.411,80.252,79.773,80.819
3225,78.751,78.558,77.41,78.676,77.014,79.928,80.013
3315,77.773,77.216,80.506,76.261,75.209,80.174,79.619
