id,ScoresDoorDash_Original_File_merged_DS1 resumes,ScoresDoorDash_Original_File_merged_DS2 resumes,ScoresDoorDash_Original_File_merged_DS3 resumes,ScoresDoorDash_Original_File_merged_GPT-mini1 resumes,ScoresDoorDash_Original_File_merged_Mixtral3 resumes,ScoresDoorDash_Original_File_merged_Mixtral2 resumes,ScoresDoorDash_Original_File_merged_GPT-mini2 resumes,ScoresDoorDash_Original_File_merged_Mixtral1 resumes,ScoresDoorDash_Original_File_merged_GPT-mini3 resumes,ScoresDoorDash_Original_File_twice_sonnet_doordash_pm resumes,ScoresDoorDash_Original_File_Good_merged_Llama3 resumes,ScoresDoorDash_Original_File_Good_merged_Llama2 resumes,ScoresDoorDash_Original_File_merged resumes,ScoresDoorDash_Original_File_Good_merged_Llama1 resumes,ScoresDoorDash_Original_File_sonnet_doordash_pm resumes,ScoresDoorDash_Original_File_merged_GPT-4o1 resumes,ScoresDoorDash_Original_File_merged_GPT-3.5.1 resumes,ScoresDoorDash_Original_File_merged_GPT-3.5.3 resumes,ScoresDoorDash_Original_File_merged_GPT-4o3 resumes,ScoresDoorDash_Original_File_merged_GPT-4o2 resumes,ScoresDoorDash_Original_File_merged_GPT-3.5.2 resumes
1747,79.834,79.445,79.445,79.682,80.135,78.932,80.043,80.047,80.043,81.158,78.742,78.742,79.038,78.742,80.735,80.483,78.825,78.34,80.629,80.831,78.34
1784,78.594,79.244,79.175,79.841,80.643,79.893,80.026,80.261,80.026,79.523,78.229,78.792,78.951,78.792,79.845,79.321,78.965,78.965,79.101,79.101,78.965
2476,82.835,83.271,82.491,82.188,77.432,78.888,82.188,77.41,82.41,82.714,81.757,81.757,82.712,81.757,82.714,83.223,82.194,83.778,83.497,83.223,82.083
2515,82.544,82.572,82.294,82.898,82.114,81.803,82.898,82.15,82.898,81.15,81.179,81.532,80.269,81.076,81.574,82.597,80.363,80.363,82.071,83.002,80.363
2517,79.217,80.301,80.051,83.327,79.549,79.263,83.327,80.378,83.327,81.849,81.778,82.201,78.765,81.722,81.149,81.679,79.317,79.272,81.515,81.548,79.483
2529,82.635,82.683,82.68,83.363,79.555,80.195,83.078,81.575,83.078,81.778,78.986,81.589,80.951,81.589,81.377,83.769,81.411,79.642,83.276,84.142,80.323
2538,82.954,82.779,82.54,84.314,81.578,81.823,84.676,83.375,84.507,82.628,82.444,82.33,81.519,82.926,82.223,84.086,82.853,82.119,84.059,83.848,82.119
2551,83.732,83.397,83.386,81.774,81.752,82.273,81.774,81.056,81.774,82.692,83.207,83.207,80.911,81.532,82.977,82.705,80.509,80.488,82.541,82.62,80.488
2553,83.288,83.507,84.497,83.214,82.236,81.88,83.288,82.036,83.354,82.151,83.482,83.482,81.421,83.482,82.53,81.888,81.61,81.61,82.212,82.295,81.61
2554,82.732,84.443,83.764,82.354,82.785,82.699,82.637,83.626,82.637,82.264,81.485,81.485,81.739,81.485,82.22,84.388,80.037,81.484,84.053,84.053,81.484
2555,80.868,80.868,80.868,80.436,79.732,79.632,80.436,81.531,80.436,81.202,80.65,80.65,80.237,80.671,80.674,81.074,79.702,79.702,81.008,81.009,79.545
2556,82.079,81.751,81.295,81.156,79.437,79.437,81.721,79.742,81.603,81.402,79.127,79.127,78.353,79.526,81.363,81.506,79.267,79.193,81.301,81.301,79.193
2577,82.089,82.089,82.584,83.335,82.041,81.877,83.335,83.146,83.335,84.409,84.48,84.48,82.692,84.872,84.322,84.104,82.543,82.493,84.645,84.487,82.493
