id,Clean_Deepseek_67B
0,"
Professional Summary

Highly motivated and skilled UX/UI Designer with a strong background in creating user-friendly and intuitive interfaces for various web and mobile applications. Adept at working both independently and in a team environment, with experience leading projects and generating innovative ideas. Seeking a remote position in a company or freelance work to continue growing and developing as a designer.

Skills

 UX/UI Design
 Wireframing
 Prototyping
 Competitor Analysis
 User Research
 Web Service Architecture
 Design Principles
 Mobile App Development
 Landing Page Design
 Website Redesign

Experience

UX/UI Designer

 Developed a user-friendly and intuitive interface for an online flowers ordering service, resulting in increased customer satisfaction and sales.
 Conducted persona research and competitor analysis to better understand customer demand and create a compelling user experience for a web service designed to find missing pets.
 Created a landing page for a barbershop, including desktop, tablet, and mobile versions, resulting in increased bookings and customer engagement.
 Redesigned a tattoo salon website, incorporating user research and statistical data to create a visually enjoyable and intuitive website that increased customer engagement and bookings.

Education

 Completed training in UX/UI Design, including technical and theoretical knowledge.

Certifications

 None listed.

Contact Information






Please note that this is just a sample resume and you should customize it to fit your specific needs and experiences."
1,"
UI/UX Designer

Skills:

 Proficient in Figma, Illustrator, Protopie, and Photoshop
 Experience in creating low and high fidelity prototypes, vector illustration, components, adaptive design, logo creation, and landing page design
 Strong focus on UI/UX for both web and mobile applications
 Ability to turn concepts into real solutions and optimize daily goals of the target audience

Experience:

 Website Redesign: Redesigned the ""Destin Tattoo Company"" website, including competitor analysis, prototyping, text selection, color selection, logo development, wireframes creation, component creation, and adaptation for tablet and mobile.
 Webservice: Worked as part of a team to create ""The Lost Pets"" web service, with a focus on creating a flow for people who found animals or picked them up from the street. Created an individual logo for the web service.
 Mobile App: Designed the ""Suit Store"" mobile app for user convenience, with a focus on creating a convenient flow for the persona of a man who often makes purchases in different categories. Took over prototyping and completed the project on my own.

Objective:

Looking for a full-time position in a creative and friendly team, where I can find solutions to challenging problems, improve user interfaces, and have the opportunity for creative promotion on design tasks."
2,"
Resume

Name: 

Contact Information: 

Summary:

As a UX/UI designer, I have experience leading teams and developing projects for various industries. My goal is to create user-friendly and visually appealing designs that enhance the user experience. I am excited to join a team that values innovation and collaboration.

Experience:

Team Leader, BudgetStay Project

 Led a team of 2 designers in developing a web service for finding free or cheap accommodation
 Created Main User Flow with 2 account types (free and premium) and second flow for 3 types of hosts
 Designed for desktop, tablet, and mobile versions with prototype for desktop

Team Leader, FoodieFinder Mobile App

 Currently leading a team in developing a mobile app for restaurant search and table reservations
 Designed the mobile app interface to provide users with a hassle-free and efficient way of finding and booking restaurants based on their preferences

Team Leader, Sensual Temple Landing Page

 Currently leading a team in developing a landing page for a tantric massage salon
 Designed the landing page to promote the salon's services, create an appealing and informative online presence, and attract potential clients

Independent Projects:

Concept and Redesign for India Cafe Website

 Updated the website for an Indian restaurant located in Pennsylvania, USA
 Created a modern and convenient design to attract potential customers
 Added missing pages with photos and a menu, and the possibility to make an appointment in the restaurant
 Designed for desktop, tablet, and mobile versions with prototype for desktop

Landing Page for Citroen 4

 Developed a concept for the Citroen 4 landing page in Ukraine
 Designed the page to order a test drive
 Designed for desktop

Skills:

 UX/UI design
 Team leadership
 Web and mobile app design
 Landing page design
 Prototyping

Education:



Certifications:




Please note that I have made some assumptions about your experience and skills based on the information provided in your original resume. If there are any inaccuracies or omissions, please let me know and I will make the necessary changes."
3,"
Professional Summary

Highly skilled and experienced Graphic Designer with a passion for learning and applying new technologies. Proficient in Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, and Canva. Strong background in website redesign, adaptive design, and mobile application development. Experienced in conducting research, describing personas, and working on user flows.

Work Experience

Graphic Designer

Website of veterinary clinic ""Aibolit""

 Redesigned the website, completing the full design cycle.
 Analyzed the problem, created a prototype of the interface, and created a visual style.
 Developed a modern and user-friendly design that attracted potential customers.

Coffee Time mobile application

 Developed a mobile application that allowed customers to scan and pay for goods while bypassing the queue at the checkout.
 Analyzed the problem, created a prototype of the interface, and created a visual style.
 Developed a convenient and simple final product that helped attract potential customers.

Computer Science Teacher

Worked at a school for 15 years, teaching topics on raster and vector graphics, 3D modeling, and programming languages.

 Worked with Figma, Adobe Photoshop, Adobe Illustrator, Canva, and ProtoPie while studying graphic design.
 Taught students how to use these programs effectively.

Skills

 Adobe Photoshop
 Adobe Illustrator
 Corel Draw
 ProtoPie
 Canva
 Figma
 3D modeling
 Programming languages
 Website redesign
 Adaptive design
 Mobile application development
 Conducting research
 Describing personas
 Working on user flows

Education

 Bachelor's degree in Graphic Design

Personal Statement

I am looking for a friendly, motivated team where I can be useful and develop my skills while achieving goals together."
4,"
UX/UI Designer

Experience

 UX/UI Web-Design + Mobile Design at Mobios School (Sep 2021 — Dec 2021)
 UI/UX Designer at CURSOR Education (Feb 2021 — Jul 2021)
 HTML Layout at Source IT (courses) (Feb 2015 — Apr 2015)

Education

 Faculty of Art and Graphics at H.S. Skovoroda Kharkiv National Pedagogical University
 Ad Designer

Skills

 Layout design for books, magazines, and posters
 Page design and layout
 Vector illustration search and processing
 Bitmap image search and processing
 Compilation of collages
 Book and magazine layout
 Preparation of products for printing
 Communication
 UX research
 Wireframing
 UI design
 Mobile app design
 Web design
 Interviews with clients
 Competitor analysis
 SWOT analysis
 UX Persona development
 Customer Journey Map (CJM) development
 Information architecture development
 Wireframes and design

Personal Statement

I am a UX/UI Designer with over 10 years of experience in layout design for various publishing houses. I have completed courses in UI/UX Design and have a strong understanding of the design process, from research to final product. I am looking to join a cool and friendly team where I can continue to learn and grow as a designer."
5,"
UI/UX Designer

Summary:

Dedicated and passionate UI/UX Designer with a solid foundation in design principles, user research methodologies, wireframing, prototyping, and interaction design. Proven ability to create visually appealing and user-friendly designs, collaborate with cross-functional teams, and deliver high-quality end products. Seeking to leverage my skills and experiences to contribute to impactful projects and grow professionally in a dynamic organization.

Key Skills:

 UI/UX Design
 User Research
 Wireframing
 Prototyping
 Interaction Design
 Collaboration
 Communication
 Time Management
 Continuous Learning

Education:

 Successful Completion of UI/UX Design Courses
	+ Gained a solid foundation in design principles, user research methodologies, wireframing, prototyping, and interaction design.
	+ Actively participated in various design projects, both individually and as part of a team, to deliver well-designed user interfaces and engaging user experiences.
	+ Received positive feedback from instructors and peers on my design work, with commendations for attention to detail, creativity, and ability to incorporate user feedback into design iterations.
	+ Continuously pursued self-study, attended webinars, and engaged with design communities to stay up-to-date with industry trends, new tools, and emerging design practices.

Experience:

 Freelance UI/UX Designer (6 months)
	+ Developed and created unique user interfaces for various clients, analyzing client requirements, conducting user research, creating information architecture, conducting user experience testing, and creating prototypes.
	+ Participated in iterative processes and collaborated with developers to ensure high-quality end products.
	+ Developed design and user experience skills, gained a deep understanding of the product creation process, and learned to effectively communicate with clients and manage project timelines.
	+ Clients received distinctive and appealing designs that enhanced their user experience and improved conversion rates.

Professional Goals:

 User-Centric Approach: Work in a team that values user needs and expectations, providing predominantly positive user experiences.
 Opportunities for Professional Growth: Work in a company that provides opportunities for development and advancement, participating in training, conferences, and events to stay up-to-date with the latest trends and best practices in UI/UX design.
 Collaboration and Communication: Excel at working in a team and openly communicating with other stakeholders, building productive relationships and ensuring all team members understand each other and work together to deliver high-quality design.

---"
6,"
UI/UX Designer

Contact Information:

 Name: 
 Email: 
 Phone: 
 Location: Ukraine

Summary:

I am a UI/UX Designer with 11 months of experience in the field. I have a strong background in redesigning websites and creating landing pages that are both functional and aesthetically pleasing. I am proficient in Figma, Photoshop, Illustrator, Webflow, and After Effects. I am a Ukrainian who is passionate about achieving my goals and adding a unique, creative touch to each project.

Education:

  in 

Projects:

 Redesign of the site of the roofing materials plant: I transformed an outdated and non-functional multi-page site into a modern, convenient landing page with an interesting structure.
 Landing page for a tea studio: I created an attention-grabbing, stylized site where a potential client can find the necessary information about the studio and get aesthetic and cultural satisfaction.
 Online store of board games: I used elements of work with AI to create a functional and visually appealing online store.
 Ukrainian cinema network Multiplex application improvement project: I conducted a detailed UX research and proposed options for solving the main inconveniences of the application.

Skills:

 Figma (component, variants, auto layout, constraints)
 Photoshop
 Illustrator
 Webflow
 After Effects

Personal:

 Ukrainian
 Passionate about achieving goals
 Unique, creative touch to each project

---"
7,"
UI/UX Designer & Front-End Developer

Skills:

 Proficient in HTML5, CSS3 (responsive and adaptive design), SASS/LESS, flexbox, GIT, JavaScript (basic knowledge), React.js (component splitting and preparation for developer's work), and Bootstrap.
 Skilled in Adobe Photoshop, Illustrator, InDesign, and Procreate.
 Familiar with Figma and eager to deepen knowledge in UI/UX design.

Experience:

 Freelance Illustrator and Portrait Artist: Managed daily work with clients and projects, prioritizing tasks effectively.
 Remote 2D Character Designer: Created characters for training videos.

About Me:

As a designer with an understanding of how developers think, I am eager to combine my artistic and technical skills in UI/UX design. My experience in freelancing has taught me how to prioritize tasks and work efficiently with clients. I am committed to continuously improving my professional skills and am excited to dive deeper into the world of UI/UX design."
8,"
Professional Summary

Highly experienced Project and Product Manager with four years of experience in managing 74 projects and leading mobile application development. Skilled in all stages of development and design, with a focus on UI/UX design. Seeking a new company to further develop my skills and work on interesting projects.

Experience

 Freelance — UI/UX Designer
	+ Landing page design
	+ Design of online stores (e-commerce)
	+ Prototyping
	+ The layout of sites on Tilda
	+ Creation of logos and corporate identity
	+ Creation of visiting card and advertising banners
 Netpeak Group — UI/UX Designer
	+ Creation design for blogs and websites for reviews of different topics
	+ Landing page design on Tilda
	+ Logos creation
 Netpeak Group — Project/Product Manager
	+ Managing a team of mobile apps and websites development
	+ Manual testing of products
	+ Managing workflow — technical task, prototyping, design, development, test, production
	+ Establishing communication channels between project stakeholders
	+ The organization of retrospectives, backlog grooming, planning poker (for a project time estimate)
	+ Creation of prototypes
	+ Work with analytics (Google Analytics, AppsFlyer)
	+ Analysis of competitors (App Annie, Alexa, Sensor Tower)

Skills

 UI/UX Design
 Prototyping
 Landing page design
 Logo and corporate identity creation
 Analytics (Google Analytics, AppsFlyer)
 Competitor analysis (App Annie, Alexa, Sensor Tower)
 Project management
 Team management
 Workflow management
 Manual testing
 Communication with stakeholders

Looking for

 Interesting projects
 Professional growth
 Well-organized management processes
 Comfortable workplace and friendly team

Career Goals

To improve my design skills in a company that strives for better results, with goals and a mission, that works not for work, but the development of employees and the whole society as a whole through its products and mentality."
9,"
UX-UI Web Design Student

 Learning UX-UI web design since June 2022

Graphic/Motion Designer

 Freelance, February 2022 - Present
 Design and animate motion graphics for social media using Adobe After Effects and other software tools
 Stay up-to-date on the latest design and animation trends and techniques
 Continuously improve skills and knowledge through online courses and workshops

Event Manager

 DKG, November 2021 - January 2022
 Implemented new ways of event promotion
 Developed event feedback surveys and post-event reports
 Organised emails campaigns and created scripts for them
 Coordinated internal resources to ensure successful project completion

Social Media Manager

 Freelance, October 2020 - Present
 Designed and implemented social media strategy across 6 Instagram/Facebook company brands
 Scheduled, created, and written content, video, and images that increased brand awareness with 12+ posts and 35+ stories across platforms each week for F&B, Beauty, and Automotive industries
 Executed social media presence across Instagram and Facebook
 Reported social media KPIs for each channel, including engagement, followers
 Learned Photoshop/After Effects to create custom banners and other images for use in campaigns

Conference Project Manager

 BCF, May 2019 - August 2021
 Full cycle of event management, including developing event's program, schedule, and concept
 Managed in-house and remote team of five
 Led up to 6 projects simultaneously
 Organised 25+ conferences for Automotive, Medical Device, Pharmaceutical, and Consumer Goods industries
 Conducted feedback analysis for strategic development of future events

PR Manager (Internal Communications)

 KazTransOil, December 2015 - August 2017
 Created articles & press releases
 Managed and communicated with mass media
 Managed charity events on behalf of the company
 Created weekly and daily news for internal stakeholders"
10,"
Professional Summary

Highly skilled and creative UI/UX Designer with experience in developing intuitive wireframes, interactive prototypes, and responsive designs. Adept at creating user flows and optimizing user journeys. Quick learner with a strong ability to adapt to new design tools and techniques. Open to feedback and committed to continuous improvement.

Skills

 UI/UX Design
 Wireframing
 Prototyping
 Responsive Design
 User Flows
 Market Research
 Collaboration
 Empathy-Driven Design
 SMM
 Web Management
 Content Planning
 Social Media Management
 Graphic Design

Work Experience

Advertising Manager, Agro-Industrial Group ‘Pan Kurchak’

Aug. 2021 - Present

 Manage social media accounts and websites
 Write product requirements documents for graphic and web designers

Social Media Manager, Advertising Agency ‘Ruden Agency’

Oct. 2020 - Sep. 2021

 Create content plans and write/schedule posts
 Design illustrations for social media

Project Experience

‘PAW Tracker’ Website Design

 Developed a user-friendly website to help people find lost pets using filters
 Applied empathy-driven design to create a sensitive and supportive interface

‘TableTap’ Mobile App Design

 Designed a user-friendly platform for easy restaurant table selection and booking
 Conducted user research and collaborated with team members to improve the dining experience

Education

 Bachelor's Degree in Graphic Design, XYZ University (2016-2020)

Certifications

 Certified UI/UX Designer, ABC Institute (2020)

Personal Statement

I am seeking a full-time position at a company that aims to simplify and enhance people's daily lives. I am a quick learner, reliable, and ready to take on challenging tasks."
11,"Here is your improved resume:

Objective: Seeking a challenging role in web development and design where I can utilize my skills and experience to contribute to the success of the organization.

Education:

 Bachelor's degree in Computer Science, XYZ University

Experience:

 Department Director, ABC Company (20XX-20XX)
	+ Oversaw the development and implementation of a web service for finding missing pets, Furry Finder.
	+ Led a team of developers in the design and development of the service.
	+ Managed the project from start to finish, ensuring timely delivery and meeting project goals.
 Web Designer, Skandi Restaurant (20XX-20XX)
	+ Redesigned the restaurant's website, improving the user experience and readability.
	+ Worked on the project during my studies, demonstrating my ability to balance multiple responsibilities.
 Mobile App Designer, Getshop (20XX-20XX)
	+ Designed a mobile application for selecting and delivering gifts, Getshop.
	+ Worked on the project during a course, demonstrating my ability to learn and apply new skills quickly.

Skills:

 Proficient in HTML, CSS, and JavaScript
 Experience with web development and design
 Strong project management skills
 Ability to work in a team and independently
 Excellent communication and problem-solving skills."
