id,Clean_Deepseek_V3
0,"  
  
Objective  
Motivated and detail-oriented designer seeking a remote or freelance position to contribute to creating user-centered products. Eager to grow and develop professionally, ideally within a company that offers mentorship opportunities.  
Projects  
Flowers Delivery Mobile App  
- Designed a user-friendly and intuitive interface for an online flower ordering service.  
- Conducted persona research to better understand customer needs and preferences.  
- Developed a seamless app experience enabling customers to order bouquets globally.  
Pet Scout: Animal Pet Search Web Service  
- Performed UX research, including competitor analysis and user flow optimization.  
- Collaborated with a team to create wireframes, mockups, prototypes, and Behance presentations.  
- Applied design principles to enhance the user experience for a web service dedicated to finding missing pets.  
Barbershop Landing Page  
- Designed a responsive landing page showcasing barbershop services and enabling appointment bookings.  
- Conducted competitor analysis and developed user personas to inform design decisions.  
- Created desktop, tablet, and mobile versions of the site for optimal user accessibility.  
Tattoo Studio Website Redesign  
- Redesigned a tattoo studio website to allow visitors to browse artist portfolios, select services, and book consultations.  
- Analyzed competitor websites, including demographic data such as age and gender, to inform design choices.  
- Delivered a visually appealing and intuitive website tailored to user preferences.  
Skills  
- UX/UI Design  
- Wireframing and Prototyping  
- Competitor and User Research  
- Persona Development  
- Responsive Design  
- Team Collaboration and Leadership  
Experience  
- Completed three projects during training, including two independent projects and one team-based project.  
- Led a team project as the primary idea generator and leader.  
- Gained technical and theoretical knowledge through hands-on training.  
Availability  
Open to remote or freelance opportunities. Committed to continuous growth and development as a designer."
1,"  
  
Skills  
- Proficient in Figma, Adobe Illustrator, Protopie, and Photoshop  
- Expertise in low and high-fidelity prototyping, vector illustration, component creation, adaptive design, logo creation, and landing page design  
- Strong focus on improving user interface (UI) and user experience (UX) for web and mobile applications  
- Ability to transform concepts into functional solutions while balancing aesthetics and usability  
Experience  
UI/UX Designer  
Freelance/Project-Based Work  
- Website Redesign: ""Destin Tattoo Company""  
  - Conducted competitor analysis, created wireframes, and developed prototypes.  
  - Selected typography, color schemes, and designed a custom logo.  
  - Adapted designs for tablet and mobile devices, ensuring responsive and adaptive layouts.  
- Web Service: ""The Lost Pets"" (Team Project)  
  - Collaborated with a team to design a platform for finding, returning, or adopting lost pets.  
  - Created user flows for individuals who found or rescued animals.  
  - Designed a unique logo for the web service.  
- Mobile App: ""Suit Store""  
  - Designed an intuitive and user-friendly shopping experience for a mobile app.  
  - Developed user flows tailored to the persona of a frequent shopper across multiple categories.  
  - Took full ownership of the project from prototyping to final design after initial team collaboration.  
Career Goals  
- Seeking a full-time role in a creative and collaborative team environment.  
- Passionate about solving complex design challenges and enhancing user interfaces.  
- Eager to contribute to innovative design solutions and grow creatively within design-focused tasks.  
Portfolio  
  
Availability  
Immediately available for full-time opportunities."
2,"Professional Summary  
Experienced UX/UI Designer with a proven track record of leading and delivering innovative design projects. Skilled in creating user-centered designs for web and mobile applications, with expertise in developing intuitive interfaces and seamless user experiences. Adept at collaborating with teams and independently managing projects from concept to completion.  
Projects  
BudgetStay Project – Web Service (Team Project, 2 Designers)  
- Developed a web service interface for finding free or affordable accommodations (couch surfing, private accommodations, hostels).  
- Created Main User Flow for 2 account types (free and premium) and secondary flow for 3 types of hosts.  
- Designed responsive interfaces for desktop, tablet, and mobile versions, including a desktop prototype.  
FoodieFinder – Mobile App Design (Pet Project)  
- Designed a mobile application for restaurant search and table reservations, focusing on user preferences and seamless booking experiences.  
- Developed a user-friendly interface to enhance the efficiency of finding and reserving restaurants.  
Sensual Temple – Landing Page (Team Leader)  
- Led the development of a responsive landing page for a tantric massage salon, promoting services and attracting potential clients.  
- Designed for desktop, tablet, and mobile devices, ensuring a consistent and engaging user experience.  
India Cafe – Website Redesign (Independent Work)  
- Redesigned the website for an Indian restaurant in Pennsylvania, USA, to create a modern and convenient design.  
- Added missing pages, including photos and a menu, and implemented a reservation feature.  
- Designed responsive interfaces for desktop, tablet, and mobile versions, including a desktop prototype.  
Citroen 4 – Landing Page Concept (Independent Work)  
- Conceptualized a landing page for Citroen 4 in Ukraine, focusing on test drive bookings.  
- Designed a desktop version to enhance user engagement and drive conversions.  
Skills  
- UX/UI Design  
- Responsive Design (Desktop, Tablet, Mobile)  
- Prototyping  
- User Flow Development  
- Team Leadership  
- Independent Project Management  
Career Objective  
Seeking to join a dynamic team as a UX/UI Designer, where I can contribute to creating modern, user-centered designs that bridge the gap between service providers and clients. Committed to continuous learning and skill improvement to deliver exceptional results."
3,"  
  
Professional Summary  
Experienced computer science teacher and graphic designer with 15 years of teaching experience and a strong background in design tools and methodologies. Skilled in website redesign, adaptive design, mobile application development, and user experience research. Proficient in Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, Canva, and Figma. Passionate about learning and applying new technologies to create innovative and user-friendly designs.  
Professional Experience  
Computer Science Teacher  
 |   
- Taught topics on raster and vector graphics, 3D modeling, and programming languages.  
- Developed and implemented engaging lesson plans to foster student understanding and creativity.  
- Utilized design tools such as Adobe Photoshop, Adobe Illustrator, Corel Draw, and Canva in classroom instruction.  
Graphic Designer  
Freelance |   
- Designed and executed website redesigns, adaptive designs, and mobile applications.  
- Conducted user research, created moodboards, developed landing pages, described user personas, and designed user flows.  
- Collaborated with clients to deliver modern, user-friendly designs that met project goals.  
Key Projects  
Website Redesign – Veterinary Clinic ""Aibolit""  
- Conducted problem analysis, created interface prototypes, and developed a visual style.  
- Delivered a modern, user-friendly design to attract potential customers.  
Mobile Application – ""Coffee Time""  
- Designed a mobile application to enable scanning and payment of goods, reducing checkout queues.  
- Created interface prototypes and visual styles to deliver a seamless user experience.  
Skills  
- Design Tools: Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, Canva, Figma  
- Design Methodologies: Website redesign, adaptive design, mobile application design, user research, moodboard creation, landing page development, persona description, user flow design  
- Teaching: Raster and vector graphics, 3D modeling, programming languages  
Education  
  
 |   
Interests  
- Learning and applying new technologies  
- Collaborating with motivated teams to achieve shared goals"
4,"• Mobios School (Sep 2021 — Dec 2021)  
UX/UI Web Design + Mobile Design  
• CURSOR Education (Feb 2021 — Jul 2021)  
UI/UX Designer  
• Source IT (Courses) (Feb 2015 — Apr 2015)  
HTML Layout  
• H.S. Skovoroda Kharkiv National Pedagogical University  
Faculty of Art and Graphics  
Ad Designer  
• Layout Designer (10+ years)  
Worked in various publishing houses.  
Responsibilities:  
- Development of layouts for books, magazines, and posters.  
- Page design, search, and processing of vector illustrations (including drawing when necessary).  
- Search and processing of bitmap images, compilation of collages.  
- Layout of books and magazines.  
- Preparation of products for printing.  
• UI/UX Design Courses  
Graduated with a focus on:  
- Communication  
- UX Research  
- Wireframing  
- UI Design  
- Mobile App Design  
- Web Design  
Final Project:  
- Conducted client interviews and competitor analysis.  
- Performed SWOT analysis, developed UX Personas, and Customer Journey Maps (CJM).  
- Created information architecture, wireframes, and final designs.  
Seeking to join a collaborative and supportive team where I can continue to learn, grow, and refine my skills."
5,"  
 |  |  |  |  |   
---
 Professional Summary  
Dedicated and detail-oriented UI/UX Designer with a strong foundation in design principles, user research, wireframing, prototyping, and interaction design. Experienced in collaborating with cross-functional teams to deliver visually appealing and user-friendly designs. Proven ability to work independently, manage project timelines, and incorporate user feedback to create impactful design solutions. Committed to continuous learning and professional growth to stay current with industry trends and best practices.  
---
 Professional Experience  
Freelance UI/UX Designer  
 |  –   
- Developed and created unique user interfaces for various clients, ensuring alignment with client requirements and user needs.  
- Conducted user research, created information architecture, and performed user experience testing to inform design decisions.  
- Designed prototypes and participated in iterative processes to refine designs and improve usability.  
- Collaborated with developers to ensure high-quality end products and seamless implementation of designs.  
- Delivered distinctive and appealing designs that enhanced user experience and improved client conversion rates.  
- Gained a deep understanding of the product creation process and honed skills in client communication and project management.  
---
 Education & Training  
UI/UX Design Courses  
 |   
- Completed comprehensive training in design principles, user research methodologies, wireframing, prototyping, and interaction design.  
- Applied theoretical knowledge to real-world projects, both individually and as part of a team, to deliver well-designed user interfaces and engaging user experiences.  
- Received positive feedback from instructors and peers for attention to detail, creativity, and ability to incorporate user feedback into design iterations.  
---
 Key Skills  
- User Research & Analysis  
- Wireframing & Prototyping  
- Information Architecture  
- Interaction Design  
- Client Communication  
- Project Management  
- Collaboration with Cross-Functional Teams  
- Proficiency in Design Tools (e.g., Figma, Adobe XD, Sketch)  
---
 Achievements  
- Successfully completed UI/UX design courses, demonstrating commitment to learning and skill development.  
- Contributed to multiple design projects, receiving recognition for creativity and attention to detail.  
- Delivered high-quality freelance design solutions that improved client user experiences and conversion rates.  
- Actively pursued self-study, attended webinars, and engaged with design communities to stay current with industry trends and tools.  
---
 Professional Goals  
- To work in a team that prioritizes user-centric design and values collaboration and communication.  
- To contribute to impactful projects that enhance user experiences and drive business success.  
- To continue professional development through training, conferences, and engagement with the design community.  
---  
"
6,"  
  
Professional Summary  
Dedicated and detail-oriented UI/UX designer with 11 months of experience in creating modern, user-friendly, and visually appealing digital solutions. Proficient in Figma, Photoshop, Illustrator, Webflow, and After Effects. Skilled in conducting UX research, redesigning websites, and developing landing pages that combine functionality with aesthetic appeal.  
Key Skills  
- UI/UX Design  
- Figma (components, variants, auto layout, constraints)  
- Adobe Photoshop and Illustrator  
- Webflow  
- After Effects (motion design)  
- UX Research  
- Landing Page Design  
- Responsive Web Design  
Professional Experience  
UI/UX Designer | Freelance |  – Present  
- Redesigned the website for a roofing materials plant, transforming it from an outdated, non-functional multi-page site into a modern, user-friendly landing page with an intuitive structure.  
- Developed a landing page for a tea studio, focusing on creating an attention-grabbing, stylized design that provided both informational and aesthetic value to potential clients.  
- Contributed to the development of an online store for board games, incorporating AI elements to enhance user experience.  
- Conducted detailed UX research for the Ukrainian cinema network Multiplex, identifying key user inconveniences and proposing actionable solutions to improve the application.  
Education  
 |  |   
Languages  
- Ukrainian (Native)  
- English (Proficient)  
Personal Attributes  
- Strong problem-solving skills and a commitment to continuous learning.  
- Ability to infuse projects with creativity and a unique, original style.  
- Resilient and goal-oriented, with a determination to succeed in challenging environments."
7,"  
  
Skills  
- HTML5, CSS3 (responsive and adaptive design), SASS/LESS  
- Flexbox, GIT, Bootstrap  
- JavaScript (basic knowledge)  
- React.js (splitting into components and preparing for developer’s work)  
- Adobe Photoshop, Illustrator, InDesign, Procreate  
- Figma (rapid learner, eager to deepen knowledge)  
Experience  
Freelance Illustrator & Designer  
- Created commissioned illustrations and portraits, managing client relationships and project priorities.  
- Designed 2D characters for training videos, working remotely with clients.  
- Utilized Adobe Photoshop, Illustrator, InDesign, and Procreate for design projects.  
UI/UX Design Aspirant  
- Transitioning into UI/UX design to combine art/design with front-end development.  
- Quickly learned Figma and actively seeking to expand expertise in UI/UX principles and tools.  
Professional Development  
- Continuously improving technical and design skills through self-study and practice.  
- Strong understanding of developer workflows, enabling effective collaboration between design and development teams.  
Objective  
To leverage my design and front-end development skills in a UI/UX design role, combining creativity with technical expertise to create user-centered digital experiences."
8,"  
  
Professional Summary  
Experienced Project and Product Manager with four years of expertise in managing 74 simultaneous website projects and leading mobile application development. Skilled in overseeing all stages of development, from technical tasks to production. Proficient in UI/UX design with hands-on experience in freelance and corporate roles. Adept at team management, workflow optimization, and stakeholder communication. Seeking a role that fosters professional growth, offers engaging projects, and promotes a collaborative and innovative work environment.  
Professional Experience  
Freelance — UI/UX Designer  
- Designed landing pages and e-commerce websites.  
- Created prototypes and developed layouts on Tilda.  
- Designed logos, corporate identities, visiting cards, and advertising banners.  
Netpeak Group — UI/UX Designer  
- Designed blogs and review websites across various topics.  
- Developed landing pages on Tilda.  
- Created logos and branding materials.  
Netpeak Group — Project/Product Manager  
- Managed teams for mobile app and website development.  
- Conducted manual testing of products.  
- Oversaw workflow processes, including technical tasks, prototyping, design, development, testing, and production.  
- Established communication channels between project stakeholders.  
- Organized retrospectives, backlog grooming, and planning poker sessions for project time estimation.  
- Created prototypes and worked with analytics tools (Google Analytics, AppsFlyer).  
- Conducted competitor analysis using App Annie, Alexa, and Sensor Tower.  
Education & Certifications  
- Completed four design courses at Projector School.  
Skills  
- Project and Product Management  
- UI/UX Design  
- Prototyping  
- Team Leadership  
- Workflow Optimization  
- Stakeholder Communication  
- Analytics (Google Analytics, AppsFlyer)  
- Competitor Analysis (App Annie, Alexa, Sensor Tower)  
- Tools: Tilda, Figma, Adobe Creative Suite  
Career Goals  
- Work on interesting and impactful projects.  
- Continue professional growth in a well-organized and supportive environment.  
- Contribute to a company with a clear mission and a focus on employee and societal development."
9,"  
  
UX/UI Web Design Learner  
June 2022 – Present  
Currently learning UX/UI web design principles and practices.  
Graphic/Motion Designer  
Freelance | February 2022 – Present  
- Designed and animated motion graphics for social media using Adobe After Effects and other software tools.  
- Stayed up-to-date on the latest design and animation trends and techniques.  
- Continuously improved skills and knowledge through online courses and workshops.  
- Showcased artworks on Instagram page Kara_mond.  
Event Manager  
DKG | November 2021 – January 2022  
- Implemented new ways of event promotion.  
- Developed event feedback surveys and post-event reports.  
- Organized email campaigns and created scripts for them.  
- Coordinated internal resources to ensure successful project completion.  
Social Media Manager  
Freelance | October 2020 – 2022  
- Designed and implemented social media strategies across 6 Instagram/Facebook company brands.  
- Scheduled, created, and wrote content, video, and images, increasing brand awareness with 12+ posts and 35+ stories across platforms each week for F&B, Beauty, and Automotive industries.  
- Executed social media presence across Instagram and Facebook.  
- Reported social media KPIs for each channel, including engagement and followers.  
- Learned Photoshop and After Effects to create custom banners and other images for use in campaigns.  
Conference Project Manager  
BCF | May 2019 – August 2021  
- Managed the full cycle of event management, including developing event programs, schedules, and concepts.  
- Managed an in-house and remote team of five.  
- Led up to 6 projects simultaneously.  
- Organized 25+ conferences for Automotive, Medical Device, Pharmaceutical, and Consumer Goods industries.  
- Conducted feedback analysis for strategic development of future events.  
PR Manager (Internal Communications)  
KazTransOil | December 2015 – August 2017  
- Created articles and press releases.  
- Managed and communicated with mass media.  
- Organized charity events on behalf of the company.  
- Produced weekly and daily news for internal stakeholders.  
Skills  
- Adobe After Effects, Photoshop  
- Social Media Strategy and Management  
- Event Planning and Management  
- Motion Graphics Design  
- Content Creation and Copywriting  
- Team Coordination and Project Management"
