id,GPT-3.5-Turbo
0,"
 During my training, I completed three projects, two independently and one as part of a team. I have experience working collaboratively and independently, and I have taken on leadership roles in group projects. I have gained technical knowledge and theoretical understanding throughout my training.

Flowers Delivery Mobile App:
- Developed a user-friendly interface for an online flowers ordering service
- Conducted persona research to understand customer demand
- Created a convenient app for customers to order bouquets globally

Pet Scout Animal Search Web Service:
- Conducted UX research on competitor analysis and user flow
- Worked with web service architecture and design principles to enhance user experience
- Created wireframes, mockups, prototypes, and Behance in a team setting

Barbershop Landing Page:
- Developed a landing page for a barbershop, allowing users to learn about services and make appointments
- Conducted competitor analysis, developed personas, and utilized research methods
- Created desktop, tablet, and mobile versions of the site

Tattoo Studio Website Redesign:
- Designed a tattoo salon website for choosing artists, viewing portfolios, and scheduling consultations
- Analyzed competitor data by age, sex, and other factors to inform design decisions
- Created an engaging and user-friendly website based on research findings

I am seeking remote or freelance design opportunities to further my growth and development. I am interested in companies that offer mentoring to help me create products that customers will love.
"
1,"
 Proficient in Figma, Illustrator, Protopie, and Photoshop. Skilled in low and high fidelity prototypes, vector illustration, components, adaptive design, logo creation, landing page design, and improving user interface and experience for web and mobile applications. Experienced in turning concepts into real solutions and solving challenges for target audiences. 

Notable Projects:
1. Redesigned ""Destin Tattoo Company"" website independently. Conducted competitor analysis, prototyping, text and color selection, logo development, wireframes creation, and component adaptation for tablet and mobile.
2. Collaborated on ""The Lost Pets"" webservice project. Created a flow for people finding or returning animals, and designed a unique logo for the service.
3. Led the design of mobile app ""Suit Store"" with a focus on user convenience and simplicity. Developed a seamless flow for male persona users and completed all design work independently up to final prototyping stage.

Seeking a full-time position in a creative and collaborative team environment to tackle challenging problems and enhance user interfaces through innovative design solutions. Eager for opportunities to creatively contribute to design tasks.
"
2,"
 Experienced team leader with a background in project management, web and mobile app design. Strong skills in UX/UI design, creating landing pages, and developing concepts for a variety of industries, including restaurants and automotive. Successfully completed projects such as ""BudgetStay project,"" ""FoodieFinder"" mobile app, ""Tantric massage salon Sensual"" landing page, and ""India Cafe"" website redesign. Skilled at creating modern and user-friendly designs that attract and engage target audiences. Excited to bring creativity and innovation to a new team and continue to grow and enhance my skills as a UX/UI designer.
"
3,"
 3 favorite projects:
1. Website redesign for a veterinary clinic ""Aibolit""
- Conducted full design cycle including problem analysis, interface prototyping, visual style creation
- Ensured the final product was modern and user-friendly to attract potential customers

2. Adaptive design for ""Coffee Time"" mobile application
- Managed full design cycle including problem analysis, interface prototyping, visual style creation
- Developed a mobile application enabling scanning and payment for goods to bypass checkout queues and attract potential customers

Skills:
- Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, Canva
- Figma
- Raster and vector graphics
- 3D modeling
- Programming languages

Experience:
- 15 years as a computer science teacher, teaching topics including graphic design and programming languages
- Committed to learning and applying new technologies to achieve goals and contribute to team success

Seeking a friendly and motivated team to collaborate with for professional development and goal achievement.
"
4,"
 • Mobios School (Sep 2021 — Dec 2021)
  UX/UI web-design + mobile design

• CURSOR Education (Feb 2021 — Jul 2021)
  UI/UX Designer 

• Source IT (courses). (Feb 2015 — Apr 2015)
  HTML layout

• H.S. Skovoroda Kharkiv National Pedagogical University
  Faculty of Art and Graphics 
  Ad designer

Professional Experience:
- Layout Designer in various publishing houses (10+ years)
  - Developed layouts for books, magazines, and posters
  - Page design, search and processing of vector illustrations, search for bitmap images, compilation of collages
  - Preparation of products for printing

Education:
- Graduated from UI / UX Design courses
  - Analyzed communication, UX research, wireframing, UI design, mobile app design, web design
  - Developed final project including interviews with the client, competitor analysis, SWOT analysis, UX Persona, CJM, information architecture development, Wireframes, and design

Seeking to join a cool and friendly team where I can continue learning and receive guidance to improve skills.
"
5,"
 Name: [Your Name]
Email: [Your Email]
Phone: [Your Phone Number]
Location: [Your Location]

Education:
- Completed comprehensive UI/UX design courses, focusing on design principles, user research methodologies, wireframing, prototyping, and interaction design.

Experience:
- Freelance UI/UX Designer (6 months): Developed unique user interfaces for various clients, conducted user research, created information architecture, conducted user experience testing, created prototypes, and collaborated with developers to ensure high-quality end products.
- Received positive feedback from clients for delivering distinctive and appealing designs that enhanced user experience and improved conversion rates.

Skills:
- User-centric approach to design
- Strong commitment to professional growth and development
- Excellent collaboration and communication skills

Achievements:
- Successfully completed UI/UX design courses, showcasing dedication to learning and skill development.
- Actively contributed to design projects, demonstrating ability to create visually appealing and user-friendly designs.
- Received positive feedback from instructors, peers, and clients for attention to detail, creativity, and incorporating user feedback into design iterations.
- Demonstrated continuous learning and growth through self-study, webinars, and engagement with design communities.

As a determined and eager UI/UX Designer, I am excited to leverage my skills, experiences, and achievements to contribute effectively to impactful projects and further develop as a valuable team member in a dynamic and collaborative environment.
"
6,"
 My resume includes the following projects completed during my continuous studies:

- Redesign of the site of a roofing materials plant, transforming it from an outdated multi-page site to a modern, convenient landing page with an interesting structure.
- Creation of a landing page for a tea studio, focusing on making an attention-grabbing, stylized site that offers both necessary information and aesthetic and cultural satisfaction.
- Development of an online store for board games, incorporating elements of work with AI.
- Participation in the Ukrainian cinema network Multiplex application improvement project, conducting detailed UX research and proposing solutions for main inconveniences.

Over the past eleven months, I have focused on developing my skills in Ui/Ux design, mastering Figma (components, variants, auto layout, constraints) as my main tool, along with Photoshop and Illustrator. I am proficient in using Webflow and After Effects for web design and motion graphics. Additionally, I am committed to continuous learning and honing my skills in web design, infusing each project with my unique and creative Ukrainian style.
"
7,"
 HTML5, CSS3 (responsive and adaptive design), SASS/ LESS, flexbox, GIT, basic Java Script knowledge, React.js (component splitting, developer preparation), Bootsrap. Understanding of developer perspective. Freelanced illustrations and portraits, prioritizing client and project work. Proficient in Adobe programs (Photoshop, Illustrator, InDesign, Procreate). Remote work creating 2D characters for training videos. Pursuing development in UI/UX design, proficient in Figma. Passionate about combining art/design with front-end development.
"
8,"
 Four years of experience as a Project and Product Manager, overseeing 74 website projects simultaneously and leading the development of mobile applications. Skilled in all stages of development.

Education:
- Completed four design courses at Projector School

Experience:
Freelance UI/UX Designer:
- Developed landing pages and online stores
- Prototyped designs
- Created layouts on Tilda
- Designed logos and corporate identities
- Produced business cards and advertising banners

Netpeak Group UI/UX Designer:
- Designed blogs and websites for reviews across various topics
- Created landing pages on Tilda
- Developed logos

Netpeak Group Project/Product Manager:
- Managed teams for mobile app and website development
- Conducted manual product testing
- Oversaw workflow from technical tasks to production
- Established communication channels with project stakeholders
- Organized retrospectives, backlog grooming, and planning poker
- Created prototypes
- Utilized analytics tools such as Google Analytics and AppsFlyer
- Conducted competitor analysis using App Annie, Alexa, and Sensor Tower

Seeking:
- Interesting projects for professional growth
- Well-organized management processes
- Comfortable workplace with a friendly team

Looking to enhance design skills in a company dedicated to achieving better results, with a mission focused on employee and societal development through its products and mentality.
"
9,"
 Graphic/Motion Designer
Freelance | February 2022
- Design and animate motion graphics for social media using Adobe After Effects and other software tools
- Stay up-to-date on the latest design and animation trends and techniques
- Continuously improve skills and knowledge through online courses and workshops
- Portfolio available on Instagram page Kara_mond

Event Manager
DKG | November 2021 - January 2022
- Implemented new event promotion strategies
- Developed event feedback surveys and post-event reports
- Organized email campaigns and created scripts for them
- Coordinated internal resources to ensure successful project completion

Social Media Manager
Freelance | October 2020 - 2022
- Designed and Implemented social media strategy across 6 Instagram/Facebook company brands
- Scheduled, created, and written content, video, and images to increase brand awareness
- Executed social media presence across Instagram and Facebook
- Reported social media KPIs for each channel
- Learned Photoshop/After Effects for custom banners and images for campaigns

Conference Project Manager
BCF | May 2019 - August 2021
- Full cycle event management, developing programs, schedules, and concepts
- Managed in-house and remote team of five
- Led up to 6 projects simultaneously
- Organized 25+ conferences for various industries
- Conducted feedback analysis for strategic development of future events

PR Manager (Internal Communications)
KazTransOil | December 2015 - August 2017
- Created articles & press releases
- Managed communication with mass media
- Organized charity events on behalf of the company
- Produced weekly and daily news for internal stakeholders
"
