id,GPT4o-mini
0,"             Objective  Dedicated and driven designer with technical and theoretical knowledge seeking a remote position or freelance opportunities. Eager to contribute to creating user-centric products while continuing professional growth and development as a designer.Experience  Project Experience during Training  - Successfully completed three projects; two independently and one collaboratively as a team leader and primary idea generator. Demonstrated ability to work effectively both in team settings and individually.Flowers Delivery Mobile App  - Developed a user-friendly and intuitive interface for an online flower ordering service.- Conducted persona research to understand customer demand effectively.- Created an easy-to-use application allowing customers to order bouquets from anywhere globally.Pet Scout: Animal Pet Search Web Service  - Conducted UX research including competitor analysis and user flow; contributed to the architecture of web services while applying design principles to ensure a compelling user experience for a pet-finding web service.- Collaborated within a team to create wireframes, mockups, and prototypes showcased on Behance.Barbershop Landing Page  - Designed a landing page to present barbershop services and facilitate appointment scheduling with chosen barbers.- Performed thorough competitor analysis, developed user personas, and implemented various research methods.- Created responsive designs for desktop, tablet, and mobile versions of the site.Tattoo Studio Website Redesign  - Developed a website for a tattoo salon that allowed visitors to choose artists, view portfolios, and easily sign up for consultations.- Conducted competitive analysis focused on customer demographics, including age and sex, supported by statistical data.- Created a visually appealing and intuitive website based on research findings.Skills  - User Interface (UI) Design  - User Experience (UX) Research  - Wireframing and Prototyping  - Competitor Analysis  - Persona Development  - Responsive Design  - Team Leadership  Professional Goals  Aspiring to grow and develop as a designer while contributing to projects that align with customers' needs. Seeking opportunities with companies that provide mentoring and support for continued learning and innovation."
1,"             ---Professional Summary  Focusing on UI/UX for both web and mobile applications, I specialize in transforming concepts into practical solutions. My aim is to create visually compelling designs that address challenges and enhance the daily objectives of the target audience. My approach combines aesthetics with functionality, ensuring an optimized user experience.---Skills  - Figma  - Illustrator  - Protopie  - Photoshop  - Low and high fidelity prototypes  - Vector illustration  - Components  - Adaptive design  - Logo creation  - Landing page design  - User interface improvements  - User experience optimization  ---Experience  UI/UX Designer      - Led the redesign of ""Destin Tattoo Company"" website, conducting competitor analysis, creating prototypes, selecting text and colors, developing logos, and producing wireframes and components adapted for tablet and mobile devices.  - Collaborated with a team on the web service ""The Lost Pets."" Focused on creating user flows for individuals finding or adopting animals, and developed a unique logo for the service.  - Designed the mobile application ""Suit Store,"" focusing on user convenience for searching and purchasing products. Originally a team project, I undertook all prototyping tasks independently through to the final stage, prioritizing a seamless user experience.  ---Education      ---Objective  I am seeking a full-time position within a creative and collaborative team where I can tackle challenging design problems and enhance user interfaces, while also having opportunities for creative growth in design tasks."
2,"             --- Professional SummaryCreative and detail-oriented UX/UI Designer with experience in leading projects and developing user-centric designs for web and mobile applications. Proven ability to manage teams and deliver engaging digital experiences that enhance user interaction and satisfaction.--- ExperienceTeam Leader, BudgetStay Project     - Present  - Led a team of 2 designers in the development of a web service interface focused on providing users with options for finding free and affordable accommodations.  - Designed the Main User Flow that included two account types (free and premium) and a secondary flow for three types of hosts.  - Created designs for desktop, tablet, and mobile versions, along with a prototype for desktop use.Project Team Leader, Tantric Massage Salon Sensual     - Present  - Spearheading development of a landing page aimed at marketing the salon's services and attracting potential clients.  - Ensured the design is optimized for desktop, tablet, and mobile platforms.Project Owner, FoodieFinder     - Present  - Developed a mobile application design for restaurant search and table reservation, facilitating a seamless user experience in discovering dining options.  - Focused on providing users with a comprehensive tool to fulfill their dining preferences.Independent Designer, India Cafe Redesign    - Created a modern website design for an Indian restaurant in Pennsylvania, improving its online presence to attract more customers.  - Incorporated additional pages with photos, menu options, and a feature for making reservations. Designed for desktop, tablet, and mobile platforms.Independent Work, Landing Page Concept for Citroen 4    - Developed a concept for the Citroen 4 landing page in Ukraine with the aim to facilitate test drive bookings.  - Designed specifically for desktop use.--- Projects- Pet Projects    - Developed own pet projects that showcase innovative designs and UX principles.--- Skills  - UX/UI Design  - Web and Mobile Application Design  - User Flow Development  - Prototyping  - Team Leadership  - Responsive Design  --- Expectations  Eager to join a collaborative team focused on creating modern projects that bridge the connection between service providers and clients, while continuing to grow and enhance my design skills."
3,"           ---PROFESSIONAL SUMMARY  Dedicated and creative designer with a strong background in graphic design and education. Experienced in website redesign, adaptive design, and mobile application development. Proficient in various design software and passionate about learning new technologies to enhance design processes.---PROFESSIONAL EXPERIENCE  Computer Science Teacher        - Taught topics on raster and vector graphics, 3D modeling, and programming languages to students.  - Fostered a learning environment that encouraged creativity and critical thinking. Key Projects:- Website of Veterinary Clinic ""Aibolit""    - Led the full design cycle of a website redesign.  - Analyzed the problem and created a prototype of the interface.  - Developed a visual style that resulted in a modern and user-friendly design, successfully attracting potential customers.- ""Coffee Time"" Mobile Application    - Managed the full design cycle of a mobile application.  - Analyzed the problem and created a prototype of the interface.  - Developed a visual style that enabled customers to scan and pay for goods quickly, enhancing their shopping experience.---SKILLS  - Design Software: Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, Canva, Figma  - Design Capabilities: Moodboard development, landing page creation, user research, persona description, user flow design  - Strong desire to learn and apply new technologies  ---EDUCATION          ---PROFESSIONAL INTERESTS  Seeking a friendly, motivated team where my design skills can contribute positively and where I can grow and achieve collective goals."
4,"           ---Experience  Mobios School  UX/UI Web Design + Mobile Design  Sep 2021 — Dec 2021  CURSOR Education  UI/UX Designer  Feb 2021 — Jul 2021  Source IT  HTML Layout  Feb 2015 — Apr 2015  H.S. Skovoroda Kharkiv National Pedagogical University  Faculty of Art and Graphics  Ad Designer  Layout Designer  Various Publishing Houses  Over 10 Years  - Developed layouts for books, magazines, and posters.  - Designed pages and sourced/vector-processed illustrations as needed.  - Conducted searches for and processed bitmap images; compiled collages.  - Prepared products for printing.  ---Education  UI/UX Design Courses  - Communication  - UX Research  - Wireframing  - UI Design  - Mobile App Design  - Web Design  Key Project Development  - Conducted interviews with clients and performed competitor analysis.  - Executed SWOT analysis and developed UX Personas.  - Crafted Customer Journey Maps (CJM) and information architecture.  - Created wireframes and final design.  ---Objective  Seeking an opportunity to join a dynamic and supportive team where I can continue to learn and grow, receive constructive feedback, and contribute effectively."
5,"             Objective  Aspiring UI/UX Designer committed to delivering user-centered design solutions and eager to contribute to impactful projects within a collaborative team environment.Education  - Completed comprehensive UI/UX design courses focusing on design principles, user research methodologies, wireframing, prototyping, and interaction design.Experience  Freelance UI/UX Designer    - Developed and created unique user interfaces for various clients through analyzing requirements and conducting user research.  - Created information architecture, conducted user experience testing, and developed prototypes to enhance user experience.  - Collaborated with developers to ensure high-quality end products through iterative design processes.  - Delivered distinctive and appealing designs that improved user experiences and conversion rates.  Projects  - Actively participated in design projects, collaborating with fellow designers, developers, and stakeholders to create visually appealing and user-friendly designs.  - Applied theoretical knowledge to practical scenarios through project contributions, demonstrating a solid understanding of UI/UX principles.Skills  - User-Centric Approach: Focused on understanding user needs to inform design solutions that enhance user experience.  - Strong Collaboration and Communication: Effective in working with cross-functional teams, including developers, product managers, and business analysts.  - Commitment to Continuous Learning: Engaged in self-study, webinars, and design communities to stay up-to-date with industry trends and emerging practices.  - Attention to Detail: Recognized for creativity and ability to incorporate user feedback into design iterations.References  Available upon request."
6,"             Objective  Passionate and dedicated Ui/Ux designer with extensive project experience in web design and a commitment to continuous learning and improvement.Experience  Freelance Ui/Ux Designer     - Present  - Redesigned a roofing materials plant website, transforming it from an outdated multi-page site into a modern, functional landing page with an engaging structure.  - Developed a landing page for a tea studio, ensuring it was eye-catching and stylish, while providing essential information alongside aesthetic and cultural enrichment for potential clients.  - Created an online store for board games, incorporating elements of artificial intelligence to enhance user experience.  - Improved the Multiplex cinema network application through detailed user experience research, proposing solutions to address key inconveniences in the application.Skills  - Proficient in Figma, including components, variants, auto layout, and constraints.  - Experienced in Adobe Photoshop and Illustrator.  - Skilled in Webflow site designer and After Effects for motion design.  - Strong commitment to continuous professional development in web design.  - Ability to infuse creativity and a unique design perspective into each project, drawing from cultural background.Education          Languages  - Ukrainian (Native)  -   References  Available upon request."
7," Summary  Self-motivated designer with a solid understanding of front-end development and a passion for UI/UX design. Skilled in creating responsive and adaptive designs, with experience in client management and project prioritization through freelance work. Eager to combine artistic skills with technical knowledge to enhance user experiences.Technical Skills  - HTML5  - CSS3 (responsive and adaptive design)  - SASS/LESS  - Flexbox  - GIT  - Basic JavaScript  - React.js (component structuring and preparation for development)  - Bootstrap  - Adobe Photoshop  - Adobe Illustrator  - Adobe InDesign  - Procreate  - Figma  Professional Experience  Freelance Designer    - Created commissioned illustrations and portraits, managing daily workflows and client communications effectively.  - Developed 2D characters for training videos, enhancing storytelling through visual design.  - Gained practical insights into the design process and the importance of collaboration with developers.Education        Professional Development  - Continuous learning of UI/UX design principles and tools, specifically with Figma, demonstrating a commitment to professional growth.  Portfolio  Available upon request."
8,"           ---PROFESSIONAL SUMMARY  Dynamic Project and Product Manager with four years of experience in managing multiple projects, focusing on web and mobile application development. Proven ability to oversee all stages of development and enhance user experience through effective design principles and collaboration with cross-functional teams.---PROFESSIONAL EXPERIENCE  Freelance — UI/UX Designer  - Designed landing pages and online stores (e-commerce).  - Developed prototypes and performed site layouts on Tilda.  - Created logos and corporate identities.  - Designed visiting cards and advertising banners.Netpeak Group — UI/UX Designer  - Designed blogs and websites for various review topics.  - Executed landing page designs on Tilda.  - Created logos to enhance brand identity.Netpeak Group — Project/Product Manager  - Managed a team in the development of mobile applications and websites.  - Conducted manual testing of products to ensure quality.  - Oversaw workflow processes including technical tasks, prototyping, design, development, testing, and production.  - Established effective communication channels between project stakeholders.  - Organized retrospectives, backlog grooming, and planning poker for accurate project time estimates.  - Developed prototypes to visualize project concepts.  - Worked with analytics tools (Google Analytics, AppsFlyer) to inform decision-making.  - Analyzed competitors using tools like App Annie, Alexa, and Sensor Tower.---EDUCATION  - Completed four design courses at Projector School.---SKILLS  - Project Management  - UI/UX Design  - Prototyping  - Web Development  - Team Leadership  - Manual Testing  - Analytics & Competitor Analysis  - Communication & Collaboration  ---OBJECTIVES  Seeking interesting projects that offer professional growth within a well-organized management structure, alongside a comfortable workplace and a friendly team. Aiming to enhance design skills in a company dedicated to employee development and societal advancement through its innovative products and mission-driven mentality."
9," From June 2022 - Present  Learning UX-UI Web Design  Graphic/Motion Designer  Freelance | February 2022 - Present  - Designed and animated motion graphics for social media using Adobe After Effects and other software tools.  - Stayed up-to-date on the latest design and animation trends and techniques.  - Continuously improved skills and knowledge through online courses and workshops.  - Portfolio available on Instagram: Kara_mond  Event Manager  DKG | November 2021 - January 2022  - Implemented new ways of event promotion.  - Developed event feedback surveys and post-event reports.  - Organized email campaigns and created scripts for them.  - Coordinated internal resources to ensure successful project completion.  Social Media Manager  Freelance | October 2020 - 2022  - Designed and implemented social media strategy across 6 Instagram/Facebook company brands.  - Scheduled, created, and wrote content, videos, and images that increased brand awareness with 12+ posts and 35+ stories across platforms each week for F&B, Beauty, and Automotive industries.  - Executed social media presence across Instagram and Facebook.  - Reported social media KPIs for each channel, including engagement and followers.  - Learned Photoshop/After Effects to create custom banners and other images for use in campaigns.  Conference Project Manager  BCF | May 2019 - August 2021  - Managed the full cycle of event management, including developing event programs, schedules, and concepts.  - Managed in-house and remote team of five.  - Led up to 6 projects simultaneously.  - Organized 25+ conferences for Automotive, Medical Device, Pharmaceutical, and Consumer Goods industries.  - Conducted feedback analysis for strategic development of future events.  PR Manager (Internal Communications)  KazTransOil | December 2015 - August 2017  - Created articles and press releases.  - Managed communication with mass media.  - Organized charity events on behalf of the company.  - Developed weekly and daily news for internal stakeholders.  "
