id,GPT4o-mini Adobe_UX Score,GPT-3.5-Turbo Adobe_UX Score,CV Adobe_UX Score,Clean_Deepseek_67B Adobe_UX Score,Llama3-70B-Instruct-Turbo Adobe_UX Score,Claude-3.5-Sonnet Adobe_UX Score,GPT4o Adobe_UX Score,Mixtral-8x7B-Instruct Adobe_UX Score,Clean_Deepseek_V3 Adobe_UX Score
0,85.816,82.832,83.114,85.535,84.297,85.508,84.966,84.584,86.143
1,84.365,84.279,85.888,83.706,84.319,84.005,83.944,85.483,85.975
2,85.716,83.565,80.257,83.875,83.399,84.229,84.27,80.519,84.82
3,86.454,84.757,85.67,85.586,85.923,87.173,85.304,84.778,85.391
4,82.701,81.07,81.04,83.674,81.56,82.586,82.656,82.092,82.481
5,86.464,84.778,84.552,85.458,87.271,84.912,86.799,85.426,86.387
6,86.67,82.038,83.107,82.701,84.444,86.46,84.549,82.675,85.018
7,85.051,83.977,83.502,84.86,83.887,85.005,85.839,84.781,84.807
8,85.697,83.986,85.253,83.53,85.188,85.314,84.15,84.965,85.248
9,84.546,84.489,85.202,84.187,84.069,85.015,84.143,84.792,85.774
10,85.095,84.493,85.684,83.823,85.622,85.023,84.743,86.599,85.057
11,84.067,79.74,79.611,82.333,82.459,83.552,83.384,79.691,81.179
12,87.055,83.488,85.435,84.692,84.621,83.638,85.242,83.398,85.241
13,84.123,86.391,84.133,84.483,83.283,86.167,86.443,83.501,87.264
14,82.404,79.625,80.466,81.224,80.575,83.917,84.038,83.108,82.138
15,81.324,81.651,85.911,84.699,86.186,82.951,85.442,83.791,83.711
16,82.0,82.487,81.28,83.166,82.768,84.281,82.373,81.534,80.49
17,86.055,84.288,85.683,83.559,84.737,85.082,86.389,86.214,85.363
18,84.742,82.443,82.848,83.345,84.227,84.712,84.299,83.233,84.012
19,84.418,82.35,82.576,82.752,82.382,84.795,84.373,83.46,84.434
20,82.99,81.513,83.357,81.336,82.37,82.507,81.963,81.61,83.524
21,84.725,82.157,81.583,85.191,85.751,85.255,84.727,83.415,83.935
22,82.769,84.093,85.246,83.343,82.801,84.247,83.464,83.597,84.733
23,83.5,84.225,84.411,83.388,84.879,82.453,84.025,83.323,84.122
24,83.353,81.65,81.909,82.039,82.723,85.338,83.138,83.517,82.707
25,84.922,84.164,84.104,83.331,84.391,85.885,86.439,84.491,83.994
26,84.897,84.687,85.413,83.661,83.98,85.216,82.352,84.744,85.817
27,84.917,84.772,82.586,85.704,83.818,84.145,85.524,84.432,84.749
28,85.095,86.393,84.699,83.425,83.812,83.033,82.435,85.109,84.607
29,83.936,83.981,84.235,83.396,83.702,84.902,83.451,85.193,83.373
30,85.023,81.618,84.235,83.396,83.702,84.861,83.451,85.193,83.991
31,78.095,77.879,79.796,79.209,78.475,78.512,79.893,79.449,79.229
32,81.911,80.826,80.206,81.564,80.867,81.324,81.171,81.233,80.802
33,82.679,79.774,83.122,80.271,82.524,82.148,83.127,81.583,83.032
34,76.285,77.149,76.157,77.674,77.807,78.49,76.586,77.643,76.948
35,78.286,77.852,78.625,79.1,79.805,78.21,79.636,78.816,79.739
36,79.461,79.022,80.606,79.166,81.224,82.438,80.735,82.809,79.142
37,73.706,73.816,74.441,74.854,75.067,75.158,76.742,75.015,74.409
38,77.925,77.662,78.779,78.545,78.44,77.915,77.841,78.232,78.807
39,74.479,75.251,75.44,76.167,75.644,75.806,74.591,75.484,75.354
40,82.121,79.817,81.113,80.813,81.22,79.89,81.425,81.038,82.106
41,82.049,79.817,83.264,81.938,80.674,80.779,82.085,80.736,82.038
42,76.953,78.048,78.249,75.374,77.413,78.653,78.449,79.336,79.534
43,80.402,75.191,77.72,80.665,78.273,79.855,78.629,78.497,79.12
44,81.463,81.1,81.758,81.211,80.934,79.62,82.774,80.535,81.253
45,78.21,77.833,78.731,77.797,78.091,80.367,79.491,78.099,78.57
46,77.419,77.279,76.867,77.921,78.317,77.982,78.997,76.142,77.445
47,79.119,77.193,77.465,76.936,79.661,78.262,79.025,78.336,77.545
48,79.666,78.42,80.621,79.132,78.8,80.777,82.545,82.301,80.485
49,81.259,80.951,80.243,82.369,81.702,79.998,80.244,79.977,82.77
50,81.332,78.709,78.565,79.785,79.612,82.166,79.139,79.644,78.775
51,80.797,81.638,80.825,81.597,80.594,82.529,82.876,81.866,82.531
52,78.833,80.513,80.291,77.86,78.138,78.502,77.931,78.639,79.85
53,82.089,83.141,81.467,82.405,82.698,79.614,80.823,82.95,82.682
54,78.935,77.113,80.193,79.589,79.611,79.448,79.573,78.678,79.155
55,81.703,81.084,81.714,80.247,81.686,81.25,81.091,81.018,81.533
56,78.334,77.584,79.142,78.796,77.217,80.844,79.026,78.402,78.734
57,79.723,77.222,77.467,78.384,80.546,77.297,78.129,76.815,78.102
58,79.522,80.583,80.433,76.836,80.861,80.464,80.204,80.122,80.187
59,77.791,77.847,79.415,77.162,79.293,77.786,78.983,79.597,78.748
60,85.117,85.62,86.373,86.155,84.76,84.619,85.215,83.932,85.261
61,84.607,84.84,86.373,86.155,84.95,84.098,85.059,83.02,85.092
62,83.805,84.23,82.591,84.143,83.472,83.436,83.994,80.866,83.592
63,83.716,84.034,82.97,84.253,84.408,85.866,83.549,74.643,85.725
64,83.8,84.389,86.465,84.877,82.468,85.006,86.89,84.576,85.687
65,85.848,88.242,85.891,87.006,87.3,86.784,87.177,86.78,87.99
66,84.954,85.761,83.642,86.783,85.571,85.228,84.418,84.045,85.552
67,82.838,83.417,82.786,83.782,83.389,83.934,82.685,82.604,83.4
68,87.727,87.836,87.395,87.953,87.168,85.887,88.229,87.897,86.97
69,83.032,84.73,84.431,85.133,84.546,85.661,84.937,84.792,87.096
70,78.273,77.317,78.689,78.004,78.55,77.8,79.549,80.62,79.222
71,81.714,80.651,82.315,81.731,81.854,81.337,82.602,81.115,81.99
72,81.051,80.226,81.611,79.3,78.326,80.573,81.008,79.941,80.561
73,79.504,78.112,78.363,77.427,80.186,80.594,80.06,75.324,79.255
74,80.695,80.305,81.322,79.866,80.067,78.298,80.101,78.464,79.852
75,78.09,76.929,79.192,77.547,77.375,78.151,78.151,77.993,78.198
76,76.374,78.903,75.875,77.069,76.233,77.693,77.693,78.766,76.919
77,79.277,80.467,80.154,79.688,80.287,80.232,80.537,79.13,79.862
78,76.099,76.258,76.258,76.411,75.872,75.93,77.329,75.978,75.885
79,78.015,79.942,78.829,79.991,78.367,78.472,79.737,80.274,79.275
80,80.654,84.228,84.222,81.689,81.784,82.784,82.271,82.56,81.173
81,88.025,86.119,87.631,87.006,86.634,85.789,87.47,85.389,87.085
82,85.732,84.883,84.993,85.37,85.154,84.005,85.086,84.118,84.528
83,86.464,85.421,85.435,85.729,83.608,83.977,86.531,85.366,86.442
84,86.739,86.423,88.534,87.021,87.916,85.849,86.385,86.654,88.512
85,86.269,85.267,86.042,84.943,86.513,85.871,85.102,85.24,85.905
86,85.364,84.725,85.393,86.185,85.442,84.99,85.22,84.834,84.597
87,84.379,84.609,85.166,85.335,84.274,83.933,83.656,81.814,85.083
88,86.371,85.565,83.783,85.377,84.337,83.732,84.908,85.57,85.372
89,84.569,80.753,84.278,82.468,84.764,85.098,85.215,82.1,85.773
90,81.823,80.433,78.458,80.035,79.691,79.474,78.157,81.576,82.436
91,80.802,79.695,81.953,82.289,81.75,80.537,80.839,81.719,81.643
92,80.237,75.656,78.089,77.782,76.75,78.879,79.736,77.112,79.306
93,79.188,77.269,79.097,78.091,80.251,77.924,77.996,79.118,78.633
94,75.317,75.078,75.125,76.723,77.052,77.554,76.792,76.783,75.484
95,82.409,78.672,79.704,80.74,81.305,82.332,80.724,80.276,81.618
96,78.367,75.912,76.397,77.342,78.556,78.41,77.127,78.376,79.067
97,80.294,80.534,78.924,80.226,79.697,78.999,82.467,80.986,81.421
98,80.842,79.857,79.787,80.631,80.384,82.161,79.816,80.097,78.351
99,80.438,78.648,79.16,79.819,80.355,80.201,80.589,79.668,80.629
