id,GPT4o-mini Amazon_UX Score,GPT-3.5-Turbo Amazon_UX Score,CV Amazon_UX Score,Clean_Deepseek_67B Amazon_UX Score,Llama3-70B-Instruct-Turbo Amazon_UX Score,Claude-3.5-Sonnet Amazon_UX Score,GPT4o Amazon_UX Score,Mixtral-8x7B-Instruct Amazon_UX Score,Clean_Deepseek_V3 Amazon_UX Score
0,86.791,82.693,83.034,87.146,83.307,85.584,85.842,85.745,86.861
1,83.139,82.094,82.867,83.827,84.332,85.205,82.966,84.685,84.87
2,87.202,84.84,79.946,85.74,85.429,84.161,86.023,80.948,86.85
3,83.897,82.044,82.838,82.89,83.975,87.717,82.905,82.094,82.994
4,84.514,83.86,83.531,86.838,84.157,85.383,84.386,83.951,85.223
5,89.251,87.83,86.556,88.313,90.106,87.903,88.586,87.777,87.402
6,87.099,82.719,81.745,83.809,85.847,86.315,83.953,82.265,86.156
7,83.849,82.178,82.298,85.279,85.065,83.728,84.767,83.729,83.515
8,86.078,85.898,85.26,85.381,87.207,87.639,85.427,87.209,86.706
9,84.238,82.438,84.941,86.327,83.926,85.11,82.781,83.306,86.147
10,85.531,85.839,86.272,86.907,88.078,86.664,85.492,87.48,85.504
11,83.652,79.596,79.23,83.177,82.752,83.135,83.253,78.903,82.142
12,86.529,83.029,85.233,84.981,84.922,85.173,85.092,83.849,84.743
13,85.762,89.184,86.75,85.427,84.863,86.601,87.673,85.268,87.661
14,84.435,80.63,82.677,84.314,82.37,86.962,84.432,84.726,84.862
15,81.315,81.528,86.486,85.949,87.721,82.319,85.648,84.702,84.871
16,84.341,84.611,83.434,85.306,85.468,86.273,84.197,82.651,83.115
17,87.87,83.66,87.416,87.337,89.147,87.99,88.69,86.994,86.992
18,85.936,83.191,83.331,85.135,85.317,86.367,84.739,84.03,85.912
19,84.278,83.803,82.342,83.8,83.731,83.44,85.283,84.172,85.722
20,85.033,84.246,84.538,84.327,85.103,84.038,83.362,84.01,85.65
21,85.621,79.657,79.477,84.958,86.052,86.673,84.797,83.469,84.108
22,85.589,83.583,84.922,84.345,84.205,85.648,84.112,86.25,86.407
23,86.276,85.886,85.722,85.838,87.366,84.191,85.713,84.021,86.412
24,84.947,83.604,83.061,83.95,83.966,86.79,83.351,84.484,84.356
25,87.924,85.652,85.349,85.835,86.95,88.217,87.692,87.207,87.052
26,85.941,85.359,86.296,86.385,87.272,87.506,85.002,86.528,88.396
27,88.129,88.126,84.358,89.219,86.892,87.292,88.923,87.801,88.276
28,84.818,86.069,81.657,83.548,83.992,84.568,84.248,84.383,85.234
29,86.485,86.696,86.596,85.407,86.617,85.713,85.844,85.762,86.136
30,87.244,81.661,86.596,85.407,86.617,85.746,85.844,85.762,86.139
31,78.577,79.171,80.005,80.399,81.461,78.233,79.15,80.857,79.776
32,80.066,80.285,79.395,80.02,80.039,80.708,80.212,79.709,79.428
33,82.747,80.635,84.018,81.379,82.895,81.574,83.812,82.513,83.128
34,76.404,77.12,76.756,77.538,78.709,77.59,76.655,77.338,76.512
35,78.082,78.64,78.987,78.976,79.876,77.262,79.732,79.282,79.457
36,80.218,79.606,80.587,81.223,81.421,82.676,81.198,82.821,79.809
37,73.285,73.746,74.069,74.455,74.585,74.103,75.948,73.154,73.888
38,76.545,76.58,77.585,77.474,78.125,77.908,77.074,78.36,78.336
39,75.578,76.631,75.803,76.659,77.478,76.962,75.346,76.647,75.962
40,80.408,77.979,78.519,78.029,78.742,77.518,79.832,79.974,80.692
41,80.474,78.842,81.594,81.035,79.644,79.172,81.514,78.653,79.638
42,77.882,78.262,78.441,76.85,77.772,80.082,79.851,79.637,80.31
43,80.01,75.753,76.259,80.956,77.641,80.11,79.066,78.395,79.731
44,81.531,81.67,81.067,81.06,80.533,81.076,83.281,82.068,81.63
45,77.82,78.204,79.338,78.652,78.436,78.75,79.812,77.89,79.928
46,76.071,76.35,75.235,77.096,77.437,78.045,78.272,77.059,76.273
47,78.088,77.388,77.288,76.034,78.304,78.688,78.822,78.264,76.89
48,78.859,77.099,79.481,79.154,78.802,79.303,82.391,81.558,79.821
49,81.089,80.755,79.781,81.803,82.297,79.854,80.905,80.73,82.456
50,80.291,78.355,77.647,78.412,77.444,79.926,77.821,78.686,78.266
51,80.167,80.204,80.418,81.33,81.216,81.353,81.442,80.811,80.862
52,77.111,79.09,78.064,75.62,76.954,76.946,76.676,77.888,77.076
53,80.886,81.566,80.04,81.456,83.106,79.304,78.346,81.511,81.432
54,78.552,77.171,78.787,79.305,80.477,78.34,79.315,78.35,78.091
55,81.885,80.775,81.279,80.144,80.749,80.292,81.196,80.575,80.493
56,77.289,76.894,78.198,77.839,76.835,77.963,78.089,77.361,77.589
57,78.034,75.828,76.492,77.174,80.096,77.226,76.9,76.074,76.757
58,79.251,79.727,79.669,77.859,80.984,80.455,80.444,79.849,79.488
59,77.297,78.331,78.172,76.169,78.649,77.081,77.255,77.477,77.248
60,83.508,84.956,83.454,82.656,82.724,84.544,83.392,80.962,81.966
61,83.074,83.564,83.454,82.656,82.678,85.189,82.495,80.796,83.323
62,86.36,86.703,84.904,85.478,86.044,85.897,85.687,83.186,85.31
63,82.67,82.676,81.323,82.863,82.916,84.74,83.054,73.842,84.146
64,84.638,86.182,87.956,85.692,83.904,85.848,88.62,85.873,86.597
65,85.736,86.386,85.38,86.72,86.825,87.285,87.153,85.843,87.294
66,85.628,84.369,84.891,85.739,86.086,84.835,83.647,83.272,84.502
67,82.097,84.413,82.059,82.76,82.244,84.786,82.292,81.883,82.31
68,89.557,90.738,88.745,91.579,90.421,89.004,89.913,90.477,89.719
69,84.314,85.857,85.673,87.967,86.802,87.42,87.491,86.815,88.497
70,79.246,77.633,79.091,78.011,79.779,79.309,79.587,80.339,79.158
71,79.708,78.08,79.41,80.36,80.354,78.345,80.684,80.085,80.353
72,80.674,79.996,79.456,78.211,79.14,80.666,79.723,79.652,79.487
73,77.784,76.869,77.985,76.221,78.846,79.327,78.002,73.669,78.234
74,78.851,78.782,78.324,78.953,79.108,77.193,78.495,76.806,78.494
75,79.021,78.176,79.773,79.723,79.152,78.466,79.63,79.128,80.219
76,76.645,78.464,74.432,76.005,74.643,77.374,77.743,80.287,76.272
77,77.534,78.47,78.299,77.103,77.891,77.649,77.583,75.886,77.792
78,75.762,76.173,76.173,76.211,75.734,75.229,76.607,76.052,75.357
79,78.062,78.963,78.924,79.322,78.158,78.407,79.113,80.72,78.475
80,81.704,84.965,85.086,82.814,81.368,84.197,82.235,82.016,82.167
81,87.941,86.414,87.208,86.618,86.021,86.75,88.567,85.807,88.009
82,87.542,87.432,85.282,86.52,87.192,84.929,86.563,86.317,85.897
83,85.867,88.771,86.052,87.236,84.96,86.567,87.502,86.954,87.393
84,88.09,89.656,90.557,89.818,89.858,87.08,87.153,88.384,89.866
85,84.934,86.132,83.419,83.627,84.792,84.872,84.311,83.5,85.849
86,83.782,83.881,83.227,84.639,83.978,83.904,83.884,83.818,84.184
87,84.232,84.257,84.416,84.639,83.958,84.804,83.446,82.212,83.235
88,88.022,86.513,85.958,86.749,85.652,84.942,84.613,87.581,86.257
89,85.778,80.272,84.175,83.6,86.257,86.229,86.708,82.924,87.589
90,79.744,78.609,77.047,78.762,77.698,78.965,77.063,79.47,79.814
91,79.283,79.352,80.026,80.152,79.588,79.629,79.916,80.48,80.01
92,79.029,75.819,76.981,76.858,76.216,78.149,78.396,76.235,78.143
93,77.446,77.105,77.585,77.311,79.996,77.357,77.533,78.185,77.202
94,76.805,76.768,76.749,77.948,77.888,77.776,76.709,76.917,77.18
95,82.763,78.858,78.917,79.651,80.404,82.009,81.544,79.659,82.49
96,78.078,76.824,77.728,77.909,78.328,77.198,77.663,78.717,78.511
97,79.289,79.155,78.467,77.798,79.42,77.877,81.007,79.847,80.282
98,79.078,78.446,77.209,78.404,78.45,79.262,78.923,78.056,77.08
99,79.914,79.269,79.971,78.705,79.627,79.221,78.633,80.422,78.136
