id,GPT4o-mini Apple_PM Score,GPT-3.5-Turbo Apple_PM Score,CV Apple_PM Score,Clean_Deepseek_67B Apple_PM Score,Llama3-70B-Instruct-Turbo Apple_PM Score,Claude-3.5-Sonnet Apple_PM Score,GPT4o Apple_PM Score,Mixtral-8x7B-Instruct Apple_PM Score,Clean_Deepseek_V3 Apple_PM Score
0,82.833,82.045,81.353,79.768,81.22,82.002,82.775,80.996,83.739
1,81.158,80.035,82.247,79.235,79.373,80.409,79.9,80.883,81.716
2,81.922,80.717,79.351,81.103,79.451,82.122,81.12,80.852,80.536
3,80.576,79.514,80.042,79.241,80.873,81.923,80.531,81.443,79.155
4,79.179,77.617,77.708,78.308,77.223,78.097,78.879,78.776,79.283
5,82.158,79.049,80.474,81.098,82.166,80.292,82.182,81.163,82.118
6,80.67,78.635,78.938,77.814,78.372,80.527,81.421,79.36,80.966
7,79.839,77.292,78.086,78.762,78.558,79.934,80.57,79.487,79.369
8,84.808,82.843,83.349,83.83,83.775,83.709,84.008,83.823,85.666
9,82.533,82.283,82.614,82.319,80.269,82.62,81.034,83.092,82.632
10,81.003,81.081,81.599,81.715,81.349,82.908,83.889,82.676,81.536
11,81.395,77.911,77.451,80.011,79.686,82.384,81.004,77.512,79.888
12,83.961,80.855,82.722,82.419,81.502,80.707,83.013,82.688,81.739
13,79.408,80.666,80.877,79.653,80.443,80.193,81.316,79.396,81.848
14,79.927,79.406,78.507,77.648,78.057,81.716,81.81,80.747,79.808
15,78.991,80.354,83.698,83.005,81.605,79.936,84.327,82.557,82.937
16,78.676,79.64,78.535,79.594,79.959,80.677,79.318,78.897,77.421
17,84.383,80.042,82.302,79.616,82.079,81.847,84.204,82.063,81.818
18,82.622,78.276,80.157,79.132,80.564,80.994,82.113,80.77,80.813
19,79.783,77.933,78.531,78.162,77.68,81.629,80.41,78.449,81.515
20,78.818,78.16,79.245,77.738,78.868,79.541,78.244,78.23,80.686
21,80.965,77.133,77.749,80.395,80.607,81.466,81.035,78.4,79.902
