id,GPT4o-mini DD_PM Score,GPT-3.5-Turbo DD_PM Score,CV DD_PM Score,Clean_Deepseek_67B DD_PM Score,Llama3-70B-Instruct-Turbo DD_PM Score,Claude-3.5-Sonnet DD_PM Score,GPT4o DD_PM Score,Mixtral-8x7B-Instruct DD_PM Score,Clean_Deepseek_V3 DD_PM Score
0,82.806,82.474,82.031,78.967,80.481,81.361,82.302,81.283,83.058
1,79.354,79.42,80.423,78.099,78.647,79.172,79.707,80.488,81.728
2,81.707,82.785,80.823,82.215,79.646,81.966,82.005,83.017,80.227
3,79.258,78.25,78.568,77.428,78.91,78.436,79.054,80.829,76.959
4,77.918,75.889,76.06,77.139,76.324,76.19,77.583,78.158,77.571
5,79.864,77.687,78.697,78.863,80.48,78.687,81.427,79.854,79.932
6,79.575,77.997,77.467,76.032,78.507,78.226,79.885,78.474,79.461
7,77.864,76.462,76.224,77.036,76.898,78.589,79.185,79.328,77.072
8,84.943,82.222,83.437,83.21,83.356,82.071,83.334,84.67,85.204
9,80.49,80.031,79.979,80.408,78.562,80.899,79.932,82.209,81.109
10,79.234,79.408,79.706,80.157,79.927,81.116,83.028,82.163,81.634
11,82.366,81.583,80.099,82.577,82.212,83.236,83.135,79.107,82.254
12,82.815,78.967,81.65,80.685,79.493,79.979,81.672,82.295,80.215
13,78.906,79.275,77.461,77.518,77.599,78.526,78.112,75.467,78.788
14,78.221,79.393,78.127,76.53,76.735,79.954,81.086,80.023,78.042
15,77.456,78.289,80.984,80.04,80.211,78.516,81.405,80.224,79.639
16,75.09,76.374,75.482,77.545,76.534,77.581,75.551,75.824,74.338
17,80.07,76.894,79.429,75.793,78.566,77.737,80.262,80.801,77.588
18,81.864,78.587,80.426,77.752,80.04,80.0,81.596,81.861,79.642
19,79.877,79.188,78.545,77.558,77.744,82.373,80.106,79.407,81.992
20,77.136,76.857,78.659,76.354,77.064,77.731,76.586,75.402,79.427
21,79.249,76.003,76.695,78.535,79.886,79.3,79.229,76.374,77.231
22,78.698,79.456,80.098,80.135,79.139,80.514,80.564,79.378,79.747
23,80.127,79.718,80.914,78.222,79.441,80.178,79.998,78.523,80.255
24,79.862,79.051,79.556,78.145,80.203,80.727,79.237,81.552,79.641
25,77.645,76.516,77.586,76.965,77.258,78.282,81.696,77.734,77.726
26,79.533,78.864,79.801,76.851,77.607,78.575,78.308,78.384,79.19
27,80.707,77.952,80.576,81.889,78.703,79.238,80.974,80.92,81.033
28,81.743,81.244,80.151,79.112,79.754,80.222,78.035,80.691,81.346
29,81.172,80.391,81.411,80.18,79.308,79.986,79.069,81.782,79.803
30,81.41,78.819,81.411,80.18,79.308,80.176,79.069,81.782,80.471
31,82.463,82.761,84.02,84.23,83.63,82.372,84.363,83.766,83.993
32,81.407,78.773,78.753,80.507,81.139,80.393,80.382,79.977,79.207
33,77.698,76.327,78.047,76.022,78.513,78.027,77.321,78.401,77.771
34,80.027,80.746,80.2,80.549,80.921,81.802,81.155,81.272,80.945
