id,GPT4o-mini Google_UX Score,GPT-3.5-Turbo Google_UX Score,CV Google_UX Score,Clean_Deepseek_67B Google_UX Score,Llama3-70B-Instruct-Turbo Google_UX Score,Claude-3.5-Sonnet Google_UX Score,GPT4o Google_UX Score,Mixtral-8x7B-Instruct Google_UX Score,Clean_Deepseek_V3 Google_UX Score
0,87.979,82.915,82.881,87.741,83.814,86.898,86.384,85.892,87.689
1,84.216,82.572,82.922,84.845,84.45,86.263,83.072,85.775,85.406
2,86.833,84.823,79.112,86.25,83.974,84.609,85.636,81.031,87.191
3,85.031,82.718,82.617,82.745,84.894,89.192,83.234,83.003,84.717
4,85.416,84.287,84.019,86.756,85.288,85.401,85.325,84.348,85.682
5,91.403,89.663,87.614,90.348,90.334,88.232,90.218,89.57,90.064
6,88.124,83.218,82.021,84.652,86.749,86.256,85.091,82.963,86.547
7,84.506,82.376,82.078,86.364,85.568,83.675,84.49,84.426,84.116
8,86.508,85.59,84.91,84.383,86.765,86.884,86.034,87.488,86.506
9,83.94,81.527,84.396,86.355,83.333,84.507,81.564,83.935,86.027
10,85.024,84.365,85.532,87.341,87.093,86.75,84.876,87.475,85.622
11,83.022,79.515,78.96,84.848,82.769,82.193,83.14,79.092,81.873
12,88.01,84.685,86.718,85.932,85.325,85.96,86.03,84.944,85.68
13,86.87,89.651,87.795,86.613,85.595,87.104,89.577,86.665,88.356
14,85.31,80.208,82.868,84.775,82.284,87.233,86.261,85.905,85.233
15,80.612,80.105,86.06,85.149,86.539,80.838,85.452,83.74,83.94
16,83.032,83.11,81.747,84.926,84.324,85.041,83.035,81.248,81.552
17,88.419,84.843,86.568,86.755,88.005,87.817,89.292,86.344,87.541
18,87.488,82.877,83.318,85.571,85.638,87.823,85.686,85.323,86.936
19,84.491,85.033,82.975,84.539,85.277,84.418,85.775,85.463,86.512
20,86.735,86.587,85.882,86.002,87.279,86.281,85.458,85.498,87.627
21,86.353,78.505,79.138,85.128,86.476,87.192,85.207,84.203,84.734
22,87.599,83.658,85.22,85.597,84.712,87.081,85.66,87.969,87.908
23,87.876,86.259,86.401,87.14,88.189,86.058,87.463,85.152,87.861
24,86.273,84.682,84.217,85.055,85.352,87.739,84.879,86.145,86.065
25,87.574,85.34,85.154,85.859,86.666,88.258,88.695,86.787,87.566
26,86.048,84.448,86.226,84.98,85.741,86.647,84.445,85.022,88.015
27,87.362,86.314,83.4,88.638,85.522,86.779,88.426,87.038,86.789
28,86.719,87.794,83.009,85.159,84.461,86.368,86.068,86.524,87.172
29,86.925,87.104,86.893,85.688,86.97,86.798,86.458,87.481,86.744
30,87.914,81.296,86.893,85.688,86.97,86.347,86.458,87.481,86.633
31,77.644,78.078,79.181,80.382,79.003,77.071,78.935,79.331,79.37
32,79.453,79.881,78.716,80.755,79.114,81.091,80.413,80.156,79.395
33,82.684,80.612,83.21,81.243,82.579,81.598,83.89,83.013,83.538
34,76.695,77.171,76.772,77.558,78.097,77.853,77.084,77.605,77.128
35,78.309,78.364,78.73,79.169,80.204,77.606,79.884,79.204,78.977
36,81.423,80.125,81.843,81.363,81.14,81.554,82.661,83.441,80.709
37,76.439,76.979,77.525,76.748,77.077,76.505,78.827,77.054,76.744
38,78.19,78.332,79.081,79.024,78.668,78.79,78.485,79.175,80.161
39,77.278,78.815,77.939,78.47,79.45,78.629,77.437,78.666,78.416
40,83.215,81.495,80.533,81.43,80.613,79.925,81.801,81.639,83.255
41,81.128,80.037,82.487,81.412,81.402,80.574,81.137,80.322,81.097
42,80.966,81.228,81.524,79.398,80.617,82.971,82.208,83.057,83.252
43,79.964,75.643,76.757,81.801,77.616,79.785,79.895,78.556,79.482
44,80.574,80.72,79.591,80.168,79.307,79.418,82.639,80.718,80.429
45,78.636,78.413,79.365,78.721,78.948,79.553,79.96,78.267,80.425
46,75.64,75.457,75.297,76.248,77.691,77.373,78.439,76.439,76.063
