id,GPT4o-mini I2C_UX Score,GPT-3.5-Turbo I2C_UX Score,CV I2C_UX Score,Clean_Deepseek_67B I2C_UX Score,Llama3-70B-Instruct-Turbo I2C_UX Score,Claude-3.5-Sonnet I2C_UX Score,GPT4o I2C_UX Score,Mixtral-8x7B-Instruct I2C_UX Score,Clean_Deepseek_V3 I2C_UX Score
0,88.232,85.505,84.821,88.234,86.245,87.788,87.163,86.482,88.695
1,87.847,85.498,85.919,87.262,86.124,88.911,85.094,86.959,87.988
2,87.758,85.302,80.406,85.288,84.911,84.377,85.351,82.898,87.866
3,87.559,85.661,86.674,87.43,88.015,89.442,87.199,85.736,86.573
4,87.73,86.632,86.519,88.668,86.276,86.59,86.856,86.556,87.915
5,91.165,87.378,87.401,89.288,90.152,87.847,90.06,88.078,89.89
6,88.581,85.272,84.967,85.666,87.736,88.473,87.689,85.477,89.345
7,89.595,85.252,84.541,89.006,88.383,87.691,88.552,86.769,89.226
8,86.348,85.373,85.181,84.219,86.42,86.947,84.941,85.997,85.514
9,84.084,82.373,84.682,85.47,83.836,84.695,82.621,82.502,85.685
10,87.675,87.984,88.113,86.954,88.166,87.709,87.37,88.543,88.141
11,84.348,80.144,80.488,83.757,83.787,82.686,83.709,81.44,82.809
12,88.5,85.075,87.271,86.906,85.889,85.172,86.568,84.383,86.089
13,86.822,90.167,88.072,88.291,87.402,87.791,89.282,87.764,89.683
14,85.621,81.187,83.37,84.509,83.395,88.028,84.587,84.791,85.544
15,81.508,81.83,85.651,84.438,87.969,81.769,86.673,84.505,85.834
16,85.243,84.645,83.506,85.766,86.492,85.717,85.073,84.393,83.824
17,90.756,87.998,89.443,88.036,90.337,90.35,90.089,88.547,90.186
18,87.658,84.904,83.562,85.869,85.715,87.243,85.624,84.222,87.147
19,87.617,87.328,84.775,88.738,88.423,87.635,88.674,86.705,88.829
20,86.812,86.759,86.093,86.279,86.61,87.003,84.662,85.107,87.083
21,90.005,81.999,83.815,89.69,88.446,90.506,89.219,88.651,88.354
22,88.107,89.367,89.544,88.3,88.86,89.077,89.598,89.049,89.841
23,87.248,87.634,87.35,87.222,88.852,86.241,87.225,85.629,87.762
24,88.392,87.636,87.119,88.094,87.32,89.308,87.136,86.759,88.167
25,86.517,86.007,85.199,85.765,87.682,87.658,86.982,86.24,88.415
26,87.733,88.904,87.955,87.589,86.662,89.037,86.682,88.671,89.653
27,87.012,86.157,83.582,86.896,85.537,85.696,87.755,85.71,85.863
28,86.888,88.565,85.949,87.88,87.881,88.113,87.666,87.672,87.728
29,89.472,89.325,89.606,89.028,89.545,90.356,88.692,87.499,89.037
30,89.838,83.249,89.606,89.028,89.545,90.101,88.692,87.499,89.0
31,78.792,79.857,80.782,80.702,80.841,78.215,80.433,80.445,80.458
32,81.576,81.124,80.34,81.544,80.956,81.52,81.074,80.801,80.033
33,84.1,81.579,84.745,82.237,83.319,83.161,84.245,82.559,84.276
34,77.054,78.443,77.343,77.416,79.322,79.044,78.657,78.762,78.369
35,77.924,79.375,79.14,79.432,79.697,77.529,80.623,79.455,81.891
36,80.044,81.196,79.968,81.021,81.553,82.998,81.03,82.948,79.68
37,74.789,75.061,75.283,76.001,76.171,76.127,77.57,74.383,75.277
38,77.594,76.962,78.203,78.15,78.983,78.844,77.731,79.564,79.759
39,78.549,78.818,78.906,79.592,80.277,79.319,77.817,79.742,78.871
40,81.701,81.103,81.242,80.275,80.897,79.894,81.943,81.468,83.037
41,81.931,81.263,83.194,82.446,81.724,81.001,81.48,79.193,81.149
42,79.944,80.868,81.144,77.103,81.277,81.759,80.717,80.968,81.367
43,80.998,77.175,78.841,83.203,79.107,81.56,81.356,79.178,80.932
44,79.992,80.097,79.941,80.61,80.597,79.085,82.026,79.464,79.444
45,78.626,78.569,79.511,78.904,78.353,78.816,80.105,78.135,79.876
46,75.125,74.283,74.609,75.457,77.612,76.681,78.399,76.358,75.556
47,78.439,76.766,76.945,76.898,79.17,78.858,78.432,76.855,75.796
48,80.343,79.089,80.857,81.311,80.832,81.068,82.927,82.41,81.336
49,81.684,80.474,80.02,81.8,81.991,79.234,78.871,79.596,82.408
50,81.467,80.577,79.606,79.371,78.221,80.69,79.622,79.842,79.324
51,79.763,80.681,80.716,80.62,80.65,80.34,81.417,80.582,79.884
52,80.801,82.009,81.024,79.739,80.725,80.652,80.171,80.539,80.979
53,81.663,82.408,81.5,81.671,83.106,78.902,79.471,82.037,81.917
54,78.354,79.339,79.137,80.401,80.589,78.515,79.241,78.664,78.733
55,80.667,81.271,81.567,79.784,80.73,80.03,80.367,79.5,81.706
56,78.002,77.659,78.591,78.256,77.418,78.72,78.111,78.018,78.449
57,80.233,78.854,78.826,79.172,81.875,79.315,79.792,77.867,79.474
58,80.809,81.349,81.34,80.308,82.962,82.602,82.218,81.451,80.604
59,79.201,79.929,79.87,78.425,80.359,79.464,79.095,78.853,79.529
60,86.619,86.906,86.231,86.352,85.541,86.339,86.525,83.374,85.177
61,86.345,86.528,86.231,86.352,85.542,87.044,86.17,82.575,86.937
62,87.295,88.231,86.008,87.794,86.211,86.267,87.351,85.053,87.355
63,83.156,83.015,81.871,83.56,83.733,84.9,83.323,73.794,84.665
64,85.136,85.982,87.809,86.164,84.094,85.333,87.349,86.893,87.637
65,87.324,87.743,87.342,86.81,87.647,87.599,88.399,86.462,88.561
66,86.537,86.424,85.862,87.823,86.422,85.307,85.525,85.426,87.215
67,84.503,85.163,83.968,85.85,84.356,85.568,84.1,83.753,85.304
68,88.564,88.847,88.557,88.449,89.004,87.323,88.609,88.404,88.723
69,88.54,88.471,89.011,88.752,88.071,88.642,88.607,86.799,90.193
70,79.593,78.421,79.839,79.298,80.534,79.576,79.688,79.55,78.663
71,81.379,80.798,80.903,82.504,82.252,80.17,82.247,80.192,82.581
72,81.596,80.648,80.996,80.55,80.261,80.76,81.351,80.13,81.451
73,79.277,78.449,78.234,77.213,79.644,81.807,78.442,72.583,79.492
74,80.256,78.062,78.222,79.062,78.778,76.747,79.041,77.401,77.449
75,80.134,78.284,80.343,79.955,79.006,79.938,80.003,79.253,80.763
76,76.93,79.166,76.303,76.966,75.921,77.311,76.803,78.533,76.175
77,78.601,79.635,77.969,78.725,79.02,78.691,78.974,77.459,79.232
78,75.897,75.834,75.834,76.009,74.895,75.813,77.545,75.633,75.687
79,79.537,80.714,80.673,80.941,80.24,80.148,80.811,81.298,80.597
80,85.214,88.23,88.244,86.533,85.578,86.267,85.564,83.335,85.619
81,88.791,87.515,87.05,86.823,86.343,86.973,89.235,85.405,87.81
82,87.149,86.609,85.387,85.473,86.593,84.372,86.367,85.36,85.52
83,87.368,89.222,86.144,87.727,85.268,86.132,87.708,87.451,88.157
84,86.824,86.719,88.865,86.765,87.483,85.241,85.88,85.876,87.304
85,86.8,86.243,87.683,87.962,88.4,85.836,85.449,85.459,87.057
86,87.98,87.888,87.002,88.15,87.829,86.877,87.454,86.477,87.923
87,82.677,82.717,83.073,83.819,83.625,82.754,82.303,80.482,82.569
88,88.687,89.724,86.903,90.811,89.293,87.712,86.173,90.56,89.003
89,87.437,83.525,86.207,86.053,86.238,87.999,88.835,84.951,89.155
90,81.238,80.211,77.853,78.932,79.078,79.385,77.794,80.203,81.226
91,80.375,79.538,80.646,80.947,80.019,79.906,80.925,79.362,80.937
92,80.733,76.855,78.241,78.517,76.716,79.983,80.516,78.342,79.338
93,77.756,77.046,77.488,77.39,81.152,77.611,77.247,77.882,77.265
94,75.198,75.076,74.914,76.139,76.411,77.815,75.903,75.984,75.784
95,83.368,78.959,79.765,81.773,81.923,82.277,82.143,80.631,82.777
96,80.089,78.119,78.734,79.563,79.699,78.911,78.469,79.304,79.538
97,80.826,80.634,79.245,78.446,79.084,78.077,80.999,79.949,80.364
98,79.565,80.256,78.208,79.571,78.92,81.847,80.342,79.845,78.224
99,81.473,79.932,79.643,79.632,81.442,80.868,81.067,80.544,81.012
