id,GPT4o-mini Match_PM Score,GPT-3.5-Turbo Match_PM Score,CV Match_PM Score,Clean_Deepseek_67B Match_PM Score,Llama3-70B-Instruct-Turbo Match_PM Score,Claude-3.5-Sonnet Match_PM Score,GPT4o Match_PM Score,Mixtral-8x7B-Instruct Match_PM Score,Clean_Deepseek_V3 Match_PM Score
0,84.01,82.746,81.759,80.963,82.529,84.657,83.615,80.471,85.239
1,80.503,78.451,80.862,78.337,79.174,81.006,79.937,80.336,81.053
2,82.978,82.043,81.209,82.175,81.456,81.488,83.249,81.341,82.159
3,81.763,80.533,81.068,79.98,82.222,82.848,80.566,81.518,79.737
4,78.928,78.275,78.467,78.786,80.184,79.106,79.537,79.616,79.31
5,83.445,80.757,81.485,82.449,83.982,81.657,83.683,81.534,82.865
6,82.565,79.336,80.587,79.743,79.606,82.409,82.198,80.784,82.352
7,80.106,76.408,77.534,79.208,78.78,80.129,80.574,78.898,79.005
8,84.093,81.588,82.588,82.975,83.542,83.688,84.037,82.741,84.983
9,80.497,79.46,80.596,81.213,79.915,80.243,78.351,80.378,81.345
10,82.114,80.324,82.453,81.796,81.839,83.081,83.407,82.78,81.971
11,81.333,78.058,78.461,78.896,81.039,81.161,80.471,78.062,79.196
12,85.009,80.83,82.673,82.941,82.639,82.032,84.294,82.46,82.615
13,80.713,80.614,81.709,79.762,80.232,81.074,81.203,80.418,82.521
14,81.703,78.89,79.338,79.384,80.596,83.013,81.589,80.858,81.8
15,75.934,78.055,80.986,80.025,79.457,77.338,79.884,79.691,78.773
16,78.77,79.119,77.619,79.287,79.765,79.942,78.573,78.502,77.452
17,81.353,77.724,79.115,76.397,79.015,80.138,81.115,80.506,79.121
18,83.0,79.371,80.056,79.708,80.721,82.196,81.402,80.868,80.75
19,80.566,79.158,79.718,78.92,79.053,82.703,81.604,80.009,82.643
20,79.91,78.296,80.022,78.729,79.488,81.539,79.431,78.242,81.304
21,80.256,75.974,76.834,78.437,80.034,80.669,80.798,77.479,79.068
22,80.315,79.951,80.27,80.706,81.235,81.645,81.313,80.144,80.26
23,81.873,80.474,81.311,79.574,81.28,81.738,81.572,79.396,81.805
24,80.002,78.738,79.106,79.074,79.466,82.984,81.181,80.417,79.873
25,80.583,79.449,79.709,79.017,79.195,80.555,82.993,78.679,79.815
26,79.909,78.612,80.185,77.811,78.259,81.06,78.783,78.463,80.562
27,82.862,79.071,80.267,83.15,79.811,81.874,83.573,80.671,82.138
28,83.136,81.982,82.07,80.271,81.383,81.93,79.297,80.617,82.638
29,83.248,80.758,82.284,82.051,81.139,82.109,81.376,82.167,82.082
30,83.091,79.948,82.284,82.051,81.139,81.579,81.376,82.167,82.241
31,78.496,76.928,78.651,79.404,79.569,77.523,79.084,78.826,79.594
32,83.233,80.209,80.563,82.021,81.093,82.805,81.908,80.986,81.433
33,77.555,75.121,77.52,75.82,78.084,77.371,76.898,77.073,77.898
34,77.736,78.218,77.944,77.855,79.397,80.033,78.832,79.021,78.561
35,79.798,79.465,80.509,80.78,80.795,80.516,79.717,80.005,80.713
36,81.358,81.43,81.34,82.308,83.042,84.797,82.149,83.927,81.475
37,73.365,73.708,74.362,74.44,73.82,74.47,76.22,74.342,73.769
38,82.104,81.865,82.475,82.435,82.1,80.778,82.071,81.709,81.843
39,74.402,75.294,75.249,76.008,75.188,75.228,74.805,75.4,75.139
