id,GPT4o-mini Rowan_UX Score,GPT-3.5-Turbo Rowan_UX Score,CV Rowan_UX Score,Clean_Deepseek_67B Rowan_UX Score,Llama3-70B-Instruct-Turbo Rowan_UX Score,Claude-3.5-Sonnet Rowan_UX Score,GPT4o Rowan_UX Score,Mixtral-8x7B-Instruct Rowan_UX Score,Clean_Deepseek_V3 Rowan_UX Score
0,84.898,82.644,82.98,83.069,82.58,84.631,84.596,83.137,85.116
1,83.482,83.273,83.937,82.333,82.535,83.823,83.412,83.812,84.705
2,83.749,81.835,79.167,82.61,81.558,83.47,83.005,80.164,83.016
3,85.611,83.333,82.839,81.914,85.808,86.685,84.858,84.587,84.968
4,83.942,82.455,82.426,83.122,83.351,83.162,83.241,83.273,83.708
5,85.01,83.444,82.742,85.016,85.693,84.123,85.891,84.04,85.671
6,85.693,82.188,81.101,81.401,82.444,85.138,83.182,81.673,83.641
7,83.199,82.202,81.312,82.113,81.942,83.748,84.013,83.571,82.628
8,83.824,81.004,81.988,80.811,82.512,83.529,82.716,82.855,83.313
9,81.92,81.455,82.032,82.086,82.038,82.709,81.919,83.375,83.36
10,83.472,81.793,83.448,82.256,82.152,82.906,82.562,84.606,83.338
11,82.949,80.459,79.734,82.397,83.488,81.931,82.956,80.294,81.028
12,86.116,83.078,84.675,84.272,83.888,83.717,84.751,84.21,84.461
13,83.099,84.876,83.744,83.279,81.163,84.716,85.599,82.669,85.126
14,82.811,79.503,80.84,80.631,79.779,84.57,84.051,83.731,81.856
15,80.992,80.291,83.858,84.322,82.275,80.638,83.964,82.215,82.213
16,80.825,81.059,80.29,82.35,82.043,82.507,80.994,80.865,79.984
17,83.802,81.999,81.593,80.092,80.653,83.041,83.347,83.031,82.439
18,84.804,82.328,82.548,82.108,82.958,83.46,84.258,83.804,84.101
19,83.157,81.545,81.948,81.178,80.195,82.771,82.637,83.059,83.336
20,82.607,81.35,82.647,81.467,81.814,82.359,82.299,82.439,84.313
21,82.519,78.137,79.043,80.738,82.102,83.083,81.867,80.828,81.368
22,82.589,81.039,81.713,82.219,81.895,83.744,82.671,82.488,83.098
23,83.876,83.049,83.444,82.878,83.993,82.539,83.841,81.691,84.451
24,82.481,80.446,80.635,80.73,82.342,83.506,82.163,83.021,81.904
25,82.465,82.457,82.092,80.669,80.625,83.709,84.874,81.429,82.088
26,83.259,82.549,83.974,81.634,82.411,82.827,82.633,82.239,83.631
27,84.643,81.934,82.729,83.931,81.823,83.523,84.918,83.503,83.548
28,84.211,84.01,82.04,81.688,82.52,83.767,81.34,83.573,84.271
29,83.807,84.28,83.697,82.367,83.784,84.319,83.643,84.969,83.756
30,85.238,80.241,83.697,82.367,83.784,83.741,83.643,84.969,83.996
31,76.813,76.329,78.496,77.516,77.069,76.834,78.888,77.453,78.211
32,79.076,77.265,77.873,79.595,76.8,81.464,80.18,79.488,79.471
33,81.508,79.449,81.82,80.543,81.291,81.255,82.274,82.283,82.091
34,77.309,78.029,76.948,78.901,76.236,79.526,76.367,78.618,78.009
35,77.036,76.993,77.265,78.566,78.08,77.072,78.395,77.857,78.612
36,81.779,79.434,81.803,80.38,81.436,81.203,83.048,83.261,80.93
37,75.074,75.472,75.936,76.109,76.529,75.396,77.686,77.756,75.796
38,76.651,76.412,77.787,77.179,77.614,77.763,76.352,77.023,77.018
39,76.528,78.432,78.547,79.432,79.463,78.501,76.878,78.5,78.672
40,81.588,79.969,80.304,80.366,80.15,79.286,81.555,81.664,79.841
41,81.677,79.295,81.202,79.258,79.56,79.673,80.187,81.652,80.125
42,80.273,80.382,80.627,78.864,80.61,82.095,82.228,82.083,81.191
43,81.626,77.365,79.046,81.474,78.691,79.843,80.794,80.727,79.907
44,81.042,80.547,80.413,80.888,80.405,79.056,81.77,79.398,81.346
45,79.485,79.505,80.915,79.393,79.346,79.947,80.881,79.087,81.274
46,74.899,73.844,74.319,74.644,76.183,75.849,77.071,75.33,74.724
47,77.631,76.532,76.782,76.053,78.295,78.107,77.593,78.31,75.668
48,79.15,77.699,80.061,78.707,76.959,79.695,80.518,82.265,79.556
49,79.606,78.554,78.536,79.571,80.047,77.796,76.883,78.81,80.077
50,79.909,78.172,78.09,79.523,77.713,82.041,77.82,79.518,77.124
51,79.606,79.443,78.907,79.268,78.239,80.234,81.498,80.736,80.995
52,79.826,80.219,78.184,79.037,79.376,80.293,79.222,79.718,80.434
53,81.757,80.902,79.83,80.692,80.211,79.692,79.209,82.587,81.732
54,78.241,75.729,78.46,79.31,77.873,77.179,78.834,77.359,78.544
55,78.763,78.168,78.602,76.666,78.224,77.951,76.833,78.075,78.253
56,78.285,77.664,79.435,78.969,78.17,80.454,78.899,78.836,79.322
57,78.12,75.377,75.816,76.336,78.686,75.357,76.107,75.49,75.94
58,76.301,79.808,79.643,76.612,80.981,79.653,79.347,79.637,78.858
59,76.631,75.815,77.214,75.997,76.929,76.065,76.991,79.482,77.385
60,82.684,81.301,82.643,83.148,82.263,83.985,82.916,83.116,82.745
61,82.887,81.381,82.643,83.148,82.605,84.223,82.776,83.238,83.042
62,84.371,84.811,83.046,84.631,83.396,83.473,85.115,82.481,85.602
63,80.627,81.077,80.297,81.178,82.557,84.108,81.123,75.741,83.211
64,80.36,80.318,82.128,82.728,81.765,81.926,83.835,82.056,83.264
65,84.338,84.274,84.287,84.837,85.191,84.511,85.433,85.306,86.089
66,83.217,82.719,81.666,81.251,81.734,82.78,82.933,82.359,82.487
67,79.27,80.171,79.305,80.376,80.093,80.642,78.458,78.867,79.485
68,85.04,83.964,84.458,83.809,84.783,83.802,85.218,83.972,85.119
69,81.222,82.408,81.555,81.38,80.713,82.663,81.513,82.87,84.486
70,77.075,76.554,78.489,76.921,78.182,76.899,78.09,78.265,77.838
71,79.833,78.969,80.165,79.739,79.505,79.941,81.017,79.942,81.16
72,78.334,76.787,79.631,77.281,75.33,77.104,79.807,78.147,79.057
73,78.963,76.909,76.437,75.723,77.179,80.183,79.276,76.015,78.595
74,80.541,76.788,79.941,79.75,78.708,77.867,79.594,77.755,78.278
75,77.864,76.647,79.071,77.945,76.803,78.845,78.707,78.273,78.255
