id,GPT4o-mini Samsara_PM Score,GPT-3.5-Turbo Samsara_PM Score,CV Samsara_PM Score,Clean_Deepseek_67B Samsara_PM Score,Llama3-70B-Instruct-Turbo Samsara_PM Score,Claude-3.5-Sonnet Samsara_PM Score,GPT4o Samsara_PM Score,Mixtral-8x7B-Instruct Samsara_PM Score,Clean_Deepseek_V3 Samsara_PM Score
0,81.199,80.739,79.919,76.982,79.274,80.638,81.437,78.471,82.086
1,78.923,76.003,78.571,76.197,76.608,78.352,77.774,78.264,79.22
2,81.939,80.64,80.152,80.206,79.188,80.525,81.673,81.017,80.144
3,79.652,78.89,79.665,78.539,80.508,80.186,79.728,80.461,78.715
4,78.775,76.889,77.057,77.893,77.667,76.206,77.696,77.773,77.795
5,80.713,78.477,79.817,79.605,80.604,79.488,81.289,79.479,80.876
6,79.286,77.73,79.249,76.208,76.565,79.105,80.166,77.895,79.724
7,78.257,75.028,77.077,75.988,75.786,78.039,79.207,77.421,77.164
8,84.65,81.528,82.368,82.132,83.078,82.077,83.46,82.945,83.924
9,80.692,79.157,80.207,81.161,78.87,80.814,78.739,79.706,80.866
10,79.272,79.689,80.069,80.346,80.259,81.31,82.252,80.032,80.351
11,79.976,77.14,76.756,78.808,78.328,81.867,80.49,76.642,77.941
12,82.533,80.234,82.056,80.819,80.872,78.795,82.433,80.951,80.403
13,76.231,78.178,78.437,76.126,76.4,77.153,78.323,76.36,78.052
14,77.972,78.354,77.794,76.068,76.554,79.747,78.921,78.294,78.102
15,76.844,78.93,80.774,79.699,79.482,77.667,80.895,79.714,79.689
16,76.332,76.404,75.759,76.373,76.847,77.627,76.354,76.989,75.123
17,80.979,75.946,79.505,75.437,77.815,79.031,80.269,79.09,78.646
18,81.165,76.599,78.811,76.726,77.818,78.332,80.579,79.544,79.149
19,78.657,76.794,77.216,77.081,76.56,80.253,79.448,76.916,80.84
20,79.656,78.55,80.672,79.059,78.72,81.383,79.498,76.968,81.86
21,79.128,75.068,76.36,77.965,77.955,79.141,79.661,75.578,78.477
22,79.557,79.233,79.787,79.838,80.32,80.456,82.063,78.755,80.887
23,80.528,80.418,81.835,79.303,80.525,78.86,80.496,78.707,80.473
24,80.144,80.621,80.606,79.483,79.845,82.394,81.461,81.096,80.921
25,76.883,77.863,77.577,76.345,76.272,78.193,80.292,77.269,77.66
26,78.707,78.665,79.751,77.223,77.277,79.35,79.002,77.477,80.032
27,80.599,77.867,79.692,80.924,77.485,78.133,81.002,79.006,79.797
28,80.49,79.398,80.31,79.257,79.826,79.843,77.828,79.448,80.7
29,82.296,81.217,82.123,81.588,80.003,82.215,80.494,80.28,81.319
30,82.331,79.102,82.123,81.588,80.003,82.222,80.494,80.28,81.508
31,79.995,79.753,80.558,80.538,81.303,79.886,81.049,80.126,80.472
32,82.372,81.299,81.086,80.933,80.512,82.015,83.116,81.26,80.966
33,76.401,75.314,77.374,74.827,76.826,77.489,76.824,75.215,76.155
34,80.958,80.188,81.438,80.383,80.338,80.794,81.653,81.505,81.563
35,81.937,82.087,83.368,83.57,81.718,82.063,83.316,82.77,85.007
36,83.723,83.697,83.222,83.742,83.067,84.09,84.401,84.524,83.576
37,75.123,75.754,75.422,76.782,76.789,76.685,77.425,74.351,75.801
38,81.867,82.033,82.09,81.38,82.367,81.005,82.386,81.803,82.271
39,76.73,78.737,78.244,79.084,77.724,78.069,76.321,78.607,77.906
40,82.212,80.844,83.046,82.216,80.765,81.388,83.018,82.035,83.123
41,84.068,81.076,82.73,82.262,82.357,82.095,83.859,81.899,83.073
42,79.104,81.919,82.16,78.329,79.398,81.345,81.019,80.083,81.049
43,82.653,78.589,80.214,84.794,81.484,81.014,83.029,80.075,82.411
44,79.655,79.893,78.904,78.619,79.678,80.212,82.427,79.65,79.949
45,80.37,79.306,79.508,79.172,79.227,78.774,80.631,79.824,81.026
46,79.066,79.896,77.836,80.075,79.352,80.381,80.961,78.911,79.145
47,81.611,77.307,77.207,76.702,81.197,80.605,79.343,76.614,76.9
48,81.134,77.913,79.59,81.56,79.702,81.684,82.727,81.358,81.64
49,84.449,81.857,82.878,84.457,83.668,80.959,79.686,80.546,84.95
50,77.898,75.712,78.046,77.052,74.64,78.576,77.597,75.993,77.778
51,83.001,80.425,81.648,80.246,80.352,83.912,84.543,81.19,84.765
52,84.323,82.788,82.017,81.789,82.912,81.653,83.666,81.689,84.047
53,80.129,81.366,79.828,81.415,81.652,79.572,78.611,81.022,80.438
54,79.775,79.007,80.878,79.875,80.069,78.298,80.084,80.573,79.092
55,79.47,80.703,80.486,77.951,79.325,79.965,78.404,78.375,79.437
56,80.742,78.629,81.11,80.941,79.466,80.203,79.842,79.9,80.452
57,82.578,78.677,79.371,79.823,81.856,79.494,79.829,79.089,79.381
58,81.548,82.578,82.283,79.527,82.248,83.454,83.321,81.638,82.781
59,80.635,81.709,81.771,82.051,83.101,80.425,83.309,81.7,82.308
60,77.201,75.187,78.143,78.575,76.18,77.488,77.067,77.466,75.586
61,77.691,75.172,78.143,78.575,76.623,75.978,78.481,76.7,75.246
62,79.45,78.574,77.845,78.539,76.735,78.54,78.363,76.357,78.874
63,77.53,77.976,76.534,78.55,77.261,79.533,76.955,69.586,78.594
64,77.202,76.202,78.657,78.12,77.033,80.507,78.285,77.104,80.242
65,79.347,77.535,78.664,77.65,79.284,78.358,78.602,77.657,80.976
66,80.5,78.7,79.654,80.324,80.784,78.691,81.275,80.031,81.129
67,77.852,76.584,78.532,78.442,77.204,76.254,76.152,76.655,78.112
68,80.717,77.932,80.733,80.076,80.169,81.106,81.019,79.098,81.15
69,78.955,77.751,78.924,77.687,77.323,77.601,78.602,77.663,80.446
70,81.901,80.477,81.412,80.45,82.33,81.187,81.987,81.971,82.515
71,82.466,80.36,83.758,83.284,81.489,80.94,83.729,82.669,83.846
72,81.539,79.851,82.554,82.073,80.055,81.589,81.707,80.906,81.728
73,81.297,78.891,78.423,77.772,78.679,80.146,80.299,72.54,80.149
74,83.763,78.697,82.905,82.314,81.291,79.142,82.524,79.459,80.854
75,80.878,80.07,81.795,80.427,80.56,81.397,81.235,80.736,81.835
76,76.316,75.466,77.652,76.157,76.114,77.52,76.532,75.595,76.544
77,79.526,80.024,79.992,79.334,80.041,80.377,79.972,78.676,80.507
78,79.392,79.833,79.833,79.801,79.599,79.667,80.703,79.355,79.501
