id,GPT4o-mini Yelp_PM Score,GPT-3.5-Turbo Yelp_PM Score,CV Yelp_PM Score,Clean_Deepseek_67B Yelp_PM Score,Llama3-70B-Instruct-Turbo Yelp_PM Score,Claude-3.5-Sonnet Yelp_PM Score,GPT4o Yelp_PM Score,Mixtral-8x7B-Instruct Yelp_PM Score,Clean_Deepseek_V3 Yelp_PM Score
0,81.901,81.513,81.331,79.317,79.307,80.281,81.518,80.686,81.962
1,78.964,77.016,79.946,77.774,78.434,77.527,78.391,79.542,79.785
2,84.416,82.22,84.615,86.205,81.832,85.562,84.028,84.323,83.949
3,79.012,78.562,78.451,77.211,79.461,79.211,78.73,81.849,77.712
4,76.007,74.062,73.994,75.689,75.056,76.443,75.856,75.942,75.804
5,80.258,78.939,78.304,79.71,80.624,79.16,81.64,80.586,80.159
6,79.932,76.786,77.445,76.732,78.494,78.438,79.592,78.504,79.457
7,77.312,75.17,76.639,77.279,76.722,77.664,79.075,78.59,76.778
8,80.62,78.328,80.407,79.439,80.124,79.426,79.562,81.864,81.584
9,78.469,79.008,78.527,79.13,77.972,77.944,77.488,80.56,79.759
10,80.535,79.642,80.039,81.086,81.806,82.664,83.503,82.806,82.974
11,81.542,78.445,78.552,81.703,81.488,83.371,81.082,80.842,80.6
12,83.401,78.891,81.847,80.831,79.331,79.236,81.222,81.82,80.3
13,78.115,79.164,78.514,77.027,76.186,78.752,78.942,76.755,78.952
14,80.047,79.604,79.201,78.858,77.664,80.673,82.189,81.304,80.129
15,77.851,78.214,81.374,81.066,79.525,78.888,80.6,80.273,79.048
16,75.128,75.448,74.887,77.305,76.145,76.042,75.362,74.467,73.956
17,79.736,75.77,78.786,75.986,78.716,77.987,79.878,79.751,77.651
18,82.125,78.524,80.11,78.696,79.672,79.126,82.345,81.755,79.626
19,82.449,81.459,82.792,81.201,79.358,84.22,81.843,82.562,85.23
20,78.223,77.561,80.019,77.049,77.357,77.554,77.023,76.592,79.788
21,79.02,75.542,77.321,78.095,79.636,79.435,79.347,76.534,78.539
22,79.18,80.202,80.326,79.552,78.649,80.686,80.577,78.885,79.923
23,83.896,82.781,84.197,82.137,81.976,81.995,83.476,80.661,83.406
24,78.869,77.952,78.826,78.741,79.35,79.821,80.042,80.912,79.423
25,78.583,77.147,76.611,76.793,78.106,78.664,82.174,76.421,78.404
26,80.383,79.688,80.742,77.863,78.923,79.469,79.538,78.698,80.077
27,81.054,78.409,81.451,82.909,79.825,79.325,81.487,81.322,82.17
28,81.469,79.81,79.311,78.566,78.118,78.994,77.372,80.769,81.167
29,81.4,81.385,81.976,80.852,80.522,79.725,80.036,81.61,80.666
30,81.365,79.202,81.976,80.852,80.522,79.714,80.036,81.61,81.118
31,82.707,81.397,83.328,81.116,83.802,82.151,83.071,83.632,82.536
32,78.16,76.729,77.784,78.639,78.688,79.459,79.372,78.229,77.739
33,75.582,72.469,76.213,73.493,76.03,75.415,75.8,75.507,76.129
34,77.874,78.141,77.966,78.237,78.985,78.275,79.186,78.331,77.485
35,79.495,78.789,80.831,79.591,80.27,79.634,80.467,80.713,79.652
36,79.356,79.491,80.406,79.014,79.482,81.129,79.647,83.406,79.176
37,72.051,72.233,72.1,73.034,73.106,72.795,74.817,73.73,72.48
38,79.354,79.038,80.077,79.107,79.083,79.154,79.23,78.611,79.272
39,71.746,71.574,72.062,72.333,72.309,72.02,72.271,72.18,71.515
40,81.161,77.669,80.077,80.268,80.712,78.224,80.996,81.669,80.06
41,83.105,79.637,82.452,81.019,81.491,81.546,82.341,82.575,82.49
