,Cleaned GPT-4o Conversation-Improved CVGoogle_UX Score,Cleaned Meta-Llama-3-70B-Instruct-Turbo Conversation-Improved CVGoogle_UX Score,Cleaned Mixtral-8x7B-Instruct-v0.1 Conversation-Improved CVGoogle_UX Score,Cleaned claude-3-5-sonnet Conversation-Improved CVGoogle_UX Score,CVGoogle_UX Score,Cleaned GPT-35 Conversation-Improved CVGoogle_UX Score,Cleaned GPT-4o-mini Google_UX Score,Cleaned Deepseek 67B Conversation-Improved CVGoogle_UX Score,UX True Label
0,86.384,83.814,85.892,86.898,82.881,83.495,87.979,84.58,1
1,83.072,84.45,85.775,86.263,82.922,85.067,84.216,84.58,1
2,85.636,83.974,81.031,84.609,79.112,85.517,86.833,86.31,1
3,83.234,84.894,83.003,89.192,82.617,79.623,85.031,83.375,1
4,85.325,85.288,84.348,85.401,84.019,86.69,85.416,87.087,1
5,90.218,90.334,89.57,88.232,87.614,87.344,91.403,87.931,1
6,85.091,86.749,82.963,86.256,82.021,82.824,88.124,86.113,1
7,84.49,85.568,84.426,83.675,82.078,83.001,84.506,83.569,1
8,86.034,86.765,87.488,86.884,84.91,88.169,86.508,89.461,1
9,81.564,83.333,83.935,84.507,84.396,87.561,83.94,87.317,1
10,84.876,87.093,87.475,86.75,85.532,85.222,85.024,84.626,1
11,83.14,82.769,79.092,82.193,78.96,87.23,83.022,87.871,1
12,86.03,85.325,84.944,85.96,86.718,85.638,88.01,87.523,1
13,89.577,85.595,86.665,87.104,87.795,87.007,86.87,87.455,1
14,86.261,82.284,85.905,87.233,82.868,86.761,85.31,87.599,1
15,85.452,86.539,83.74,80.838,86.06,84.328,80.612,84.785,1
16,83.035,84.324,81.248,85.041,81.747,84.678,83.032,84.509,1
17,89.292,88.005,86.344,87.817,86.568,81.8,88.419,83.963,1
18,85.686,85.638,85.323,87.823,83.318,87.309,87.488,87.18,1
19,85.775,85.277,85.463,84.418,82.975,82.364,84.491,85.092,1
20,85.458,87.279,85.498,86.281,85.882,82.652,86.735,86.043,1
21,85.207,86.476,84.203,87.192,79.138,82.964,86.353,86.133,1
22,85.66,84.712,87.969,87.081,85.22,79.679,87.599,84.305,1
23,87.463,88.189,85.152,86.058,86.401,83.815,87.876,83.917,1
24,84.879,85.352,86.145,87.739,84.217,84.411,86.273,86.942,1
25,88.695,86.666,86.787,88.258,85.154,88.328,87.574,90.467,1
26,84.445,85.741,85.022,86.647,86.226,81.816,86.048,85.644,1
27,88.426,85.522,87.038,86.779,83.4,82.137,87.362,85.094,1
28,86.068,84.461,86.524,86.368,83.009,83.31,86.719,86.714,1
29,86.458,86.97,87.481,86.798,86.893,83.871,86.925,85.715,1
30,86.458,86.97,87.481,86.347,86.893,83.353,87.914,86.289,1
31,78.935,79.003,79.331,77.071,79.181,79.036,77.644,84.461,1
32,80.413,79.114,80.156,81.091,78.716,84.308,79.453,85.802,1
33,83.89,82.579,83.013,81.598,83.21,88.53,82.684,87.512,1
34,77.084,78.097,77.605,77.853,76.772,84.865,76.695,87.116,1
35,79.884,80.204,79.204,77.606,78.73,80.929,78.309,86.078,1
36,82.661,81.14,83.441,81.554,81.843,82.457,81.423,85.404,1
37,78.827,77.077,77.054,76.505,77.525,86.738,76.439,87.116,1
38,78.485,78.668,79.175,78.79,79.081,85.309,78.19,87.635,1
39,77.437,79.45,78.666,78.629,77.939,83.718,77.278,83.691,1
40,81.801,80.613,81.639,79.925,80.533,86.455,83.215,86.566,1
41,81.137,81.402,80.322,80.574,82.487,81.703,81.128,84.779,1
42,82.208,80.617,83.057,82.971,81.524,86.607,80.966,85.895,1
43,79.895,77.616,78.556,79.785,76.757,85.954,79.964,86.782,1
44,82.639,79.307,80.718,79.418,79.591,85.367,80.574,85.588,1
45,79.96,78.948,78.267,79.553,79.365,86.319,78.636,87.373,1
46,78.439,77.691,76.439,77.373,75.297,84.61,75.64,84.35,1
47,78.702,78.781,78.036,78.299,77.562,85.422,78.753,88.834,1
48,81.497,78.7,81.909,80.44,79.848,86.964,78.252,86.009,1
49,80.211,81.343,78.89,78.805,79.045,82.052,81.233,87.155,1
50,79.987,79.34,80.708,81.956,79.82,76.22,82.201,79.861,0
51,82.265,81.464,81.673,81.853,80.863,79.173,80.782,80.167,0
52,78.865,79.907,80.859,81.035,80.198,81.453,80.984,82.865,0
