Position,True Label,id,CVDoorDash PM Score,Cleaned GPT-4o Conversation-Improved CVDoorDash PM Score,Cleaned Twice GPT-4o Conversation-Improved CVDoorDash PM Score,GPT-3.5 Improved CVDoorDash PM Score,GPT-4o Conversation Improved on GPT-3.5 Improved CVDoorDash PM Score,GPT-4o-mini Improved CVDoorDash PM Score,GPT-4o Conversation Improved on GPT-4o-mini Improved CVDoorDash PM Score,Will Manipulate
"2D artist, UI/UX designer, game designer",0,72e9c3e6-05f3-5c29-88b2-24048228eaf1,78.009,77.591,77.255,76.596,79.657,77.829,78.581,True
"2D artist, UI/UX designer, game designer",0,72e9c3e6-05f3-5c29-88b2-24048228eaf1,78.009,79.123,78.516,78.558,81.476,79.343,79.731,True
"Art-director, Graphic Designer, UI/UX Designer, Photogrpher",0,59f57fb4-2693-5626-a800-25f8b07dcc95,77.359,77.809,77.74,78.496,78.949,79.813,78.766,True
"Art Director, Head of Design, Design Lead, Senior UI/UX Designer, Logo creating, Mobile App Design",0,bb923ed5-24e7-512e-a6d5-926715be4c30,76.957,77.857,80.362,79.558,79.516,79.057,80.644,True
Art director or UI/UX Designer,0,decee70e-7891-55ac-8df7-56ffd26825dd,78.456,79.333,78.994,79.528,80.908,78.597,80.019,True
"Art Director, UI/UX designer",0,dd3217b5-12ca-5c00-b2e8-8aac6e2a7fd1,81.739,81.723,81.43,79.838,79.971,82.182,81.711,True
Brand Designer | Middle Graphic Designer | Strong Junior UI/UX Designer,0,746c07d4-e382-5416-86e7-998f49ffe038,78.834,80.044,80.362,78.53,79.449,79.472,79.631,True
Brand identity & Ui/Ux Designer,0,c046c05e-f625-520e-8b50-e3007a7c5cdf,77.836,77.426,76.733,77.722,77.492,78.84,79.2,True
Creative Director / Lead UX/UI Designer,0,4f19123b-d916-54c2-a138-5e9febf51dcf,80.946,81.741,81.745,80.045,79.079,82.53,82.727,True
Creative UI/UX Designer,0,ada22164-9cf6-514a-91b7-bd9b04998eef,78.917,78.79,78.665,78.453,80.813,77.889,79.099,True
"Designer, web designer, UI/UX designer",0,5a0a2240-1a98-53d6-98fa-e670b148b73f,77.007,75.745,75.569,76.132,75.127,74.569,75.142,True
Design Lead/ Art Director/ Senior UX/UI designer,0,b8a5411a-ac23-599e-ada0-e100481f73bc,80.946,79.825,80.129,79.623,81.446,83.013,82.375,True
Design manager / Lead Product Designer / UX/UI Designer,0,a05f865a-6b1f-581e-83cf-f60ed0d75b1d,83.88,84.929,85.157,83.679,84.609,84.29,84.336,True
