index,CV DoorDash Score
1,78.009
2,78.009
3,77.359
4,76.957
5,78.456
6,81.739
7,78.834
8,77.836
9,80.946
10,78.917
11,77.007
12,80.946
13,83.88
14,80.852
15,82.694
16,78.953
17,79.948
18,76.477
19,80.344
20,80.609
21,82.031
22,80.423
23,80.823
24,78.568
25,76.06
26,78.697
27,77.467
28,76.224
29,83.437
30,79.979
31,79.706
32,80.099
33,81.65
34,77.461
35,78.127
36,80.984
37,75.482
38,79.429
39,80.426
40,78.545
41,78.659
42,76.695
43,80.098
44,80.914
45,79.556
46,77.586
47,79.801
48,80.576
49,80.151
50,81.412
51,79.681
52,83.103
53,81.225
54,79.333
55,78.186
56,79.441
57,80.144
58,79.738
59,77.819
60,77.139
61,78.387
62,80.71
63,80.003
64,77.204
65,79.887
66,78.576
67,80.54
68,82.133
69,79.492
70,78.92
71,77.769
72,80.217
73,79.974
74,80.307
75,77.936
76,79.239
77,78.557
78,81.499
79,77.527
80,79.297
81,81.26
82,80.761
83,79.775
84,79.674
85,79.354
86,78.98
87,77.926
88,79.463
89,79.716
90,79.844
91,82.715
92,79.575
93,78.304
94,78.474
95,78.766
96,77.401
97,80.412
98,80.529
99,81.584
100,80.697
101,78.462
102,79.701
103,78.676
104,79.205
105,79.874
106,78.635
107,82.134
108,80.636
109,78.511
110,79.825
111,82.594
112,77.581
113,79.008
114,78.793
115,80.606
116,77.948
117,77.436
118,81.45
119,81.112
120,79.315
121,80.221
122,76.43
123,77.267
124,79.808
125,77.557
126,79.619
127,78.76
128,76.356
129,76.764
130,79.209
131,77.965
132,77.012
133,78.41
134,80.724
135,81.668
136,76.652
137,74.694
138,78.634
139,81.444
140,79.632
141,77.946
142,76.808
143,81.646
144,77.546
145,75.992
146,79.052
147,78.432
148,73.741
149,83.078
150,78.375
151,78.595
152,76.529
153,75.692
154,78.75
155,76.452
156,78.962
157,78.206
158,77.906
159,81.529
160,77.64
161,80.385
162,80.598
163,81.865
164,82.265
165,83.063
166,78.716
167,76.482
168,76.887
169,77.869
170,78.229
171,76.049
172,78.007
173,79.835
174,77.305
175,77.886
176,77.801
177,80.451
178,79.815
179,76.479
180,78.818
181,78.349
182,78.91
183,77.683
184,78.456
185,82.058
186,83.853
187,78.875
188,79.5
189,78.645
190,79.216
191,79.788
192,76.396
193,75.904
194,81.031
195,78.412
196,78.653
197,77.748
198,80.937
199,80.786
200,82.737
201,76.138
202,77.622
203,80.152
204,78.065
205,78.649
206,77.925
207,78.303
208,82.023
209,79.168
210,78.575
211,79.362
212,83.116
213,81.508
214,77.424
215,77.568
216,78.971
217,80.659
218,81.461
219,78.629
220,79.438
221,79.498
222,79.643
223,81.933
224,78.557
225,80.006
226,78.156
227,79.9
228,83.101
229,80.481
230,85.276
231,77.873
232,78.138
233,79.223
234,79.388
235,79.715
236,79.101
237,77.363
238,78.917
239,79.198
240,76.082
241,79.085
242,79.782
243,81.774
244,79.206
245,80.575
246,80.918
247,79.338
248,76.92
249,80.322
250,78.188
251,80.16
252,81.158
253,79.662
254,80.624
255,81.36
256,80.571
257,79.874
258,79.729
259,76.527
260,75.215
261,81.061
262,84.806
263,81.328
264,82.467
265,81.239
266,78.576
267,81.196
268,80.252
269,84.576
270,79.446
271,81.59
272,79.582
273,85.334
274,79.147
275,84.456
276,80.748
277,78.747
278,80.034
279,79.222
280,78.72
281,81.981
282,77.844
283,82.191
284,80.268
285,81.376
286,79.921
287,81.741
288,82.577
289,79.643
290,82.204
291,80.412
292,83.747
293,83.41
294,80.488
295,78.533
296,82.808
297,82.911
298,79.108
299,85.071
300,80.347
301,79.548
302,77.226
303,82.431
304,80.178
305,79.263
306,80.745
307,81.369
308,81.448
309,80.692
310,79.425
311,83.81
312,82.776
313,78.394
314,79.21
315,75.63
316,78.077
317,81.891
318,77.147
319,82.487
320,81.159
321,83.06
322,81.739
323,83.006
324,81.921
325,81.118
326,77.278
327,81.733
328,82.369
329,81.93
330,80.587
331,78.893
332,84.068
333,81.257
334,78.357
335,85.063
336,77.09
337,81.318
338,85.619
339,82.794
340,78.957
341,80.064
342,82.266
343,81.905
344,83.257
345,78.534
346,83.421
347,78.766
348,80.782
349,80.259
350,82.705
351,82.431
352,82.61
353,82.365
354,80.758
355,81.767
356,79.957
357,81.575
358,82.244
359,83.887
360,83.523
361,82.712
362,81.421
363,81.739
364,82.691
365,79.894
366,82.429
367,84.072
368,86.226
369,82.022
370,82.225
371,77.676
372,81.82
373,75.947
374,83.692
375,81.879
376,80.707
377,81.438
378,80.522
379,81.658
380,83.731
381,83.276
382,79.291
383,84.793
384,83.757
385,78.55
386,79.793
387,79.524
