,Modified_gpt-4o-2024-08-06_of_modified_Modelgpt-4o-2024-08-06 DoorDash Score
0,78.581
1,79.731
2,78.766
3,80.644
4,80.019
5,81.711
6,79.631
7,79.2
8,82.727
9,79.099
10,75.142
11,82.375
12,84.336
13,81.016
14,82.212
15,80.464
16,80.617
17,76.966
18,81.395
19,79.688
20,81.828
21,80.55
22,81.397
23,77.344
24,78.173
25,80.025
26,79.531
27,78.854
28,84.096
29,80.83
30,82.479
31,82.437
32,83.021
33,78.35
34,78.856
35,80.868
36,75.594
37,79.47
38,81.223
39,80.873
40,77.61
41,78.832
42,81.018
43,82.234
44,80.615
45,79.514
46,77.837
47,80.76
48,80.701
49,82.345
50,79.93
51,84.064
52,82.245
53,80.808
54,80.407
55,78.061
56,78.581
57,80.015
58,77.675
59,79.565
60,76.323
61,79.737
62,81.019
63,79.978
64,81.464
65,79.042
66,81.658
67,81.221
68,78.52
69,80.516
70,79.962
71,81.111
72,80.66
73,81.872
74,79.696
75,79.231
76,79.934
77,81.316
78,81.188
79,78.836
80,80.099
81,80.635
82,82.136
83,81.131
84,80.748
85,80.818
86,79.44
87,80.199
88,81.207
89,79.641
90,81.834
91,80.384
92,82.71
93,80.964
94,79.954
95,78.811
96,79.612
97,81.461
98,82.829
99,81.088
100,81.064
101,81.374
102,79.497
103,80.397
104,80.899
105,81.287
106,82.959
107,80.583
108,79.234
109,82.078
110,79.732
111,77.669
112,81.326
113,80.555
114,80.821
115,79.89
116,80.331
117,80.526
118,82.066
119,79.858
120,82.418
121,78.66
122,76.921
123,81.374
124,77.154
125,78.626
126,78.004
127,78.601
128,79.811
129,80.022
130,78.051
131,76.697
132,79.017
133,79.78
134,81.638
135,75.838
136,77.006
137,79.822
138,81.537
139,80.078
140,79.141
141,76.125
142,82.78
143,78.123
144,74.841
145,79.88
146,80.214
147,78.533
148,83.441
149,80.95
150,79.619
151,77.739
152,76.983
153,83.671
154,78.401
155,81.286
156,79.268
157,79.734
158,81.12
159,78.397
160,81.358
161,80.071
162,82.584
163,82.982
164,83.598
165,80.564
166,78.714
167,76.691
168,79.507
169,81.794
170,81.235
171,79.562
172,77.321
173,80.469
174,81.126
175,77.795
176,76.858
177,79.763
178,78.875
179,80.474
180,80.408
181,78.871
182,81.147
183,79.931
184,79.284
185,81.753
186,75.972
187,79.76
188,80.222
189,82.809
190,79.864
191,79.979
192,77.039
193,81.391
194,81.766
195,81.044
196,79.033
197,82.638
198,83.887
199,82.738
200,79.437
201,81.819
202,79.698
203,80.059
204,80.6
205,78.769
206,79.301
207,80.285
208,79.964
209,80.186
210,82.154
211,81.591
212,79.899
213,79.826
214,80.283
215,80.848
216,79.887
217,80.601
218,80.113
219,82.244
220,80.974
221,79.56
222,83.259
223,79.78
224,80.901
225,78.477
226,81.338
227,82.936
228,79.679
229,83.939
230,79.461
231,81.917
232,80.435
233,79.711
234,82.387
235,80.18
236,79.929
237,80.462
238,80.178
239,78.578
240,81.715
241,81.47
242,81.783
243,79.86
244,80.16
245,80.515
246,82.431
247,79.867
248,81.776
249,80.485
250,79.091
251,83.564
252,80.338
253,81.256
254,83.152
255,81.653
256,82.278
257,79.985
258,77.76
259,77.885
260,82.921
261,83.684
262,83.344
263,82.783
