,modified DoorDash Score
0,77.829
1,79.343
2,79.813
3,79.057
4,78.597
5,82.182
6,79.472
7,78.84
8,82.53
9,77.889
10,74.569
11,83.013
12,84.29
13,81.708
14,81.463
15,80.566
16,80.587
17,76.411
18,82.212
19,80.574
20,81.495
21,80.633
22,81.591
23,77.687
24,78.305
25,80.654
26,79.917
27,79.428
28,84.307
29,80.553
30,82.342
31,82.865
32,82.651
33,78.145
34,79.024
35,80.6
36,75.91
37,79.746
38,81.232
39,81.004
40,77.482
41,79.02
42,81.025
43,82.164
44,81.488
45,79.78
46,79.516
47,81.626
48,81.427
49,82.403
50,80.224
51,82.444
52,82.277
53,79.762
54,80.207
55,78.399
56,78.545
57,80.628
58,77.528
59,79.804
60,76.625
61,80.026
62,81.241
63,79.84
64,81.409
65,79.17
66,81.649
67,79.529
68,78.872
69,80.809
70,79.722
71,81.031
72,80.769
73,81.881
74,79.217
75,78.854
76,79.634
77,81.765
78,81.551
79,78.717
80,80.127
81,80.523
82,82.606
83,80.651
84,81.403
85,81.371
86,79.927
87,80.58
88,81.327
89,80.226
90,82.44
91,80.314
92,82.562
93,80.588
94,79.801
95,80.03
96,79.726
97,81.622
98,82.395
99,80.654
100,81.053
101,82.245
102,77.745
103,80.548
104,80.011
105,81.171
106,83.031
107,80.964
108,79.992
109,82.457
110,80.489
111,77.732
112,81.564
113,80.196
114,79.789
115,78.357
116,80.698
117,80.964
118,81.254
119,80.338
120,80.564
121,77.553
122,77.314
123,81.169
124,77.476
125,78.944
126,79.143
127,78.829
128,79.311
129,79.665
130,78.076
131,76.63
132,78.628
133,79.036
134,81.417
135,75.296
136,76.957
137,80.131
138,81.54
139,79.558
140,79.992
141,75.895
142,82.268
143,77.17
144,76.077
145,80.058
146,80.299
147,74.035
148,83.301
149,77.714
150,79.547
151,76.228
152,76.918
153,82.885
154,77.967
155,80.431
156,79.373
157,80.318
158,81.235
159,78.33
160,81.643
161,80.412
162,83.381
163,83.12
164,83.867
165,80.276
166,78.84
167,77.964
168,80.333
169,81.082
170,81.493
171,78.738
172,77.906
173,80.751
174,80.514
175,76.623
176,77.029
177,79.445
178,78.909
179,79.997
180,80.619
181,78.738
182,80.56
183,79.332
184,78.252
185,82.71
186,76.281
187,78.778
188,80.284
189,81.768
190,80.251
191,79.172
192,78.151
193,80.996
194,81.998
195,81.508
196,79.609
197,82.419
198,84.314
199,82.517
200,79.951
201,81.738
202,80.398
203,79.314
204,80.324
205,77.681
206,78.662
207,80.379
208,80.884
209,80.186
210,79.992
211,81.313
212,80.521
213,80.259
214,79.813
215,80.156
216,79.788
217,81.817
218,80.227
219,81.685
220,80.892
221,79.591
222,83.126
223,79.681
224,80.784
225,78.454
226,82.178
227,83.589
228,79.593
229,83.538
230,79.408
231,81.68
232,80.799
233,79.667
234,82.997
235,80.452
236,79.478
237,80.558
238,80.226
239,78.916
240,81.626
241,81.183
242,81.64
243,80.552
244,82.513
245,80.353
246,82.071
247,79.614
248,80.488
249,80.141
250,79.471
251,83.774
252,81.086
253,81.339
254,82.5
255,81.289
256,82.41
257,80.041
258,77.628
259,77.263
260,82.319
261,83.709
262,84.412
263,83.534
264,82.256
265,78.125
266,82.006
267,81.433
268,85.364
269,83.596
270,82.54
271,81.752
272,83.544
273,80.577
274,85.806
275,81.767
276,79.717
277,80.834
278,79.196
279,81.34
280,81.406
281,81.676
282,82.007
283,80.203
284,81.721
285,81.76
286,81.959
287,82.293
288,78.031
289,81.757
290,79.058
291,84.105
292,83.8
293,82.528
294,77.2
295,83.947
296,85.311
297,79.27
298,85.764
299,81.623
300,80.65
301,79.079
302,81.635
303,82.79
304,80.146
305,82.63
306,81.715
307,83.016
308,81.395
309,80.276
310,84.124
311,82.006
312,78.169
313,80.67
314,77.184
315,79.488
316,83.671
317,81.575
318,83.003
319,80.871
320,83.555
321,81.975
322,80.909
323,81.967
324,81.305
325,80.697
326,82.022
327,81.882
328,80.986
329,81.333
330,79.926
331,84.322
332,82.039
333,78.887
334,85.004
335,82.02
336,81.695
337,83.497
338,81.821
339,80.81
340,80.792
341,82.467
342,81.061
343,83.941
344,79.866
345,84.018
346,78.657
347,82.503
348,81.354
349,82.893
350,83.749
351,82.96
352,84.695
353,80.114
354,82.217
355,79.981
356,79.363
357,81.729
358,85.622
359,84.585
360,83.572
361,82.654
362,82.485
363,83.67
364,82.281
365,83.803
366,83.65
367,85.677
368,82.819
369,82.875
370,78.992
371,84.292
372,77.595
373,82.831
374,83.673
375,80.914
376,80.757
377,82.307
378,79.376
379,86.245
380,83.038
381,83.162
382,83.966
383,84.296
384,78.989
385,84.582
386,81.068
387,81.863
388,83.661
389,83.495
390,81.665
391,83.724
392,85.451
393,82.573
394,79.876
395,84.897
396,82.492
397,77.668
398,78.902
399,84.161
400,83.868
401,81.55
402,79.066
403,82.442
404,81.781
405,78.935
406,79.825
407,81.225
408,84.438
409,83.006
410,80.022
411,86.168
412,81.865
413,81.274
414,81.194
415,81.134
416,82.309
417,85.109
418,84.395
419,83.812
420,78.986
421,83.479
422,78.018
423,78.929
424,84.943
425,75.512
426,78.828
427,82.794
428,81.709
429,82.659
430,83.498
431,81.668
432,81.517
433,81.518
434,83.733
435,81.845
436,85.308
437,84.602
438,80.775
439,82.36
440,79.214
441,84.053
442,80.595
443,81.004
444,83.389
445,81.92
446,86.668
447,81.609
448,81.723
449,82.972
450,81.135
451,78.925
452,82.276
453,85.378
454,80.116
455,82.988
456,85.572
457,81.152
458,80.483
459,82.964
460,84.315
461,79.533
462,79.703
463,83.543
464,84.246
465,79.662
466,82.233
467,83.73
468,84.288
469,78.388
470,84.045
471,82.544
472,77.805
473,80.819
474,80.57
