,Cleaned GPT-4o Conversation-Improved CV DoorDash Score
0,77.591
1,79.123
2,77.809
3,77.857
4,79.333
5,81.723
6,80.044
7,77.426
8,81.741
9,78.79
10,75.745
11,79.825
12,84.929
13,83.447
14,82.658
15,77.642
16,82.006
17,76.637
18,79.978
19,80.906
20,82.302
21,79.707
22,82.005
23,79.054
24,77.583
25,81.427
26,79.885
27,79.185
28,83.334
29,79.932
30,83.028
31,83.135
32,81.672
33,78.112
34,81.086
35,81.405
36,75.551
37,80.262
38,81.596
39,80.106
40,76.586
41,79.229
42,80.564
43,79.998
44,79.237
45,81.696
46,78.308
47,80.974
48,78.035
49,79.069
50,79.557
51,82.106
52,79.757
53,76.992
54,79.95
55,78.599
56,77.85
57,79.168
58,78.493
59,77.986
60,79.259
61,78.685
62,81.986
63,77.346
64,80.11
65,76.915
66,80.059
67,80.671
68,78.884
69,78.749
70,77.356
71,79.12
72,82.235
73,79.204
74,77.01
75,77.573
76,80.606
77,81.753
78,80.088
79,77.277
80,79.164
81,78.083
82,81.196
83,78.628
84,78.205
85,78.876
86,78.819
87,80.964
88,78.577
89,81.622
90,82.429
91,81.404
92,78.23
93,78.662
94,80.824
95,80.308
96,79.71
97,81.7
98,79.542
99,80.393
100,81.069
101,78.193
102,79.849
103,78.952
104,80.47
105,80.384
106,80.058
107,81.513
108,79.53
109,80.737
110,80.33
111,79.42
112,79.664
113,80.082
114,83.096
115,77.982
116,78.924
117,81.279
118,81.444
119,78.697
120,79.882
121,77.558
122,77.62
123,79.127
124,77.218
125,81.073
126,78.938
127,77.697
128,79.374
129,77.822
130,76.638
131,77.851
132,82.06
133,81.062
134,80.984
135,74.045
136,76.965
137,79.389
138,82.232
139,81.464
140,79.468
141,77.423
142,82.122
143,79.084
144,76.236
145,79.538
146,78.744
147,76.991
148,82.591
149,80.74
150,80.138
151,77.979
152,75.901
153,80.476
154,76.442
155,78.017
156,79.1
157,77.94
158,81.905
159,77.438
160,80.217
161,79.377
162,82.265
163,83.759
164,85.107
165,79.591
166,77.99
167,79.008
168,80.734
169,80.54
170,81.372
171,77.531
172,78.584
173,80.896
174,81.344
175,79.735
176,77.662
177,79.777
178,77.202
179,81.169
180,79.072
181,80.719
182,78.102
183,80.793
184,81.169
185,83.491
186,75.16
187,79.089
188,80.595
189,79.592
190,78.713
191,78.729
192,78.764
193,82.95
194,81.969
195,80.006
196,80.944
197,83.668
198,83.653
199,84.67
200,78.339
201,80.737
202,79.894
203,79.65
204,78.692
205,79.049
206,79.5
207,80.172
208,78.294
209,81.887
210,79.456
211,81.978
212,81.318
213,81.792
214,79.159
215,79.821
216,80.105
217,82.104
218,76.184
219,81.688
220,79.285
221,79.156
222,80.77
223,78.036
224,80.546
225,79.616
226,79.724
227,83.389
228,80.111
229,85.448
230,78.684
231,79.901
232,81.801
233,78.951
234,81.419
235,78.425
236,81.358
237,80.455
238,80.781
239,77.329
240,78.207
241,80.548
242,80.525
243,81.23
244,81.533
245,80.057
246,82.384
247,79.74
248,81.056
249,80.316
250,80.773
251,84.017
252,79.805
253,81.558
254,80.992
255,80.508
256,80.743
257,82.805
258,76.942
259,76.649
260,81.918
261,83.298
262,80.856
263,84.138
264,81.466
265,83.522
266,84.7
267,81.066
268,84.478
269,82.034
270,82.956
271,81.369
272,84.242
273,80.7
274,83.165
275,83.835
276,79.197
277,81.067
278,81.206
279,79.646
280,82.009
281,78.525
282,83.625
283,81.344
284,82.987
285,80.682
286,82.017
287,81.511
288,79.812
289,83.086
290,79.242
291,82.314
292,83.636
293,83.023
294,77.903
295,83.632
296,83.844
297,78.497
298,85.492
299,81.423
300,82.713
301,77.973
302,81.829
303,81.522
304,80.418
305,81.17
306,84.428
307,82.911
308,82.483
309,82.13
310,83.603
311,82.778
312,79.675
313,81.192
314,80.369
315,77.749
316,82.397
317,82.526
318,83.232
319,81.719
320,82.385
321,82.084
322,81.801
323,81.815
324,81.646
325,79.859
326,82.298
327,82.45
328,80.236
329,83.402
330,79.651
331,85.44
332,81.802
333,79.008
334,84.779
335,81.277
336,81.507
337,83.781
338,82.696
339,79.772
340,80.145
341,84.064
342,82.182
343,83.833
344,82.176
345,84.593
346,77.773
347,80.511
348,80.993
349,82.33
350,81.769
351,83.892
352,84.259
353,81.562
354,82.186
355,80.479
356,81.064
357,82.858
358,84.652
359,83.044
360,81.579
361,83.414
362,85.045
363,83.428
364,78.921
365,83.585
366,83.907
367,85.557
368,83.033
369,81.701
370,79.279
371,83.357
372,74.636
373,83.343
374,84.124
375,80.875
376,81.96
377,83.066
378,79.155
379,85.274
380,81.816
381,80.73
382,83.888
383,82.861
384,80.819
385,83.426
386,79.504
387,82.113
388,82.455
389,84.359
390,80.55
391,82.825
392,86.135
393,81.354
394,79.4
395,84.496
396,82.746
397,77.51
398,82.524
399,84.612
400,82.606
401,82.656
402,80.783
403,85.547
404,81.189
405,81.677
406,81.064
407,82.087
408,84.333
409,81.834
410,79.004
411,87.116
412,82.087
413,79.789
414,79.76
415,80.672
416,82.08
417,83.97
418,84.781
419,84.137
420,82.405
421,83.186
422,77.426
423,81.553
424,83.506
425,78.64
426,78.707
427,82.239
428,82.476
429,81.083
430,82.586
431,82.068
432,80.54
433,82.853
434,83.632
435,82.047
436,83.793
437,82.976
438,81.803
439,81.511
440,80.365
441,83.727
442,81.997
443,81.911
444,82.461
445,82.107
446,86.02
447,81.663
448,83.083
449,81.321
450,80.781
451,80.112
452,81.664
453,86.085
454,81.159
455,82.759
456,83.414
457,82.175
458,81.262
459,81.767
460,83.51
461,82.285
462,80.123
463,83.03
464,83.987
465,82.403
466,82.192
467,83.56
