,Cleaned Twice GPT-4o Conversation-Improved CV DoorDash Score
0,77.255
1,78.516
2,77.74
3,80.362
4,78.994
5,81.43
6,80.362
7,76.733
8,81.745
9,78.665
10,75.569
11,80.129
12,85.157
13,83.204
14,81.978
15,76.482
16,81.816
17,77.064
18,77.689
19,80.735
20,82.192
21,79.908
22,81.73
23,79.037
24,77.553
25,81.255
26,79.704
27,79.745
28,83.722
29,80.349
30,82.51
31,82.727
32,81.476
33,79.06
34,80.504
35,81.246
36,74.816
37,80.227
38,81.065
39,80.33
40,76.676
41,79.199
42,80.401
43,79.517
44,79.4
45,81.252
46,78.251
47,80.802
48,78.171
49,81.362
50,79.405
51,82.245
52,81.773
53,76.814
54,81.139
55,78.01
56,77.862
57,79.427
58,78.828
59,78.264
60,79.087
61,78.589
62,82.386
63,76.114
64,81.253
65,77.209
66,79.895
67,80.331
68,77.86
69,80.182
70,76.758
71,79.59
72,81.26
73,80.156
74,77.515
75,77.751
76,81.284
77,81.289
78,79.644
79,77.035
80,79.164
81,78.265
82,80.967
83,78.817
84,78.387
85,78.93
86,78.477
87,80.116
88,78.101
89,80.999
90,82.193
91,81.785
92,78.578
93,78.458
94,80.068
95,79.807
96,80.001
97,81.711
98,80.493
99,80.281
100,81.112
101,79.229
102,79.968
103,79.114
104,80.543
105,80.051
106,79.609
107,80.975
108,80.086
109,80.962
110,79.801
111,79.042
112,78.645
113,80.078
114,83.366
115,78.217
116,79.571
117,81.311
118,80.162
119,79.633
120,80.117
121,77.371
122,77.306
123,78.891
124,77.103
125,80.514
126,78.261
127,76.964
128,78.615
129,77.125
130,77.943
131,77.033
132,81.86
133,81.107
134,81.92
135,73.195
136,76.854
137,78.935
138,83.122
139,81.635
140,79.951
141,77.04
142,82.015
143,77.768
144,75.888
145,78.967
146,79.071
147,75.897
148,82.415
149,80.435
150,80.558
151,77.823
152,75.748
153,78.641
154,76.257
155,78.652
156,78.988
157,77.729
158,81.617
159,78.317
160,80.028
161,79.315
162,81.722
163,82.56
164,84.168
165,80.248
166,77.7
167,79.15
168,80.659
169,80.733
170,81.273
171,77.375
172,78.697
173,81.21
174,81.279
175,79.462
176,77.625
177,79.848
178,79.137
179,80.717
180,78.584
181,80.24
182,78.519
183,80.478
184,81.252
185,82.888
186,74.996
187,79.024
188,81.439
189,78.605
190,78.963
191,78.773
192,78.179
193,82.969
194,81.196
195,80.06
196,81.317
197,83.511
198,83.862
199,84.697
200,78.911
201,80.846
202,80.015
203,80.787
204,78.784
205,78.054
206,79.534
207,79.95
208,79.85
209,80.832
210,80.462
211,81.982
212,82.74
213,80.144
214,78.902
215,79.818
216,80.115
217,81.637
218,77.523
219,81.358
220,78.625
221,78.959
222,81.015
223,77.323
224,80.309
225,79.832
226,79.801
227,83.309
228,79.491
229,85.953
230,78.759
231,80.501
232,80.378
233,77.95
234,81.552
235,78.346
236,80.866
237,81.985
238,80.651
239,77.329
240,78.056
241,79.64
242,80.801
243,81.069
244,81.737
245,79.648
246,82.736
247,79.884
248,79.904
249,80.391
250,80.219
251,84.156
252,80.178
253,81.028
254,80.77
255,80.24
256,80.92
257,82.01
258,77.667
259,76.803
260,84.059
261,83.153
262,81.031
263,84.179
264,81.332
265,83.258
266,84.641
267,81.049
268,85.066
269,82.854
270,83.122
271,81.502
272,84.454
273,81.838
274,83.541
275,84.368
276,79.395
277,80.944
278,79.832
279,79.444
280,80.388
281,78.872
282,83.161
283,81.031
284,83.029
285,80.32
286,81.607
287,82.246
288,79.362
289,83.815
290,79.317
291,83.368
292,83.408
293,83.656
294,77.798
295,82.054
296,83.937
297,78.445
298,84.781
299,80.867
300,83.026
301,77.693
302,82.042
303,80.99
304,80.362
305,80.634
306,84.093
307,83.033
308,82.293
309,81.727
310,82.879
311,81.92
312,78.974
313,81.378
314,80.317
315,77.261
316,82.311
317,82.352
318,83.482
319,81.232
320,82.684
321,81.978
322,81.003
323,81.484
324,82.077
325,79.727
326,82.093
327,82.874
328,79.643
329,83.094
330,80.474
331,84.385
332,81.592
333,79.312
334,84.794
335,81.246
336,82.667
337,83.725
338,82.565
339,79.156
340,80.105
341,84.062
342,82.713
343,83.166
344,81.268
345,84.022
346,78.024
347,80.577
348,81.157
349,82.149
350,81.405
351,83.79
352,85.082
353,80.799
354,82.248
355,80.388
356,80.875
357,82.743
358,84.534
359,82.642
360,81.585
361,83.185
362,84.997
363,83.795
364,78.618
365,83.238
366,84.642
367,85.529
368,82.983
369,82.733
370,79.448
371,83.372
372,76.374
373,83.667
374,84.542
375,80.632
376,81.774
377,83.905
378,79.307
379,85.256
380,81.758
381,80.631
382,83.429
383,84.045
384,80.566
385,84.222
386,79.068
387,81.853
388,81.824
389,84.569
390,80.55
391,82.783
392,85.548
393,81.559
394,79.23
395,83.888
396,81.45
397,77.958
398,82.833
399,84.309
400,82.567
401,82.363
402,81.546
403,83.91
404,81.102
405,81.892
406,81.261
407,83.13
408,84.52
409,81.761
410,78.652
411,87.096
412,82.792
413,80.483
414,80.079
415,80.25
416,82.626
417,83.766
418,84.183
419,84.059
420,82.182
421,83.094
422,77.532
423,81.477
424,84.273
425,79.118
426,79.455
427,82.726
428,82.597
429,79.838
430,82.618
431,81.536
432,81.06
433,82.578
434,81.732
435,81.642
436,83.795
437,83.105
438,81.898
439,81.31
440,80.676
441,82.902
442,82.251
443,80.911
444,83.145
445,82.061
446,85.481
447,82.209
448,81.391
449,81.479
450,80.343
451,79.938
452,81.138
453,86.194
454,80.917
455,82.455
456,83.879
457,81.58
458,80.773
459,81.824
460,84.009
461,82.165
462,80.52
463,83.477
464,83.779
465,81.708
466,82.326
467,83.289
468,83.776
469,78.839
470,84.169
471,81.345
472,77.548
473,81.452
474,82.273
475,81.304
476,75.379
477,82.002
478,74.617
479,80.411
480,83.888
481,78.283
482,81.598
483,82.272
484,80.883
485,81.828
486,80.224
487,83.145
488,82.416
489,76.785
490,82.046
491,78.287
492,80.169
493,82.104
494,81.239
495,79.824
496,81.435
497,83.771
498,83.823
499,77.314
500,84.568
501,82.505
502,81.531
503,79.418
504,79.578
505,79.02
506,85.11
507,83.533
508,81.19
509,83.423
510,82.344
511,84.008
512,81.278
513,81.917
514,82.513
515,76.741
516,81.158
517,80.867
518,81.418
519,78.974
