index,CV Google Score
1,84.209
2,84.209
3,85.607
4,80.387
5,88.592
6,85.647
7,84.062
8,82.276
9,88.742
10,84.935
11,86.397
12,87.32
13,85.039
14,86.066
15,87.86
16,84.459
17,83.081
18,83.438
19,85.679
20,84.887
21,82.881
22,82.922
23,79.112
24,82.617
25,84.019
26,87.614
27,82.021
28,82.078
29,84.91
30,84.396
31,85.532
32,78.96
33,86.718
34,87.795
35,82.868
36,86.06
37,81.747
38,86.568
39,83.318
40,82.975
41,85.882
42,79.138
43,85.22
44,86.401
45,84.217
46,85.154
47,86.226
48,83.4
49,83.009
50,86.893
51,88.62
52,86.138
53,87.525
54,83.819
55,80.187
56,85.63
57,84.596
58,85.187
59,85.207
60,82.952
61,84.464
62,84.993
63,87.951
64,87.269
65,82.519
66,84.246
67,82.271
68,87.795
69,87.027
70,81.506
71,85.065
72,84.196
73,85.652
74,82.195
75,82.046
76,86.478
77,80.239
78,84.58
79,86.073
80,85.791
81,84.479
82,84.938
83,82.33
84,81.44
85,80.839
86,85.438
87,80.989
88,84.366
89,82.219
90,81.499
91,85.175
92,86.426
93,81.25
94,84.262
95,85.66
96,82.424
97,89.233
98,82.906
99,82.294
100,86.071
101,82.102
102,84.57
103,86.756
104,82.908
105,84.511
106,80.788
107,82.26
108,86.816
109,81.492
110,82.457
111,89.594
112,88.454
113,85.713
114,86.595
115,85.053
116,86.174
117,84.632
118,84.034
119,84.713
120,81.833
121,86.243
122,85.324
123,83.727
124,87.042
125,86.075
126,87.54
127,83.405
128,81.667
129,87.077
130,82.627
131,84.676
132,82.027
133,86.271
134,83.457
135,83.203
136,82.577
137,82.571
138,85.068
139,87.541
140,87.981
141,84.596
142,84.129
143,82.836
144,77.579
145,82.232
146,83.246
147,82.25
148,84.246
149,83.876
150,83.956
151,87.587
152,81.926
153,83.691
154,81.461
155,81.109
156,87.027
157,82.555
158,86.75
159,85.502
160,81.229
161,87.415
162,85.939
163,87.849
164,88.823
165,87.583
166,83.832
167,85.447
168,79.164
169,81.688
170,82.091
171,80.408
172,84.83
173,87.198
174,80.68
175,84.11
176,81.783
177,85.629
178,82.385
179,81.284
180,85.634
181,82.531
182,83.516
183,87.235
184,84.902
185,84.55
186,86.261
187,82.706
188,87.383
189,85.014
190,87.317
191,86.483
192,72.668
193,85.583
194,82.03
195,82.727
196,81.542
197,79.444
198,80.437
199,80.49
200,81.789
201,78.138
202,79.438
203,90.052
204,87.179
205,84.329
206,86.282
207,86.358
208,83.453
209,82.217
210,86.529
211,83.016
212,85.368
213,87.268
214,83.39
215,85.508
216,85.129
217,85.132
218,85.263
219,83.929
220,82.062
221,83.826
222,85.299
223,85.22
224,86.003
225,82.188
226,85.207
227,86.491
228,87.613
229,85.742
230,87.112
231,84.956
232,82.709
233,83.823
234,86.808
235,81.653
236,87.97
237,86.441
238,87.08
239,83.155
240,81.24
241,79.087
242,86.918
243,82.961
244,84.654
245,86.919
246,87.198
247,82.181
248,81.38
249,86.826
250,83.927
251,86.44
252,81.774
253,83.115
254,84.188
255,87.857
256,86.181
257,84.314
258,80.418
259,83.591
260,79.137
261,78.228
262,81.609
263,79.725
264,80.315
265,82.063
266,78.716
267,78.701
268,79.604
269,78.912
270,81.581
271,77.576
272,77.834
273,81.767
274,76.921
275,78.332
276,77.912
277,78.151
278,80.017
279,80.242
280,74.56
281,80.623
282,78.227
283,76.744
284,76.668
285,79.658
286,81.252
287,78.624
288,78.807
289,77.76
290,79.096
291,77.36
292,78.666
293,79.025
294,78.168
295,79.045
296,78.204
297,77.804
298,75.902
299,83.337
300,80.985
301,78.094
302,76.029
303,78.451
304,76.874
305,75.935
306,80.029
307,78.241
308,80.299
309,80.744
310,81.327
311,82.265
312,81.198
313,76.603
314,78.715
315,77.605
316,79.729
317,79.045
318,80.08
319,78.286
320,79.195
321,80.742
322,81.891
323,81.321
324,79.317
325,79.106
326,74.33
327,77.934
328,79.151
329,79.282
330,79.589
331,77.39
332,81.588
333,81.217
334,77.053
335,80.594
336,79.596
337,79.286
338,80.395
339,80.727
340,76.806
341,79.981
342,78.759
343,80.171
344,81.385
345,77.388
346,81.06
347,80.739
348,81.001
349,79.31
350,79.164
351,78.982
352,79.279
353,77.488
354,79.456
355,81.653
356,80.746
357,79.677
358,77.916
359,80.706
360,81.988
361,81.63
362,76.937
363,85.506
364,78.27
365,77.33
366,79.056
367,82.238
368,81.064
369,82.107
370,78.392
371,77.033
372,78.893
373,79.384
374,78.875
375,77.408
376,79.098
377,79.517
378,80.108
379,81.936
380,81.74
381,78.573
382,78.442
383,80.901
384,82.671
385,80.14
386,77.582
387,78.873
388,80.617
389,78.261
390,75.384
391,78.408
392,75.989
393,80.649
394,79.905
395,79.093
396,79.115
397,79.256
398,76.503
399,77.982
400,80.099
401,81.66
402,78.175
403,78.554
404,78.21
405,77.503
406,75.24
407,76.272
408,82.081
409,81.82
410,79.801
411,79.123
412,79.917
413,77.896
414,79.351
415,78.441
416,74.021
417,77.18
418,80.794
419,77.792
420,79.569
421,77.81
422,80.984
423,78.193
424,75.2
425,81.996
426,72.858
427,74.564
428,78.677
429,78.575
430,77.162
431,78.291
432,78.865
433,79.502
434,79.579
435,80.711
436,81.139
437,78.47
438,79.725
439,84.575
440,79.07
441,75.672
442,78.445
443,78.609
444,79.514
445,79.081
446,75.858
447,77.464
448,77.76
449,79.381
450,80.429
451,79.403
452,77.031
453,83.684
454,82.915
455,79.226
456,77.299
457,78.775
458,79.094
459,82.06
460,78.276
461,77.845
462,77.508
463,82.473
464,79.281
465,76.914
466,80.285
467,75.919
468,80.462
469,78.399
470,75.298
471,79.181
472,78.716
473,83.21
474,76.772
475,78.73
476,81.843
477,77.525
478,79.081
479,77.939
480,80.533
481,82.487
482,81.524
483,76.757
484,79.591
485,79.365
486,75.297
487,77.562
488,79.848
489,79.045
490,79.82
491,80.863
492,80.198
493,80.466
494,78.434
495,79.826
496,79.471
497,77.39
498,80.539
499,78.231
500,77.884
501,80.193
502,77.577
503,76.603
504,76.121
505,80.135
506,78.658
507,78.275
508,80.374
509,79.345
510,78.982
511,80.316
512,80.333
513,77.049
514,79.743
515,80.593
516,74.234
517,78.321
518,75.865
519,78.548
520,77.255
