,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo Google Score
0,84.168
1,85.658
2,87.486
3,83.467
4,87.54
5,84.544
6,83.084
7,84.176
8,87.869
9,84.351
10,87.348
11,87.324
12,86.03
13,85.889
14,88.313
15,84.973
16,84.54
17,83.275
18,88.064
19,77.152
20,82.575
21,81.375
22,78.672
23,82.775
24,84.926
25,88.45
26,80.695
27,85.352
28,87.137
29,84.097
30,85.585
31,77.416
32,86.309
33,87.463
34,85.846
35,79.907
36,82.391
37,87.622
38,85.103
39,85.746
40,83.684
41,80.756
42,85.423
43,87.688
44,84.209
45,85.436
46,85.676
47,84.058
48,83.235
49,85.984
50,87.38
51,83.735
52,85.861
53,83.297
54,78.93
55,86.951
56,84.641
57,85.2
58,84.273
59,86.851
60,86.54
61,84.421
62,87.547
63,86.483
64,85.057
65,87.082
66,84.328
67,84.766
68,84.804
69,83.884
70,86.382
71,84.789
72,88.112
73,85.545
74,80.85
75,86.328
76,81.146
77,85.02
78,85.752
79,83.545
80,83.214
81,84.407
82,82.506
83,79.334
84,82.155
85,86.261
86,86.029
87,85.009
88,80.488
89,82.405
90,85.489
91,83.85
92,85.494
93,85.238
94,86.378
95,82.746
96,89.59
97,82.411
98,88.119
99,85.834
100,83.138
101,86.318
102,85.271
103,86.58
104,84.302
105,82.137
106,84.076
107,86.702
108,86.7
109,80.144
110,88.304
111,89.372
112,86.503
113,87.34
114,86.15
115,86.245
116,87.051
117,86.307
118,82.497
119,85.365
120,86.855
121,87.18
122,86.187
123,87.119
124,85.744
125,85.372
126,83.236
127,83.907
128,83.368
129,83.791
130,81.529
131,81.432
132,85.964
133,82.102
134,81.335
135,82.135
136,80.09
137,84.375
138,85.897
139,89.817
140,88.231
141,85.495
142,82.009
143,76.988
144,82.018
145,83.442
146,79.726
147,85.169
148,84.635
149,82.544
150,85.973
151,82.345
152,84.321
153,83.811
154,78.977
155,84.248
156,82.562
157,87.908
158,84.74
159,82.32
160,87.683
161,86.762
162,87.435
163,89.45
164,88.011
165,84.107
166,86.162
167,79.53
168,82.883
169,82.585
170,83.711
171,84.306
172,87.216
173,82.836
174,86.289
175,80.985
176,84.204
177,86.04
178,83.73
179,86.535
180,82.334
181,82.678
182,87.268
183,86.059
184,83.276
185,85.717
186,80.497
187,86.634
188,86.12
189,87.834
190,86.894
191,74.326
192,85.509
193,79.651
194,83.32
195,82.36
196,80.808
197,79.374
198,80.289
199,80.079
200,76.471
201,80.874
202,88.784
203,87.557
204,83.352
205,85.395
206,86.304
207,81.743
208,85.397
209,85.964
210,84.461
211,84.303
212,83.394
213,81.706
214,84.024
215,83.151
216,84.573
217,87.779
218,84.954
219,81.406
220,85.248
221,85.708
222,85.889
223,85.218
224,81.686
225,86.191
226,87.576
227,84.046
228,84.177
229,88.123
230,82.392
231,82.848
232,82.738
233,85.382
234,81.752
235,86.901
236,87.696
237,87.955
238,84.946
239,80.512
240,83.896
241,86.046
242,84.498
243,88.013
244,89.759
245,87.142
246,81.274
247,80.931
248,87.461
249,83.492
250,86.492
251,80.224
252,81.711
253,86.898
254,88.131
255,86.106
256,82.775
257,81.586
258,85.664
259,80.857
260,81.023
261,81.07
262,79.836
263,80.311
264,80.583
265,80.075
266,79.007
267,79.709
268,78.356
269,81.807
270,79.225
271,80.835
272,80.929
273,77.24
274,78.332
275,77.685
276,80.215
277,78.053
278,77.544
279,75.849
280,78.88
281,77.995
282,76.747
283,75.38
284,79.327
285,80.034
286,77.987
287,78.629
288,76.643
289,80.408
290,77.188
291,77.825
292,80.112
293,78.813
294,79.397
295,78.728
296,80.117
297,74.967
298,82.091
299,80.574
300,80.805
301,75.048
302,77.984
303,75.609
304,76.848
305,79.793
306,78.559
307,80.542
308,81.177
309,81.47
310,81.256
311,80.82
312,77.318
313,76.474
314,78.256
315,79.685
316,76.621
317,80.166
318,79.353
319,79.882
320,75.71
321,81.181
322,80.03
323,79.327
324,78.145
325,74.716
326,76.957
327,76.853
328,78.791
329,80.626
330,76.849
331,81.579
332,79.73
333,76.465
334,77.94
335,82.41
336,79.259
337,80.053
338,78.652
339,76.388
340,78.533
341,77.442
342,79.667
343,81.245
344,77.283
345,79.995
346,76.998
347,78.243
348,78.558
349,79.462
350,78.512
351,77.593
352,78.814
353,76.692
354,81.554
355,79.946
356,80.463
357,76.248
358,77.691
359,80.216
360,81.761
361,75.593
362,86.731
363,78.021
364,77.707
365,76.89
366,80.619
367,80.163
368,81.949
369,78.232
370,77.402
371,79.187
372,76.565
373,79.24
374,77.403
375,80.126
376,77.724
377,78.463
378,81.134
379,82.603
380,78.075
381,77.984
382,79.852
383,81.84
384,79.3
385,77.552
386,78.623
387,79.699
388,78.883
389,76.042
390,78.885
391,75.762
392,80.693
393,80.637
394,80.026
395,77.86
396,76.137
397,76.503
398,78.277
399,81.128
400,81.66
401,75.17
402,78.207
403,78.269
404,78.234
405,74.957
406,76.516
407,82.158
408,82.204
409,80.663
410,80.006
411,80.331
412,79.759
413,80.118
414,78.606
415,74.69
416,77.216
417,81.053
418,77.995
419,79.24
420,78.735
421,80.678
422,77.091
423,74.619
424,79.717
425,73.193
426,75.21
427,79.23
428,78.009
429,77.082
430,77.686
431,79.862
432,78.55
433,77.851
434,80.577
435,81.17
436,82.528
437,79.166
438,84.521
439,80.282
440,81.084
441,81.422
442,77.368
443,79.208
444,79.415
445,78.489
446,77.261
447,76.08
448,78.932
449,77.79
450,77.517
451,77.463
452,83.608
453,81.137
454,78.212
455,76.511
456,78.042
457,78.835
458,80.376
459,76.728
460,80.52
461,74.756
462,79.159
463,79.164
464,79.309
465,81.683
466,76.038
467,77.679
468,80.249
469,77.092
470,78.222
471,79.695
472,82.48
473,77.091
474,77.981
475,79.418
476,77.616
477,78.208
478,78.125
479,82.898
480,79.926
481,81.488
482,78.839
483,77.1
484,76.336
485,75.163
486,78.022
487,75.989
488,79.935
489,80.191
490,81.182
491,81.703
492,77.327
493,78.331
494,79.489
495,79.597
496,76.637
497,78.99
498,77.877
499,79.088
500,77.71
501,75.186
502,77.311
503,75.942
504,80.418
505,79.244
506,73.745
507,79.509
508,78.525
509,80.665
510,80.569
511,78.863
512,76.806
513,77.791
514,79.926
515,77.665
516,78.972
517,75.863
518,79.892
519,74.227
