,Modified_gpt-4o-2024-08-06_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelgpt-4o-2024-08-06 Google Score
0,84.903
1,86.606
2,88.444
3,84.231
4,89.418
5,85.612
6,84.311
7,87.159
8,88.439
9,86.073
10,86.819
11,87.811
12,87.538
13,88.329
14,87.752
15,87.063
16,84.216
17,84.45
18,88.252
19,84.613
20,82.076
21,81.963
22,86.788
23,83.019
24,86.882
25,90.29
26,81.598
27,83.746
28,85.727
29,84.217
30,85.782
31,77.653
32,86.418
33,88.048
34,86.293
35,79.105
36,82.022
37,86.421
38,86.419
39,85.408
40,84.831
41,84.983
42,86.424
43,86.101
44,87.132
45,83.622
46,85.173
47,86.624
48,87.702
49,86.616
50,87.934
51,83.401
52,88.014
53,85.121
54,86.219
55,85.503
56,85.413
57,84.671
58,86.734
59,87.419
60,85.984
61,84.82
62,87.298
63,86.432
64,86.848
65,86.853
66,83.244
67,86.18
68,85.678
69,83.395
70,86.903
71,84.405
72,89.397
73,85.898
74,83.314
75,87.251
76,85.816
77,85.464
78,86.347
79,86.861
80,83.527
81,85.344
82,85.241
83,83.82
84,81.947
85,84.871
86,85.005
87,85.432
88,83.145
89,83.229
90,86.393
91,87.013
92,86.861
93,86.27
94,86.743
95,81.472
96,88.992
97,86.392
98,86.838
99,87.049
100,82.833
101,86.05
102,88.566
103,88.513
104,84.399
105,84.157
106,83.853
107,84.789
108,87.204
109,84.288
110,89.256
111,89.344
112,86.557
113,87.999
114,86.672
115,85.82
116,88.418
117,88.495
118,82.39
119,84.285
120,87.139
121,87.434
122,86.819
123,86.796
124,86.008
125,86.948
126,82.402
127,85.627
128,86.118
129,83.433
130,80.776
131,84.994
132,85.601
133,82.802
134,82.207
135,82.757
136,86.386
137,85.842
138,87.512
139,90.099
140,87.32
141,82.539
142,83.384
143,79.41
144,81.602
145,85.779
146,84.975
147,88.763
148,84.372
149,83.699
150,87.896
151,84.519
152,84.982
153,87.368
154,77.725
155,86.178
156,84.504
157,89.801
158,87.404
159,86.875
160,87.1
161,87.357
162,88.327
163,90.52
164,88.235
165,86.079
166,85.292
167,81.409
168,83.969
169,85.288
170,86.172
171,84.363
172,88.63
173,83.947
174,87.324
175,81.784
176,86.037
177,87.266
178,84.016
179,86.179
180,87.155
181,85.655
182,84.289
183,87.363
184,82.916
185,85.954
186,80.755
187,87.19
188,88.076
189,88.464
190,86.173
191,76.916
192,86.422
193,86.367
194,86.533
195,87.695
196,85.606
197,85.187
198,80.962
199,84.946
200,78.552
201,81.405
202,90.935
203,87.537
204,83.425
205,86.737
206,86.969
207,82.579
208,85.096
209,85.456
210,84.635
211,86.509
212,82.783
213,82.555
214,84.211
215,88.105
216,85.653
217,86.765
218,86.881
219,86.413
220,84.427
221,86.132
222,88.431
223,84.594
224,84.925
225,88.664
226,87.975
227,84.927
228,81.695
229,87.585
230,83.793
231,84.42
232,85.419
233,85.611
234,84.899
235,87.925
236,85.832
237,88.581
238,84.287
239,86.882
240,86.522
241,85.658
242,82.541
243,88.389
244,89.345
245,87.283
246,81.158
247,87.473
248,88.212
249,87.985
250,87.272
251,83.602
252,82.696
253,87.22
254,87.785
255,86.41
256,83.286
257,82.302
258,85.84
259,82.189
260,82.372
261,83.296
262,78.61
263,80.755
264,82.719
265,80.329
266,81.565
267,81.166
268,79.209
269,82.566
270,81.559
271,81.658
272,81.134
273,80.848
274,79.073
275,78.15
276,79.47
277,80.277
278,79.23
279,75.314
280,80.489
281,78.795
282,81.656
283,80.71
284,80.56
285,81.046
286,79.145
287,81.06
288,78.341
289,82.513
290,75.979
291,78.389
292,80.714
293,80.918
294,79.567
295,78.664
296,78.817
297,75.627
298,83.511
299,83.009
300,79.77
301,77.252
302,76.75
303,76.969
304,78.698
305,80.443
306,79.49
307,80.161
308,81.837
309,83.101
310,80.993
311,82.521
312,76.279
313,76.53
314,79.095
315,80.913
316,80.282
317,80.222
318,79.393
319,78.866
320,76.034
321,79.986
322,80.607
323,79.747
324,78.124
325,75.406
326,78.996
327,78.291
328,78.759
329,82.446
330,79.376
331,81.787
332,80.156
333,75.474
334,78.875
335,82.062
336,78.904
337,79.549
338,79.945
339,80.533
340,81.983
341,80.211
342,80.303
343,80.387
344,78.405
345,78.704
346,78.757
347,80.224
348,78.352
349,80.059
350,77.094
351,80.791
352,81.061
353,79.179
354,80.964
355,81.522
356,80.44
357,78.09
358,79.13
359,81.204
360,81.998
361,76.677
362,85.39
363,80.197
364,77.819
365,80.19
366,81.393
367,82.805
368,80.283
369,78.559
370,79.227
371,79.58
372,76.743
373,79.507
374,82.099
375,79.865
376,79.947
377,81.331
378,81.933
379,81.959
380,81.365
381,78.759
382,79.733
383,83.717
384,80.251
385,77.31
386,79.574
387,80.58
388,79.275
389,75.932
390,79.225
391,79.248
392,81.969
393,80.407
394,79.447
395,77.821
396,80.181
397,79.438
398,80.945
399,81.363
400,81.957
401,76.581
402,79.636
403,81.451
404,77.829
405,79.487
406,79.487
407,81.015
408,82.641
409,80.73
410,80.407
411,80.023
412,79.54
413,80.809
414,80.731
415,74.888
416,78.705
417,80.643
418,79.641
419,80.627
420,80.53
421,80.489
422,78.728
423,74.925
424,84.217
425,75.382
426,74.509
427,78.159
428,80.925
429,76.115
430,78.564
431,81.368
432,81.144
433,79.281
434,81.428
435,81.493
436,81.933
437,79.387
438,84.143
439,78.876
440,80.986
441,80.505
442,79.534
443,81.174
444,80.705
445,79.885
446,77.291
447,77.67
448,78.528
449,80.0
450,77.918
451,76.81
452,83.143
453,82.263
454,81.515
455,76.278
456,78.42
457,77.849
458,82.67
459,81.056
460,81.702
461,75.974
462,82.368
463,79.865
464,80.451
465,82.251
466,77.966
467,80.25
468,83.54
469,77.189
470,77.834
471,80.088
472,83.121
473,76.953
474,80.102
475,79.024
476,79.01
477,81.004
478,79.493
479,82.538
480,80.248
481,79.815
482,78.606
483,77.504
484,76.133
485,76.189
486,78.842
487,80.229
488,80.241
489,79.982
490,81.208
491,82.053
492,77.235
493,78.902
494,79.43
495,81.792
496,77.893
497,82.38
498,78.309
499,80.257
500,78.803
501,79.031
502,77.813
503,77.817
504,81.493
505,79.633
506,79.801
507,82.066
508,80.249
509,81.015
510,81.909
511,79.134
512,76.485
513,76.82
514,80.373
515,78.273
516,79.433
517,76.203
518,79.852
519,76.545
