,Modified_gpt-4o-2024-08-06_of_modified_Modelgpt-4o-2024-08-06 Google Score
0,84.458
1,84.199
2,86.448
3,84.322
4,88.332
5,88.553
6,85.68
7,82.44
8,89.672
9,84.917
10,81.677
11,89.721
12,87.207
13,86.282
14,87.202
15,87.093
16,84.137
17,83.417
18,85.724
19,86.377
20,86.638
21,83.788
22,83.127
23,84.059
24,85.402
25,89.442
26,87.901
27,86.58
28,85.981
29,87.621
30,85.019
31,83.77
32,86.81
33,89.421
34,85.443
35,87.216
36,82.585
37,86.713
38,86.56
39,83.494
40,85.883
41,85.043
42,86.696
43,86.76
44,87.064
45,88.239
46,85.382
47,85.972
48,87.433
49,86.53
50,89.63
51,86.289
52,89.554
53,87.136
54,87.002
55,84.301
56,84.864
57,85.973
58,86.444
59,84.969
60,86.055
61,84.844
62,88.999
63,89.028
64,85.795
65,87.411
66,85.708
67,88.257
68,87.965
69,86.047
70,86.922
71,86.127
72,87.42
73,85.113
74,85.311
75,86.94
76,84.052
77,86.61
78,84.915
79,86.323
80,85.7
81,85.508
82,86.484
83,85.4
84,83.934
85,85.975
86,83.786
87,87.629
88,87.152
89,84.472
90,86.148
91,87.323
92,87.16
93,87.739
94,88.861
95,83.612
96,88.183
97,86.293
98,86.761
99,87.455
100,86.919
101,88.301
102,87.975
103,86.863
104,86.724
105,83.678
106,85.014
107,88.054
108,84.403
109,86.883
110,89.839
111,88.07
112,87.785
113,87.681
114,86.834
115,86.404
116,88.262
117,86.776
118,87.884
119,86.64
120,87.298
121,86.821
122,85.686
123,86.375
124,86.418
125,85.554
126,82.368
127,84.386
128,89.473
129,85.35
130,81.725
131,85.708
132,85.276
133,86.728
134,82.114
135,82.821
136,86.29
137,85.75
138,88.674
139,88.313
140,87.594
141,85.12
142,83.168
143,78.852
144,82.331
145,84.903
146,84.627
147,87.533
148,85.86
149,85.436
150,86.192
151,83.581
152,85.23
153,86.052
154,83.273
155,87.15
156,82.914
157,89.803
158,86.186
159,85.786
160,88.731
161,87.438
162,88.648
163,88.403
164,88.932
165,85.803
166,86.206
167,80.661
168,83.016
169,85.481
170,88.291
171,83.87
172,87.916
173,82.913
174,86.309
175,83.06
176,85.529
177,86.325
178,83.934
179,87.225
180,86.89
181,85.768
182,88.824
183,87.196
184,82.893
185,87.185
186,82.081
187,87.75
188,87.38
189,89.259
190,87.939
191,78.381
192,85.337
193,85.932
194,86.097
195,86.112
196,85.791
197,85.019
198,84.358
199,84.966
200,82.539
201,84.47
202,90.547
203,88.821
204,85.429
205,84.96
206,86.387
207,86.238
208,83.3
209,86.334
210,85.423
211,89.78
212,86.627
213,87.859
214,87.771
215,87.06
216,86.527
217,87.599
218,88.546
219,86.36
220,86.416
221,87.316
222,89.347
223,85.56
224,85.573
225,87.501
226,89.587
227,87.387
228,85.711
229,88.743
230,86.54
231,87.576
232,87.383
233,88.558
234,85.866
235,88.815
236,85.588
237,88.191
238,85.265
239,83.885
240,83.886
241,87.506
242,85.77
243,86.101
244,86.037
245,88.143
