,modified Google Score
0,83.868
1,84.344
2,87.947
3,81.877
4,87.55
5,86.162
6,85.917
7,82.063
8,88.634
9,84.793
10,81.936
11,89.342
12,87.152
13,87.103
14,86.721
15,87.138
16,83.757
17,82.235
18,86.874
19,86.178
20,86.407
21,84.752
22,82.728
23,84.262
24,85.226
25,89.757
26,88.204
27,86.532
28,86.129
29,85.075
30,85.278
31,83.784
32,87.509
33,89.815
34,85.265
35,87.32
36,83.318
37,86.467
38,86.727
39,83.491
40,86.367
41,84.575
42,86.715
43,87.41
44,85.955
45,87.136
46,86.573
47,87.568
48,87.301
49,87.32
50,89.615
51,85.884
52,89.272
53,85.123
54,86.397
55,85.366
56,85.088
57,86.216
58,86.313
59,84.847
60,86.114
61,84.693
62,88.905
63,89.407
64,86.608
65,86.882
66,84.981
67,87.161
68,88.035
69,85.981
70,85.895
71,87.084
72,87.075
73,86.413
74,84.594
75,86.871
76,84.859
77,85.961
78,85.388
79,86.353
80,86.084
81,85.642
82,87.528
83,84.735
84,84.459
85,86.585
86,84.237
87,88.45
88,87.398
89,84.406
90,87.952
91,87.48
92,87.639
93,87.126
94,88.877
95,84.829
96,88.314
97,85.823
98,86.131
99,87.431
100,86.575
101,88.466
102,87.811
103,86.682
104,86.776
105,83.617
106,85.131
107,87.953
108,84.273
109,86.505
110,89.939
111,87.07
112,87.526
113,87.837
114,87.099
115,86.636
116,88.461
117,86.481
118,88.672
119,86.787
120,86.822
121,85.952
122,85.933
123,86.863
124,87.32
125,85.815
126,83.264
127,84.735
128,89.172
129,84.904
130,82.345
131,84.483
132,85.475
133,86.789
134,81.738
135,82.856
136,86.206
137,85.526
138,89.329
139,88.035
140,88.086
141,84.84
142,83.589
143,78.21
144,82.922
145,84.7
146,84.976
147,85.265
148,85.489
149,82.935
150,86.187
151,81.533
152,84.899
153,86.695
154,84.254
155,86.827
156,83.136
157,89.749
158,86.02
159,85.781
160,88.877
161,87.817
162,88.735
163,89.932
164,89.367
165,85.538
166,86.528
167,82.139
168,83.352
169,86.789
170,88.961
171,84.139
172,88.364
173,83.476
174,87.654
175,80.403
176,85.731
177,85.873
178,84.514
179,87.023
180,86.072
181,85.542
182,88.738
183,87.557
184,82.59
185,87.342
186,82.145
187,87.541
188,87.48
189,88.499
190,87.806
191,77.476
192,86.023
193,85.786
194,86.413
195,86.072
196,86.005
197,84.186
198,84.497
199,83.497
200,82.651
201,84.225
202,90.398
203,87.669
204,86.746
205,85.226
206,86.816
207,86.114
208,84.035
209,86.009
210,85.735
211,89.714
212,87.999
213,87.674
214,87.5
215,86.559
216,85.331
217,88.048
218,88.58
219,86.878
220,87.086
221,87.182
222,88.667
223,85.001
224,85.114
225,87.763
226,89.464
227,86.853
228,84.415
229,89.384
230,85.813
231,87.308
232,87.429
233,88.637
234,86.63
235,89.429
236,85.814
237,89.038
238,84.927
239,84.708
240,84.268
241,88.273
242,86.576
243,86.974
244,87.801
245,87.233
246,85.031
247,88.265
248,88.449
249,87.731
250,86.231
251,84.151
252,85.017
253,86.66
254,88.734
255,86.767
256,86.596
257,83.356
258,84.794
259,80.528
260,79.221
261,79.397
262,81.3
263,80.025
264,81.533
265,78.461
266,79.426
267,80.488
268,79.058
269,83.724
270,80.861
271,82.011
272,81.999
273,77.882
274,80.207
275,79.585
276,78.077
277,79.264
278,80.951
279,76.881
280,79.938
281,79.74
282,77.382
283,77.048
284,79.653
285,82.412
286,80.38
287,79.035
288,76.763
289,80.926
290,77.337
291,80.895
292,80.61
293,79.356
294,78.771
295,81.577
296,83.004
297,76.221
298,84.982
299,83.47
300,79.77
301,76.654
302,78.204
303,78.952
304,77.644
305,81.491
306,78.304
307,80.946
308,81.784
309,81.206
310,83.914
311,81.3
312,76.453
313,79.549
314,78.699
315,79.348
316,78.536
317,81.034
318,79.824
319,78.364
320,80.806
321,80.112
322,80.97
323,80.046
324,79.283
325,77.514
326,78.352
327,78.321
328,80.135
329,80.376
330,78.884
331,80.989
332,81.128
333,77.558
334,81.25
335,83.042
336,79.596
337,82.155
338,81.941
339,81.208
340,82.467
341,80.092
342,79.719
343,84.259
344,79.357
345,81.0
346,81.873
347,80.558
348,79.506
349,79.216
350,80.077
351,80.273
352,79.671
353,78.069
354,80.864
355,79.605
356,79.637
357,77.395
358,80.986
359,82.919
360,83.161
361,78.514
362,85.613
363,81.044
364,80.003
365,81.54
366,81.063
367,81.518
368,81.29
369,78.755
370,78.033
371,82.311
372,80.64
373,78.508
374,79.312
375,79.766
376,78.825
377,81.803
378,80.962
379,81.741
380,81.973
381,79.778
382,81.472
383,81.672
384,80.991
385,77.057
386,81.118
387,80.447
388,79.585
389,77.441
390,80.464
391,79.853
392,81.074
393,81.016
394,79.754
395,79.595
396,80.344
397,76.404
398,77.517
399,81.032
400,82.245
401,78.31
402,80.117
403,80.996
404,81.229
405,75.094
406,76.157
407,82.251
408,83.903
409,80.133
410,80.278
411,80.921
412,79.981
413,80.758
414,79.174
415,78.685
416,78.387
417,80.766
418,78.96
419,80.98
420,78.349
421,81.068
422,78.901
423,74.529
424,85.454
425,72.51
426,75.154
427,79.818
428,80.468
429,80.951
430,81.262
431,80.703
432,81.274
433,81.686
434,82.075
435,82.833
436,81.792
437,82.28
438,84.112
439,77.435
440,80.041
441,81.647
442,80.16
443,79.896
444,80.876
445,79.304
446,81.07
447,79.279
448,79.841
449,80.949
450,79.284
451,78.87
452,83.48
453,84.189
454,80.655
455,77.398
456,81.187
457,78.968
458,83.606
459,81.024
460,80.111
461,77.571
462,82.218
463,80.118
464,80.056
465,81.839
466,78.341
467,80.342
468,82.946
469,78.146
470,79.742
471,81.658
472,83.259
473,76.565
474,78.277
475,81.165
476,78.418
477,78.819
478,78.546
479,83.517
480,82.498
481,84.135
482,81.36
483,80.939
484,79.746
485,76.822
486,78.489
487,80.751
488,81.413
489,82.88
490,82.451
491,83.255
492,81.87
493,79.833
494,80.059
495,79.763
496,79.335
497,81.31
498,77.826
499,77.991
500,82.035
501,77.339
502,77.939
503,76.205
504,82.343
505,78.647
506,79.082
507,80.283
508,79.698
509,80.624
510,83.285
511,81.073
512,78.4
513,81.264
514,81.421
515,74.785
516,79.669
517,75.561
518,79.428
519,78.021
