,Cleaned Twice GPT-4o Conversation-Improved CV Google Score
0,84.74
1,84.597
2,87.733
3,84.082
4,88.951
5,88.278
6,84.859
7,82.374
8,89.272
9,85.986
10,82.878
11,88.179
12,86.811
13,86.542
14,86.364
15,83.998
16,83.23
17,82.054
18,85.872
19,87.927
20,86.141
21,83.526
22,85.327
23,82.896
24,85.165
25,89.685
26,84.258
27,85.04
28,86.433
29,81.414
30,85.103
31,83.33
32,85.842
33,89.972
34,87.101
35,85.318
36,83.219
37,88.666
38,86.508
39,85.795
40,85.808
41,84.794
42,85.202
43,86.775
44,84.964
45,87.814
46,85.274
47,87.095
48,86.407
49,87.932
50,88.601
51,84.153
52,88.074
53,85.195
54,87.403
55,85.47
56,85.988
57,86.566
58,86.779
59,85.082
60,88.169
61,83.097
62,89.124
63,86.647
64,84.921
65,88.037
66,85.255
67,87.093
68,85.637
69,86.688
70,85.853
71,86.103
72,87.89
73,85.604
74,82.135
75,86.721
76,85.204
77,86.693
78,87.435
79,86.12
80,84.307
81,82.931
82,89.447
83,81.815
84,83.421
85,86.907
86,83.665
87,87.28
88,86.731
89,83.99
90,88.143
91,89.296
92,84.127
93,86.987
94,88.404
95,86.713
96,88.511
97,85.345
98,84.935
99,85.328
100,88.323
101,86.561
102,89.355
103,86.349
104,85.992
105,84.216
106,85.846
107,88.451
108,85.464
109,84.583
110,90.51
111,88.676
112,87.553
113,87.609
114,88.091
115,85.364
116,88.364
117,85.893
118,86.331
119,86.256
120,87.683
121,86.946
122,85.972
123,87.84
124,86.038
125,88.385
126,83.19
127,83.843
128,87.205
129,83.835
130,82.738
131,83.281
132,85.618
133,86.774
134,81.616
135,79.861
136,86.176
137,86.929
138,88.021
139,89.825
140,87.467
141,84.759
142,83.192
143,77.715
144,84.459
145,83.882
146,83.178
147,86.457
148,86.697
149,86.837
150,87.922
151,83.927
152,84.44
153,83.94
154,82.23
155,87.047
156,83.246
157,88.165
158,85.658
159,84.568
160,87.95
161,87.13
162,87.289
163,88.905
164,89.224
165,85.28
166,85.357
167,82.686
168,84.19
169,86.03
170,87.585
171,86.169
172,86.796
173,85.14
174,87.825
175,85.692
176,85.766
177,86.832
178,84.697
179,87.608
180,83.404
181,87.604
182,87.643
183,86.989
184,83.891
185,87.381
186,81.55
187,87.62
188,89.293
189,87.055
190,86.319
191,75.7
192,85.404
193,86.705
194,86.694
195,85.722
196,84.722
197,84.542
198,83.489
199,84.582
200,80.356
201,84.512
202,90.104
203,88.779
204,84.212
205,84.081
206,88.4
207,85.027
208,85.939
209,87.129
210,84.412
211,88.728
212,89.731
213,88.676
214,85.485
215,88.403
216,84.936
217,86.852
218,85.406
219,86.733
220,84.02
221,86.269
222,86.948
223,86.961
224,83.897
225,86.995
226,89.586
227,88.63
228,84.978
229,88.081
230,86.443
231,86.026
232,86.981
233,87.92
234,87.132
235,89.162
236,87.604
237,88.34
238,85.577
239,83.837
240,80.359
241,86.933
242,86.45
243,88.064
244,89.345
245,87.69
246,85.155
247,89.301
248,87.15
249,87.32
250,88.27
251,83.747
252,83.668
253,87.588
254,88.433
255,84.255
256,83.899
257,85.475
258,85.835
259,81.741
260,79.584
261,81.329
262,78.238
263,81.229
264,81.94
265,82.021
