,Unnamed: 0.1,Unnamed: 0, GPT-35 Conversation-Improved CV DoorDash PM Score, GPT-4o Conversation-Improved CV DoorDash PM Score, Twice GPT-4o Conversation-Improved CV DoorDash PM Score,True Label,GPT-4o-mini Improved CVDoorDash Score,Original CVDoorDash Score
,0,0,76.596,79.657,78.581,0,77.829,78.009
,1,1,78.558,81.476,79.731,0,79.343,78.009
,2,2,78.496,78.949,78.766,0,79.813,77.359
,3,3,79.558,79.516,80.644,0,79.057,76.957
,4,4,79.528,80.908,80.019,0,78.597,78.456
,5,5,79.838,79.971,81.711,0,82.182,81.739
,6,6,78.53,79.449,79.631,0,79.472,78.834
,7,7,77.722,77.492,79.2,0,78.84,77.836
,8,8,80.045,79.079,82.727,0,82.53,80.946
,9,9,78.453,80.813,79.099,0,77.889,78.917
,10,10,76.132,75.127,75.142,0,74.569,77.007
,11,11,79.623,81.446,82.375,0,83.013,80.946
,12,12,83.679,84.609,84.336,0,84.29,83.88
,13,13,80.526,82.617,81.016,0,81.708,80.852
,14,14,81.271,80.297,82.212,0,81.463,82.694
,15,15,80.065,82.51,80.464,0,80.566,78.953
,16,16,80.437,82.727,80.617,0,80.587,79.948
,17,17,77.215,78.662,76.966,0,76.411,76.477
,18,18,79.527,80.198,81.395,0,82.212,80.344
,19,19,74.115,80.773,79.688,0,80.574,80.609
,20,20,81.042,81.104,81.828,0,81.495,82.031
,21,21,80.393,80.267,80.55,0,80.633,80.423
,22,22,78.352,80.599,81.397,0,81.591,80.823
,23,23,75.932,78.545,77.344,0,77.687,78.568
,24,24,75.957,80.363,78.173,0,78.305,76.06
,25,25,78.945,79.14,80.025,0,80.654,78.697
,26,26,76.014,76.724,79.531,0,79.917,77.467
,27,27,78.197,79.195,78.854,0,79.428,76.224
,28,28,83.517,83.818,84.096,0,84.307,83.437
,29,29,80.128,83.217,80.83,0,80.553,79.979
,30,30,81.121,83.379,82.479,0,82.342,79.706
,31,31,78.883,78.808,82.437,0,82.865,80.099
,32,32,81.433,81.327,83.021,0,82.651,81.65
,33,33,78.228,78.974,78.35,0,78.145,77.461
,34,34,78.645,77.775,78.856,0,79.024,78.127
,35,35,78.155,76.464,80.868,0,80.6,80.984
,36,36,75.534,75.379,75.594,0,75.91,75.482
,37,37,79.345,79.748,79.47,0,79.746,79.429
,38,38,79.834,80.782,81.223,0,81.232,80.426
,39,39,80.517,81.2,80.873,0,81.004,78.545
