GPT-35 Conversation-Improved CV Google PM Score,GPT-4o Conversation-Improved CV Google PM Score,Twice GPT-4o Conversation-Improved CV Google PM Score,GPT-4o-mini Improved Google Score,Cleaned GPT-4o Conversation-Improved CV Google Score,Cleaned Twice GPT-4o Conversation-Improved CV Google Score,Original Google Score
84.168,84.903,84.458,83.868,84.285,84.74,84.209
85.658,86.606,84.199,84.344,83.479,84.597,84.209
87.486,88.444,86.448,87.947,87.623,87.733,85.607
83.467,84.231,84.322,81.877,82.527,84.082,80.387
87.54,89.418,88.332,87.55,88.454,88.951,88.592
84.544,85.612,88.553,86.162,87.173,88.278,85.647
83.084,84.311,85.68,85.917,84.539,84.859,84.062
84.176,87.159,82.44,82.063,82.414,82.374,82.276
87.869,88.439,89.672,88.634,89.077,89.272,88.742
84.351,86.073,84.917,84.793,86.0,85.986,84.935
87.348,86.819,81.677,81.936,83.169,82.878,86.397
87.324,87.811,89.721,89.342,88.793,88.179,87.32
86.03,87.538,87.207,87.152,86.38,86.811,85.039
85.889,88.329,86.282,87.103,88.204,86.542,86.066
88.313,87.752,87.202,86.721,86.787,86.364,87.86
84.973,87.063,87.093,87.138,85.322,83.998,84.459
84.54,84.216,84.137,83.757,83.843,83.23,83.081
83.275,84.45,83.417,82.235,81.966,82.054,83.438
88.064,88.252,85.724,86.874,86.149,85.872,85.679
77.152,84.613,86.377,86.178,87.583,87.927,84.887
82.575,82.076,86.638,86.407,86.384,86.141,82.881
81.375,81.963,83.788,84.752,83.072,83.526,82.922
78.672,86.788,83.127,82.728,85.636,85.327,79.112
82.775,83.019,84.059,84.262,83.235,82.896,82.617
84.926,86.882,85.402,85.226,85.325,85.165,84.019
88.45,90.29,89.442,89.757,90.218,89.685,87.614
80.695,81.598,87.901,88.204,85.091,84.258,82.021
85.352,83.746,86.58,86.532,84.49,85.04,82.078
87.137,85.727,85.981,86.129,86.034,86.433,84.91
84.097,84.217,87.621,85.075,81.564,81.414,84.396
85.585,85.782,85.019,85.278,84.876,85.103,85.532
77.416,77.653,83.77,83.784,83.14,83.33,78.96
86.309,86.418,86.81,87.509,86.03,85.842,86.718
87.463,88.048,89.421,89.815,89.577,89.972,87.795
85.846,86.293,85.443,85.265,86.261,87.101,82.868
79.907,79.105,87.216,87.32,85.452,85.318,86.06
82.391,82.022,82.585,83.318,83.035,83.219,81.747
87.622,86.421,86.713,86.467,89.292,88.666,86.568
85.103,86.419,86.56,86.727,85.686,86.508,83.318
85.746,85.408,83.494,83.491,85.775,85.795,82.975
83.684,84.831,85.883,86.367,85.458,85.808,85.882
80.756,84.983,85.043,84.575,85.207,84.794,79.138
85.423,86.424,86.696,86.715,85.66,85.202,85.22
87.688,86.101,86.76,87.41,87.463,86.775,86.401
84.209,87.132,87.064,85.955,84.879,84.964,84.217
85.436,83.622,88.239,87.136,88.695,87.814,85.154
85.676,85.173,85.382,86.573,84.445,85.274,86.226
84.058,86.624,85.972,87.568,88.426,87.095,83.4
83.235,87.702,87.433,87.301,86.068,86.407,83.009
85.984,86.616,86.53,87.32,86.458,87.932,86.893
87.38,87.934,89.63,89.615,89.217,88.601,88.62
83.735,83.401,86.289,85.884,84.457,84.153,86.138
85.861,88.014,89.554,89.272,87.85,88.074,87.525
83.297,85.121,87.136,85.123,85.358,85.195,83.819
78.93,86.219,87.002,86.397,86.435,87.403,80.187
86.951,85.503,84.301,85.366,85.212,85.47,85.63
84.641,85.413,84.864,85.088,85.986,85.988,84.596
85.2,84.671,85.973,86.216,86.109,86.566,85.187
84.273,86.734,86.444,86.313,86.161,86.779,85.207
86.851,87.419,84.969,84.847,84.329,85.082,82.952
86.54,85.984,86.055,86.114,87.855,88.169,84.464
84.421,84.82,84.844,84.693,83.091,83.097,84.993
87.547,87.298,88.999,88.905,88.761,89.124,87.951
86.483,86.432,89.028,89.407,86.694,86.647,87.269
85.057,86.848,85.795,86.608,84.96,84.921,82.519
87.082,86.853,87.411,86.882,87.842,88.037,84.246
84.328,83.244,85.708,84.981,85.403,85.255,82.271
84.766,86.18,88.257,87.161,86.491,87.093,87.795
84.804,85.678,87.965,88.035,87.218,85.637,87.027
83.884,83.395,86.047,85.981,85.543,86.688,81.506
86.382,86.903,86.922,85.895,85.93,85.853,85.065
84.789,84.405,86.127,87.084,86.521,86.103,84.196
88.112,89.397,87.42,87.075,87.735,87.89,85.652
85.545,85.898,85.113,86.413,84.708,85.604,82.195
80.85,83.314,85.311,84.594,82.288,82.135,82.046
86.328,87.251,86.94,86.871,86.819,86.721,86.478
81.146,85.816,84.052,84.859,84.708,85.204,80.239
85.02,85.464,86.61,85.961,86.175,86.693,84.58
85.752,86.347,84.915,85.388,87.15,87.435,86.073
83.545,86.861,86.323,86.353,86.141,86.12,85.791
83.214,83.527,85.7,86.084,84.307,84.307,84.479
84.407,85.344,85.508,85.642,83.383,82.931,84.938
82.506,85.241,86.484,87.528,89.165,89.447,82.33
79.334,83.82,85.4,84.735,81.722,81.815,81.44
82.155,81.947,83.934,84.459,82.856,83.421,80.839
86.261,84.871,85.975,86.585,87.175,86.907,85.438
86.029,85.005,83.786,84.237,83.812,83.665,80.989
85.009,85.432,87.629,88.45,87.422,87.28,84.366
80.488,83.145,87.152,87.398,86.21,86.731,82.219
82.405,83.229,84.472,84.406,84.528,83.99,81.499
85.489,86.393,86.148,87.952,88.027,88.143,85.175
83.85,87.013,87.323,87.48,89.378,89.296,86.426
85.494,86.861,87.16,87.639,83.38,84.127,81.25
85.238,86.27,87.739,87.126,87.593,86.987,84.262
86.378,86.743,88.861,88.877,88.324,88.404,85.66
82.746,81.472,83.612,84.829,86.588,86.713,82.424
89.59,88.992,88.183,88.314,88.332,88.511,89.233
82.411,86.392,86.293,85.823,85.876,85.345,82.906
88.119,86.838,86.761,86.131,84.567,84.935,82.294
85.834,87.049,87.455,87.431,85.298,85.328,86.071
83.138,82.833,86.919,86.575,88.213,88.323,82.102
86.318,86.05,88.301,88.466,86.15,86.561,84.57
85.271,88.566,87.975,87.811,89.179,89.355,86.756
86.58,88.513,86.863,86.682,86.267,86.349,82.908
84.302,84.399,86.724,86.776,86.216,85.992,84.511
82.137,84.157,83.678,83.617,84.842,84.216,80.788
84.076,83.853,85.014,85.131,85.7,85.846,82.26
86.702,84.789,88.054,87.953,88.799,88.451,86.816
86.7,87.204,84.403,84.273,84.484,85.464,81.492
80.144,84.288,86.883,86.505,83.415,84.583,82.457
88.304,89.256,89.839,89.939,90.621,90.51,89.594
89.372,89.344,88.07,87.07,89.456,88.676,88.454
86.503,86.557,87.785,87.526,87.321,87.553,85.713
87.34,87.999,87.681,87.837,87.519,87.609,86.595
86.15,86.672,86.834,87.099,87.537,88.091,85.053
86.245,85.82,86.404,86.636,85.43,85.364,86.174
87.051,88.418,88.262,88.461,87.733,88.364,84.632
86.307,88.495,86.776,86.481,85.815,85.893,84.034
82.497,82.39,87.884,88.672,87.257,86.331,84.713
85.365,84.285,86.64,86.787,86.253,86.256,81.833
86.855,87.139,87.298,86.822,87.767,87.683,86.243
87.18,87.434,86.821,85.952,86.427,86.946,85.324
86.187,86.819,85.686,85.933,85.678,85.972,83.727
87.119,86.796,86.375,86.863,88.079,87.84,87.042
85.744,86.008,86.418,87.32,85.801,86.038,86.075
85.372,86.948,85.554,85.815,89.764,88.385,87.54
83.236,82.402,82.368,83.264,83.087,83.19,83.405
83.907,85.627,84.386,84.735,84.317,83.843,81.667
83.368,86.118,89.473,89.172,88.369,87.205,87.077
83.791,83.433,85.35,84.904,84.008,83.835,82.627
81.529,80.776,81.725,82.345,81.651,82.738,84.676
81.432,84.994,85.708,84.483,84.459,83.281,82.027
85.964,85.601,85.276,85.475,85.14,85.618,86.271
82.102,82.802,86.728,86.789,86.199,86.774,83.457
81.335,82.207,82.114,81.738,80.887,81.616,83.203
82.135,82.757,82.821,82.856,80.733,79.861,82.577
80.09,86.386,86.29,86.206,86.053,86.176,82.571
84.375,85.842,85.75,85.526,87.172,86.929,85.068
85.897,87.512,88.674,89.329,88.125,88.021,87.541
89.817,90.099,88.313,88.035,90.08,89.825,87.981
88.231,87.32,87.594,88.086,87.153,87.467,84.596
85.495,82.539,85.12,84.84,84.954,84.759,84.129
82.009,83.384,83.168,83.589,83.264,83.192,82.836
76.988,79.41,78.852,78.21,78.811,77.715,77.579
82.018,81.602,82.331,82.922,84.353,84.459,82.232
83.442,85.779,84.903,84.7,84.696,83.882,83.246
79.726,84.975,84.627,84.976,83.771,83.178,82.25
85.169,88.763,87.533,85.265,86.647,86.457,84.246
84.635,84.372,85.86,85.489,85.792,86.697,83.876
82.544,83.699,85.436,82.935,86.998,86.837,83.956
85.973,87.896,86.192,86.187,88.34,87.922,87.587
82.345,84.519,83.581,81.533,84.122,83.927,81.926
84.321,84.982,85.23,84.899,84.278,84.44,83.691
83.811,87.368,86.052,86.695,84.063,83.94,81.461
78.977,77.725,83.273,84.254,82.579,82.23,81.109
84.248,86.178,87.15,86.827,87.305,87.047,87.027
82.562,84.504,82.914,83.136,83.16,83.246,82.555
87.908,89.801,89.803,89.749,88.483,88.165,86.75
84.74,87.404,86.186,86.02,85.807,85.658,85.502
82.32,86.875,85.786,85.781,84.199,84.568,81.229
87.683,87.1,88.731,88.877,88.309,87.95,87.415
86.762,87.357,87.438,87.817,87.199,87.13,85.939
87.435,88.327,88.648,88.735,87.752,87.289,87.849
89.45,90.52,88.403,89.932,90.17,88.905,88.823
88.011,88.235,88.932,89.367,89.105,89.224,87.583
84.107,86.079,85.803,85.538,84.967,85.28,83.832
86.162,85.292,86.206,86.528,85.592,85.357,85.447
79.53,81.409,80.661,82.139,82.788,82.686,79.164
82.883,83.969,83.016,83.352,84.093,84.19,81.688
82.585,85.288,85.481,86.789,85.835,86.03,82.091
