,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo
0,"
 - Proficient in Adobe Photoshop, Adobe Illustrator, and skilled in working with a graphic tablet
- Proficient in UI/UX design
- Experienced with Figma, Zeplin, Sketch, MarvelApp, and Invision
- Knowledgeable in 2D graphics, including pixel and vector graphics
- Experienced in 2D design
- Proficient in 3D Max
- Able to work in different styles
- Skilled in hand drawing
- Experienced in creating design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications
- Experienced in testing games
- Skilled in making presentations in PowerPoint
- Possesses a portfolio
- Familiar with bug tracking systems and project management tools such as Trello and Jira
- Self-motivated artist with over 5 years of experience in the game industry
- Passionate about working on interesting projects, sharing experience, and acquiring new skills and knowledge
- Goal-oriented in bringing dreams into reality while enjoying the process
- Seeking a position at a company with a friendly team, interesting projects, and competitive salary.
"
1,"
 Skills:
- Proficient in Adobe Photoshop, Adobe Illustrator, and working with a graphic tablet
- Experienced in UI/UX design
- Knowledgeable in Figma, Zeplin, Sketch, MarvelApp, and Invision
- Skilled in 2D graphics and design, including pixel and vector graphics
- Proficient in 3D Max
- Ability to work in different styles and draw by hand
- Experienced in creating design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications
- Experienced in testing games and creating presentations in Power Point
- Familiar with bug tracking systems and project management tools such as Trello and Jira
- Strong self-motivation and passion for game industry
Experience:
- Over 5 years of experience in the game industry
- Proven track record of successfully working on various projects and teams
Objective:
- Looking to apply my skills and experience in a company with a friendly team, interesting projects, and competitive compensation
- Passionate about bringing dreams to life and working with pleasure in the creative process.
"
2,"
 As a web and UX/UI designer, I have experience working on projects such as the redesign of the Children's Music School website and the development of Pet-Saver-Hub, a web service project for rescuing lost and found animals. 

Responsibilities:
- Conducted thorough analysis of existing websites to identify strengths and weaknesses
- Created wireframes and user flows for new designs
- Developed visually appealing designs with a focus on user experience
- Ensured designs were easy to navigate and accessible on all devices
- Conducted user research to identify key pain points and incorporate interactive elements

Skills:
- Wireframing
- Visual design
- User research
- Responsive design
- UI/UX design principles

I am seeking opportunities to further develop my skills in UI/UX design and contribute to impactful projects that prioritize user experience. I value communication, teamwork, and continuous learning in order to achieve high-quality design outcomes.
"
3,"
 Experience:
- Head of Design Department at Facility, Kiev (March 2018 - Present)
    - Organized design team processes and optimized design flow for various project types
    - Developed concepts for websites, brands, and other products
    - Created UI/UX, animations, logo books, brand guidelines, and brandbooks
    - Took a leading role in tenders and offline company activities
    - Published articles on medium.com, mmr.ua, cases.media, vc.ru
    - Judged on CSSDA, Ukraine Creative Week, and on the path to joining the awwwards judge team
    - Conducted educational lectures at Underhub co-working

- Worked on concept and final product visualization for Kiev Smart City at Kiev Smart City
- Created illustrations and limited edition products for the 2018 UEFA Champions League Final and developed a concept for a brand activating program for Ukraine Independence Day 2018 at Mastercard, Kiev
- Worked on mobile games, developing visual concepts and UI, and created concept arts for the second part of a game at ""Stampede Games"", Kiev

Skills:
- Design process optimization
- Concept development
- UI/UX design
- Branding
- Animation
- Logo design
- Illustration
- Mobile game design

Languages:
- Ukrainian
- Russian
"
4,"
 12+ years experience in design with a focus on creating over 300 projects, including 30 products from scratch, 30 mobile applications, 80 websites, and 100 logos and corporate styles. Managed own design studio with 20 employees, implementing processes for sales, management, hiring, and project creation. Taught over 150 students in UI/UX & brand design and spoke at conferences. Holds a Master's degree in Engineering Design and currently pursuing an MBA. Extensive experience in eCommerce, Finance, Banking, Investments, Marketing, and various other industries, working with clients worldwide. Previous positions include UX Designer, Lead Product Designer, and CEO and Designer of own design studio. Skilled in frontend and backend development languages. Passionate about pixel-perfect design and improving user experiences.
"
5,"
 Art Director, UI Senior designer | Freelance February 2019 - Present

UI team lead, UI senior designer | Intetics Inc.
June 2018 - January 2019
- Lead and manage a UI team
- Oversee all web design projects from start to finish; lead and provide feedback and guidance to UX and UI designers; work with developers and QA to implement designs with a high level of accuracy
- Design and create wireframes, workflows, prototypes, sketches and high-fidelity mockups
- Execute design work with a high level of polish, creating production level assets sized appropriately to desktop, tablet, and mobile screens
- Present and defend designs and key milestone deliverables to peers and executive level stakeholders
- Establish and promote design guidelines, best practices and standards

February 2015 — Mai 2018
Art Director, UI Senior designer | Vintage Web Production
Main responsibilities:
- Developing and executing concepts
- Creating the “WOW” emotion
- Providing initial designs, refining directions, and working with developers through final delivery of a project
- Team mentoring, motivation, art-direction
- Build presentations, craft documentation, and deliver asset kits to developers and other team members
- Present creative ideas/concepts to clients in a compelling and clear manner
- Bring business strategy to creative execution to drive results

UI Web designer | Indigo Web Development
October 2014 - February 2015
Main responsibilities:
- Executing concepts
- Build presentations, craft documentation
- Assist in the design
- Projects with long term services, eCommerce projects
- Products.
"
6,"
 Graphic Designer/Lead Graphic Designer and Prepress Operator/DTP Designer.

⊳ Started using 3D made by myself in my design.
⊳ Have experience designing key visuals, SMM, and printing materials.
⊳ Successfully designed logos and identities for new brands.
⊳ Managed a small team of two junior designers.
⊳ Created custom sticker pack for Telegram and Viber.
⊳ Completed a UI/UX course at Beetroot Academy, further developing skills in user-centered design and user experience.

Expert in Adobe Photoshop and Illustrator. Good in Adobe InDesign and Figma. Some skill in Blender and After Effects.

Last three jobs:
1. Graphic designer & UI/UX designer at QA Madness
nov 2022 - now
- Involved in the company's global redesign, impacting final result significantly.
- Redesigned website to reflect new vision and style.
- Implemented fresh visual style for presentations and SMM materials.
Main achievement: started using 3D made by myself in my design.

2. Graphic Designer at Kronas
aug 2020 - feb 2022
- Designed logos, identities, and printing materials for new brands.
- Developed advertising key visuals for site, social networks, and printing.
- Introduced new visual style for Instagram profile design.
Main achievements:
• Created and drew a sticker pack for Telegram and Viber
• Developed design for a new trade hall - branding stands, navigation.

3. Graphic Designer at Design Studio ToTop
oct 2019 - aug 2020
- Developed design for various companies across different industries.
- Designed logos, identities, outdoor advertising, product visualizations, and printing materials.
Main achievement: designed brochure in one working day, from concept to print launch.
"
7,"
 - Featured in Behance, LogoLounge Trends Report 2021, LogoLounge Book 12, and World Logo & Mark Book (Japan 2020)
- Won over 50 logo contests (2015-2018)
- 9+ years of experience in design with a focus on logo contests, fonts, 3D, branding, interfaces, and more
- Extensive experience working with diverse clients and projects worldwide on a freelance basis
- 3+ years of experience in teams and agencies
- Passion for creating innovative products and solutions that improve the world
- Interest in expanding knowledge in UI/UX and neural network development
- Skills in Logo & Branding, Brandbooks & Guidelines, UI/UX, Web & Mobile design, HTML/CSS/JS, Typography, Visual design, 3D Modeling & Animation, Illustrations, Icons, and Gaming
- Proficient in Adobe Illustrator, Photoshop, After Effects, Lightroom, Figma, Blender, Keynote, Webflow, Readymag, Spline, Notion, and Gpt3.
"
8,"
 Experienced Lead UX/UI Designer with over 4 years in the field, skilled in process structuring, documentation creation, and problem-solving. Built a team of designers from scratch, provided training for juniors, and actively involved in the company's life. Implements feedback sessions every three months, actively developing pet projects. Experienced in landing page design, native and cross-platform applications, CRM systems, game interfaces, marketing materials, branding, and illustration. Passionate about creating user-centric products and avoiding services with negative impacts on end-users.
"
9,"
 Took personal part in the creation of more than 100 website designs, brand and advertising projects.
Professional website, mobile and graphic designer with 6+ years of commercial experience in various agencies. Experienced in UX prototyping, UI design, and motion design for desktop and mobile applications.

SKILLS:
- Graphic design (Printed Products, Banners, Illustrations, Icons)
- Web design (Responsive, Adaptive)
- Mobile design (iOS, Android)
- Wireframes
- Interactive prototypes
- Using principles of atomic design
- Understanding of user personas and user flows
- Basics of HTML, CSS

TOOLS:
- Figma (team libraries, auto layout, components properties, branches)
- Adobe Photoshop
- Adobe Illustrator
- Adobe After Effects

Seeking to join a strong team and contribute artistic taste to contemporary design projects.
"
