,modified
0,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio Link]  

**Professional Summary**  
Self-motivated artist with over 5 years of experience in the game industry. Strong skills in graphic design and a passion for creating engaging and innovative projects. Seeking to contribute to a friendly team, working on interesting projects while continuing to develop skills and share experience.

**Skills**  
- Proficient in Adobe Photoshop and Adobe Illustrator  
- Skilled in UI/UX design  
- Experienced with design tools: Figma, Zeplin, Sketch, MarvelApp, InVision  
- Knowledge of 2D graphics, both pixel and vector  
- Competent in 2D design  
- Familiar with 3D Max  
- Ability to work in various styles  
- Hand-drawing capabilities  
- Creation of design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications  
- Game testing experience  
- Skilled in making presentations using PowerPoint  
- Familiar with bug tracking systems and project management tools: Trello and Jira  

**Experience**  
[Your Job Title]  
[Your Company Name]  
[City, State] – [Start Date] to [End Date]  
- Developed and designed graphic elements for games and marketing materials.  
- Collaborated with cross-functional teams to create user-friendly interfaces for applications.  
- Participated in testing phases to ensure quality and usability of gaming products.  
- Created presentations to communicate design concepts and project updates to stakeholders.  

**Education**  
[Your Degree]  
[Your University]  
[City, State] – [Graduation Year]  

**Portfolio**  
Available upon request.  

**References**  
Available upon request.  
"
1,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[Link to Portfolio]  

---

**Professional Summary**  
Self-motivated artist with over 5 years of experience in the game industry. Passionate about collaborating on interesting projects, sharing knowledge, and acquiring new skills. Committed to bringing ideas to life while working in a friendly team environment.

---

**Skills**  
- Proficient in Adobe Photoshop, Adobe Illustrator, and graphic tablet operations  
- UI/UX design expertise  
- Familiar with Figma, Zeplin, Sketch, MarvelApp, and Invision  
- Strong understanding of 2D graphics, including pixel and vector graphics  
- Experienced in 2D design  
- Knowledgeable in 3D Max  
- Versatile ability to work in different artistic styles  
- Hand-drawing capabilities  
- Skilled in creating design banners, layouts, logos, frameworks, and prototypes for websites and mobile applications  
- Game testing experience  
- Proficient in creating presentations using PowerPoint  
- Familiar with bug tracking systems and project management tools, including Trello and Jira  

---

**Experience**  
[Your Job Title]  
[Company Name], [Location]  
[Month, Year] – Present  
- Developed visually engaging design banners, layouts, logos, and frameworks for various projects.  
- Created prototypes for websites and mobile applications, enhancing user experience.  
- Collaborated with team members on UI/UX design, contributing to game development.  
- Conducted game testing to identify bugs and improve user engagement.  
- Utilized Trello and Jira for project management and task tracking.

---

**Education**  
[Your Degree]  
[Your School], [Location]  
[Month, Year]  

--- 

**Portfolio**  
Available upon request or [provide a link to your online portfolio]  

--- 

**References**  
Available upon request.  
"
2,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Portfolio Website]  

---

**Professional Summary**  
Detail-oriented web designer with experience in website redesign and UX/UI design. Proven ability to create user-friendly designs that enhance the user experience. Strong skills in wireframing, visual design, user research, and responsive design, with a focus on effective communication and collaboration.

---

**Experience**  

**Web Designer**  
*Children's Music School*  
[Dates of Employment]  
- Led the redesign of the Children's Music School website, focusing on the creation of a visually appealing and easy-to-navigate landing page.  
- Conducted a thorough analysis of the existing website to identify strengths and weaknesses.  
- Developed a detailed wireframe that included a news block and a prominent call to action, ensuring brand identity consistency through color scheme and typography.  
- Implemented responsive design principles to ensure optimal appearance across all devices.  

**UX/UI Designer**  
*Pet-Saver-Hub*  
[Dates of Employment]  
- Worked on the Pet-Saver-Hub web service project, aimed at rescuing lost and found animals, with a primary focus on creating a user-friendly interface.  
- Conducted user research to identify pain points in finding lost or found pets.  
- Developed user flow and wireframes to ensure intuitive navigation.  
- Incorporated interactive features, including a map, to enhance user experience.

---

**Skills**  
- Wireframing  
- Visual Design  
- User Research  
- Responsive Design  
- UX/UI Design Principles  
- Team Collaboration  
- User Feedback Collection

---

**Professional Development**  
- Eager to develop skills in UI/UX design and contribute to impactful projects.  
- Committed to collaborating with experienced professionals to enhance knowledge and skills.  
- Interested in participating in challenging projects that promote creative potential and awareness of current design technologies and trends.

--- 

**Education**  
[Your Degree]  
[Your Major]  
[Your University/College Name]  
[Graduation Date]  

---  

**References**  
Available upon request.  
"
3,"
 Over 50 Websites  
More than 30 Logotypes  
4 Mobile Apps  
3 Games  
1 Social Network  

**Facility, Kiev — Head of Design Department**  
Mar 2018 - Present  
- Organize design team processes and optimize design flow for various project types.  
- Develop concepts for websites, brands, and other products; create UI/UX, animations, logo books, brand guidelines, and brandbooks.  
- Take a leading role in tenders and offline company activities.  
- Publications on medium.com, mmr.ua, cases.media, vc.ru.  
- Judge on CSSDA, Ukraine Creative Week; currently in the final stages of joining the Awwwards judging team.  
- Conduct educational lectures at Underhub co-working.  

**Kiev Smart City, Kiev**  
- Work on concept and final product visualization for Kiev Smart Card.  
- Develop a series of dynamic city ad concepts.  

**Mastercard, Kiev**  
- Create illustrations and limited edition products for the 2018 UEFA Champions League Final in Kiev.  
- Develop concepts for a brand activation program on Ukraine Independence Day 2018.  

**Stampede Games, Kiev**  
- Work on mobile games, developing visual concepts and UI.  
- Create concept art for the second part of a game.  
- Games featured and ranked in top charts:  
   - Evo Explores  
   - .projekt  
"
4,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio Website]  

---

**Professional Summary**  
Design is my passion, with over 12 years of experience in the field. I thrive on creating exceptional user experiences and am dedicated to perfection in every project I undertake. My dream is for design to be integrated into educational curricula. 

---

**Experience**  

**2022** — NDA  

**2021** — UX Designer  
*Bank BVR*  

**2020** — UI/UX Design Teacher  
*Hillel IT School*  

**2020** — Lead Product Designer  
*Innovation Box*  

**2019** — UI/UX & Brand Designer  
*Ardas*  

**2017** — UI/UX & Brand Designer  
*M2E pro*  

**2016** — UI/UX & Brand Designer  
*Forforce*  

**2015** — UI/UX & Brand Designer  
*Art. Lebedev Studio*  

**2014** — CEO & Designer  
*Own Design Studio*  
- Created and managed a design studio with 20 employees, establishing effective processes for sales, management, hiring, and project development.  

**2013** — UI/UX & Brand Designer  
*«Poster»*  

**2012** — UI/UX & Brand Designer  
*«le Weekend»*  

**2011** — UI/UX & Brand Designer  
*«November» Design Bureau*  

**2006** — Graphic Designer (Freelance)  

**2002** — Cartoon Maker (Paint)  

**1999** — Drawing School  

---

**Education**  

Master's Degree in Engineering Design  
Studying for an MBA  

---

**Key Skills**  
- UI/UX Design  
- Brand Design  
- Team Leadership  
- Project Management  
- Teaching and Mentoring  
- Process Development  

---

**Projects**  
- Created over 300 projects, including:  
   - 30+ products from scratch  
   - 30+ mobile applications  
   - 80+ websites  
   - 100+ logos and corporate styles  

---

**Speaking Engagements**  
- Speaker at Dribbble and other design conferences.

---

**Industry Experience**  
- eCommerce, Finance, Banking, Investments, Marketing, Social Media, Laws, Education, Development, NFT, Art, Auto, Game, Building, Agro, Food, Coffee, Fashion, Beauty, Service, Music, Dance, MMA, Medicine, Space, Sex, Sport, Technique, Weapon, Insurance  

---

**Client Locations**  
- Worked with clients from the USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, and Ukraine.  

---
"
5,"
 My strength is building and managing the UI design team. At my previous job as a lead, I built a strong UI team with good results. The whole team, in one year, has been implementing designs with a high level of accuracy.

Detail-oriented Digital Designer with over 6 years of experience, skilled in conceptualizing and delivering elegant, user-friendly solutions effectively and efficiently. Proven track record in creating e-commerce, services, and corporate websites with user-centric solutions for achieving breakthrough efficiency and driving client satisfaction.

**Skills**
- Strong understanding of user experience
- Cross-functional experience working with developers
- Exceptional problem-solving skills
- Deep attention to detail and meticulous dedication to proper delivery
- Collaborative mindset with interest in working with brand and marketing teams to ship deliverables and scale products

**Tools**
- Adobe (Photoshop, Illustrator, Invision, After Effects)
- Sketch
- Maxon C4D
- Figma

**EXPERIENCE**

**Art Director, UI Senior Designer | Freelance**  
February 2019 - Present

**UI Team Lead, UI Senior Designer | Intetics Inc.**  
June 2018 - January 2019  
- Led and managed a UI team
- Oversaw all web design projects from start to finish, providing feedback and guidance to UX and UI designers; worked with developers and QA to implement designs with a high level of accuracy
- Designed and created wireframes, workflows, prototypes, sketches, and high-fidelity mockups
- Executed design work with a high level of polish, creating production-level assets sized appropriately for desktop, tablet, and mobile screens
- Presented and defended designs and key milestone deliverables to peers and executive-level stakeholders
- Established and promoted design guidelines, best practices, and standards

**Art Director, UI Senior Designer | Vintage Web Production**  
February 2015 - May 2018  
- Developed and executed concepts
- Created the “WOW” emotion
- Provided initial designs, refined directions, and worked with developers through final delivery of projects
- Mentored and motivated team members, providing art-direction
- Built presentations, crafted documentation, and delivered asset kits to developers and other team members
- Presented creative ideas/concepts to clients in a compelling and clear manner
- Translated business strategy into creative execution to drive results

**UI Web Designer | Indigo Web Development**  
October 2014 - February 2015  
- Executed concepts
- Built presentations and crafted documentation
- Assisted in design projects with a long-term focus
- Contributed to services and eCommerce projects and products
"
6,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Creative and detail-oriented Graphic Designer with extensive experience in designing key visuals, social media marketing (SMM), and printing materials. Proficient in user-centered design principles with a strong foundation in UI/UX, having completed a course at Beetroot Academy. Experienced in managing junior designers and collaborating on impactful design projects to elevate brand identities.

**Core Competencies**  
- Graphic Design  
- UI/UX Design  
- Branding and Identity  
- Social Media Marketing  
- Print Design  
- Team Management  
- Adobe Photoshop  
- Adobe Illustrator  
- Adobe InDesign  
- Figma  
- Blender  
- After Effects  

**Professional Experience**  

**Graphic Designer & UI/UX Designer**  
QA Madness, Nov 2022 - Present  
- Engaged in the company's global redesign, contributing significantly to the final outcome.  
- Redesigned the website to align with the new vision and style.  
- Introduced and implemented a fresh visual style for presentations.  
- Completely redesigned all SMM materials for LinkedIn and Instagram, including creating a page for DOU.  
- Main achievement: Started incorporating 3D designs created by myself into overall design projects.  

**Graphic Designer**  
Kronas, Aug 2020 - Feb 2022  
- Designed logos, identities, and related print materials for new brands within the company.  
- Developed 3-6 advertising key visuals monthly for the website and social media platforms.  
- Implemented a new visual style for the company's Instagram profile.  
- Created multi-page catalogs and brochures using Adobe InDesign.  
- Updated the appearance of the YouTube channel and designed video covers.  
- Main achievements: Developed a custom sticker pack for Telegram and Viber, and branded the new trade hall, including stands and navigation.  

**Graphic Designer**  
Design Studio ToTop, Oct 2019 - Aug 2020  
- Created designs for various companies across different sectors.  
- Designed logos and brand identities.  
- Developed outdoor advertising materials including road-side billboards and car branding.  
- Produced realistic product visualizations in Photoshop.  
- Completed various print design projects including calendars, business cards, postcards, and stickers.  
- Designed multi-page catalogs and brochures.  
- Main achievement: In a single working day, conceptualized a brochure design, received client approval, developed 16 pages, and initiated print production.  

**Education**  
- UI/UX Course, Beetroot Academy  

**Technical Skills**  
- Expert in Adobe Photoshop and Adobe Illustrator  
- Proficient in Adobe InDesign and Figma  
- Some experience in Blender and After Effects  
"
7,"
 Mase  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  
[Portfolio Website]  

---

**Professional Summary**  
Self-taught design professional with over 9 years of experience, specializing in logo design, branding, and visual communication. Recognized for my work through features in Behance, LogoLounge Trends Report 2021, LogoLounge Book 12, and World Logo & Mark Book (Japan 2020). Proven track record of winning over 50 logo contests between 2015 and 2018. Passionate about exploring new design trends and innovative ideas.

**Experience**  
Freelance Designer  
[Location]  
[Start Date] - Present  
- Collaborated with diverse clients and projects globally, providing creative solutions in logo design, branding, and visual identity.  
- Developed branding and logos for various startups and organizations, including 3D logo animation for the volunteer organization Bless-Ukraine.com and branding for social music platform Hook (in collaboration with creative.geex-arts.com).  
- Created visual identities for crypto-related projects, such as Ignaz.com and the crypto-based game ""NDA for now"" (coming soon).  
- Worked on branding for music production studio AnemoNoise.com.

Team Collaboration  
[Agency/Team Name]  
[Location]  
[Start Date] - [End Date]  
- Contributed to design projects in a team setting, fostering a collaborative environment to enhance creative output.  
- Engaged in various design disciplines including UI/UX design, typography, visual design, and presentations.
  
**Recent Projects**  
- 3D logo animation & branding for volunteer organization www.Bless-Ukraine.com  
- Logo & branding for social music platform - Hook (Coming soon)  
- Logo for crypto-based fund www.Ignaz.com  
- Logo & Branding for music production studio AnemoNoise.com  
- Logo & Branding for the crypto-based game ""NDA for now"" (Coming soon)

**Skills**  
- Logo & Branding / Brandbooks & Guidelines  
- UI/UX Adaptive Web & Mobile Design  
- HTML/CSS/JS  
- Typography & Fonts  
- Visual Design & Presentations  
- 3D Modeling & Animation  
- Illustrations, Icons, and Visual Elements  
- Gaming Design  

**Software Proficiency**  
- Adobe Suite (Illustrator, Photoshop, After Effects, Lightroom)  
- Figma  
- Blender  
- Keynote  
- Webflow  
- Readymag  
- Spline  
- Notion  
- GPT-3  

---

**Education**  
[Your Highest Degree]  
[Your University]  
[Year]  

**Certifications**  
[Relevant Certification, if any]  
[Year]   

**References**  
Available upon request.
"
8,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Summary**  
Experienced Lead UX/UI Designer with over 4 years in the field, adept at analyzing problems and generating innovative ideas. Skilled in process structuring and documentation creation. Proven ability to work effectively in a team while also bringing a unique perspective to each project. Committed to continuously improving by regularly incorporating new knowledge into the workflow. Utilizing creativity as a primary tool.

---

**Design Experience**  
- Landing page design  
- Design of native and cross-platform applications  
- Complex CRM systems and CMS interfaces  
- Casual game interfaces  
- Marketing materials (creative for social media, presentations, social media branding)  
- Branding and logos  
- Illustration  

---

**Management and Leadership Experience**  
- Built a team of designers from scratch and provided additional training for trainees and juniors  
- Created a development matrix  
- Actively involved in the company's life  
- Finds an individual approach to the team as a manager  
- Conducts feedback sessions every three months  
- Training and mentorship  
- Problem-solving  
- Supporting the mental well-being of the team  

---

**Skills**  
- Highly structured and wrote everything from A to Z in the company's processes  
- Maintained active communication throughout and after projects  
- Always open to mentoring and explaining things to clients  
- Willing to change processes for the better  
- Finds it difficult to sit still and not have the opportunity to implement ideas  
- Interested in the development of the team and each designer individually  
- Actively develops own ideas and has a few pet projects  

"
9,"
 Professional Summary  
Dedicated website, mobile, and graphic designer with over 6 years of commercial experience in various agencies, specializing in UX prototyping, UI design, and motion design for desktop and mobile applications. Successfully contributed to the creation of more than 100 website designs, brand, and advertising projects.

Skills  
• Graphic design (Printed Products, Banners, Illustrations, Icons)  
• Web design (Responsive, Adaptive)  
• Mobile design (iOS, Android)  
• Wireframes  
• Interactive prototypes  
• Principles of atomic design  
• Understanding of user personas and user flows  
• Basics of HTML, CSS  

Tools  
• Figma (team libraries, auto layout, components properties, branches)  
• Proficient in Adobe Photoshop and Adobe Illustrator  
• Confident in Adobe After Effects  

Objective  
Eager to join a strong team to realize my potential in engaging projects and make a significant contribution to contemporary design through artistic insight.
"
