,Cleaned Twice GPT-4o Conversation-Improved CV
0,"          --- Professional SummaryCreative and self-motivated artist with over 5 years of experience in the game industry. Expert in 2D and 3D design, UI/UX design, and proficient with various design tools. Dedicated to working on engaging projects, sharing expertise, and acquiring new skills in a collaborative team environment. Skills- Adobe Photoshop, Adobe Illustrator- UI/UX Design- Figma, Zeplin, Sketch, MarvelApp, Invision- Pixel and vector graphics- 2D Design- 3D Max- Versatile design styles- Hand drawing- Design of banners, layouts, logos, frameworks, and prototypes for websites and mobile applications- Game testing- PowerPoint presentation creation- Bug tracking and project management tools: Trello and Jira- Portfolio available Experience- Over 5 years of experience in a game company, contributing to a variety of projects ObjectivesSeeking a position at a company with a supportive team, engaging projects, and competitive compensation. Committed to transforming creative visions into reality while embracing the collaborative process."
1,"       --- Professional SummaryHighly driven artist with over 5 years in the game industry. Skilled in UI/UX design, 2D and 3D graphics, and experienced with project management tools. Eager to contribute to creative projects, enhance skills, and share expertise. Seeking a company with a collaborative team, engaging projects, and fair compensation. Skills- Adobe Photoshop, Adobe Illustrator, and graphic tablet proficiency- UI/UX Design- Expertise in Figma, Zeplin, Sketch, MarvelApp, and Invision- Pixel and vector graphics mastery- 2D Design- 3D Max- Versatile styles adaptation- Hand-drawing skills- Design creation for banners, layouts, logos, frameworks, and prototypes for websites and mobile applications- Game testing- PowerPoint presentation creation- Bug tracking and project management tools: Trello and Jira Experience  ,   - Collaborated on various game industry projects- Designed visual elements including banners, logos, and layouts- Developed prototypes for websites and mobile applications- Conducted game testing to ensure quality- Utilized project management tools like Trello and Jira for effective workflow- Created PowerPoint presentations to convey design concepts Portfolio-  Education  ,   ---Focused on turning dreams into reality through passionate work."
2,"  |  |  |  |  |  Professional SummaryDedicated UI/UX Designer with extensive experience in web design, wireframing, visual design, user research, and responsive design. Proven ability to develop user-friendly interfaces and improve user experiences. Adept at collaborating with clients and users to create impactful projects that meet their needs and expectations. Experience Web DesignerChildren's Music School Website Redesign- Conducted thorough analysis of the existing website to identify strengths and weaknesses.- Created detailed wireframes for a new landing page, including a news block and prominent call to action.- Ensured color scheme and typography were consistent with the school's brand identity.- Developed visual design with a focus on user experience and easy navigation.- Incorporated responsive design principles to ensure compatibility across various devices. UX/UI DesignerPet-Saver-Hub- Focused on creating a user-friendly interface for rescuing lost and found animals.- Conducted user research to identify key pain points in finding lost or found pets.- Developed detailed user flow and wireframes for an intuitive and easy-to-navigate interface.- Incorporated interactive elements like a map feature to assist users in locating lost or found pets in their area. Skills- UI/UX Design- Wireframing- Visual Design- User Research- Responsive Design- User Flow Development- Interactive Elements Professional Goals- Seek opportunities to enhance UI/UX design skills while contributing to meaningful projects.- Collaborate with professionals for growth and learning.- Engage in challenging projects that foster creative development and adherence to the latest design technologies and trends.- Prioritize communication and teamwork for effective results.- Actively interact with users to collect feedback and improve user experience. Attributes- Creativity and attention to detail- Strong communication and teamwork skills- Commitment to high-quality work standards Education Contact"
3,"    ---Professional ExperienceHead of Design Department  Facility, Kiev  March 2018 - Present  - Organized and optimized design team processes for various project types- Developed concepts for websites, brands, and other products- Created UI/UX designs, animations, logo books, brand guidelines, and brand books- Led tenders and offline company activities- Published content on platforms like medium.com, mmr.ua, cases.media, and vc.ru- Judged on CSSDA and Ukraine Creative Week; currently finalizing judge role with Awwwards- Delivered educational lectures at Underhub co-workingDesigner  Kiev Smart City, Kiev  - Created concepts and final product visualizations for Kiev Smart Card- Developed dynamic city advertising conceptsIllustrator and Limited Edition Product Designer  Mastercard, Kiev  - Created illustrations and limited edition products for the 2018 UEFA Champions League Final in Kiev- Developed concepts for the brand activation program for Ukraine Independence Day 2018Game Artist  Stampede Games, Kiev  - Developed visual concepts and UI for mobile games- Created concept art for game sequels- Contributed to top-charted games including:  - Evo Explores  - .projektKey Achievements  - Developed over 50 websites  - Designed more than 30 logotypes  - Created 4 mobile apps  - Designed 3 games  - Built 1 social network  Languages:   Skills: UI/UX Design, Animation, Concept Development, Brand Guidelines, Publications, Lecturing"
4,"            --- SummaryDedicated and experienced designer with over 12 years in the field. Passionate about creating user-centric designs that enhance user experiences and evoke delight. Diverse portfolio of over 300 projects including mobile applications, websites, and corporate branding. Strive for perfection in every pixel and aim to elevate design to new heights, making it an integral part of everyday learning.--- Professional ExperienceNDA  _UI/UX Designer_  2022Bank BVR  _UX Designer_  2021Hillel IT School  _UI/UX Design Teacher_  2020Innovation Box  _Lead Product Designer_  2020Ardas  _UI/UX & Brand Designer_  2019M2E pro  _UI/UX & Brand Designer_  2017Forforce  _UI/UX & Brand Designer_  2016Art. Lebedev Studio  _UI/UX & Brand Designer_  2015Own Design Studio  _CEO & Designer_  2014  - Managed a team of 20 employees  - Established processes for sales, management, hiring, and project creation Poster  _UI/UX & Brand Designer_  2013le Weekend  _UI/UX & Brand Designer_  2012November Design Bureau  _UI/UX & Brand Designer_  2011--- Freelance & Early CareerFreelance Graphic Designer  2006Make Cartoons in Paint  2002Drawing School  1999--- EducationMaster's Degree in Engineering Design  Currently Pursuing MBA  Frontend and Backend Development Courses  - HTML5/CSS3/TypeScript/Vue.js- Python- Swift--- Skills- UI/UX Design- Brand Design- Product Design- Team Management- Client Relations- Sales Processes- HTML5/CSS3- TypeScript/Vue.js- Python- Swift--- Additional Experience- Created and managed own design studio  - Taught over 150 students in UI/UX and brand design  - Speaker at Dribble conferences  --- Industries Worked With- eCommerce- Finance- Banking- Investments- Marketing- Social Media- Law- Education- Development- NFT- Art- Automotive- Construction- Agriculture- Food & Beverage- Coffee- Fashion- Beauty- Service Industries- Music- Dance- MMA- Medicine- Space- Sports- Technology- Weapons- Insurance--- International Work Experience- USA- United Kingdom- Germany- Netherlands- Italy- France- Greece- Estonia- Australia- China- Ukraine--- Personal StatementDesign is my life. I enjoy every pixel I create and every moment of user delight. My dream is to see design taught in schools. If you need someone to dissect your project, identify weak points, and elevate it to perfection, I'm your person. Although much of my best work is protected under NDA, I am willing to showcase relevant examples during an interview."
5,"            --- PROFESSIONAL SUMMARYOver 6 years of experience as a dedicated and innovative Digital Designer, specializing in creating impactful and user-friendly web solutions. Proven track record of delivering high-quality websites with compelling visual storytelling, enhancing user experience, and ensuring client satisfaction. Expertise in leading and managing high-performing UI design teams, with a focus on precision and effective design implementation. SKILLS- Deep understanding of user experience design- Cross-functional collaboration with developers- Exceptional problem-solving abilities- Attention to detail and commitment to quality delivery- Strong collaboration with brand and marketing teams to scale products TOOLS- Adobe Suite (Photoshop, Illustrator, InVision, After Effects)- Sketch- Maxon C4D- Figma EXPERIENCEArt Director, UI Senior Designer | Freelance  February 2019 - Present  - Conceptualized and delivered high-impact web designs- Collaborated with clients to enhance digital presence and user engagement  - Managed the end-to-end design process, ensuring adherence to client objectives  UI Team Lead, UI Senior Designer | Intetics Inc.  June 2018 - January 2019  - Led and managed a skilled UI team- Supervised web design projects, providing guidance to UX and UI designers- Collaborated with developers and QA to ensure high-accuracy design implementation- Created wireframes, workflows, prototypes, and high-fidelity mockups- Produced designs optimized for desktop, tablet, and mobile screens- Presented and defended design concepts to stakeholders- Established design guidelines, best practices, and standards  Art Director, UI Senior Designer | Vintage Web Production  February 2015 - May 2018  - Developed and executed concepts that delivered a “WOW” effect- Provided initial designs, refined directions, and guided final project delivery- Mentored and art-directed the design team- Created presentations, documentation, and delivered asset kits to developers- Presented compelling creative ideas to clients- Translated business strategies into effective creative solutions  UI Web Designer | Indigo Web Development  October 2014 - February 2015  - Developed and executed creative concepts- Created detailed project documentation- Assisted in designing long-term services and e-commerce projects- Contributed to various product design initiatives"
6,"  |  |  |  |  | --- PROFESSIONAL SUMMARYInnovative and detail-oriented Graphic Designer with a broad range of experience in key visuals, social media marketing (SMM), and print materials. Demonstrated ability to create impactful logo and identity designs for emerging brands. Adept in leading junior designers and introducing new visual styles across multiple platforms. Skilled in Adobe Photoshop, Illustrator, InDesign, and Figma, with additional competencies in Blender and After Effects. Completed a comprehensive UI/UX course at Beetroot Academy, enhancing proficiency in user-centered design.--- PROFESSIONAL EXPERIENCEQA Madness  Graphic Designer & UI/UX Designer  Nov 2022 - Present  - Led significant parts of the company's global redesign, contributing to the final visual outcome.- Redesigned the company's website to reflect a new vision and style.- Implemented a new visual style for presentations.- Overhauled all SMM materials for LinkedIn and Instagram; created a page for DOU.- Integrated self-created 3D elements into designs.Kronas  Graphic Designer  Aug 2020 - Feb 2022  - Designed logos, identities, and print materials for emerging brands within the company.- Produced 3-6 advertising key visuals monthly for use on the website, social networks, and in print.- Introduced a refreshed visual style for the company's Instagram profile.- Designed multi-page catalogs and brochures using InDesign.- Updated the YouTube channel’s design, including video covers.- Developed and illustrated a sticker pack for Telegram and Viber.- Designed the layout of a new trade hall, including branding strategies for stands and navigation systems.Design Studio ToTop  Graphic Designer  Oct 2019 - Aug 2020  - Provided design services for a variety of companies across multiple industries.- Created logos and brand identities.- Developed outdoor advertising materials, including billboards, city lights, and car branding.- Produced realistic product visualizations in Photoshop.- Created an array of print materials, such as calendars, business cards, postcards, and stickers.- Designed multi-page catalogs and brochures.- Successfully executed the design, approval, and production of a 16-page brochure within a single working day.--- EDUCATIONUI/UX Course  Beetroot Academy  - Enhanced skills in user-centered design and user experience.--- SKILLS- Software: Adobe Photoshop, Illustrator, InDesign, Figma- 3D and Animation: Blender, After Effects- Design: Logo and identity design, Key visuals, SMM materials, Print materials- Leadership: Team management, Project coordination"
7," Mase ProfileSelf-taught designer with over 9 years of experience in various facets of design, including logos, branding, interfaces, and more. Featured in Behance, LogoLounge Trends Report 2021, LogoLounge Book 12, and World Logo & Mark Book (Japan 2020). Winner of over 50 logo contests between 2015-2018. Experience- Freelance Designer with a wide range of global clients and projects.- Over 3 years of experience working within teams and agencies. ObjectivesSeeking opportunities to collaborate with a team to create innovative products and solutions. Eager to expand knowledge in UI/UX and neural network development. Recent Projects- 3D Logo Animation & Branding for Bless-Ukraine - (http://www.Bless-Ukraine.com)- Logo & Branding for Social Music Platform - hook - Created with Creative.Geex-Arts agency, view full case on Behance- Logo for Crypto-based Fund - (http://www.Ignaz.com)- Logo & Branding for Music Production Studio - (http://AnemoNoise.com)- Logo & Branding for Crypto-Based Game (NDA for now) - Coming soon Skills- Logo & Branding- Brandbooks & Guidelines- UI/UX Adaptive Web & Mobile Design- HTML/CSS/JavaScript- Typography & Fonts- Visual Design & Presentations- 3D Modeling & Animation- Illustrations, Icons & More- Gaming Software Proficiency- Adobe Suite: Illustrator, Photoshop, After Effects, Lightroom- Figma- Blender- Keynote- Webflow- Readymag- Spline- Notion- GPT-3"
8,"---Summary:Dynamic Lead UX/UI Designer with over 4 years of experience, specializing in problem analysis and innovative idea generation. Expertise in process structuring and documentation, coupled with the ability to collaborate effectively within a team. Dedicated to continuous improvement through ongoing learning and creative application.---Design Experience:- Design of landing pages- Native and cross-platform application design- Interfaces for complex CRM systems and CMS- Casual game interface design- Creation of marketing materials (social media creatives, presentations, social media branding)- Branding and logo design- Illustration work---Management and Leadership Experience:- Established and trained a team of designers from scratch, offering additional support for trainees and junior team members- Open to mentoring and client education- Maintained clear and consistent communication during and after projects- Developed comprehensive documentation for company processes- Continuously improved processes to enhance workflow- Actively engaged in company initiatives and improvements- Provided personalized management to support team development- Conducted regular feedback sessions every three months- Created a development matrix for team advancement- Provided training and mentorship focused on problem-solving and mental well-being of the team---Passions:Dedicated to designing user-beneficial products while avoiding involvement in services that could negatively impact users' mental or financial well-being.---Additional Skills:- Development of personal projects and innovative ideas"
9,"Professional Website, Mobile, and Graphic Designer with 6+ Years of ExperienceSUMMARYA skilled designer with over six years of commercial experience in various agencies, specializing in website designs, brand, and advertising projects. Extensive expertise in UX prototyping, UI design, and motion design for both desktop and mobile applications. Passionate about contributing artistic taste to contemporary design and seeking to join a strong team to further develop skills and realize potential on engaging projects.EXPERIENCE- Created over 100 website designs, brand, and advertising projects.SKILLS- Graphic Design: Printed Products, Banners, Illustrations, Icons- Web Design: Responsive, Adaptive- Mobile Design: iOS, Android- Wireframes and Interactive Prototypes- Principles of Atomic Design- User Personas and User Flows- Basic Understanding: HTML, CSSTOOLS- Figma: Team Libraries, Auto Layout, Components Properties, Branches- Adobe Photoshop: Advanced Proficiency- Adobe Illustrator: Advanced Proficiency- Adobe After Effects: Confident Level"
10,"          --- Professional SummaryPassionate and detail-oriented graphic designer with a focus on Publishing and Printing, currently studying at Kharkiv National University of Radio Electronics. Skilled in creating effective UX/UI designs with a strong foundation in web design. Committed to continuous education and maintaining a disciplined, high-quality approach to all design tasks.--- EducationKharkiv National University of Radio Electronics  Specialization: Publishing and Printing, Department of Media Systems and Technologies--- Professional Development- Web Design, Genius.Space- UX/UI Design, Genius.Space--- SkillsSoft Skills:- Teamwork  - Empathy  - Strong work ethic  - Punctuality and discipline  Graphic Editors:- Figma  - Adobe Illustrator  - Adobe Photoshop  - Blender  - AutoCAD  --- ExperienceFreelance Graphic Designer  Various Commercial Projects  - Developed a set of business cards for a tattoo artist working internationally.- Crafted websites, brochures, presentations, and logos for diverse clients.--- Design PhilosophyDesign is not just a career but a vital part of my life, driving me to consistently achieve excellence through meticulous and disciplined practices.---    "
11,"         --- Professional SummaryInnovative Designer with over a decade of experience shaping creative visions at the College of Arts. Versatile in managing a diverse client base across Europe and the USA. Expert in leading creative teams, project management, and client communication, delivering comprehensive design solutions. Proven ability to drive projects from inception to successful completion for a variety of industries, including large enterprises, e-Commerce, and SaaS platforms.--- Key Skills- Team Leadership- Project Management- Project Estimation- Resource Planning- Client Communication- Business English- Presentation Skills- Enterprise Scale Coordination- Agile and Scrum Methodologies- Art Direction- Prototyping- UI/UX Design- Information Architecture- UML Diagrams- User Testing- Mobile App Design- SaaS Solutions- Web Design- Graphic Design--- Professional ExperienceLead Designer  ,    – Present  - Led design initiatives in collaboration with cross-functional teams.- Managed projects from concept to delivery, ensuring adherence to timelines and budget constraints.- Supervised a team of designers, providing mentorship and fostering professional growth.- Presented design concepts to international stakeholders, ensuring clear communication and alignment.- Engineered design solutions for various industries, including enterprise clients and SaaS platforms.Senior Designer  ,    – - Crafted UI/UX designs for web and mobile applications with user-centric solutions.- Interfaced with clients to gather requirements, translating them into actionable design plans.- Efficiently managed resource allocation and project timelines.- Conducted user testing and incorporated feedback to improve product usability.Freelance Designer     – - Delivered complete design projects for a diverse client base, including large enterprises and startups.- Focused on developing user-friendly interfaces and graphic designs aligned with business objectives.- Applied Agile and Scrum methodologies to ensure projects remained on track and within scope.--- EducationBachelor of Arts in Design  College of Arts, --- Professional GoalsSeeking a dynamic organization offering challenging projects, a laid-back atmosphere, and a flexible schedule focused on results. Aspires to leverage extensive experience in client communication, team leadership, and project management to deliver top-tier design solutions addressing both business and user needs.---  "
12,"          ---PROFESSIONAL SUMMARY  Accomplished product designer and team lead with extensive experience in design team management. Demonstrated expertise in overseeing end-to-end team processes, including planning, delegating, and reviewing. Successfully completed over 30 projects and led a team of 17 designers. Proficient in managing user research projects, facilitating workshops, reporting, conflict management, and participating in sales processes as a design domain expert.SKILLS  - Team Management  - User Research  - Workshop Facilitation  - Conflict Management  - Sales Processes  - Business Goal Alignment  - Negotiation  - Presentation  - Fluent in English  - German Written Communication  PROFESSIONAL EXPERIENCE  Product Design Manager  - Oversaw and completed 30+ projects successfully.- Led and managed a team of 17 designers, handling comprehensive team processes including planning, delegation, and review.Design Consultant  - Pitched and initiated over 20 design projects.- Participated in sales processes as a design expert, ensuring business goals alignment.Notable Design Projects  - Product Design Manager - Human Resources Project  - Design Manager - Crypto Product  - UI/UX Team Lead - SaaS Project  - Multiple smaller projects in betting, healthcare, and delivery sectorsEDUCATION & COURSES  - ""Design Management"" Course  - ""People Management 3.0"" Course  OBJECTIVE  Aspiring to leverage managerial experience in design delivery processes (design delivery manager role) or contribute to establishing robust design teams, either internally or for clients. Open to exploring opportunities in outsource firms or product teams."
13,"        ---Summary  Experienced Product Designer with over 6 years in startups, fintech, organization management, crypto, insurance, and healthcare. Proficient in designing for Web, Mobile, Dashboard, and Web applications. Skilled in hypothesis generation, research, wireframing, prototyping, usability testing, data analysis, and building design systems. Expert in leading design teams and collaborating with stakeholders to align with business objectives and best practices.---Professional Experience  Australia-Based Digital Home Loan Product  Product Designer | - Part of a 3-person team that developed a digital home loan product from concept to MVP within a year- Built a design system from the ground upKey Responsibilities:- Communication with stakeholders and product manager- In-depth research and analysis- Functionality mapping and process flow creation- Development of low/high fidelity wireframes- UI research and design- Leading a team of 8 designersCollaboration and Mentorship:- Mentored junior designers- Conducted 1-on-1 meetings for issue resolution and improvement- Provided feedback and support to team members---Awards and Recognitions  - 8 Design Awards on Behance- Honorable mention at San Francisco Design Week- Featured in Ukrainian design, ""The Very Best Of""---Skills  - Hypothesis generation and testing- User research and usability testing- Wireframing and prototyping- Design system creation and implementation- Team leadership and mentorship- Collaboration and stakeholder communication- Business-oriented design practices---Tool Proficiencies  - ---Education   in    | "
14,"             ---Objective  Dedicated graphic and web design professional seeking to contribute expertise and creativity to a forward-thinking company, enhancing product quality and achieving global recognition.Professional Experience  Lead and Creative Designer, E-commerce Field    - Conceived several thousand full-fledged concepts and managed hundreds of successful advertising campaigns.- Established and managed the design department in the largest e-commerce company in the country.- Automated design and development processes, significantly boosting productivity.Design Bureau and Printing Studio Head    - Established and managed a design bureau and printing studio.- Recruited, educated, and trained numerous design specialists.Brand Creator, Household Appliances Sector    - Developed multiple successful brands of household appliances.Senior Designer and Art Director, E-commerce    - Led and directed a design team with a focus on improving user experience and creating brand identity.Creative Designer, Trading Companies    - Created visual concepts and advertising materials for various trading companies.Graphic Designer, Advertising Agencies    - Produced advertising materials for a variety of clients, contributing to numerous successful campaigns.Leading Designer, Publishing and Entertainment    - Managed design projects in publishing and entertainment, overseeing the creation of visual content.Qualifications  - Proficient in graphic and web design.- Extensive experience in brand identity creation and promotion.- Skilled in creating key visual assets and supervising the material implementation across channels.- Developed and executed digital advertising campaigns.- Strong management skills with experience leading design teams and departments.- Expertise in solving business problems through customer and user experience analytics.- Experienced in animation, motion design, and video editing.- Highly skilled in layout design and print preparation.Soft Skills  - Ability to solve complex product problems.- Excellent critical thinking and analytical skills.- Strong people management and interaction abilities; skilled in negotiation and stress management.- High emotional intelligence, empathy, and creative problem-solving.- Quick learner with self-learning and cross-functional capabilities.Education     ---References  Available upon request."
15," DIGITAL 2D ARTIST & UI/UX DESIGNERLocation: Kyiv  Languages: Upper-Intermediate English  --- SUMMARYDedicated digital artist and UI/UX designer with a comprehensive technical background and an awareness of contemporary design and technology trends. Possess excellent communication skills and exceptional time and self-management capabilities.--- EXPERIENCEFreelance Web Designer  (Dec 2018 - Nov 2019)UI/UX Designer & Illustrator  (Nov 2019 - Aug 2021)  Full Stack Designer: UI/UX, Illustrator & Graphic Designer  (Apr 2021 - Present)--- SKILLS- Proficient in UI/UX and responsive design- Skilled in both raster and vector illustration- Experienced in banner and logo design--- TOOLS- Adobe Photoshop- Adobe Illustrator- Procreate- Figma- Midjourney--- AWARDSRED DOT / Brands & Communication Design  (Aug 2022)--- OBJECTIVEAiming to secure a position in a reputable company with a collaborative team environment where I can apply my skills and grow further. Committed to excellence and continuous improvement."
