,Position,Moreinfo,Looking For,Highlights,Primary Keyword,English Level,Experience Years,CV,CV_lang,id,__index_level_0__,True Label
0,"2D artist, UI/UX designer, game designer","•   Possession of Adobe Photoshop, Adobe-AI, skills of working with a graphic tablet;
•   UI/UX ;
•.  Figma, Zeplin, Sketch, MarvelApp, Invision;
•   2D graphics (understanding of pixel and vector graphics and their specifics);
•.  2D Design;
•.  3D Max;
•   Ability to work in different styles;
•   Ability to draw by hand;
•   Creation of design banners, layouts, logos, frameworks and prototypes for websites and mobile applications;
•   Testing of games;
•   Making presentations in Power Point;
Availability of portfolio;
Bug tracking systems and project management tools: Trello and Jira.","I'm self-motivated artist with a strong skills at game industry. I have more 5 years experience in game company, and now, I want to broaden my world with interesting projects, to share own experience and to acquire new skills and knowledge.
So, my goal is putting into practice somebody's dreams, in so doing, working with pleasure.
I would like to work at company with friendly team, interesting projects and a decent wage.",,Design,pre,6.0,"
•   Possession of Adobe Photoshop, Adobe-AI, skills of working with a graphic tablet;
•   UI/UX ;
•.  Figma, Zeplin, Sketch, MarvelApp, Invision;
•   2D graphics (understanding of pixel and vector graphics and their specifics);
•.  2D Design;
•.  3D Max;
•   Ability to work in different styles;
•   Ability to draw by hand;
•   Creation of design banners, layouts, logos, frameworks and prototypes for websites and mobile applications;
•   Testing of games;
•   Making presentations in Power Point;
Availability of portfolio;
Bug tracking systems and project management tools: Trello and Jira.
I'm self-motivated artist with a strong skills at game industry. I have more 5 years experience in game company, and now, I want to broaden my world with interesting projects, to share own experience and to acquire new skills and knowledge.
So, my goal is putting into practice somebody's dreams, in so doing, working with pleasure.
I would like to work at company with friendly team, interesting projects and a decent wage.",en,72e9c3e6-05f3-5c29-88b2-24048228eaf1,24936,0
1,"2D artist, UI/UX designer, game designer","•   Possession of Adobe Photoshop, Adobe-AI, skills of working with a graphic tablet;
•   UI/UX ;
•.  Figma, Zeplin, Sketch, MarvelApp, Invision;
•   2D graphics (understanding of pixel and vector graphics and their specifics);
•.  2D Design;
•.  3D Max;
•   Ability to work in different styles;
•   Ability to draw by hand;
•   Creation of design banners, layouts, logos, frameworks and prototypes for websites and mobile applications;
•   Testing of games;
•   Making presentations in Power Point;
Availability of portfolio;
Bug tracking systems and project management tools: Trello and Jira.","I'm self-motivated artist with a strong skills at game industry. I have more 5 years experience in game company, and now, I want to broaden my world with interesting projects, to share own experience and to acquire new skills and knowledge.
So, my goal is putting into practice somebody's dreams, in so doing, working with pleasure.
I would like to work at company with friendly team, interesting projects and a decent wage.",,Design,pre,6.0,"
•   Possession of Adobe Photoshop, Adobe-AI, skills of working with a graphic tablet;
•   UI/UX ;
•.  Figma, Zeplin, Sketch, MarvelApp, Invision;
•   2D graphics (understanding of pixel and vector graphics and their specifics);
•.  2D Design;
•.  3D Max;
•   Ability to work in different styles;
•   Ability to draw by hand;
•   Creation of design banners, layouts, logos, frameworks and prototypes for websites and mobile applications;
•   Testing of games;
•   Making presentations in Power Point;
Availability of portfolio;
Bug tracking systems and project management tools: Trello and Jira.
I'm self-motivated artist with a strong skills at game industry. I have more 5 years experience in game company, and now, I want to broaden my world with interesting projects, to share own experience and to acquire new skills and knowledge.
So, my goal is putting into practice somebody's dreams, in so doing, working with pleasure.
I would like to work at company with friendly team, interesting projects and a decent wage.",en,72e9c3e6-05f3-5c29-88b2-24048228eaf1,24936,0
2,"Art-director, Graphic Designer, UI/UX Designer, Photogrpher","As a web designer, I had the opportunity to work on several projects that involved both website redesign and UX/UI design. One of the projects that I worked on was the redesign of the Children's Music School website. The main goal of this project was to create a new landing page for the website that would be visually appealing and easy to navigate.

To achieve this goal, I first conducted a thorough analysis of the existing website to identify its strengths and weaknesses. Based on my findings, I created a detailed wireframe of the new landing page, which included a news block and a prominent call to action. I also paid close attention to the color scheme and typography of the new design, ensuring that they were both consistent with the school's brand identity.

Once the wireframe was approved, I began working on the visual design of the landing page, paying close attention to the user experience. I made sure that the page was easy to navigate and that all the important information was easily accessible to the user. I also incorporated responsive design principles to ensure that the page looked great on all devices.

Another project that I worked on as a UX/UI designer was Pet-Saver-Hub, a web service project for rescuing lost and found animals. In this project, my main focus was on creating a user-friendly interface that would allow users to easily search for lost or found pets.

To achieve this, I conducted user research to identify the key pain points that users experienced when trying to find lost or found pets. Based on this research, I created a detailed user flow and wireframe of the website, ensuring that the user interface was intuitive and easy to navigate. I also incorporated interactive elements, such as a map feature, to make it easier for users to find lost or found pets in their area.

Overall, my experience as a web and UX/UI designer has allowed me to develop a range of skills, including wireframing, visual design, user research, and responsive design. Through my work on projects such as the Children's Music School website redesign and Pet-Saver-Hub, I have gained valuable experience in developing user-friendly designs that meet the needs of both clients and users.","I would like to have the opportunity to develop my skills in UI/UX design and contribute to projects that have significance and impact people's lives. I am expecting to collaborate with professionals who can help me grow and learn new things. I would be delighted to participate in challenging projects that allow me to develop my creative potential and keep up with the latest design technologies and trends. I value communication and teamwork, which ensure effective work and achieve results.
Furthermore, I intend to actively interact with users and collect their feedback to improve the user experience. I understand that creativity and attention to detail play a crucial role in the design process and I am ready to put in maximum effort to ensure the high quality of my work.",,Design,pre,11.0,"
As a web designer, I had the opportunity to work on several projects that involved both website redesign and UX/UI design. One of the projects that I worked on was the redesign of the Children's Music School website. The main goal of this project was to create a new landing page for the website that would be visually appealing and easy to navigate.

To achieve this goal, I first conducted a thorough analysis of the existing website to identify its strengths and weaknesses. Based on my findings, I created a detailed wireframe of the new landing page, which included a news block and a prominent call to action. I also paid close attention to the color scheme and typography of the new design, ensuring that they were both consistent with the school's brand identity.

Once the wireframe was approved, I began working on the visual design of the landing page, paying close attention to the user experience. I made sure that the page was easy to navigate and that all the important information was easily accessible to the user. I also incorporated responsive design principles to ensure that the page looked great on all devices.

Another project that I worked on as a UX/UI designer was Pet-Saver-Hub, a web service project for rescuing lost and found animals. In this project, my main focus was on creating a user-friendly interface that would allow users to easily search for lost or found pets.

To achieve this, I conducted user research to identify the key pain points that users experienced when trying to find lost or found pets. Based on this research, I created a detailed user flow and wireframe of the website, ensuring that the user interface was intuitive and easy to navigate. I also incorporated interactive elements, such as a map feature, to make it easier for users to find lost or found pets in their area.

Overall, my experience as a web and UX/UI designer has allowed me to develop a range of skills, including wireframing, visual design, user research, and responsive design. Through my work on projects such as the Children's Music School website redesign and Pet-Saver-Hub, I have gained valuable experience in developing user-friendly designs that meet the needs of both clients and users.
I would like to have the opportunity to develop my skills in UI/UX design and contribute to projects that have significance and impact people's lives. I am expecting to collaborate with professionals who can help me grow and learn new things. I would be delighted to participate in challenging projects that allow me to develop my creative potential and keep up with the latest design technologies and trends. I value communication and teamwork, which ensure effective work and achieve results.
Furthermore, I intend to actively interact with users and collect their feedback to improve the user experience. I understand that creativity and attention to detail play a crucial role in the design process and I am ready to put in maximum effort to ensure the high quality of my work.",en,59f57fb4-2693-5626-a800-25f8b07dcc95,30248,0
3,"Art Director, Head of Design, Design Lead, Senior UI/UX Designer, Logo creating, Mobile App Design","Facility, Kiev — Head of Design Department
Mar  2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media, vc.ru;
- Judging on CSSDA, Ukraine Creative Week. Now on the final stones to joining awwwards judge team;
- Educational lectures in Underhub co-working.

Kiev Smart City, Kiev 
Work on concept and final product visualisation for Kiev Smart Card. Developing a row of dynamic city ads concepts.

Mastercard, Kiev
Creating illustrations and limited edition products for 2018 UEFA Champions League Final  in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Worked on mobile games, developing visual concepts and UI. Creating concept arts for the second part of game. 
Games that were featured and took a place on top-charts:
- Evo Explores
- .projekt","Возможность карьерного и финансового роста, интересные проекты, хороший менеджмент.","Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network",Design,upper,5.0,"Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network
Facility, Kiev — Head of Design Department
Mar  2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media, vc.ru;
- Judging on CSSDA, Ukraine Creative Week. Now on the final stones to joining awwwards judge team;
- Educational lectures in Underhub co-working.

Kiev Smart City, Kiev 
Work on concept and final product visualisation for Kiev Smart Card. Developing a row of dynamic city ads concepts.

Mastercard, Kiev
Creating illustrations and limited edition products for 2018 UEFA Champions League Final  in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Worked on mobile games, developing visual concepts and UI. Creating concept arts for the second part of game. 
Games that were featured and took a place on top-charts:
- Evo Explores
- .projekt
Возможность карьерного и финансового роста, интересные проекты, хороший менеджмент.",en,bb923ed5-24e7-512e-a6d5-926715be4c30,30251,0
4,Art director or UI/UX Designer,"Hi,

Design is my life.
I enjoy every pixel I create, every user delight and ah-ah moments. My dream is that design is taught in schools. If you need someone who will take your project apart, find the weak points, and improve it to perfection – that's me.

I had my own studio with 20 employees, with built processes for sales, management, hiring, and project creation. But I closed it in order to do what I loved: creating designs on my own.

I try not to do development, but to better understand how design works and understand that I took courses in frontend (HTML5/CSS3/TypeScript/Vue.js) and backend (Python, Swift).

Unfortunately, the lion's share of my best work is under a nondisclosure contract. But at an interview I am willing to show some of them (in the direction you are interested in).

2022 — NDA
2021 — UX Designer in Bank BVR
2020 — UI/UX Design Teacher in Hillel IT School
2020 — Lead Product Designer in Innovation Box
2019 — UI/UX & Brand Designer in Ardas
2017 — UI/UX & Brand Designer in M2E pro
2016 — UI/UX & Brand Designer in Forforce
2015 — UI/UX & Brand Designer in Art. Lebedev Studio
2014 — CEO & Designer in Own Design Studio
2013 — UI/UX & Brand Designer in «Poster» 
2012 — UI/UX & Brand Designer in «le Weekend»
2011 — UI/UX & Brand Designer in «November» Design Bureau
2006 — Graphic Designer, freelance
2002 — Make Cartoons in Paint :)
1999 — Drawing School

The industries I worked with: eCommerce, Finance, Banking, Investments, Marketing, Social Media, Laws, Education, Development, NFT, Art, Auto, Game, Building, Agro, Food, Coffee, Fashion, Beauty, Food, Service, Music, Dance, MMA, Medicine, Space, Sex, Sport, Technique, Weapon, Insurance

I was creating design for a clients from: USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China & Ukraine.",,"• More than 12 years of experience in design.
• In total, more than 300 projects have been created, including:
• More than 30 products from scratch.
• More than 30 mobile applications.
• More than 80 websites.
• More than 100 logos and corporate styles.
• Creating and managing my own studio (20 people).
• Taught more than 150 students in UI/UX & brand design.
• Speaking at a Dribble & etc. conferences.
• Master's degree in “Engineering Design”.
• Studying for MBA Now.",Design,intermediate,11.0,"• More than 12 years of experience in design.
• In total, more than 300 projects have been created, including:
• More than 30 products from scratch.
• More than 30 mobile applications.
• More than 80 websites.
• More than 100 logos and corporate styles.
• Creating and managing my own studio (20 people).
• Taught more than 150 students in UI/UX & brand design.
• Speaking at a Dribble & etc. conferences.
• Master's degree in “Engineering Design”.
• Studying for MBA Now.
Hi,

Design is my life.
I enjoy every pixel I create, every user delight and ah-ah moments. My dream is that design is taught in schools. If you need someone who will take your project apart, find the weak points, and improve it to perfection – that's me.

I had my own studio with 20 employees, with built processes for sales, management, hiring, and project creation. But I closed it in order to do what I loved: creating designs on my own.

I try not to do development, but to better understand how design works and understand that I took courses in frontend (HTML5/CSS3/TypeScript/Vue.js) and backend (Python, Swift).

Unfortunately, the lion's share of my best work is under a nondisclosure contract. But at an interview I am willing to show some of them (in the direction you are interested in).

2022 — NDA
2021 — UX Designer in Bank BVR
2020 — UI/UX Design Teacher in Hillel IT School
2020 — Lead Product Designer in Innovation Box
2019 — UI/UX & Brand Designer in Ardas
2017 — UI/UX & Brand Designer in M2E pro
2016 — UI/UX & Brand Designer in Forforce
2015 — UI/UX & Brand Designer in Art. Lebedev Studio
2014 — CEO & Designer in Own Design Studio
2013 — UI/UX & Brand Designer in «Poster» 
2012 — UI/UX & Brand Designer in «le Weekend»
2011 — UI/UX & Brand Designer in «November» Design Bureau
2006 — Graphic Designer, freelance
2002 — Make Cartoons in Paint :)
1999 — Drawing School

The industries I worked with: eCommerce, Finance, Banking, Investments, Marketing, Social Media, Laws, Education, Development, NFT, Art, Auto, Game, Building, Agro, Food, Coffee, Fashion, Beauty, Food, Service, Music, Dance, MMA, Medicine, Space, Sex, Sport, Technique, Weapon, Insurance

I was creating design for a clients from: USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China & Ukraine.
",en,decee70e-7891-55ac-8df7-56ffd26825dd,30256,0
5,"Art Director, UI/UX designer","6+ years experienced and detail-oriented Digital designer with a knack for conceptualizing and delivering elegant, user-friendly solutions effectively and efficiently. Highly skilled in developing WOW websites with strong visual and brand storytelling. Possesses a track record of creating e-commerce, services and corporate websites with user-centric solutions for achieving breakthrough efficiency and driving client satisfaction.

My skills
- Strong understanding of user experience
- Cross functional experience working with developers
- Exceptional problem solving skills
- A deep attention to detail and a meticulous dedication to proper delivery
- Have collaborative mindset and interest in working with brand and marketing teams to ship deliverables and scale products

Tools
- Adobe (Photoshop, Illustrator, Invision, After Effect)
- Sketch
- Maxcon C4D
- Figma

EXPERIENCE
Art Director, UI senior designer | Freelance February 2019 - Present

UI team lead, UI senior designer | Intetics Inc.
June 2018 - January 2019
 - Lead and manage a UI team
- Oversee all web design projects from start to finish; lead and provide feedback and guidance to UX and UI designers; work with developers and QA to implement designs with a high level of accuracy
- Design and create wireframes, workflows, prototypes, sketches and high-fidelity mockups
- Execute design work with a high level of polish, creating production level assets sized appropriately to desktop, tablet, and mobile screens
- Present and defend designs and key milestone deliverables to peers and executive level stakeholders
- Establish and promote design guidelines, best practices and standards


February 2015 — Mai 2018
Art Director, UI Senior designer | Vintage Web Production
Main responsibilities:
- Developing and executing concepts
- Creating  the “WOW” emotion 
- Providing initial designs, refining directions and working with developers through final delivery of a project
- team mentoring, motivation, art-direction
- Build presentations, craft documentation, and deliver asset kits to developers and other team members
- Present creative ideas/concepts to clients in a compelling and clear manner
- Bring business strategy to creative execution to drive results

UI Web designer | Indigo Web Development
October 2014 - February 2015
Main responsibilities:
- Executing concepts
- Build presentations, craft documentation
- Assist in the design","- projects with long term
- services, eCommerce projects 
- products",My strength is to build and manage the UI design team. At my previous job as a lead I builded strong UI team with good result. The whole team in one year has been implementing designs with a high level of accuracy.,Design,upper,6.0,"My strength is to build and manage the UI design team. At my previous job as a lead I builded strong UI team with good result. The whole team in one year has been implementing designs with a high level of accuracy.
6+ years experienced and detail-oriented Digital designer with a knack for conceptualizing and delivering elegant, user-friendly solutions effectively and efficiently. Highly skilled in developing WOW websites with strong visual and brand storytelling. Possesses a track record of creating e-commerce, services and corporate websites with user-centric solutions for achieving breakthrough efficiency and driving client satisfaction.

My skills
- Strong understanding of user experience
- Cross functional experience working with developers
- Exceptional problem solving skills
- A deep attention to detail and a meticulous dedication to proper delivery
- Have collaborative mindset and interest in working with brand and marketing teams to ship deliverables and scale products

Tools
- Adobe (Photoshop, Illustrator, Invision, After Effect)
- Sketch
- Maxcon C4D
- Figma

EXPERIENCE
Art Director, UI senior designer | Freelance February 2019 - Present

UI team lead, UI senior designer | Intetics Inc.
June 2018 - January 2019
 - Lead and manage a UI team
- Oversee all web design projects from start to finish; lead and provide feedback and guidance to UX and UI designers; work with developers and QA to implement designs with a high level of accuracy
- Design and create wireframes, workflows, prototypes, sketches and high-fidelity mockups
- Execute design work with a high level of polish, creating production level assets sized appropriately to desktop, tablet, and mobile screens
- Present and defend designs and key milestone deliverables to peers and executive level stakeholders
- Establish and promote design guidelines, best practices and standards


February 2015 — Mai 2018
Art Director, UI Senior designer | Vintage Web Production
Main responsibilities:
- Developing and executing concepts
- Creating  the “WOW” emotion 
- Providing initial designs, refining directions and working with developers through final delivery of a project
- team mentoring, motivation, art-direction
- Build presentations, craft documentation, and deliver asset kits to developers and other team members
- Present creative ideas/concepts to clients in a compelling and clear manner
- Bring business strategy to creative execution to drive results

UI Web designer | Indigo Web Development
October 2014 - February 2015
Main responsibilities:
- Executing concepts
- Build presentations, craft documentation
- Assist in the design
- projects with long term
- services, eCommerce projects 
- products",en,dd3217b5-12ca-5c00-b2e8-8aac6e2a7fd1,30266,0
6,Brand Designer | Middle Graphic Designer | Strong Junior UI/UX Designer,"Worked as Graphic Designer/Lead Graphic Designer and Prepress Operator/DTP Designer.

Expert in Adobe Photoshop and Illustrator. Good in Adobe InDesign and Figma. Some skill in Blender and After Effects.

Last three jobs:
1. Graphic designer & UI/UX designer at QA Madness
nov 2022 - now
- I got in the middle of the companies global redesign, so I was able to have a lot of impact to final result.
- Redesigned website to reflect new vision and style.
- Successfully introduced and implemented a fresh visual style for presentations.
- Totaly redesigned all SMM materials - LinkedIn, Instagram. Made page fot DOU.
Main achievements: started using 3D made by myself in my design.

2. Graphic Designer at Kronas
aug 2020 - feb 2022
- I designed logos, identities and related printing materials for new brands of the company.
- Monthly developed 3-6 advertising key visuals for the site, social networks and for printing.
- Introduced and implemented a new visual style for the design of the Instagram profile.
- Made multi-page catalogs and brochures with products in InDesign.
- Updated the look of the company's YouTube channel, designed covers for videos.
Main achievements:
• came up with and drew a sticker pack for Telegram and Viber
• developed the design of a new trade hall - branding stands, navigation.

3. Graphic Designer at Design Studio ToTop
oct 2019 - aug 2020
- Developed design for different companies from different fields.
- Designed logos and identities.
- Designed outdoor advertising (roadside billboards, citylights, car branding).
- Drawn realistic product visualizations in Photoshop.
- Lots of printing design for companies (calendars, business cards, postcards, stickers, etc.)
- Made design of multi-page catalogs and brochures.
Main achievement: in one working day came up with the design for the brochure, approved it with the client, made 16 pages and launched it into print.",,"⊳ Started using 3D made by myself in my design.
⊳ Have a loooot of experience designing key visuals, SMM and printing materials.
⊳ Successfully designed logos and identities for new brands.
⊳ Managed a small team of two junior designers.
⊳ Created custom sticker pack for Telegram and Viber.
⊳ Completed a UI/UX course at Beetroot Academy, further developing skills in user-centered design and user experience.",Design,upper,7.0,"⊳ Started using 3D made by myself in my design.
⊳ Have a loooot of experience designing key visuals, SMM and printing materials.
⊳ Successfully designed logos and identities for new brands.
⊳ Managed a small team of two junior designers.
⊳ Created custom sticker pack for Telegram and Viber.
⊳ Completed a UI/UX course at Beetroot Academy, further developing skills in user-centered design and user experience.
Worked as Graphic Designer/Lead Graphic Designer and Prepress Operator/DTP Designer.

Expert in Adobe Photoshop and Illustrator. Good in Adobe InDesign and Figma. Some skill in Blender and After Effects.

Last three jobs:
1. Graphic designer & UI/UX designer at QA Madness
nov 2022 - now
- I got in the middle of the companies global redesign, so I was able to have a lot of impact to final result.
- Redesigned website to reflect new vision and style.
- Successfully introduced and implemented a fresh visual style for presentations.
- Totaly redesigned all SMM materials - LinkedIn, Instagram. Made page fot DOU.
Main achievements: started using 3D made by myself in my design.

2. Graphic Designer at Kronas
aug 2020 - feb 2022
- I designed logos, identities and related printing materials for new brands of the company.
- Monthly developed 3-6 advertising key visuals for the site, social networks and for printing.
- Introduced and implemented a new visual style for the design of the Instagram profile.
- Made multi-page catalogs and brochures with products in InDesign.
- Updated the look of the company's YouTube channel, designed covers for videos.
Main achievements:
• came up with and drew a sticker pack for Telegram and Viber
• developed the design of a new trade hall - branding stands, navigation.

3. Graphic Designer at Design Studio ToTop
oct 2019 - aug 2020
- Developed design for different companies from different fields.
- Designed logos and identities.
- Designed outdoor advertising (roadside billboards, citylights, car branding).
- Drawn realistic product visualizations in Photoshop.
- Lots of printing design for companies (calendars, business cards, postcards, stickers, etc.)
- Made design of multi-page catalogs and brochures.
Main achievement: in one working day came up with the design for the brochure, approved it with the client, made 16 pages and launched it into print.
",en,746c07d4-e382-5416-86e7-998f49ffe038,33709,0
7,Brand identity & Ui/Ux Designer,"So hello, I'm Mase. Self-taught geek, who loves to be at the forefront of creative ways, follow design trends and generate new ideas. During my 9+ years of experience in design, I've grown from ordinary logo contests (which I've won more than 50 times) to fonts, 3D, branding, interfaces, and much more.

I worked mostly on freelance with completely different clients and projects all over the world, but also have 3+ years of experience in teams and agencies. 
Now I am looking for a team to create incredible products and solutions that can make the world a better place. Or at least more beautiful.

 I want to learn more & expand my knowledge in UI/UX and neural network development. And I understand that success is not a destination, but a journey, and requires constant effort and hard work. That's why I'm looking forward to collaborating with like-minded people who share my passion and approach problem-solving with creativity.

 Recent projects:
-3D logo animation & branding for volunteer organization  www.Bless-Ukraine.com
-Logo & branding for social music platform - hook (Coming soon) [ Created Together with www.creative.geex-arts.com agency / View full case on Behance ] 
-Logo for crypto-based fund www.Ignaz.com
-Logo & Branding for music production studio AnemoNoise.com
-Logo & Branding for the crypto-based game ""NDA for now"" [Coming soon]

🦾 Experience and knowledge in the areas: 
Logo & Branding / Brandbooks & Guidelines
Ui/Ux Adaptive Web & Mobile design 
Html/CSS/Js 
Typography & Fonts 
Visual design & Presentations 
3D Modeling & Animation 
Illustrations, Icons & other
Gaming

 Software and tools used:
Adobe [ Illustrator, Photoshop, After Effects, Lightroom ], Figma, Blender, Keynote, Webflow, Readymag, Spline, Notion, Gpt3.",,"-15x Featured in Behance
-Featured in LogoLounge Trends Report 2021
-Featured in LogoLounge Book 12
-Featured in World Logo & Mark Book (Japan 2020)
-50+ Logo Contests won (2015-2018)",Design,intermediate,9.0,"-15x Featured in Behance
-Featured in LogoLounge Trends Report 2021
-Featured in LogoLounge Book 12
-Featured in World Logo & Mark Book (Japan 2020)
-50+ Logo Contests won (2015-2018)
So hello, I'm Mase. Self-taught geek, who loves to be at the forefront of creative ways, follow design trends and generate new ideas. During my 9+ years of experience in design, I've grown from ordinary logo contests (which I've won more than 50 times) to fonts, 3D, branding, interfaces, and much more.

I worked mostly on freelance with completely different clients and projects all over the world, but also have 3+ years of experience in teams and agencies. 
Now I am looking for a team to create incredible products and solutions that can make the world a better place. Or at least more beautiful.

 I want to learn more & expand my knowledge in UI/UX and neural network development. And I understand that success is not a destination, but a journey, and requires constant effort and hard work. That's why I'm looking forward to collaborating with like-minded people who share my passion and approach problem-solving with creativity.

 Recent projects:
-3D logo animation & branding for volunteer organization  www.Bless-Ukraine.com
-Logo & branding for social music platform - hook (Coming soon) [ Created Together with www.creative.geex-arts.com agency / View full case on Behance ] 
-Logo for crypto-based fund www.Ignaz.com
-Logo & Branding for music production studio AnemoNoise.com
-Logo & Branding for the crypto-based game ""NDA for now"" [Coming soon]

🦾 Experience and knowledge in the areas: 
Logo & Branding / Brandbooks & Guidelines
Ui/Ux Adaptive Web & Mobile design 
Html/CSS/Js 
Typography & Fonts 
Visual design & Presentations 
3D Modeling & Animation 
Illustrations, Icons & other
Gaming

 Software and tools used:
Adobe [ Illustrator, Photoshop, After Effects, Lightroom ], Figma, Blender, Keynote, Webflow, Readymag, Spline, Notion, Gpt3.
",en,c046c05e-f625-520e-8b50-e3007a7c5cdf,33723,0
8,Creative Director / Lead UX/UI Designer,"Summary:
- Experienced Lead UX/UI Designer with over 4 years in the field, adept at analyzing problems and generating innovative ideas. 
- Skilled in process structuring and documentation creation. 
- Proven ability to work effectively in a team, while also bringing a unique perspective to each project. 
- Committed to continuously improving by regularly incorporating new knowledge into the workflow.
- Utilizing creativity as a primary tool

 Design Experience:
- Landing page design
- Design of native and cross-platform applications
- Complex CRM systems and CMS interfaces
- Casual game interfaces
- Marketing materials (creative for social media, presentations, social media branding)
- Branding and logos
- Illustration

 Management and Leadership Experience:
- Created a development matrix
- Training and mentorship
- Problem-solving
- Supporting the mental well-being of the team",Passionate about creating products that are beneficial to users and avoiding involvement with services that have negative impacts or can cause mental or financial problems to end-users.,"- Built a team of designers from scratch and provided additional training for trainees and juniors
- Always open to mentoring and explaining things to clients
- Maintained active communication throughout and after projects
- Highly structured and wrote everything from A to Z in the company's processes
- Willing to change processes for the better
- Finds it difficult to sit still and not have the opportunity to implement ideas
- Actively involved in the company's life
- Finds an individual approach to the team as a manager
- Interested in the development of the team and each designer individually
- Conducts feedback sessions every three months
Actively develops own ideas and has a few pet projects",Design,upper,4.0,"- Built a team of designers from scratch and provided additional training for trainees and juniors
- Always open to mentoring and explaining things to clients
- Maintained active communication throughout and after projects
- Highly structured and wrote everything from A to Z in the company's processes
- Willing to change processes for the better
- Finds it difficult to sit still and not have the opportunity to implement ideas
- Actively involved in the company's life
- Finds an individual approach to the team as a manager
- Interested in the development of the team and each designer individually
- Conducts feedback sessions every three months
Actively develops own ideas and has a few pet projects
Summary:
- Experienced Lead UX/UI Designer with over 4 years in the field, adept at analyzing problems and generating innovative ideas. 
- Skilled in process structuring and documentation creation. 
- Proven ability to work effectively in a team, while also bringing a unique perspective to each project. 
- Committed to continuously improving by regularly incorporating new knowledge into the workflow.
- Utilizing creativity as a primary tool

 Design Experience:
- Landing page design
- Design of native and cross-platform applications
- Complex CRM systems and CMS interfaces
- Casual game interfaces
- Marketing materials (creative for social media, presentations, social media branding)
- Branding and logos
- Illustration

 Management and Leadership Experience:
- Created a development matrix
- Training and mentorship
- Problem-solving
- Supporting the mental well-being of the team
Passionate about creating products that are beneficial to users and avoiding involvement with services that have negative impacts or can cause mental or financial problems to end-users.",en,4f19123b-d916-54c2-a138-5e9febf51dcf,42522,0
9,Creative UI/UX Designer,"I am a professional website, mobile and graphic designer. My commercial experience is more than 6+ years in different agencies. I have extensive experience in UX prototyping, UI design and motion design for desktop and mobile applications.

SKILLS:
• Graphic design (Printed Products, Banners, Illustrations, Icons)
• Web design (Responsive, Adaptive)
• Mobile design (iOS, Android)
• Wireframes
• Interactive prototypes
• Using principles of atomic design
• Good understanding of user personas and user flows
• Understanding of the basics of HTML, CSS

TOOLS:
• Figma (team libraries, auto layout, components properties, branches)
• Excellent level of proficiency in Adobe Photoshop and Adobe  Illustrator
• Confident level in Adobe After Effects","I want to be part of a strong team and realize my potential in interesting projects, as well as make a significant contribution of artistic taste to contemporary design.","Took personal part in the creation of more than 100 website designs, brand and advertising projects.",Design,intermediate,6.0,"Took personal part in the creation of more than 100 website designs, brand and advertising projects.
I am a professional website, mobile and graphic designer. My commercial experience is more than 6+ years in different agencies. I have extensive experience in UX prototyping, UI design and motion design for desktop and mobile applications.

SKILLS:
• Graphic design (Printed Products, Banners, Illustrations, Icons)
• Web design (Responsive, Adaptive)
• Mobile design (iOS, Android)
• Wireframes
• Interactive prototypes
• Using principles of atomic design
• Good understanding of user personas and user flows
• Understanding of the basics of HTML, CSS

TOOLS:
• Figma (team libraries, auto layout, components properties, branches)
• Excellent level of proficiency in Adobe Photoshop and Adobe  Illustrator
• Confident level in Adobe After Effects
I want to be part of a strong team and realize my potential in interesting projects, as well as make a significant contribution of artistic taste to contemporary design.",en,ada22164-9cf6-514a-91b7-bd9b04998eef,42578,0
