CV DoorDash Score,Unnamed: 0,gpt_4o,Unnamed: 0,gpt_mini,Unnamed: 0,gpt_3.5,Unnamed: 0,gpt4o_twice,Unnamed: 0,4o_on_35,Unnamed: 0,4o_on_mini,True Label,Will Manipulate
79.952,0,80.082,0,80.01,0,78.821,0,80.017,0,78.922,0,80.271,0,True
84.974,1,85.769,1,84.544,1,86.264,1,85.769,1,85.789,1,84.756,0,True
78.897,2,79.933,2,77.795,2,75.017,2,80.552,2,74.633,2,81.363,0,True
80.338,3,80.214,3,80.143,3,80.224,3,81.13,3,80.146,3,80.507,0,True
82.277,4,76.924,4,82.074,4,82.194,4,76.651,4,82.149,4,81.281,0,True
81.84,5,81.598,5,81.7,5,80.781,5,81.572,5,80.84,5,81.175,0,True
81.998,6,81.755,6,81.974,6,81.066,6,81.438,6,80.23,6,82.211,0,True
81.376,7,82.067,7,81.859,7,77.68,7,83.265,7,77.587,7,83.106,0,True
81.792,8,80.981,8,81.918,8,82.614,8,80.981,8,82.336,8,81.161,0,True
80.283,9,78.867,9,83.918,9,78.688,9,78.917,9,78.562,9,83.979,0,True
84.477,10,84.772,10,84.191,10,83.846,10,84.772,10,83.73,10,84.86,0,True
81.139,11,81.168,11,80.341,11,81.598,11,80.649,11,81.744,11,82.584,0,True
81.264,12,81.443,12,81.152,12,80.509,12,81.52,12,81.566,12,81.431,0,True
84.188,13,84.186,13,83.65,13,82.957,13,83.941,13,84.051,13,83.657,0,True
81.123,14,80.335,14,80.282,14,80.565,14,80.127,14,80.244,14,80.231,0,True
82.742,15,82.899,15,82.742,15,83.341,15,82.899,15,83.431,15,83.128,0,True
81.297,16,81.479,16,81.069,16,81.612,16,81.465,16,81.542,16,81.661,0,True
80.565,17,80.901,17,81.073,17,75.515,17,80.901,17,80.848,17,80.587,0,True
81.222,18,81.958,18,80.838,18,76.075,18,81.976,18,74.972,18,80.91,0,True
80.607,19,78.216,19,82.679,19,80.753,19,78.617,19,80.712,19,82.256,0,True
78.518,20,76.802,20,78.729,20,78.605,20,76.905,20,76.827,20,79.187,0,True
80.961,21,76.267,21,81.969,21,78.379,21,76.912,21,78.54,21,82.071,0,True
81.101,22,82.205,22,81.111,22,78.546,22,82.205,22,82.433,22,83.036,0,True
81.87,23,82.454,23,81.937,23,81.012,23,82.99,23,80.555,23,81.625,0,True
79.725,24,79.538,24,79.862,24,78.966,24,79.538,24,79.912,24,81.279,0,True
83.663,25,85.69,25,84.609,25,78.595,25,85.745,25,79.394,25,86.682,0,True
79.466,26,77.306,26,80.6,26,79.466,26,77.116,26,77.775,26,80.708,0,True
82.807,27,82.614,27,82.807,27,79.629,27,82.64,27,79.281,27,82.654,0,True
77.45,28,81.024,28,77.45,28,77.45,28,81.535,28,81.755,28,81.669,0,True
81.631,29,82.051,29,81.667,29,81.681,29,82.055,29,81.066,29,81.565,0,True
83.868,30,83.827,30,83.816,30,82.502,30,83.827,30,82.395,30,83.816,0,True
81.385,31,82.479,31,81.031,31,81.118,31,81.844,31,83.619,31,82.376,0,True
82.728,32,84.676,32,81.969,32,81.712,32,84.775,32,81.706,32,81.711,0,True
80.249,33,82.381,33,82.089,33,81.375,33,82.6,33,81.282,33,82.414,0,True
82.634,34,82.538,34,82.528,34,81.664,34,82.24,34,81.602,34,81.829,0,True
81.63,35,81.015,35,81.672,35,81.132,35,81.015,35,81.247,35,81.695,0,True
80.996,36,81.531,36,80.459,36,81.013,36,81.706,36,80.998,36,81.188,0,True
79.95,37,79.896,37,79.802,37,80.06,37,79.896,37,79.968,37,80.322,0,True
82.649,38,82.495,38,82.716,38,81.684,38,82.431,38,81.287,38,82.523,0,True
78.466,39,79.152,39,78.5,39,80.239,39,79.069,39,79.525,39,79.152,0,True
79.906,40,81.148,40,79.699,40,80.45,40,81.117,40,80.727,40,81.515,0,True
78.848,41,79.25,41,78.732,41,80.145,41,78.57,41,80.417,41,79.134,0,True
82.068,42,82.069,42,82.068,42,78.264,42,82.04,42,78.264,42,82.069,0,True
82.104,43,83.244,43,81.982,43,81.873,43,83.089,43,83.204,43,82.676,0,True
81.655,44,80.786,44,81.868,44,83.518,44,80.741,44,83.093,44,82.198,0,True
82.649,45,82.438,45,82.868,45,83.117,45,82.382,45,83.533,45,82.661,0,True
80.468,46,80.801,46,81.192,46,76.163,46,83.307,46,75.728,46,82.539,0,True
81.925,47,82.698,47,82.172,47,81.944,47,82.306,47,81.728,47,82.306,0,True
83.869,48,82.71,48,83.798,48,83.836,48,82.71,48,83.01,48,82.998,0,True
80.87,49,80.244,49,80.989,49,80.608,49,80.244,49,80.704,49,80.996,0,True
79.249,50,79.676,50,79.186,50,79.262,50,80.483,50,79.838,50,79.186,0,True
82.747,51,83.174,51,83.236,51,83.239,51,83.423,51,83.193,51,83.412,0,True
79.909,52,81.259,52,79.909,52,79.909,52,81.537,52,80.425,52,81.222,0,True
81.386,53,83.582,53,81.673,53,81.771,53,83.835,53,81.357,53,83.189,0,True
81.395,54,80.906,54,80.906,54,82.034,54,80.877,54,82.049,54,80.673,0,True
81.192,55,83.931,55,81.136,55,81.263,55,83.539,55,81.285,55,83.239,0,True
81.868,56,83.49,56,81.489,56,81.365,56,82.557,56,82.698,56,81.451,0,True
80.454,57,82.054,57,80.454,57,78.67,57,81.355,57,80.81,57,82.031,0,True
84.326,58,83.659,58,84.472,58,84.538,58,83.957,58,84.297,58,84.234,0,True
80.377,59,80.27,59,80.237,59,81.555,59,80.433,59,80.821,59,80.495,0,True
81.691,60,81.803,60,81.414,60,81.765,60,81.742,60,82.01,60,81.434,0,True
81.744,61,83.047,61,81.397,61,81.744,61,83.047,61,82.277,61,81.397,0,True
81.256,62,81.397,62,81.498,62,81.009,62,81.675,62,82.61,62,81.997,0,True
82.106,63,83.046,63,82.165,63,82.007,63,83.065,63,82.335,63,82.286,0,True
82.198,64,82.097,64,82.305,64,82.521,64,81.399,64,82.388,64,81.523,0,True
81.185,65,82.173,65,81.244,65,81.248,65,82.173,65,81.689,65,81.773,0,True
84.199,66,83.747,66,83.829,66,83.34,66,83.747,66,83.262,66,84.047,0,True
83.246,67,84.544,67,83.362,67,82.251,67,84.471,67,84.032,67,83.04,0,True
82.764,68,83.282,68,82.507,68,84.72,68,83.463,68,84.628,68,84.719,0,True
80.964,69,81.692,69,81.101,69,81.028,69,81.578,69,81.136,69,81.429,0,True
81.157,70,81.008,70,80.904,70,80.807,70,80.956,70,80.807,70,81.008,0,True
80.569,71,81.877,71,80.742,71,80.815,71,81.877,71,83.177,71,81.61,0,True
79.648,72,79.54,72,79.475,72,79.625,72,79.54,72,79.357,72,79.228,0,True
81.349,73,80.932,73,80.91,73,81.154,73,80.932,73,81.225,73,80.983,0,True
80.605,74,80.578,74,80.661,74,80.84,74,82.337,74,80.529,74,80.621,0,True
83.188,75,82.281,75,83.037,75,83.036,75,82.281,75,82.932,75,81.967,0,True
79.225,76,80.606,76,79.225,76,79.225,76,80.606,76,81.148,76,79.599,0,True
79.802,77,80.092,77,79.922,77,80.626,77,79.822,77,80.625,77,79.991,0,True
82.204,78,83.166,78,81.908,78,81.29,78,84.527,78,84.016,78,81.731,0,True
81.458,79,80.971,79,81.968,79,82.477,79,80.971,79,82.161,79,81.968,0,True
82.09,80,81.141,80,80.777,80,78.387,80,81.01,80,77.285,80,83.141,0,True
83.663,81,83.649,81,82.829,81,82.499,81,83.585,81,82.387,81,83.748,0,True
83.411,82,82.833,82,83.148,82,83.105,82,82.833,82,83.057,82,83.223,0,True
85.123,83,84.187,83,84.507,83,83.812,83,84.055,83,83.708,83,83.178,0,True
80.871,84,80.625,84,80.911,84,80.829,84,80.452,84,80.665,84,80.693,0,True
80.25,85,80.074,85,80.126,85,80.391,85,80.118,85,79.933,85,80.171,0,True
80.416,86,79.449,86,80.412,86,78.434,86,77.982,86,78.344,86,80.172,0,True
82.465,87,82.695,87,82.576,87,82.379,87,82.278,87,82.285,87,83.109,0,True
