CV Google Score,Unnamed: 0,gpt_4o,Unnamed: 0,gpt_mini,Unnamed: 0,gpt_3.5,Unnamed: 0,gpt4o_twice,Unnamed: 0,4o_on_35,Unnamed: 0,4o_on_mini,True Label,Will Manipulate
84.851,0,84.86,0,84.846,0,83.625,0,84.726,0,83.617,0,84.872,1,True
89.225,1,89.504,1,88.866,1,90.345,1,89.504,1,90.126,1,89.085,1,True
84.039,2,85.077,2,83.754,2,80.652,2,85.848,2,80.891,2,86.981,1,True
84.505,3,84.152,3,84.407,3,84.413,3,84.822,3,84.3,3,84.38,1,True
87.694,4,81.59,4,87.269,4,87.358,4,81.353,4,86.862,4,86.267,1,True
85.216,5,85.836,5,85.469,5,85.098,5,85.813,5,85.424,5,85.73,1,True
86.946,6,86.501,6,86.809,6,86.069,6,86.386,6,85.203,6,86.729,1,True
86.944,7,87.959,7,87.571,7,83.645,7,89.099,7,83.35,7,89.119,1,True
86.937,8,86.824,8,87.196,8,88.415,8,86.824,8,88.05,8,86.799,1,True
84.018,9,82.241,9,86.873,9,82.301,9,82.296,9,82.19,9,86.791,1,True
87.47,10,88.723,10,87.492,10,87.678,10,88.723,10,88.279,10,88.913,1,True
82.824,11,82.472,11,82.334,11,83.283,11,81.895,11,83.423,11,84.645,1,True
85.654,12,85.852,12,85.549,12,85.769,12,86.045,12,86.6,12,85.747,1,True
87.033,13,87.353,13,86.731,13,86.232,13,87.163,13,87.198,13,86.791,1,True
85.885,14,84.777,14,84.839,14,85.325,14,84.453,14,84.618,14,84.765,1,True
88.959,15,89.352,15,88.959,15,89.799,15,89.352,15,90.159,15,88.711,1,True
87.104,16,87.301,16,87.113,16,87.429,16,87.053,16,87.503,16,87.08,1,True
83.973,17,84.433,17,84.634,17,79.069,17,84.433,17,85.209,17,84.32,1,True
85.603,18,86.708,18,85.513,18,80.305,18,86.661,18,79.427,18,85.516,1,True
85.506,19,84.231,19,87.814,19,86.17,19,84.869,19,87.096,19,87.38,1,True
85.283,20,83.824,20,85.949,20,85.431,20,83.914,20,83.869,20,86.099,1,True
85.524,21,82.378,21,86.693,21,83.987,21,82.928,21,83.801,21,86.885,1,True
86.928,22,88.339,22,86.894,22,84.412,22,88.339,22,88.282,22,88.492,1,True
87.299,23,87.399,23,86.916,23,86.434,23,87.704,23,86.339,23,87.027,1,True
83.16,24,83.199,24,83.444,24,82.278,24,83.199,24,83.044,24,85.371,1,True
89.303,25,90.428,25,90.156,25,84.461,25,90.288,25,85.216,25,91.044,1,True
83.146,26,82.048,26,84.932,26,83.146,26,82.194,26,81.922,26,84.876,1,True
88.021,27,88.478,27,88.021,27,84.497,27,88.525,27,84.695,27,88.374,1,True
81.372,28,84.461,28,81.372,28,81.372,28,84.885,28,84.669,28,84.695,1,True
84.338,29,84.72,29,84.377,29,84.392,29,84.822,29,83.929,29,84.492,1,True
88.182,30,88.273,30,88.216,30,87.67,30,88.273,30,87.948,30,88.216,1,True
85.934,31,87.086,31,85.738,31,85.707,31,86.4,31,87.386,31,86.777,1,True
87.212,32,88.568,32,86.398,32,86.585,32,88.595,32,86.543,32,86.226,1,True
83.633,33,85.671,33,85.15,33,85.159,33,86.118,33,85.104,33,85.383,1,True
88.398,34,88.543,34,88.827,34,87.817,34,88.704,34,87.86,34,88.208,1,True
86.736,35,86.939,35,86.773,35,85.909,35,86.939,35,86.077,35,87.23,1,True
84.893,36,86.176,36,85.129,36,85.712,36,86.204,36,85.622,36,85.99,1,True
86.939,37,87.358,37,86.884,37,87.096,37,87.358,37,86.967,37,87.624,1,True
88.326,38,88.238,38,88.404,38,87.799,38,87.461,38,87.354,38,87.899,1,True
84.841,39,84.93,39,84.868,39,85.919,39,84.8,39,85.335,39,84.93,1,True
86.432,40,87.654,40,86.507,40,86.919,40,87.658,40,87.271,40,88.217,1,True
84.081,41,84.852,41,84.092,41,85.064,41,84.106,41,85.327,41,84.828,1,True
85.021,42,85.209,42,85.021,42,80.398,42,84.973,42,80.398,42,85.209,1,True
86.533,43,87.69,43,86.383,43,86.293,43,87.513,43,87.738,43,87.316,1,True
86.081,44,86.08,44,85.95,44,87.491,44,85.927,44,86.957,44,86.075,1,True
88.626,45,88.434,45,88.41,45,88.24,45,88.408,45,88.577,45,88.475,1,True
85.798,46,86.69,46,86.834,46,76.023,46,88.901,46,75.89,46,87.62,1,True
88.454,47,89.397,47,88.819,47,88.61,47,89.256,47,88.444,47,89.045,1,True
87.995,48,87.188,48,88.018,48,88.139,48,87.188,48,87.137,48,87.053,1,True
85.991,49,85.443,49,86.046,49,85.445,49,85.443,49,85.481,49,86.007,1,True
