Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo DoorDash Score
0,78.821
1,86.264
2,75.017
3,80.224
4,82.194
5,80.781
6,81.066
7,77.68
8,82.614
9,78.688
10,83.846
11,81.598
12,80.509
13,82.957
14,80.565
15,83.341
16,81.612
17,75.515
18,76.075
19,80.753
20,78.605
21,78.379
22,78.546
23,81.012
24,78.966
25,78.595
26,79.466
27,79.629
28,77.45
29,81.681
30,82.502
31,81.118
32,81.712
33,81.375
34,81.664
35,81.132
36,81.013
37,80.06
38,81.684
39,80.239
40,80.45
41,80.145
42,78.264
43,81.873
44,83.518
45,83.117
46,76.163
47,81.944
48,83.836
49,80.608
50,79.262
51,83.239
52,79.909
53,81.771
54,82.034
55,81.263
56,81.365
57,78.67
58,84.538
59,81.555
60,81.765
61,81.744
62,81.009
63,82.007
64,82.521
65,81.248
66,83.34
67,82.251
68,84.72
69,81.028
70,80.807
71,80.815
72,79.625
73,81.154
74,80.84
75,83.036
76,79.225
77,80.626
78,81.29
79,82.477
80,78.387
81,82.499
82,83.105
83,83.812
84,80.829
85,80.391
86,78.434
87,82.379
88,82.718
89,79.483
90,81.48
91,80.755
92,82.168
93,79.375
94,79.413
95,84.106
96,76.448
97,82.282
98,80.615
99,81.867
100,85.225
101,80.932
102,82.383
103,80.785
104,80.322
105,81.165
106,82.858
107,79.514
108,83.206
109,83.224
110,82.354
111,81.693
112,80.862
113,81.431
114,84.846
115,82.352
116,79.552
117,83.124
118,81.695
119,82.536
120,81.879
121,80.495
122,80.527
123,82.646
124,82.635
125,82.148
126,80.003
127,81.907
128,80.804
129,81.758
130,80.566
131,80.117
132,82.543
133,81.982
134,81.836
135,79.513
136,84.673
137,83.377
138,83.773
139,82.103
140,80.507
141,81.533
142,83.454
143,78.609
144,76.108
145,83.538
146,79.22
147,82.615
148,79.069
149,82.243
150,81.118
151,78.961
152,81.768
153,83.843
154,75.686
155,81.726
156,81.818
157,82.916
158,82.882
159,84.118
160,81.721
161,82.583
162,82.093
163,81.958
164,80.974
165,81.194
166,76.859
167,81.642
168,82.165
169,81.126
170,81.606
171,80.979
172,78.849
173,77.017
174,79.809
175,81.506
176,77.068
177,82.464
178,76.276
179,75.411
180,81.825
181,80.648
182,76.721
183,79.393
184,83.645
185,84.085
186,81.092
187,82.86
188,80.575
189,78.211
190,83.232
191,81.799
192,83.161
193,84.508
194,83.995
195,83.534
196,81.401
197,82.556
198,83.411
199,75.057
200,82.373
201,82.809
202,79.366
203,80.413
204,83.019
205,81.56
206,85.245
207,82.59
208,80.407
209,81.633
210,82.355
211,84.074
212,82.941
213,82.644
214,83.288
215,81.57
216,80.76
217,81.53
218,82.94
219,81.828
220,81.422
221,81.423
222,81.768
223,79.577
224,80.992
225,79.5
226,81.567
227,80.35
228,83.877
229,81.381
230,81.545
231,83.44
232,80.429
233,82.256
234,80.216
235,78.275
236,78.721
237,82.125
238,83.014
239,80.186
240,80.608
241,80.88
242,81.496
243,80.197
244,82.844
245,80.081
246,80.302
247,80.758
248,79.818
249,81.37
250,81.896
251,83.508
252,83.222
253,79.99
254,78.772
255,80.517
256,81.193
257,82.147
258,82.137
259,79.725
0,84.52
1,84.083
2,84.537
3,81.486
4,83.734
5,81.926
6,81.405
7,75.19
8,84.163
9,81.467
10,81.824
11,80.3
12,84.827
13,83.694
14,82.035
15,82.123
16,83.398
17,83.405
18,83.72
19,75.188
20,83.476
21,80.309
22,84.727
23,84.327
24,81.899
25,82.928
26,84.861
27,81.249
28,82.851
29,83.123
30,82.874
31,82.694
32,83.587
33,83.66
34,84.059
