Unnamed: 0,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini DoorDash Score
0,80.01
1,84.544
2,77.795
3,80.143
4,82.074
5,81.7
6,81.974
7,81.859
8,81.918
9,83.918
10,84.191
11,80.341
12,81.152
13,83.65
14,80.282
15,82.742
16,81.069
17,81.073
18,80.838
19,82.679
20,78.729
21,81.969
22,81.111
23,81.937
24,79.862
25,84.609
26,80.6
27,82.807
28,77.45
29,81.667
30,83.816
31,81.031
32,81.969
33,82.089
34,82.528
35,81.672
36,80.459
37,79.802
38,82.716
39,78.5
40,79.699
41,78.732
42,82.068
43,81.982
44,81.868
45,82.868
46,81.192
47,82.172
48,83.798
49,80.989
50,79.186
51,83.236
52,79.909
53,81.673
54,80.906
55,81.136
56,81.489
57,80.454
58,84.472
59,80.237
60,81.414
61,81.397
62,81.498
63,82.165
64,82.305
65,81.244
66,83.829
67,83.362
68,82.507
69,81.101
70,80.904
71,80.742
72,79.475
73,80.91
74,80.661
75,83.037
76,79.225
77,79.922
78,81.908
79,81.968
80,80.777
81,82.829
82,83.148
83,84.507
84,80.911
85,80.126
86,80.412
87,82.576
88,82.391
89,79.494
90,81.526
91,81.132
92,81.909
93,79.525
94,82.169
95,83.61
96,79.338
97,80.828
98,80.527
99,82.933
100,83.421
101,80.395
102,82.561
103,83.189
104,81.02
105,80.966
106,83.434
107,83.771
108,83.206
109,83.276
110,82.401
111,81.324
112,81.201
113,81.304
114,84.102
115,82.413
116,79.776
117,83.124
118,81.894
119,82.561
120,82.335
121,80.19
122,80.634
123,83.061
124,84.118
125,81.807
126,79.654
127,81.807
128,81.039
129,80.949
130,81.239
131,81.369
132,82.554
133,82.036
134,81.801
135,79.672
136,84.276
137,83.696
138,83.584
139,82.185
140,80.443
141,81.139
142,83.812
143,82.957
144,80.28
145,83.504
146,79.541
147,82.391
148,78.701
149,82.067
150,80.594
151,83.519
152,82.206
153,83.869
154,82.697
155,82.667
156,81.737
157,83.154
158,82.211
159,83.34
160,81.462
161,82.831
162,82.895
163,80.802
164,79.653
165,81.277
166,79.895
167,81.732
168,82.045
169,81.441
170,82.822
171,80.188
172,79.171
173,81.211
174,80.132
175,80.828
176,82.501
177,81.014
178,80.571
179,80.073
180,81.783
181,81.368
182,82.482
183,82.117
184,82.063
185,83.834
186,81.274
187,84.114
188,82.403
189,78.011
190,83.554
191,81.942
192,83.434
193,82.931
194,83.823
195,82.575
196,82.235
197,82.101
198,84.734
199,79.78
200,82.17
201,82.27
202,81.095
203,80.764
204,81.601
205,84.787
206,85.695
207,82.564
208,79.367
209,82.054
210,82.484
211,83.523
212,82.877
213,84.289
214,83.151
215,81.037
216,82.024
217,82.838
218,82.692
219,82.214
220,81.829
221,81.266
222,80.97
223,82.619
224,81.1
225,79.789
226,82.03
227,80.811
228,82.58
229,83.91
230,81.891
231,81.623
232,79.889
233,82.228
234,80.305
235,79.282
236,78.958
237,82.25
238,82.598
239,76.645
240,80.602
241,80.937
242,81.195
243,82.07
244,79.79
245,80.303
246,80.033
247,80.057
248,78.648
249,82.237
250,82.939
251,82.048
252,83.498
253,79.818
254,79.142
255,80.362
256,81.389
257,81.323
258,82.885
259,78.76
0,84.737
1,84.095
2,84.489
3,81.463
4,84.064
5,84.756
6,81.119
7,80.841
8,83.953
9,82.07
10,82.159
11,81.518
12,84.595
13,81.928
14,81.641
15,81.884
16,83.224
17,84.473
18,82.468
19,83.306
20,82.929
21,85.816
22,84.879
23,84.395
24,82.585
25,82.898
26,84.761
27,74.665
28,82.392
29,82.866
30,82.439
31,82.636
32,82.019
33,84.42
34,84.006
35,83.992
36,83.303
37,83.949
38,84.618
39,83.836
40,83.178
41,80.671
42,84.164
43,84.614
44,85.118
45,84.281
46,85.23
47,83.544
48,83.678
49,85.06
50,80.043
51,83.238
52,82.341
53,82.038
54,82.278
55,81.012
56,83.237
57,81.837
58,83.83
59,81.633
60,84.124
61,81.694
62,82.76
63,82.926
64,81.895
65,83.09
66,83.755
67,83.191
68,82.236
69,83.765
70,83.225
71,82.804
72,82.126
73,82.45
74,83.948
75,83.158
76,79.584
77,77.714
78,85.195
79,81.175
80,81.636
81,83.654
82,81.546
83,73.599
84,81.074
85,80.627
86,83.574
87,82.48
88,85.522
89,84.182
90,76.296
91,82.423
92,84.114
93,83.837
94,75.457
95,80.542
96,83.276
97,82.311
98,83.842
99,85.1
100,77.916
101,83.408
102,79.753
103,82.829
104,83.29
105,80.867
106,81.781
107,83.028
108,81.755
109,79.817
110,84.817
111,84.087
112,81.633
113,82.362
114,82.047
115,81.141
116,81.621
117,84.201
118,83.661
119,80.334
120,81.196
121,81.803
122,82.561
123,84.093
124,84.579
125,83.39
126,79.283
127,77.811
128,81.052
129,80.303
130,83.161
131,79.955
132,83.49
133,82.738
134,82.903
135,83.502
136,84.373
137,83.435
138,84.847
139,82.732
140,81.526
141,79.179
142,83.088
143,81.186
144,82.505
145,81.605
146,82.976
147,80.759
148,80.708
149,81.056
150,82.753
151,84.104
152,82.444
153,84.074
154,81.838
155,81.666
156,80.657
157,81.352
158,82.991
159,85.296
160,79.682
