Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o DoorDash Score
0,80.017
1,85.769
2,80.552
3,81.13
4,76.651
5,81.572
6,81.438
7,83.265
8,80.981
9,78.917
10,84.772
11,80.649
12,81.52
13,83.941
14,80.127
15,82.899
16,81.465
17,80.901
18,81.976
19,78.617
20,76.905
21,76.912
22,82.205
23,82.99
24,79.538
25,85.745
26,77.116
27,82.64
28,81.535
29,82.055
30,83.827
31,81.844
32,84.775
33,82.6
34,82.24
35,81.015
36,81.706
37,79.896
38,82.431
39,79.069
40,81.117
41,78.57
42,82.04
43,83.089
44,80.741
45,82.382
46,83.307
47,82.306
48,82.71
49,80.244
50,80.483
51,83.423
52,81.537
53,83.835
54,80.877
55,83.539
56,82.557
57,81.355
58,83.957
59,80.433
60,81.742
61,83.047
62,81.675
63,83.065
64,81.399
65,82.173
66,83.747
67,84.471
68,83.463
69,81.578
70,80.956
71,81.877
72,79.54
73,80.932
74,82.337
75,82.281
76,80.606
77,79.822
78,84.527
79,80.971
80,81.01
81,83.585
82,82.833
83,84.055
84,80.452
85,80.118
86,77.982
87,82.278
88,82.15
89,80.526
90,81.526
91,83.206
92,81.648
93,78.141
94,82.569
95,84.12
96,79.403
97,81.27
98,80.096
99,81.631
100,83.613
101,80.999
102,82.864
103,82.053
104,83.422
105,80.291
106,82.714
107,81.063
108,84.067
109,83.69
110,82.094
111,81.421
112,81.593
113,80.51
114,84.013
115,83.533
116,82.883
117,83.16
118,81.672
119,82.91
120,81.627
121,80.374
122,80.56
123,83.9
124,82.499
125,83.686
126,82.355
127,81.598
128,81.197
129,81.376
130,83.442
131,83.019
132,82.471
133,80.498
134,81.243
135,81.032
136,84.726
137,83.671
138,83.056
139,81.36
140,80.834
141,83.5
142,82.997
143,81.729
144,80.049
145,82.604
146,79.394
147,83.124
148,83.42
149,81.736
150,83.267
151,83.597
152,81.929
153,83.444
154,81.422
155,82.408
156,81.897
157,82.741
158,82.48
159,83.075
160,82.141
161,83.799
162,81.57
163,81.187
164,82.991
165,82.664
166,81.398
167,81.44
168,82.155
169,78.189
170,78.08
171,78.329
172,79.537
173,81.529
174,81.133
175,81.305
176,82.501
177,77.475
178,79.481
179,82.281
180,81.794
181,81.8
182,76.922
183,78.449
184,81.656
185,84.006
186,81.678
187,85.002
188,82.685
189,78.948
190,79.371
191,79.617
192,83.055
193,82.785
194,83.95
195,81.995
196,81.899
197,83.457
198,83.582
199,79.731
200,77.661
201,84.17
202,82.967
203,80.725
204,82.032
205,84.299
206,85.063
207,82.692
208,80.672
209,81.832
210,82.494
211,84.728
212,83.206
213,82.394
214,82.961
215,82.182
216,82.35
217,82.956
218,82.515
219,82.796
220,76.766
221,81.43
222,82.559
223,82.324
224,80.567
225,83.914
226,81.18
227,80.246
228,83.161
229,83.1
230,81.119
231,81.298
232,80.858
233,82.394
234,79.962
235,78.718
236,80.172
237,81.291
238,82.628
239,76.447
240,80.336
241,81.314
242,83.347
243,81.424
244,80.06
245,81.059
246,81.594
247,81.74
248,80.698
249,81.841
250,83.352
251,82.73
252,82.511
253,79.883
254,79.615
255,80.808
256,81.501
257,83.897
258,82.403
259,82.138
0,84.504
1,84.775
2,84.533
3,81.952
4,83.583
5,83.836
6,81.419
7,80.542
8,83.65
9,81.965
10,83.066
11,81.194
12,84.671
13,82.041
14,81.966
15,81.374
16,85.066
17,84.562
18,82.888
19,84.728
20,83.017
21,85.334
22,84.98
23,84.178
24,82.246
25,82.458
26,84.544
27,78.412
28,82.85
29,82.936
30,82.596
31,82.708
32,84.243
33,84.286
34,82.995
35,83.767
36,83.294
37,84.09
38,85.018
39,84.998
40,83.395
41,80.119
42,84.59
43,85.161
44,84.704
45,84.655
46,85.721
47,83.817
48,83.176
49,84.945
50,81.725
51,83.144
52,84.398
53,78.938
54,83.058
55,81.247
56,82.25
57,82.801
58,84.258
59,81.5
60,84.16
61,80.717
62,83.143
63,84.196
64,82.379
65,83.385
66,84.141
67,83.004
68,82.586
69,83.093
70,83.587
71,83.044
72,82.618
73,82.773
74,83.287
75,83.602
76,78.375
77,77.369
78,85.354
79,81.985
80,81.673
81,83.124
82,83.596
83,78.633
84,81.046
85,82.273
86,82.761
87,82.534
88,83.722
89,84.912
90,76.474
91,82.966
92,81.125
93,82.083
94,81.342
95,80.65
96,82.948
97,83.274
98,83.752
99,85.193
100,76.959
101,84.723
102,79.596
103,82.801
104,82.73
105,81.226
106,82.109
107,82.888
108,81.217
109,79.878
110,83.311
111,84.166
112,82.036
113,81.487
114,81.775
115,79.913
116,81.975
117,81.78
118,83.407
119,80.845
120,81.088
121,81.756
122,82.076
123,83.114
124,86.57
125,83.304
126,82.083
127,79.057
128,82.993
129,81.295
130,83.472
131,78.526
132,83.472
133,82.51
134,82.23
135,83.889
136,84.639
137,83.799
138,84.709
139,84.394
140,81.598
141,78.881
142,83.079
143,81.469
144,83.834
145,80.839
146,82.744
147,82.942
148,81.003
149,80.563
150,83.059
151,83.652
152,83.484
153,83.73
154,81.053
155,82.673
156,81.859
157,82.645
158,83.208
159,84.937
160,79.581
161,82.646
162,82.058
163,84.322
164,82.496
165,82.7
166,85.303
167,84.426
168,84.168
169,83.209
170,84.139
171,81.568
172,78.97
173,80.469
174,81.457
175,81.199
176,83.142
177,81.79
178,83.559
179,82.098
180,84.469
181,82.514
182,85.592
183,85.553
184,82.635
185,79.761
186,82.77
187,83.616
188,82.047
189,82.999
190,81.686
191,83.696
192,84.623
193,83.467
194,80.382
195,83.471
196,82.868
197,81.453
198,80.804
199,81.84
200,82.836
201,85.246
202,81.919
203,82.049
204,81.652
205,83.221
206,82.4
207,82.419
208,80.831
209,82.956
210,83.954
211,79.689
212,82.921
213,84.87
214,84.061
215,82.03
216,83.291
217,81.306
218,82.043
219,79.513
220,84.656
221,82.704
222,82.125
223,84.741
224,82.704
225,81.035
226,84.193
227,81.767
228,84.928
229,80.711
230,83.226
231,80.954
232,83.194
233,83.534
234,81.702
235,78.051
236,80.747
237,83.116
238,83.035
239,82.414
240,82.138
241,82.395
242,81.889
243,77.799
244,80.322
245,81.338
246,80.842
247,80.629
248,80.972
249,82.745
250,83.967
251,83.678
252,82.668
253,81.141
254,81.585
255,83.93
256,82.761
257,82.787
258,80.545
259,83.604
