Unnamed: 0,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o DoorDash Score
0,80.082
1,85.769
2,79.933
3,80.214
4,76.924
5,81.598
6,81.755
7,82.067
8,80.981
9,78.867
10,84.772
11,81.168
12,81.443
13,84.186
14,80.335
15,82.899
16,81.479
17,80.901
18,81.958
19,78.216
20,76.802
21,76.267
22,82.205
23,82.454
24,79.538
25,85.69
26,77.306
27,82.614
28,81.024
29,82.051
30,83.827
31,82.479
32,84.676
33,82.381
34,82.538
35,81.015
36,81.531
37,79.896
38,82.495
39,79.152
40,81.148
41,79.25
42,82.069
43,83.244
44,80.786
45,82.438
46,80.801
47,82.698
48,82.71
49,80.244
50,79.676
51,83.174
52,81.259
53,83.582
54,80.906
55,83.931
56,83.49
57,82.054
58,83.659
59,80.27
60,81.803
61,83.047
62,81.397
63,83.046
64,82.097
65,82.173
66,83.747
67,84.544
68,83.282
69,81.692
70,81.008
71,81.877
72,79.54
73,80.932
74,80.578
75,82.281
76,80.606
77,80.092
78,83.166
79,80.971
80,81.141
81,83.649
82,82.833
83,84.187
84,80.625
85,80.074
86,79.449
87,82.695
88,81.69
89,78.758
90,81.471
91,83.193
92,81.788
93,78.348
94,82.569
95,85.345
96,79.403
97,81.486
98,80.093
99,81.631
100,83.421
101,80.395
102,82.619
103,82.191
104,83.422
105,80.943
106,82.714
107,80.255
108,84.067
109,83.454
110,82.094
111,81.421
112,81.593
113,80.49
114,84.013
115,82.979
116,82.883
117,83.124
118,81.998
119,82.552
120,81.356
121,80.353
122,80.56
123,83.101
124,82.499
125,83.865
126,82.355
127,81.598
128,81.21
129,81.401
130,78.965
131,81.411
132,82.455
133,80.498
134,81.212
135,79.81
136,84.726
137,83.619
138,83.134
139,82.008
140,80.744
141,83.5
142,84.037
143,82.093
144,80.64
145,82.604
146,79.394
147,81.439
148,83.45
149,82.341
150,83.267
151,83.596
152,81.761
153,83.521
154,81.422
155,82.408
156,81.972
157,82.55
158,83.093
159,83.279
160,82.141
161,83.799
162,81.465
163,81.012
164,83.135
165,82.445
166,80.787
167,81.431
168,82.155
169,78.189
170,78.56
171,78.974
172,79.239
173,80.501
174,81.133
175,81.305
176,82.501
177,77.277
178,80.03
179,82.281
180,81.954
181,81.96
182,77.274
183,78.709
184,81.921
185,84.072
186,81.614
187,85.994
188,82.685
189,78.968
190,83.678
191,80.04
192,82.995
193,82.699
194,83.95
195,82.179
196,82.545
197,83.448
198,83.582
199,79.547
200,78.382
201,84.289
202,82.995
203,80.686
204,81.838
205,84.299
206,85.063
207,82.692
208,80.384
209,81.909
210,82.507
211,84.743
212,82.857
213,82.474
214,83.084
215,82.273
216,82.493
217,82.956
218,81.646
219,82.048
220,76.713
221,81.463
222,82.85
223,82.324
224,80.844
225,84.088
226,81.341
227,80.319
228,83.161
229,83.006
230,81.737
231,81.176
232,80.894
233,82.394
234,80.063
235,78.83
236,80.327
237,81.291
238,83.396
239,76.418
