Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o DoorDash Score
0,78.922
1,85.789
2,74.633
3,80.146
4,82.149
5,80.84
6,80.23
7,77.587
8,82.336
9,78.562
10,83.73
11,81.744
12,81.566
13,84.051
14,80.244
15,83.431
16,81.542
17,80.848
18,74.972
19,80.712
20,76.827
21,78.54
22,82.433
23,80.555
24,79.912
25,79.394
26,77.775
27,79.281
28,81.755
29,81.066
30,82.395
31,83.619
32,81.706
33,81.282
34,81.602
35,81.247
36,80.998
37,79.968
38,81.287
39,79.525
40,80.727
41,80.417
42,78.264
43,83.204
44,83.093
45,83.533
46,75.728
47,81.728
48,83.01
49,80.704
50,79.838
51,83.193
52,80.425
53,81.357
54,82.049
55,81.285
56,82.698
57,80.81
58,84.297
59,80.821
60,82.01
61,82.277
62,82.61
63,82.335
64,82.388
65,81.689
66,83.262
67,84.032
68,84.628
69,81.136
70,80.807
71,83.177
72,79.357
73,81.225
74,80.529
75,82.932
76,81.148
77,80.625
78,84.016
79,82.161
80,77.285
81,82.387
82,83.057
83,83.708
84,80.665
85,79.933
86,78.344
87,82.285
88,82.941
89,79.235
90,81.396
91,80.974
92,82.102
93,79.513
94,79.965
95,83.503
96,76.187
97,82.082
98,80.076
99,81.905
100,85.282
101,81.081
102,82.807
103,81.259
104,84.159
105,80.81
106,83.969
107,76.342
108,83.934
109,83.327
110,82.827
111,81.675
112,80.862
113,81.155
114,83.849
115,81.741
116,82.692
117,83.185
118,81.508
119,83.314
120,81.214
121,81.381
122,80.504
123,83.094
124,82.638
125,82.728
126,79.289
127,82.578
128,80.657
129,81.575
130,80.886
131,80.164
132,82.202
133,81.637
134,81.256
135,81.417
136,84.705
137,83.155
138,83.773
139,81.763
140,81.431
141,81.607
142,83.84
143,82.029
144,76.004
145,83.564
146,80.112
147,82.574
148,82.649
149,82.265
150,81.085
151,83.201
152,80.941
153,83.86
154,76.17
155,81.787
156,81.765
157,82.28
158,82.541
159,82.681
160,82.141
161,82.583
162,82.438
163,82.003
164,81.866
165,83.744
166,75.971
167,81.49
168,82.139
169,81.097
170,84.193
171,79.227
172,79.626
173,77.065
174,80.027
175,81.352
176,77.068
177,82.283
178,75.059
179,77.311
180,81.703
181,80.606
182,77.405
183,82.931
184,83.457
185,84.067
186,81.795
187,82.899
188,79.774
189,78.412
190,82.687
191,81.83
192,82.439
193,83.977
194,83.995
195,81.649
196,81.252
197,83.033
198,84.429
199,75.659
200,82.254
201,83.828
202,79.614
203,80.756
204,82.5
205,81.787
206,85.124
207,82.436
208,80.369
209,81.823
210,83.365
211,84.346
212,82.731
213,82.758
214,82.802
215,82.703
216,80.806
217,81.279
218,82.745
219,82.309
220,81.269
221,81.357
222,81.887
223,80.055
224,80.98
225,83.557
226,81.485
227,80.169
228,84.029
229,81.518
230,82.486
231,83.3
232,80.974
233,81.611
234,79.852
235,78.03
236,78.621
237,81.728
238,83.389
239,80.466
240,80.442
241,81.359
242,81.432
243,80.362
244,83.7
245,79.84
246,80.23
247,80.758
248,79.11
249,81.34
250,81.924
251,83.497
252,83.316
253,79.541
254,78.775
255,80.857
256,81.439
257,82.21
258,81.29
259,80.178
0,83.814
1,83.747
2,84.418
3,81.645
4,83.492
5,82.361
6,81.341
7,74.948
8,84.05
9,81.646
10,81.377
11,80.73
12,84.587
13,83.765
14,82.152
15,81.949
16,83.312
17,83.321
18,83.809
19,74.809
20,84.312
21,80.379
22,84.934
23,84.215
24,81.726
25,82.548
26,85.034
27,77.035
28,82.572
29,83.6
30,82.372
31,82.286
32,83.872
33,83.63
34,83.255
35,82.032
36,82.654
37,85.18
38,84.739
39,85.212
40,82.849
41,80.046
42,84.462
43,84.636
44,85.403
45,84.885
46,81.638
47,83.723
48,82.074
49,85.289
50,81.526
51,82.451
52,82.795
53,83.976
54,82.319
55,81.261
56,83.043
57,81.253
58,79.229
59,81.608
60,83.564
61,79.197
62,79.178
63,83.279
64,83.25
65,82.905
66,78.107
67,83.226
68,81.641
69,82.406
70,83.225
71,82.338
72,78.825
73,83.951
74,79.617
75,83.595
76,77.042
77,79.135
78,76.39
79,81.68
80,81.744
81,78.482
82,81.019
83,79.711
84,81.929
85,82.136
86,81.816
87,80.265
88,84.216
89,83.562
90,75.936
91,81.748
92,79.152
93,82.752
94,75.038
95,80.65
96,82.825
97,82.859
98,83.274
99,80.72
100,80.172
101,84.177
102,80.116
103,82.31
104,83.14
105,80.388
106,82.244
107,81.879
108,81.399
109,79.456
110,85.272
111,84.051
112,82.139
113,81.604
114,83.879
115,80.981
116,79.809
117,82.699
118,81.94
119,83.58
120,80.824
121,82.129
122,81.248
123,82.936
124,85.831
125,79.251
126,78.041
127,80.243
128,82.931
129,80.71
130,83.033
131,78.648
132,84.08
133,83.037
134,81.995
135,83.386
136,83.352
137,83.844
138,83.962
139,84.533
140,81.223
141,79.179
142,83.769
143,81.518
144,82.982
145,81.591
146,82.602
147,82.283
148,81.512
149,79.366
150,82.567
151,83.187
152,81.662
153,83.091
154,80.589
155,82.051
156,82.089
157,82.908
158,82.765
159,84.876
160,78.473
161,81.958
162,82.215
163,81.49
164,82.221
165,82.552
166,83.664
167,84.438
168,82.987
169,81.483
170,84.122
171,81.628
172,79.034
173,76.342
174,82.529
175,80.298
176,83.413
177,81.533
178,84.093
179,81.863
180,83.828
181,82.391
182,81.137
183,85.515
184,82.897
185,76.831
186,80.932
187,83.728
188,82.449
189,83.016
190,82.52
191,83.825
192,84.861
193,81.322
194,79.954
195,82.029
196,82.323
197,79.067
198,81.214
199,77.194
200,83.713
201,82.048
202,82.882
203,82.72
204,82.198
205,81.923
206,81.247
207,81.173
208,80.831
209,82.744
210,83.596
211,79.838
212,83.271
213,84.205
214,83.664
215,82.936
216,83.357
217,81.123
218,81.189
219,80.044
220,84.581
221,82.399
