Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o DoorDash Score
0,80.271
1,84.756
2,81.363
3,80.507
4,81.281
5,81.175
6,82.211
7,83.106
8,81.161
9,83.979
10,84.86
11,82.584
12,81.431
13,83.657
14,80.231
15,83.128
16,81.661
17,80.587
18,80.91
19,82.256
20,79.187
21,82.071
22,83.036
23,81.625
24,81.279
25,86.682
26,80.708
27,82.654
28,81.669
29,81.565
30,83.816
31,82.376
32,81.711
33,82.414
34,81.829
35,81.695
36,81.188
37,80.322
38,82.523
39,79.152
40,81.515
41,79.134
42,82.069
43,82.676
44,82.198
45,82.661
46,82.539
47,82.306
48,82.998
49,80.996
50,79.186
51,83.412
52,81.222
53,83.189
54,80.673
55,83.239
56,81.451
57,82.031
58,84.234
59,80.495
60,81.434
61,81.397
62,81.997
63,82.286
64,81.523
65,81.773
66,84.047
67,83.04
68,84.719
69,81.429
70,81.008
71,81.61
72,79.228
73,80.983
74,80.621
75,81.967
76,79.599
77,79.991
78,81.731
79,81.968
80,83.141
81,83.748
82,83.223
83,83.178
84,80.693
85,80.171
86,80.172
87,83.109
88,81.704
89,79.364
90,81.122
91,82.079
92,82.047
93,78.477
94,82.107
95,85.494
96,79.191
97,82.114
98,79.905
99,82.063
100,82.909
101,80.487
102,82.463
103,82.128
104,80.92
105,81.274
106,83.813
107,81.504
108,84.028
109,83.913
110,81.955
111,81.299
112,81.593
113,80.37
114,84.102
115,82.33
116,82.774
117,83.16
118,82.091
119,83.06
120,81.702
121,80.881
122,80.576
123,84.161
124,84.044
125,83.849
126,81.951
127,81.037
128,80.776
129,81.48
130,80.692
131,81.411
132,82.393
133,80.39
134,81.759
135,80.785
136,84.765
137,83.51
138,82.215
139,81.603
140,81.57
141,81.328
142,83.337
143,82.548
144,80.804
145,83.348
146,79.209
147,82.841
148,78.595
149,81.402
150,81.637
151,84.966
152,81.755
153,83.783
154,82.697
155,82.778
156,82.024
157,83.224
158,83.683
159,82.177
160,82.141
161,82.324
162,84.008
163,81.081
164,80.517
165,81.489
166,80.918
167,81.603
168,82.051
169,81.244
170,81.368
171,79.038
172,79.477
173,80.574
174,80.379
175,81.147
176,84.381
177,76.921
178,81.309
179,79.622
180,81.519
181,81.133
182,82.857
183,82.288
184,83.222
185,83.079
186,81.86
187,84.735
188,82.357
189,79.153
190,83.574
191,82.651
192,82.659
193,83.464
194,83.784
195,81.901
196,81.9
197,82.808
198,84.185
199,79.78
200,82.843
201,82.199
202,81.14
203,81.024
204,82.116
205,83.753
206,85.787
207,81.379
208,80.221
209,82.396
210,83.365
211,84.606
212,83.244
213,83.242
214,82.923
215,82.273
216,81.262
217,83.418
218,82.964
219,82.52
220,83.265
221,81.393
222,81.925
223,82.682
224,81.431
225,84.144
226,82.03
227,80.232
228,83.451
229,83.515
230,82.047
231,81.008
232,82.678
233,82.394
234,79.989
235,78.661
236,81.597
237,81.781
238,83.914
239,76.496
240,80.442
241,80.871
242,82.244
243,82.377
244,80.026
245,81.11
246,82.159
247,81.813
248,78.953
249,82.154
250,82.993
251,82.449
252,82.911
253,79.692
254,79.763
255,80.796
256,81.855
257,82.582
258,82.572
259,79.462
0,84.451
1,85.275
2,84.714
3,82.368
4,83.755
5,83.985
6,81.288
7,80.852
8,83.709
9,82.234
10,82.446
11,81.171
12,84.595
13,81.945
14,81.856
15,82.314
16,82.605
17,83.867
18,82.102
19,82.45
20,83.876
21,85.224
22,85.108
23,84.232
24,82.697
25,82.759
26,84.102
27,74.665
28,84.047
29,82.547
30,82.541
31,82.426
32,82.113
33,84.028
34,83.538
35,84.015
36,82.805
37,83.3
38,84.426
39,83.827
40,83.108
41,80.579
42,84.652
43,84.773
44,84.813
45,85.272
46,85.736
47,83.608
48,83.258
49,84.978
50,80.514
51,83.085
52,82.27
53,82.524
54,82.345
55,81.35
56,82.583
57,81.399
58,83.966
59,81.992
60,83.75
61,80.839
62,78.126
63,83.859
64,81.87
65,83.593
66,83.851
67,82.984
68,82.978
69,83.91
70,83.225
71,82.804
72,82.28
73,82.055
74,83.235
75,83.68
76,79.917
77,77.54
78,84.302
79,81.175
80,81.716
81,82.994
82,81.558
83,78.633
84,81.374
85,82.418
86,82.706
87,82.545
88,85.563
89,84.182
90,76.358
91,81.891
92,84.274
93,83.837
94,76.112
95,80.65
96,83.39
97,82.431
98,83.425
99,84.2
100,79.87
101,83.408
102,79.843
103,82.69
104,82.48
105,81.565
106,81.908
107,82.615
108,81.112
109,79.719
110,83.538
111,84.204
112,82.072
113,81.767
114,82.222
115,79.755
116,80.652
117,82.729
118,83.36
119,82.734
120,81.277
121,81.851
122,82.401
123,83.52
124,85.851
125,81.493
126,80.821
127,78.443
128,82.468
129,80.545
130,82.864
131,79.314
132,83.707
133,82.908
134,82.828
135,83.592
136,85.339
137,83.714
138,84.941
139,82.9
140,81.84
141,79.19
142,82.935
143,81.248
144,83.953
145,81.464
146,82.726
147,82.523
148,81.084
149,80.949
150,82.858
151,83.871
152,82.271
153,83.732
154,81.275
155,82.031
156,81.692
157,82.495
158,82.612
159,85.004
160,79.229
161,83.528
162,81.923
163,82.281
164,82.413
165,82.305
166,85.822
167,84.465
168,83.022
169,85.133
170,84.574
171,81.945
172,79.234
173,77.67
174,81.601
175,82.419
176,83.284
177,81.792
178,83.829
179,82.056
180,84.659
181,81.36
182,86.31
183,85.557
184,82.816
185,78.037
186,83.286
187,83.583
188,81.607
189,83.235
190,82.68
191,84.234
192,85.69
193,81.505
194,84.181
195,83.418
196,83.206
197,81.419
198,80.833
199,81.591
200,82.699
201,82.53
202,81.489
203,81.967
204,81.669
205,83.642
206,81.778
207,82.318
208,81.432
209,83.921
210,83.915
211,79.365
212,82.256
213,84.439
214,83.455
215,82.065
216,82.957
217,81.995
218,81.763
219,79.817
220,84.71
221,82.544
222,82.075
223,83.935
224,82.696
225,80.747
226,84.595
227,83.758
228,85.228
229,81.326
230,82.413
231,80.954
232,83.392
233,81.932
234,81.113
235,76.342
236,80.812
237,84.304
238,85.16
239,83.006
240,81.181
241,81.647
242,81.471
243,78.561
244,80.999
245,80.666
246,80.852
247,81.246
248,80.143
249,83.018
250,82.825
251,82.999
252,83.683
253,81.447
254,81.538
255,83.946
256,82.789
257,82.409
258,80.563
259,83.556
