Unnamed: 0,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini Google Score
0,84.846
1,88.866
2,83.754
3,84.407
4,87.269
5,85.469
6,86.809
7,87.571
8,87.196
9,86.873
10,87.492
11,82.334
12,85.549
13,86.731
14,84.839
15,88.959
16,87.113
17,84.634
18,85.513
19,87.814
20,85.949
21,86.693
22,86.894
23,86.916
24,83.444
25,90.156
26,84.932
27,88.021
28,81.372
29,84.377
30,88.216
31,85.738
32,86.398
33,85.15
34,88.827
35,86.773
36,85.129
37,86.884
38,88.404
39,84.868
40,86.507
41,84.092
42,85.021
43,86.383
44,85.95
45,88.41
46,86.834
47,88.819
48,88.018
49,86.046
50,85.116
51,87.759
52,83.995
53,87.231
54,85.133
55,86.533
56,86.909
57,85.371
58,86.789
59,85.832
60,88.139
61,85.879
62,85.848
63,87.357
64,88.406
65,85.823
66,86.724
67,84.607
68,88.149
69,86.763
70,82.283
71,84.37
72,85.14
73,86.204
74,87.324
75,87.582
76,85.872
77,85.787
78,85.857
79,87.413
80,85.277
81,85.237
82,87.036
83,90.333
84,84.913
85,84.963
86,86.296
87,87.412
88,87.822
89,83.193
90,84.766
91,86.558
92,86.971
93,84.681
94,87.395
95,86.294
96,86.079
97,87.064
98,85.928
99,88.234
100,89.341
101,82.904
102,87.25
103,88.104
104,86.491
105,86.021
106,88.394
107,84.759
108,88.559
109,88.832
110,87.835
111,82.731
112,84.173
113,84.847
114,88.001
115,87.538
116,84.383
117,87.22
118,87.906
119,88.427
120,89.243
121,85.478
122,84.833
123,87.089
124,88.406
125,87.096
126,84.762
127,86.482
128,83.488
129,84.257
130,87.023
131,87.328
132,88.859
133,86.509
134,85.434
135,84.665
136,87.343
137,87.222
138,87.811
139,86.784
140,85.478
141,85.859
142,87.439
143,87.918
144,84.144
145,86.511
146,82.873
147,85.02
148,81.805
149,85.132
150,85.234
151,86.576
152,85.614
153,86.679
154,87.415
155,86.604
156,86.444
157,87.538
158,85.44
159,85.611
160,86.816
161,85.777
162,88.039
163,84.861
164,86.808
165,87.279
166,85.571
167,85.819
168,84.667
169,85.359
170,88.604
171,84.638
172,83.983
173,87.139
174,85.907
175,87.079
176,87.606
177,86.473
178,86.349
179,86.124
180,85.331
181,83.741
182,86.95
183,88.438
184,87.856
185,86.782
186,86.288
187,87.833
188,83.766
189,83.701
190,87.004
191,86.613
192,86.282
193,87.789
194,86.859
195,88.245
196,86.998
197,85.753
198,88.946
199,83.161
200,87.306
201,85.02
202,86.151
203,86.995
204,87.633
205,88.614
206,88.62
207,88.342
208,84.259
209,86.148
210,84.512
211,85.615
212,88.166
213,89.468
214,86.51
215,84.801
216,87.138
217,87.055
218,88.722
219,87.285
220,86.378
221,86.099
222,81.85
223,85.346
224,85.171
225,84.493
226,85.834
227,85.954
228,83.714
229,89.784
230,87.787
231,86.034
232,84.94
233,85.879
234,83.886
235,84.199
236,83.484
237,87.236
238,86.174
239,82.077
240,86.674
241,87.147
242,86.74
243,86.067
244,86.523
245,86.197
246,85.497
247,86.432
248,83.778
249,86.732
250,88.184
251,86.76
252,86.372
253,84.934
254,85.357
255,85.275
256,87.136
257,85.011
258,88.321
259,82.532
0,87.857
1,85.317
2,84.818
3,82.528
4,87.816
5,85.985
6,82.862
7,82.861
8,85.11
9,83.593
10,85.503
11,82.861
12,86.042
13,82.788
14,83.078
15,83.255
16,85.526
17,86.002
18,83.488
19,84.939
20,84.049
21,87.528
22,86.724
23,86.502
24,84.193
25,85.603
26,88.988
27,76.828
28,86.303
29,83.622
30,85.887
31,83.024
32,85.234
33,85.789
34,85.416
35,82.769
36,84.797
37,85.908
38,87.027
39,85.97
40,85.627
41,82.559
42,85.923
43,86.412
44,87.638
45,84.988
46,86.562
47,85.915
48,84.864
49,84.46
50,80.562
