Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o Google Score
0,83.617
1,90.126
2,80.891
3,84.3
4,86.862
5,85.424
6,85.203
7,83.35
8,88.05
9,82.19
10,88.279
11,83.423
12,86.6
13,87.198
14,84.618
15,90.159
16,87.503
17,85.209
18,79.427
19,87.096
20,83.869
21,83.801
22,88.282
23,86.339
24,83.044
25,85.216
26,81.922
27,84.695
28,84.669
29,83.929
30,87.948
31,87.386
32,86.543
33,85.104
34,87.86
35,86.077
36,85.622
37,86.967
38,87.354
39,85.335
40,87.271
41,85.327
42,80.398
43,87.738
44,86.957
45,88.577
46,75.89
47,88.444
48,87.137
49,85.481
50,85.618
51,87.605
52,84.475
53,86.628
54,86.729
55,86.781
56,87.404
57,86.148
58,87.506
59,86.626
60,88.703
61,86.864
62,87.405
63,87.326
64,88.665
65,86.181
66,86.67
67,85.404
68,90.325
69,86.259
70,82.543
71,86.785
72,84.733
73,86.932
74,87.076
75,87.311
76,88.788
77,86.0
78,88.685
79,87.342
80,83.14
81,85.072
82,87.51
83,89.535
84,84.931
85,84.683
86,83.573
87,86.719
88,88.6
89,83.983
90,84.634
91,86.946
92,86.658
93,84.614
94,84.407
95,86.977
96,82.062
97,87.953
98,85.742
99,88.133
100,90.967
101,83.861
102,87.784
103,87.061
104,89.721
105,86.288
106,88.937
107,78.279
108,89.265
109,88.776
110,89.124
111,83.497
112,83.622
113,84.905
114,88.375
115,86.889
116,88.554
117,87.346
118,87.743
119,89.369
120,88.723
121,86.929
122,83.655
123,87.496
124,88.033
125,89.129
126,85.351
127,86.734
128,82.668
129,84.661
130,86.06
131,86.789
132,87.557
133,86.571
134,85.146
135,86.948
136,87.428
137,87.987
138,88.41
139,86.371
140,87.0
141,85.929
142,87.28
143,86.932
144,80.707
145,87.528
146,83.803
147,85.306
148,87.343
149,85.172
150,85.802
151,86.913
152,84.475
153,86.52
154,80.804
155,85.691
156,86.536
157,86.692
158,86.109
159,85.285
160,87.516
161,85.886
162,87.928
163,86.006
164,88.622
165,89.718
166,82.786
167,86.065
168,84.943
169,85.262
170,88.088
171,84.192
172,84.239
173,82.752
174,86.397
175,87.424
176,82.993
177,86.872
178,81.359
179,82.555
180,84.833
181,83.109
182,81.932
183,89.233
184,88.917
185,87.586
186,86.018
187,87.802
188,81.002
189,83.864
190,87.189
191,87.437
192,85.131
193,89.895
194,86.806
195,87.096
196,86.664
197,87.064
198,89.096
199,79.635
200,88.896
201,86.133
202,82.63
203,86.811
204,88.118
205,85.66
206,87.901
207,88.451
208,85.437
209,87.76
210,85.687
211,86.533
212,88.575
213,89.308
214,86.494
215,86.498
216,86.731
217,86.386
218,88.617
219,87.577
220,86.744
221,86.499
222,81.699
223,81.561
224,85.276
225,87.448
226,85.288
227,86.511
228,85.411
229,88.052
230,88.757
231,87.622
232,86.361
233,85.354
234,83.964
235,83.568
236,83.327
237,88.077
238,87.123
239,86.249
240,87.102
241,87.637
242,86.937
243,85.009
244,89.833
245,85.554
246,85.476
247,86.94
248,84.428
249,86.671
250,87.432
251,86.94
252,86.262
253,84.512
254,85.335
255,86.213
256,87.551
257,84.386
258,86.638
259,84.715
0,86.694
1,84.797
2,85.036
3,84.11
4,87.391
5,82.642
6,82.678
7,76.993
