Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o Google Score
0,84.872
1,89.085
2,86.981
3,84.38
4,86.267
5,85.73
6,86.729
7,89.119
8,86.799
9,86.791
10,88.913
11,84.645
12,85.747
13,86.791
14,84.765
15,88.711
16,87.08
17,84.32
18,85.516
19,87.38
20,86.099
21,86.885
22,88.492
23,87.027
24,85.371
25,91.044
26,84.876
27,88.374
28,84.695
29,84.492
30,88.216
31,86.777
32,86.226
33,85.383
34,88.208
35,87.23
36,85.99
37,87.624
38,87.899
39,84.93
40,88.217
41,84.828
42,85.209
43,87.316
44,86.075
45,88.475
46,87.62
47,89.045
48,87.053
49,86.007
50,85.116
51,87.715
52,85.824
53,88.315
54,84.955
55,88.446
56,86.97
57,87.138
58,87.32
59,86.088
60,88.135
61,85.879
62,87.363
63,87.369
64,87.813
65,86.288
66,87.567
67,83.887
68,89.584
69,86.995
70,82.52
71,85.205
72,85.103
73,86.237
74,87.086
75,86.921
76,86.424
77,85.924
78,86.081
79,87.413
80,88.762
81,86.966
82,86.91
83,89.417
84,85.368
85,85.3
86,85.902
87,87.609
88,88.056
89,84.393
90,84.334
91,87.821
92,86.711
93,83.554
94,86.956
95,88.828
96,86.016
97,87.861
98,85.635
99,88.085
100,87.872
101,82.85
102,87.009
103,88.224
104,87.841
105,86.729
106,88.804
107,83.816
108,89.263
109,88.839
110,87.809
111,82.674
112,84.187
113,84.818
114,88.001
115,87.865
116,87.612
117,87.337
118,88.241
119,88.389
120,89.394
121,85.726
122,84.682
123,88.697
124,88.334
125,88.992
126,88.658
127,85.984
128,82.624
129,84.976
130,86.332
131,87.371
132,88.62
133,85.411
134,85.619
135,86.627
136,87.49
137,87.294
138,86.971
139,86.479
140,86.966
141,85.785
142,86.902
143,87.884
144,85.049
145,86.344
146,82.63
147,85.571
148,82.019
149,84.488
150,86.897
151,88.146
152,85.451
153,86.381
154,87.415
155,86.678
156,86.918
157,88.774
158,88.8
159,84.89
160,87.516
161,85.344
162,89.092
163,85.629
164,87.578
165,87.797
166,86.922
167,86.265
168,84.702
169,85.107
170,87.734
171,84.151
172,83.813
173,85.785
174,86.87
175,87.007
176,90.402
177,83.058
178,86.869
179,86.272
180,84.813
181,83.307
182,86.452
183,88.476
184,88.8
185,86.875
186,86.813
187,88.051
188,83.917
189,85.002
190,87.039
191,87.148
192,86.114
193,88.107
194,86.798
195,87.156
196,86.824
197,87.223
198,88.724
199,83.161
200,88.163
201,84.801
202,86.252
203,86.885
204,88.051
205,88.057
206,88.544
207,87.269
208,85.946
209,87.084
210,85.687
211,86.775
212,88.122
213,89.588
214,86.527
215,85.899
216,87.108
217,87.311
218,89.059
219,88.066
220,88.466
221,86.518
222,83.926
223,85.365
224,85.371
225,87.25
226,85.834
227,86.256
228,84.915
229,89.219
230,88.053
231,85.326
232,87.58
233,85.996
234,83.903
235,83.909
236,86.367
237,87.819
238,87.894
239,81.922
240,87.102
241,86.871
242,88.509
243,87.552
244,86.941
245,87.097
246,88.11
247,87.661
248,84.087
249,86.434
250,87.955
251,86.977
252,87.05
253,85.001
254,86.104
255,86.007
256,87.796
257,85.978
258,88.001
259,83.852
0,87.661
1,86.124
2,85.262
3,84.11
4,87.728
5,85.299
6,82.949
7,84.901
8,84.354
9,84.644
10,85.886
11,81.794
12,86.042
13,82.585
14,84.543
15,83.647
16,85.289
17,85.456
18,83.708
19,84.972
20,84.728
21,87.195
22,87.161
23,86.422
24,84.16
25,85.59
