resume UIUX Score,Unnamed: 0,gpt_4o,Unnamed: 0,gpt_mini,Unnamed: 0,gpt_3.5,Unnamed: 0,gpt4o_twice,Unnamed: 0,4o_on_35,Unnamed: 0,4o_on_mini,True Label,Will Manipulate
81.074,1747,83.072,1747,81.159,1747,81.63,1747,82.731,1747,82.056,1747,81.671,1,True
81.528,1784,80.914,1784,81.934,1784,81.688,1784,80.713,1784,81.645,1784,82.131,1,True
81.63,2476,81.561,2476,82.156,2476,79.018,2476,81.561,2476,80.15,2476,82.318,1,True
77.629,2515,80.719,2515,80.161,2515,78.089,2515,80.978,2515,78.23,2515,80.27,1,True
75.679,2517,77.795,2517,81.564,2517,76.214,2517,77.457,2517,79.291,2517,80.201,1,True
79.02,2529,81.708,2529,81.309,2529,79.38,2529,82.308,2529,79.422,2529,81.996,1,True
78.58,2538,79.717,2538,80.464,2538,79.91,2538,80.066,2538,78.536,2538,80.211,1,True
81.233,2551,85.087,2551,83.241,2551,80.736,2551,84.98,2551,84.484,2551,83.447,1,True
76.937,2553,76.749,2553,79.537,2553,76.559,2553,76.553,2553,79.862,2553,79.958,1,True
85.506,2554,87.549,2554,86.247,2554,84.055,2554,87.004,2554,86.911,2554,86.597,1,True
80.068,2555,79.582,2555,78.935,2555,79.709,2555,79.406,2555,81.543,2555,79.418,1,True
76.015,2556,82.4,2556,81.721,2556,77.355,2556,82.366,2556,80.823,2556,81.873,1,True
78.27,2577,81.872,2577,82.15,2577,78.106,2577,81.579,2577,81.66,2577,82.434,1,True
79.983,2582,80.031,2582,79.391,2582,80.146,2582,80.353,2582,80.504,2582,81.427,1,True
77.33,2583,77.794,2583,80.385,2583,77.658,2583,79.412,2583,78.39,2583,81.005,1,True
79.056,2584,80.301,2584,82.874,2584,79.77,2584,80.544,2584,81.561,2584,81.673,1,True
78.581,2585,79.976,2585,80.896,2585,79.381,2585,80.953,2585,80.138,2585,80.75,1,True
78.483,2586,79.937,2586,80.328,2586,78.473,2586,80.087,2586,80.776,2586,80.137,1,True
76.723,2587,79.608,2587,80.553,2587,77.134,2587,80.347,2587,79.94,2587,80.824,1,True
80.498,2588,81.456,2588,77.906,2588,80.263,2588,82.464,2588,80.889,2588,78.246,1,True
82.238,2589,81.366,2589,82.389,2589,80.079,2589,81.335,2589,81.437,2589,82.566,1,True
78.624,2590,79.206,2590,79.256,2590,78.808,2590,79.453,2590,82.139,2590,79.629,1,True
80.396,2591,84.182,2591,81.651,2591,80.406,2591,83.467,2591,80.013,2591,81.749,1,True
80.348,2592,81.301,2592,81.047,2592,79.127,2592,81.649,2592,81.096,2592,80.492,1,True
