Unnamed: 0,Modifiedgpt4o-on3.5 DoorDash Score
1747,80.379
1784,78.696
2476,82.475
2515,81.482
2517,82.192
2529,80.79
2538,82.95
2551,81.414
2553,84.419
2554,83.948
2555,82.008
2556,81.781
2577,85.852
2582,81.565
2583,81.369
2584,84.163
2585,80.788
2586,82.945
2587,82.859
2588,82.759
2589,83.329
2590,84.923
2591,80.336
2592,85.212
2594,84.117
2595,80.921
2597,85.124
2645,82.948
2654,82.255
2655,83.347
2656,82.952
2657,78.975
2658,82.958
2659,82.77
2660,83.939
2741,82.889
2766,79.583
2793,81.213
2810,78.905
2824,82.801
3002,83.857
3021,84.237
3093,82.587
3105,83.555
3113,79.79
3118,82.865
3120,82.998
3122,83.387
3123,80.214
3133,83.412
3134,85.043
3135,84.931
3136,80.032
3137,83.385
3138,80.988
3139,82.927
3140,81.847
3141,82.415
3142,82.201
3143,81.211
3144,80.956
3145,79.963
3146,78.197
3147,81.756
3148,82.02
3149,82.332
3150,81.157
3153,80.663
3155,78.277
3156,80.945
3157,80.116
3158,83.323
3159,81.239
3160,79.501
3161,83.564
3162,82.857
3186,84.416
3225,84.876
3315,82.858
3321,82.149
3332,81.011
5877,81.706
5981,83.663
6043,84.181
6078,82.791
6081,83.169
6082,82.628
6090,82.495
6127,84.203
6211,80.147
6213,81.779
6214,80.31
6231,82.932
6232,80.7
6233,82.216
6239,77.563
6240,81.521
6254,83.659
6255,82.392
6342,79.508
7630,82.999
7654,80.761
8890,83.744
8916,79.058
9028,80.683
9066,79.806
9445,80.613
9542,83.185
9546,84.284
9547,83.907
9583,82.684
9587,80.904
12037,82.107
12116,79.993
12122,83.243
12124,82.615
12141,81.767
12143,80.922
12149,82.457
12161,76.258
12252,83.311
12408,80.178
12409,82.501
12410,83.075
12418,80.366
12422,82.144
12435,81.102
12436,81.26
12437,81.737
12447,84.221
12448,83.662
12449,84.295
12450,78.405
12451,82.24
12452,78.838
12453,81.506
12454,79.852
12455,84.3
12456,84.495
12457,81.929
12458,79.053
12459,80.073
12460,82.715
12461,83.848
12462,78.088
12463,77.028
12464,85.259
12465,79.761
12466,82.251
12467,83.377
12468,78.866
12469,76.825
12470,85.054
12471,82.113
12472,82.186
12473,81.963
12474,80.723
12475,81.104
12476,81.656
12477,84.812
12478,81.128
12479,82.238
12480,81.66
12481,81.128
12482,83.855
12483,79.97
12484,81.334
12485,82.876
12486,83.49
12487,82.851
12488,80.647
12489,77.685
12490,81.777
12491,80.919
12492,83.038
12493,83.325
12494,78.938
12495,83.498
12496,81.638
12497,83.769
12498,83.744
12499,80.145
12500,79.603
12501,81.071
12502,82.64
12503,81.42
12504,84.211
12505,77.778
12506,82.37
12507,79.366
12508,82.307
12509,80.649
12510,84.13
12511,81.689
12512,80.329
12513,79.874
12514,85.002
12515,81.809
12516,84.3
12518,84.164
12519,81.287
12520,84.8
12521,83.001
12523,81.93
12525,85.471
12526,85.147
12527,83.641
12528,80.195
12529,85.502
12530,79.302
12531,79.608
12532,80.747
12533,80.125
12565,84.316
12656,81.882
12674,82.708
12687,79.586
12736,83.233
13078,80.923
13080,83.001
13146,83.257
13147,80.487
13148,83.397
13149,83.218
13150,81.571
13196,85.1
13382,81.369
13461,79.127
13475,82.115
13477,81.289
13537,85.207
13893,83.497
13897,78.941
14744,84.429
14862,82.465
14882,83.945
14890,84.893
14906,81.018
14907,82.651
14914,80.956
14916,80.581
14930,81.388
14932,79.843
14939,76.571
14947,78.954
15180,82.766
15240,80.368
15339,82.293
15419,82.497
15425,82.007
15426,84.247
15474,80.324
15519,82.588
15524,82.836
15589,79.716
15679,78.231
15743,77.699
16036,83.438
16039,81.793
16064,84.154
6018,76.248
6021,80.924
6026,78.491
9479,78.639
16980,80.794
17014,73.936
18230,76.565
18348,77.939
26715,81.367
26747,82.647
29788,77.695
29835,82.08
30606,75.784
30845,80.088
32072,80.002
46443,82.513
46506,75.738
50300,83.062
51419,80.571
53971,81.105
53972,79.827
53973,79.47
53974,77.748
53975,77.676
53976,74.093
53977,80.622
53978,76.42
53979,76.345
53981,77.338
54796,76.824
54797,78.403
54798,79.997
54799,79.534
54800,73.683
56453,82.37
56528,78.601
56542,75.54
56543,78.83
56544,77.989
56545,78.422
56618,79.876
56619,74.4
56629,81.336
56630,79.329
56631,80.246
56632,79.595
56633,80.775
56634,78.175
56635,78.264
56637,76.529
56638,75.875
56639,78.006
56641,77.641
56642,76.71
56643,83.237
56644,78.675
56645,80.038
56646,73.766
56647,78.781
56648,77.618
56649,78.668
56650,77.007
56651,78.144
56652,81.415
56653,77.228
56654,80.486
56656,76.081
56657,77.062
56661,77.318
56662,79.321
56725,78.724
56795,72.009
56796,72.365
56797,77.9
56798,75.636
56799,75.819
56800,79.885
56801,78.478
56802,78.098
56803,81.051
56804,79.312
56805,79.967
56807,83.186
56809,80.828
56859,77.295
56860,79.471
56861,74.295
56862,80.446
57384,82.492
57400,83.937
62042,82.0
63086,78.903
63087,83.769
83710,82.546
83711,78.734
86666,78.724
87779,84.816
97622,78.193
98134,79.138
98135,78.452
98136,76.24
98137,78.141
98138,80.968
98171,76.807
98172,74.3
98173,80.297
98245,77.561
