Unnamed: 0,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o UIUX Score
1747,83.072
1784,80.914
2476,81.561
2515,80.719
2517,77.795
2529,81.708
2538,79.717
2551,85.087
2553,76.749
2554,87.549
2555,79.582
2556,82.4
2577,81.872
2582,80.031
2583,77.794
2584,80.301
2585,79.976
2586,79.937
2587,79.608
2588,81.456
2589,81.366
2590,79.206
2591,84.182
2592,81.301
2594,79.454
2595,79.471
2597,81.775
2645,82.259
2654,80.591
2655,81.459
2656,81.947
2657,84.294
2658,80.152
2659,81.769
2660,81.322
2741,80.215
2766,78.672
2793,82.202
2810,76.306
2824,80.608
3002,78.373
3021,80.861
3093,82.154
3105,80.98
3113,80.554
3118,83.994
3120,81.245
3122,78.759
3123,82.184
3133,81.661
3134,79.578
3135,80.442
3136,84.246
3137,80.627
3138,77.159
3139,80.641
3140,80.606
3141,83.308
3142,81.057
3143,80.374
3144,81.243
3145,78.233
3146,75.711
3147,80.83
3148,81.171
3149,79.266
3150,81.935
3153,81.081
3155,73.69
3156,78.598
3157,79.558
3158,80.473
3159,79.407
3160,81.473
3161,81.221
3162,79.054
3186,80.476
3225,81.316
3315,79.506
3321,80.59
3332,82.624
5877,81.294
5981,83.664
6043,79.621
6078,81.699
6081,84.552
6082,83.67
6090,77.847
6127,82.837
6211,79.39
6213,81.931
6214,82.328
6231,79.232
6232,84.673
6233,80.915
6239,80.545
6240,80.439
6254,83.357
6255,78.298
6342,75.032
7630,83.874
7654,80.256
8890,84.154
8916,79.371
9028,81.959
9066,75.766
9445,79.482
9542,79.322
9546,80.083
9547,79.576
9583,79.175
9587,80.504
12037,81.895
12116,79.792
12122,80.48
12124,77.89
12141,79.681
12143,79.254
12149,80.955
12161,81.504
12252,81.248
12408,79.579
12409,78.753
12410,82.669
12418,82.368
12422,79.252
12435,76.942
12436,79.809
12437,81.504
12447,82.989
12448,82.341
12449,81.544
12450,81.424
12451,81.654
12452,77.714
12453,81.476
12454,81.694
12455,80.111
12456,81.16
12457,82.472
12458,86.738
12459,79.792
12460,80.813
12461,78.34
12462,80.848
12463,83.409
12464,82.376
12465,78.169
12466,80.282
12467,83.44
12468,78.745
12469,79.285
12470,86.77
12471,83.232
12472,83.524
12473,80.23
12474,82.156
12475,79.601
12476,80.282
12477,83.436
12478,84.421
12479,81.36
12480,79.879
12481,82.613
12482,84.063
12483,79.987
12484,80.77
12485,79.298
12486,81.21
12487,81.151
12488,82.24
12489,75.901
12490,80.539
12491,81.066
12492,81.424
12493,82.526
12494,80.878
12495,84.122
12496,79.454
12497,84.617
12498,85.868
12499,76.829
12500,77.226
12501,71.521
12502,81.595
12503,79.225
12504,81.213
12505,80.545
12506,78.583
12507,80.809
12508,77.394
12509,82.548
12510,80.973
12511,81.368
12512,82.773
12513,80.494
12514,80.81
12515,82.497
12516,80.575
12518,80.599
12519,80.658
12520,80.982
12521,80.229
12523,81.85
12525,84.586
12526,80.422
12527,82.335
12528,80.365
12529,81.871
12530,78.341
12531,79.927
12532,78.544
12533,80.397
12565,83.87
12656,82.344
12674,82.378
12687,82.611
12736,81.638
13078,77.44
13080,83.817
13146,80.446
13147,80.481
13148,81.474
13149,80.461
13150,84.531
13196,80.292
13382,79.073
13461,79.221
13475,79.262
13477,81.927
13537,82.382
13893,81.825
13897,74.881
14744,76.837
14862,79.676
14882,82.557
14890,83.769
14906,80.51
14907,80.711
14914,77.229
14916,80.106
14930,82.497
14932,78.659
14939,78.725
14947,79.899
15180,80.82
15240,80.53
15339,80.624
15419,77.552
15425,80.617
15426,82.528
15474,81.347
15519,82.859
15524,79.995
15589,81.036
15679,79.201
15743,81.36
16036,81.88
16039,80.646
16064,83.764
6018,87.68
6021,85.81
6026,87.961
9479,85.62
16980,75.977
17014,79.212
18230,85.067
18348,87.741
26715,83.676
26747,84.442
29788,85.051
29835,85.824
30606,86.5
30845,87.293
32072,86.449
46443,89.107
46506,83.505
50300,84.669
51419,89.687
53971,87.501
53972,82.316
53973,86.774
53974,85.691
53975,87.402
53976,81.708
53977,85.326
53978,84.816
53979,86.958
53981,87.028
54796,83.952
54797,89.524
54798,87.668
54799,85.246
54800,82.049
56453,83.748
56528,80.486
56542,83.813
56543,84.064
56544,86.865
56545,83.379
56618,86.47
56619,82.571
56629,88.439
56630,82.77
56631,85.1
56632,87.562
56633,85.958
56634,82.215
56635,86.976
56637,83.835
56638,87.501
56639,87.49
56641,83.482
56642,83.465
56643,84.184
56644,84.167
56645,86.957
56646,80.511
56647,84.659
56648,80.392
56649,84.958
56650,83.551
56651,87.941
56652,84.934
56653,82.052
56654,86.347
56656,84.561
56657,87.318
56661,84.102
56662,87.492
56725,86.855
56795,83.897
56796,87.393
56797,84.679
56798,84.179
56799,81.681
56800,84.902
56801,84.696
56802,82.885
56803,89.053
56804,87.389
56805,83.176
56807,89.392
56809,85.827
56859,82.643
56860,87.467
56861,85.385
56862,87.121
57384,89.751
57400,88.753
62042,86.56
63086,83.766
63087,84.566
83710,86.523
83711,81.051
86666,88.01
87779,82.08
97622,88.36
98134,86.678
98135,87.863
98136,86.219
98137,85.446
98138,83.111
98171,86.982
98172,84.312
98173,84.139
98245,86.475
98250,83.468
98251,83.974
98252,76.212
98253,84.192
98254,86.214
98255,87.059
98256,81.195
98257,84.044
98258,85.177
98259,81.814
98260,85.199
98261,82.947
98262,85.948
98263,86.303
98264,85.306
98265,87.462
98266,85.229
98267,83.951
98268,79.615
98269,89.247
98270,84.631
98271,85.968
98272,90.778
98273,86.205
98274,86.448
98275,85.441
98276,85.823
98277,87.935
98278,86.132
98279,86.272
98280,85.507
98281,87.731
98282,85.481
98283,87.781
98284,84.801
98285,85.459
98286,83.203
98287,88.695
98288,81.695
98289,83.768
98290,82.99
98291,87.378
98292,87.822
98293,87.323
98294,82.561
98295,87.327
98296,84.962
98297,86.939
98298,87.607
98299,87.353
98300,86.884
98301,82.994
98302,87.394
98303,87.402
98304,88.203
98305,87.827
98306,88.355
98307,84.913
98308,84.82
98309,85.282
98310,88.047
98311,85.466
98312,84.072
98313,90.081
98314,88.22
98315,87.567
98316,88.719
98317,84.53
98318,85.755
98319,86.973
98320,87.834
98321,86.587
98322,88.302
98323,89.908
98324,85.668
98325,89.623
98326,86.606
98327,82.748
98328,86.198
98329,84.361
98330,85.273
98331,80.574
98332,83.31
98333,85.958
98334,80.568
98335,84.273
98336,84.874
98337,86.072
98338,81.474
98339,86.657
98340,88.106
98341,87.516
98342,86.902
98343,85.361
98344,87.659
98345,82.807
98346,85.562
98347,83.777
98348,80.919
98349,87.273
98350,88.046
98351,87.099
98352,85.016
98353,86.287
98354,81.348
98355,85.245
98356,83.91
98357,80.453
98358,87.414
98359,85.586
98360,78.881
98361,87.289
98362,87.442
98363,86.848
98364,84.119
98365,87.883
98366,84.495
98367,85.47
98368,83.61
98369,90.447
98370,88.072
