Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o Google Score
1747,82.731
1784,80.713
2476,81.561
2515,80.978
2517,77.457
2529,82.308
2538,80.066
2551,84.98
2553,76.553
2554,87.004
2555,79.406
2556,82.366
2577,81.579
2582,80.353
2583,79.412
2584,80.544
2585,80.953
2586,80.087
2587,80.347
2588,82.464
2589,81.335
2590,79.453
2591,83.467
2592,81.649
2594,79.528
2595,79.376
2597,81.758
2645,82.042
2654,80.535
2655,81.84
2656,82.108
2657,83.165
2658,80.554
2659,81.589
2660,81.032
2741,80.215
2766,80.067
2793,82.315
2810,76.253
2824,80.872
3002,78.341
3021,80.638
3093,82.486
3105,80.82
3113,80.449
3118,84.081
3120,81.676
3122,80.96
3123,82.493
3133,81.578
3134,79.784
3135,80.906
3136,84.591
3137,80.698
3138,77.856
3139,80.199
3140,80.46
3141,83.747
3142,81.024
3143,80.019
3144,81.173
3145,78.093
3146,77.102
3147,80.612
3148,81.491
3149,79.091
3150,81.58
3153,80.35
3155,73.409
3156,82.915
3157,80.367
3158,80.611
3159,79.444
3160,81.473
3161,81.221
3162,78.668
3186,81.388
3225,80.858
3315,79.551
3321,80.239
3332,82.691
5877,81.436
5981,83.664
6043,79.545
6078,81.772
6081,83.807
6082,83.67
6090,77.47
6127,82.8
6211,79.24
6213,81.905
6214,82.769
6231,79.442
6232,84.171
6233,81.031
6239,80.25
6240,80.337
6254,83.238
6255,78.298
6342,75.212
7630,83.874
7654,80.331
8890,83.105
8916,80.032
9028,82.183
9066,77.185
9445,78.973
9542,78.597
9546,80.083
9547,79.475
9583,79.143
9587,80.34
12037,82.048
12116,79.764
12122,80.352
12124,78.516
12141,79.626
12143,79.111
12149,81.169
12161,80.862
12252,81.47
12408,78.721
12409,78.609
12410,82.665
12418,82.368
12422,79.365
12435,76.646
12436,80.473
12437,81.624
12447,82.071
12448,82.639
12449,80.919
12450,80.865
12451,82.434
12452,82.892
12453,81.476
12454,81.47
12455,80.645
12456,81.003
12457,82.472
12458,87.462
12459,79.669
12460,80.927
12461,78.772
12462,80.867
12463,83.57
12464,82.565
12465,77.678
12466,80.262
12467,83.673
12468,78.332
12469,79.236
12470,86.463
12471,83.251
12472,83.032
12473,79.87
12474,82.347
12475,79.605
12476,80.3
12477,82.711
12478,84.523
12479,81.643
12480,79.589
12481,82.214
12482,83.606
12483,79.987
12484,81.273
12485,79.298
12486,81.21
12487,81.492
12488,82.086
12489,75.901
12490,80.7
12491,81.372
12492,81.584
12493,82.576
12494,80.831
12495,84.346
12496,79.454
12497,84.582
12498,86.281
12499,77.313
12500,77.381
12501,71.606
12502,81.595
12503,79.225
12504,80.905
12505,80.979
12506,79.929
12507,81.004
12508,77.744
12509,81.726
12510,81.208
12511,81.168
12512,82.773
12513,80.494
12514,80.633
12515,82.231
12516,80.677
12518,80.599
12519,80.684
12520,80.954
12521,80.335
12523,81.56
12525,86.177
12526,80.574
12527,82.692
12528,81.615
12529,81.371
12530,78.309
12531,79.722
12532,79.514
12533,80.94
12565,84.128
12656,82.344
12674,81.748
12687,82.254
12736,83.459
13078,77.174
13080,83.612
13146,80.446
13147,80.586
13148,81.669
13149,80.38
13150,84.21
13196,79.858
13382,78.67
13461,78.973
13475,79.262
13477,81.927
13537,82.526
13893,81.825
13897,74.613
14744,77.58
14862,82.177
14882,82.632
14890,84.368
14906,80.623
14907,80.711
14914,80.711
14916,80.156
14930,82.461
14932,78.388
14939,78.742
14947,78.781
15180,81.584
15240,80.557
15339,80.905
15419,77.83
15425,80.453
15426,82.79
15474,81.396
15519,83.16
15524,80.537
15589,80.748
15679,79.201
15743,80.937
16036,81.676
16039,80.513
16064,83.78
6018,87.68
6021,85.81
6026,88.085
9479,85.12
16980,76.345
17014,79.447
18230,84.84
18348,87.982
26715,84.007
26747,85.491
29788,85.216
29835,85.448
30606,86.5
30845,87.293
32072,87.213
46443,89.107
46506,83.228
50300,84.669
51419,89.697
53971,87.451
53972,82.237
53973,87.019
53974,85.885
53975,86.421
53976,80.862
53977,85.326
53978,86.052
53979,86.858
53981,87.146
54796,83.952
54797,89.859
54798,87.399
54799,85.364
54800,82.049
56453,83.303
56528,80.579
56542,83.452
56543,83.399
56544,86.617
56545,83.165
56618,86.394
56619,82.3
56629,88.256
56630,83.052
56631,85.853
56632,87.562
56633,85.498
56634,82.448
56635,88.065
56637,83.837
56638,87.818
56639,88.195
56641,82.766
56642,83.465
56643,84.184
56644,84.167
56645,86.957
56646,80.215
56647,85.183
56648,80.392
56649,85.353
56650,83.551
56651,87.909
56652,84.448
56653,82.358
56654,86.152
56656,85.402
56657,87.634
56661,84.324
56662,87.492
56725,88.089
56795,83.897
56796,87.393
56797,85.05
56798,83.989
56799,83.642
56800,84.902
56801,84.602
56802,82.311
56803,88.74
56804,87.389
56805,83.037
56807,89.412
56809,86.456
56859,81.822
56860,87.755
56861,86.272
56862,87.498
57384,90.484
57400,88.54
62042,86.551
63086,84.028
63087,85.018
83710,86.426
83711,81.039
86666,88.142
87779,82.19
97622,88.657
98134,86.406
98135,87.742
98136,85.714
98137,85.226
98138,83.111
98171,86.689
98172,84.069
98173,84.278
98245,86.49
98250,83.642
98251,84.403
98252,75.871
98253,84.606
98254,85.78
98255,87.729
98256,81.195
98257,84.612
98258,85.177
98259,81.818
98260,85.627
98261,87.587
98262,85.535
98263,86.26
98264,85.244
98265,87.026
98266,84.734
98267,83.134
98268,79.797
98269,88.835
98270,84.631
98271,85.973
98272,90.778
98273,85.918
98274,86.397
98275,85.138
98276,85.718
98277,87.855
98278,86.701
98279,86.393
98280,85.507
98281,87.761
98282,85.786
98283,87.781
98284,85.38
98285,85.459
98286,84.178
98287,88.087
98288,81.676
98289,83.499
98290,82.394
98291,87.49
98292,87.661
98293,87.699
98294,82.561
98295,87.036
98296,84.188
98297,86.812
98298,87.782
98299,88.003
98300,88.155
98301,85.38
98302,87.845
98303,87.402
98304,88.354
98305,87.628
98306,88.438
98307,88.573
98308,84.845
98309,85.26
98310,88.145
98311,85.541
98312,84.584
98313,90.465
98314,88.22
98315,87.567
98316,88.289
98317,85.218
98318,86.376
98319,86.876
98320,87.509
98321,87.611
98322,88.486
98323,89.06
98324,86.67
98325,88.693
98326,86.767
98327,82.699
98328,86.198
98329,85.297
98330,86.241
98331,80.014
98332,82.531
98333,85.752
98334,80.568
98335,84.182
98336,84.027
98337,86.14
98338,81.134
98339,87.029
98340,87.45
98341,87.434
98342,86.92
98343,85.766
98344,87.621
98345,83.181
98346,85.685
98347,83.236
98348,80.674
98349,87.518
98350,87.421
98351,87.185
98352,85.016
98353,86.053
98354,81.526
98355,85.245
98356,84.397
98357,80.007
98358,87.814
98359,85.674
98360,79.245
98361,87.123
98362,88.147
98363,86.868
98364,84.637
98365,87.337
98366,84.428
98367,84.913
98368,82.315
98369,90.446
98370,88.022
98371,87.747
98372,87.351
98373,83.947
98374,86.263
98375,87.71
98376,85.171
98377,86.798
98378,85.911
98379,88.276
98380,86.525
98381,84.529
98382,89.232
98383,86.5
98384,83.855
98385,85.023
98386,83.927
98387,88.265
98388,86.276
98389,83.937
98390,86.131
98391,86.959
98392,85.865
98393,85.677
98394,88.22
98395,90.216
98396,86.886
98397,86.267
98398,84.147
98399,85.302
98400,83.348
98401,82.028
98402,87.358
