Unnamed: 0,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini UIUX Score
1747,81.159
1784,81.934
2476,82.156
2515,80.161
2517,81.564
2529,81.309
2538,80.464
2551,83.241
2553,79.537
2554,86.247
2555,78.935
2556,81.721
2577,82.15
2582,79.391
2583,80.385
2584,82.874
2585,80.896
2586,80.328
2587,80.553
2588,77.906
2589,82.389
2590,79.256
2591,81.651
2592,81.047
2594,79.87
2595,80.739
2597,82.115
2645,81.078
2654,80.838
2655,80.545
2656,81.64
2657,84.436
2658,80.488
2659,81.18
2660,80.335
2741,78.214
2766,83.207
2793,82.013
2810,76.091
2824,81.436
3002,78.654
3021,80.054
3093,80.715
3105,80.241
3113,80.69
3118,82.952
3120,79.353
3122,78.955
3123,81.91
3133,82.606
3134,80.866
3135,81.391
3136,84.197
3137,81.594
3138,77.824
3139,79.458
3140,80.084
3141,83.508
3142,79.348
3143,79.144
3144,81.119
3145,77.82
3146,78.997
3147,80.714
3148,79.39
3149,80.593
3150,82.234
3153,80.645
3155,79.817
3156,79.264
3157,80.69
3158,81.006
3159,76.94
3160,82.003
3161,84.334
3162,81.707
3186,80.425
3225,77.087
3315,79.544
3321,79.838
3332,82.65
5877,79.725
5981,82.467
6043,79.479
6078,80.551
6081,81.914
6082,82.687
6090,78.478
6127,83.697
6211,80.907
6213,79.677
6214,81.676
6231,78.898
6232,80.78
6233,76.91
6239,80.088
6240,79.033
6254,83.725
6255,78.874
6342,75.093
7630,82.14
7654,79.597
8890,85.994
8916,79.462
9028,80.731
9066,80.454
9445,81.001
9542,82.025
9546,80.752
9547,80.497
9583,77.227
9587,79.291
12037,81.71
12116,78.816
12122,81.85
12124,79.997
12141,80.638
12143,80.818
12149,81.282
12161,80.824
12252,83.935
12408,77.806
12409,78.756
12410,83.147
12418,82.727
12422,79.104
12435,77.856
12436,78.879
12437,79.945
12447,82.189
12448,82.082
12449,81.755
12450,81.203
12451,80.64
12452,80.172
12453,82.004
12454,81.606
12455,80.046
12456,81.021
12457,82.54
12458,85.927
12459,75.943
12460,82.039
12461,83.525
12462,79.721
12463,83.727
12464,80.681
12465,78.094
12466,79.564
12467,83.603
12468,80.983
12469,79.831
12470,87.634
12471,82.101
12472,84.458
12473,81.992
12474,79.588
12475,81.035
12476,81.933
12477,84.146
12478,83.718
12479,81.973
12480,80.49
12481,82.65
12482,83.662
12483,80.915
12484,80.186
12485,78.544
12486,80.293
12487,82.212
12488,79.988
12489,74.867
12490,80.004
12491,81.817
12492,78.634
12493,81.435
12494,82.741
12495,81.733
12496,81.173
12497,83.188
12498,84.185
12499,80.952
12500,78.107
12501,71.897
12502,81.549
12503,80.718
12504,79.757
12505,80.469
12506,79.975
12507,81.112
12508,81.085
12509,82.044
12510,81.734
12511,81.529
12512,82.432
12513,79.855
12514,81.316
12515,81.429
12516,80.691
12518,79.706
12519,81.092
12520,81.015
12521,80.734
12523,81.624
12525,85.611
12526,79.379
12527,83.683
12528,79.72
12529,82.013
12530,75.649
12531,80.123
12532,79.018
12533,81.306
12565,84.252
12656,82.442
12674,82.362
12687,83.197
12736,81.863
13078,77.959
13080,83.758
13146,79.323
13147,79.256
13148,81.212
13149,80.924
13150,83.965
13196,80.464
13382,80.645
13461,78.233
13475,82.478
13477,80.777
13537,81.224
13893,80.35
13897,79.817
14744,78.17
14862,82.493
14882,81.39
14890,80.165
14906,81.267
14907,82.214
14914,79.214
