Unnamed: 0,Modifiedgpt4o-on3.5 UIUX Score
1747,82.056
1784,81.645
2476,80.15
2515,78.23
2517,79.291
2529,79.422
2538,78.536
2551,84.484
2553,79.862
2554,86.911
2555,81.543
2556,80.823
2577,81.66
2582,80.504
2583,78.39
2584,81.561
2585,80.138
2586,80.776
2587,79.94
2588,80.889
2589,81.437
2590,82.139
2591,80.013
2592,81.096
2594,81.066
2595,78.454
2597,82.995
2645,79.733
2654,79.036
2655,82.313
2656,80.831
2657,82.306
2658,80.078
2659,82.103
2660,80.653
2741,80.527
2766,80.453
2793,81.143
2810,75.732
2824,80.49
3002,78.858
3021,80.692
3093,82.727
3105,80.83
3113,79.907
3118,83.615
3120,80.259
3122,80.599
3123,80.5
3133,81.208
3134,80.266
3135,81.232
3136,80.868
3137,81.059
3138,79.336
3139,80.633
3140,80.938
3141,82.133
3142,78.499
3143,79.94
3144,78.517
3145,78.294
3146,76.308
3147,81.26
3148,80.019
3149,81.265
3150,79.076
3153,80.264
3155,75.062
3156,80.353
3157,82.377
3158,81.887
3159,79.932
3160,81.037
3161,81.501
3162,79.519
3186,81.955
3225,81.231
3315,80.161
3321,80.103
3332,82.628
5877,81.608
5981,79.275
6043,79.773
6078,81.922
6081,82.453
6082,82.939
6090,78.172
6127,80.717
6211,79.555
6213,81.062
6214,79.76
6231,79.274
6232,80.127
6233,78.19
6239,79.312
6240,79.378
6254,82.375
6255,78.931
6342,75.638
7630,82.619
7654,79.109
8890,83.02
8916,80.15
9028,81.243
9066,79.548
9445,79.539
9542,82.26
9546,81.681
9547,79.858
9583,78.724
9587,79.933
12037,82.368
12116,79.116
12122,80.325
12124,78.442
12141,79.972
12143,80.837
12149,81.362
12161,79.067
12252,84.683
12408,79.015
12409,80.299
12410,82.262
12418,78.797
12422,78.525
12435,77.06
12436,78.973
12437,80.825
12447,84.414
12448,83.502
12449,82.717
12450,78.152
12451,81.083
12452,76.892
12453,81.419
12454,80.209
12455,80.536
12456,80.569
12457,80.509
12458,81.878
12459,76.47
12460,82.242
12461,81.192
12462,77.306
12463,82.812
12464,81.083
12465,76.997
12466,80.741
12467,84.028
12468,78.688
12469,78.577
12470,87.169
12471,78.999
12472,82.333
12473,81.258
12474,82.777
12475,79.512
12476,81.605
12477,84.1
12478,81.716
12479,81.708
12480,79.059
12481,80.9
12482,82.312
12483,78.101
12484,81.496
12485,79.156
12486,80.333
12487,80.806
12488,81.137
12489,77.816
12490,80.353
12491,81.365
12492,82.148
12493,82.425
12494,80.49
12495,82.788
12496,79.995
12497,84.126
12498,84.745
12499,76.974
12500,77.029
12501,79.279
12502,82.113
12503,79.263
12504,81.942
12505,81.794
12506,79.388
12507,78.428
12508,79.99
12509,81.973
12510,82.562
12511,80.711
12512,81.947
12513,78.125
12514,82.647
12515,78.913
12516,81.134
12518,81.701
12519,80.323
12520,82.385
12521,80.358
12523,82.0
12525,87.488
12526,81.23
12527,82.372
12528,81.805
12529,82.768
12530,76.164
12531,80.044
12532,77.878
12533,77.502
12565,83.607
12656,80.437
12674,82.976
12687,81.911
12736,83.684
13078,76.952
13080,84.768
13146,83.611
13147,77.458
13148,81.198
13149,81.684
13150,79.265
13196,81.764
13382,79.54
13461,77.034
13475,78.675
13477,81.507
13537,83.174
13893,81.371
13897,75.628
14744,77.882
14862,81.45
14882,80.272
14890,85.461
14906,78.926
14907,80.45
14914,76.855
14916,78.773
14930,82.128
14932,79.133
14939,77.687
14947,77.361
15180,81.451
15240,79.266
15339,81.997
15419,78.347
15425,77.723
15426,83.374
15474,81.072
15519,83.586
15524,81.857
15589,77.3
15679,80.369
15743,78.455
16036,81.671
16039,81.852
16064,82.63
6018,85.399
6021,86.327
6026,85.75
9479,85.137
16980,80.105
17014,78.206
18230,85.997
18348,85.173
26715,84.882
26747,86.693
29788,85.426
29835,85.418
30606,82.42
30845,87.203
32072,87.525
46443,86.885
46506,81.409
50300,84.795
51419,88.031
53971,89.145
53972,85.427
53973,87.963
53974,85.395
53975,88.898
53976,82.007
53977,82.429
53978,84.087
53979,87.721
53981,87.372
54796,85.777
54797,86.04
54798,83.181
54799,86.235
54800,80.792
56453,85.202
56528,82.379
56542,83.874
56543,84.033
56544,87.658
56545,82.549
56618,88.564
